7:1|The high priest asked, “Are these things true?”|Preserves the judicial speaker and direct question.
7:45|Our ancestors received it and brought it in with Joshua when they took possession of the nations God drove out before them. It remained there until the days of David.|Preserves succession, conquest agency, Joshua, and duration.
7:46|David found favor before God and asked to find a dwelling place for the God of Jacob.|Retains favor, request, and divine title.
7:47|But Solomon built him a house.|Keeps the contrast and temple image.
7:48|Yet the Most High does not live in houses made by human hands. As the prophet says:|Preserves divine title, negation, handmade motif, and quotation frame.
7:49|‘Heaven is my throne, and the earth is my footstool. What kind of house will you build for me, says the Lord, or where will my resting place be?|Keeps the cosmic images and paired rhetorical questions.
7:50|Did not my hand make all these things?’|Preserves divine agency and rhetorical force.
7:51|“You stiff-necked people, uncircumcised in heart and ears! You always resist the Holy Spirit. You are just like your ancestors.|Retains the harsh embodied images, accusation, Spirit, and continuity.
7:52|Which of the prophets did your ancestors not persecute? They even killed those who announced beforehand the coming of the Righteous One, whom you have now betrayed and murdered.|Keeps rhetorical question, persecution, title, betrayal, and killing.
7:53|You received the law as ordained through angels, yet you did not keep it.”|Preserves angelic mediation and accusation of disobedience.
7:54|When they heard these things, they were cut to the heart and ground their teeth at him.|Retains the visceral anger images and object.
7:55|But Stephen, full of the Holy Spirit, looked intently into heaven and saw God’s glory and Jesus standing at God’s right hand.|Keeps Stephen’s name, Spirit fullness, gaze, glory, Jesus, and position.
7:56|He said, “Look! I see the heavens opened and the Son of Man standing at God’s right hand.”|Preserves visionary exclamation, opened heavens, title, and stance.
7:57|But they cried out with a loud voice, covered their ears, and rushed at him together.|Keeps noise, physical refusal, and collective assault.
7:58|They drove him out of the city and began to stone him. The witnesses laid their cloaks at the feet of a young man named Saul.|Preserves expulsion, execution violence, legal witnesses, garments, and Saul.
7:59|As they were stoning Stephen, he called out, “Lord Jesus, receive my spirit.”|Retains continuing violence, direct invocation, and petition.
7:60|Then he fell to his knees and cried out in a loud voice, “Lord, do not hold this sin against them.” After saying this, he fell asleep.|Keeps posture, loud prayer, forgiveness request, and death metaphor.
8:1|Saul approved of Stephen’s killing. That day a severe persecution began against the church in Jerusalem, and everyone except the apostles was scattered throughout the regions of Judea and Samaria.|Names Stephen for clarity and preserves approval, persecution, exception, and geography.
8:2|Devout men buried Stephen and mourned deeply for him.|Keeps burial and public grief.
8:3|But Saul was ravaging the church. Going from house to house, he dragged off both men and women and put them in prison.|Retains destructive force, domestic intrusion, both genders, and imprisonment.
8:4|Those who had been scattered went from place to place proclaiming the good news of the word.|Keeps scattering, movement, and proclamation.
8:5|Philip went down to a city of Samaria and proclaimed the Messiah to them.|Preserves movement, location, audience, and messianic title.
8:6|The crowds listened closely and with one accord to what Philip said when they heard him and saw the signs he performed.|Keeps collective attention, hearing, seeing, and signs.
8:7|Unclean spirits came out of many people, crying with a loud voice, and many who were paralyzed or unable to walk were healed.|Retains spirit action, cries, specific conditions, and healing.
8:8|So there was great joy in that city.|Preserves causal movement and communal joy.
8:9|Now a man named Simon had previously practiced magic in the city and amazed the people of Samaria, claiming to be someone great.|Keeps name, prior activity, effect, audience, and self-claim.
8:10|Everyone, from the least to the greatest, paid attention to him and said, “This man is the power of God called Great.”|Retains comprehensive audience and claimed title.
8:11|They paid attention to him because for a long time he had amazed them with his magic.|Keeps duration, cause, and magic.
8:12|But when they believed Philip as he proclaimed the good news about the kingdom of God and the name of Jesus Christ, both men and women were baptized.|Preserves belief, message’s two themes, both genders, and baptism.
8:13|Even Simon himself believed and was baptized. He stayed close to Philip, and he was amazed when he saw the great signs and miracles taking place.|Keeps Simon’s response, attachment, seeing, and wonder.
8:14|When the apostles in Jerusalem heard that Samaria had received the word of God, they sent Peter and John to them.|Preserves senders, location, report, and two emissaries.
8:15|After they went down, they prayed for the Samaritan believers to receive the Holy Spirit,|Makes the prayer’s recipients clear while retaining purpose.
8:16|because the Spirit had not yet fallen on any of them. They had only been baptized in the name of the Lord Jesus.|Keeps temporal sequence, “fallen” image, baptism, and name.
8:17|Then Peter and John laid their hands on them, and they received the Holy Spirit.|Names agents for clarity and preserves laying on hands and reception.
8:18|When Simon saw that the Spirit was given through the apostles’ laying on of hands, he offered them money|Retains seeing, mediated gift, physical act, and attempted payment.
8:19|and said, “Give me this authority too, so that anyone on whom I lay my hands may receive the Holy Spirit.”|Keeps requested authority, universal scope, action, and intended result.
8:20|But Peter told him, “May your silver perish with you, because you thought you could acquire God’s gift with money!|Preserves Peter’s severe curse and the contrast between gift and purchase.
8:21|You have no part or share in this matter, because your heart is not right before God.|Retains paired exclusion terms and moral diagnosis.
8:22|So repent of this wickedness and pray to the Lord that, if possible, the intention of your heart may be forgiven.|Keeps repentance, prayer, conditional restraint, inward intent, and forgiveness.
8:23|For I see that you are poisoned by bitterness and bound by injustice.”|Preserves the bitter-gall and binding images.
8:24|Simon answered, “Pray to the Lord for me, so that nothing you have said will happen to me.”|Keeps his appeal, addressees, divine recipient, and feared consequences.
8:25|After Peter and John had testified and spoken the word of the Lord, they returned to Jerusalem, proclaiming the good news in many Samaritan villages along the way.|Clarifies agents and preserves witness, return, and village proclamation.
8:26|An angel of the Lord spoke to Philip: “Get up and go south to the road that goes down from Jerusalem to Gaza—the desert road.”|Keeps divine messenger, two commands, direction, route, and wilderness note.
8:27|So he got up and went. There he saw an Ethiopian man, a eunuch and high official of Candace, queen of the Ethiopians, who was in charge of all her treasury. He had come to Jerusalem to worship|Retains ethnicity, embodied status, royal title, office, treasury, and worship journey.
8:28|and was returning home. Seated in his chariot, he was reading the prophet Isaiah.|Keeps return, posture, vehicle, and text.
8:29|The Spirit told Philip, “Go over and stay close to that chariot.”|Preserves Spirit speech, movement, and proximity.
8:30|Philip ran up and heard him reading Isaiah the prophet. He asked, “Do you understand what you are reading?”|Keeps Philip’s haste, audible reading, named prophet, and question.
8:31|He replied, “How could I unless someone guides me?” Then he invited Philip to come up and sit with him.|Preserves need for guidance and hospitable invitation.
8:32|The passage of Scripture he was reading was this: “He was led like a sheep to slaughter, and like a lamb silent before its shearer, he does not open his mouth.|Keeps animal images, violence, silence, and present-tense quotation.
8:33|In his humiliation justice was denied him. Who can describe his generation? For his life is taken from the earth.”|Preserves humiliation, removed judgment, difficult generation question, and death.
8:34|The eunuch asked Philip, “Please tell me, who is the prophet speaking about—himself or someone else?”|Keeps respectful request and interpretive alternatives.
8:35|Then Philip began with this Scripture and proclaimed the good news about Jesus to him.|Preserves textual starting point and Christ-centered proclamation.
8:36|As they traveled along the road, they came to some water. The eunuch said, “Look, here is water! What prevents me from being baptized?”|Keeps journey, water, exclamation, and barrier question.
8:38|He ordered the chariot to stop. Both Philip and the eunuch went down into the water, and Philip baptized him.|Retains command, both participants, descent, and baptism.
8:39|When they came up out of the water, the Spirit of the Lord suddenly took Philip away. The eunuch did not see him again but went on his way rejoicing.|Preserves ascent, Spirit action, separation, journey, and joy.
8:40|Philip found himself at Azotus. As he traveled through the region, he proclaimed the good news in every town until he came to Caesarea.|Keeps unexpected location, movement, comprehensive proclamation, and destination.
9:1|Meanwhile Saul was still breathing threats and murder against the Lord’s disciples. He went to the high priest|Retains continuing hostility, vivid breathing image, murder, victims, and authority.
9:2|and asked him for letters to the synagogues in Damascus, so that if he found any who belonged to the Way, men or women, he could bring them bound to Jerusalem.|Keeps letters, synagogues, destination, movement title, both genders, bonds, and purpose.
9:3|As he traveled and approached Damascus, suddenly a light from heaven flashed around him.|Preserves journey, proximity, suddenness, heavenly source, and enveloping light.
9:4|He fell to the ground and heard a voice say to him, “Saul, Saul, why are you persecuting me?”|Keeps fall, repeated name, direct question, and Jesus’ identification with victims.
9:5|He asked, “Who are you, Lord?” The voice replied, “I am Jesus, whom you are persecuting.|Preserves Saul’s question and Jesus’ direct self-identification.
9:6|But get up and go into the city, and you will be told what you must do.”|Keeps commands, destination, future instruction, and necessity.
9:7|The men traveling with Saul stood speechless. They heard the voice but saw no one.|Names Saul for clarity and preserves companions’ hearing, silence, and lack of sight.
9:8|Saul got up from the ground, but when he opened his eyes he could see nothing. So they led him by the hand into Damascus.|Keeps physical sequence, blindness, dependence, and destination.
9:9|For three days he could not see, and he neither ate nor drank.|Retains exact duration and total fast.
9:10|In Damascus there was a disciple named Ananias. The Lord said to him in a vision, “Ananias!” He replied, “Here I am, Lord.”|Keeps location, identity, vision, call, and response.
9:11|The Lord told him, “Get up and go to the street called Straight. At the house of Judas, ask for a man from Tarsus named Saul, for he is praying.|Preserves command, exact street, host, origin, name, and present prayer.
9:12|In a vision he has seen a man named Ananias come in and lay hands on him so that he may see again.”|Keeps nested vision, name, action, and purpose.
9:13|But Ananias answered, “Lord, I have heard from many people about this man and how much harm he has done to your holy people in Jerusalem.|Retains objection, multiple reports, real harm, victims, and location.
9:14|And here he has authority from the chief priests to bind everyone who calls on your name.”|Keeps local danger, delegated authority, bonds, and worshiping identity.
9:15|But the Lord told him, “Go, because this man is my chosen instrument to carry my name before Gentiles, kings, and the people of Israel.|Preserves command, instrument image, divine choice, mission, and three audiences.
9:16|I will show him how much he must suffer for my name.”|Keeps divine disclosure, necessity, suffering, and name.
9:17|So Ananias went and entered the house. He laid his hands on Saul and said, “Brother Saul, the Lord Jesus, who appeared to you on the road as you came here, has sent me so that you may see again and be filled with the Holy Spirit.”|Retains obedience, touch, kinship, identification of Jesus, appearance, commission, sight, and Spirit.
9:18|Immediately something like scales fell from Saul’s eyes, and he could see again. He got up and was baptized,|Preserves immediacy, simile, restored sight, movement, and baptism.
9:19|and after taking food he regained his strength. Saul stayed with the disciples in Damascus for several days.|Keeps food, strength, community, location, and indefinite duration.
9:20|He immediately began proclaiming Jesus in the synagogues: “He is the Son of God.”|Preserves immediacy, venue, named subject, and title.
9:21|Everyone who heard him was astonished and asked, “Isn’t this the man who devastated those in Jerusalem who call on this name? Didn’t he come here to take them bound to the chief priests?”|Keeps audience reaction, two questions, prior violence, purpose, and authorities.
9:22|But Saul grew more and more powerful and confounded the Jewish people living in Damascus by proving that Jesus is the Messiah.|Preserves increasing strength, audience, location, reasoning, and conclusion.
9:23|After many days had passed, some Jewish leaders plotted to kill him,|Keeps elapsed time, plot, and lethal intent without generalizing the whole people.
9:24|but Saul learned of their plot. They watched the city gates day and night in order to kill him.|Retains discovery, surveillance, exact timing, gates, and purpose.
9:25|But his disciples took him by night and lowered him through an opening in the wall in a basket.|Keeps disciples, nighttime rescue, wall, and basket.
9:26|When Saul came to Jerusalem, he tried to join the disciples, but they were all afraid of him because they did not believe he was a disciple.|Preserves arrival, attempted belonging, communal fear, and disbelief.
9:27|But Barnabas took him and brought him to the apostles. He told them how Saul had seen the Lord on the road and that the Lord had spoken to him, and how Saul had spoken boldly in Jesus’ name at Damascus.|Keeps Barnabas’s advocacy, two road events, and Saul’s bold speech.
9:28|So Saul moved freely with them in Jerusalem, speaking boldly in the name of the Lord.|Preserves fellowship, movement, location, boldness, and authority.
9:29|He spoke and debated with the Greek-speaking Jews, but they tried to kill him.|Keeps audience specificity, debate, contrast, and lethal attempt.
9:30|When the brothers and sisters learned of this, they took him down to Caesarea and sent him off to Tarsus.|Uses inclusive community language and preserves route and destination.
9:31|Then the church throughout Judea, Galilee, and Samaria had peace and was strengthened. Living in the fear of the Lord and the encouragement of the Holy Spirit, it continued to grow.|Keeps singular church, three regions, peace, strengthening, fear, Spirit encouragement, and growth.
9:32|As Peter traveled throughout the region, he also went down to the holy people living in Lydda.|Preserves Peter’s movement, community designation, and location.
9:33|There he found a man named Aeneas who had been confined to bed for eight years because he was paralyzed.|Keeps name, exact duration, bed, and condition.
9:34|Peter said to him, “Aeneas, Jesus Christ heals you. Get up and make your bed.” He got up immediately.|Preserves healer, two commands, household action, and immediacy.
9:35|Everyone living in Lydda and the Plain of Sharon saw him, and they turned to the Lord.|Keeps both locations, sight, comprehensive claim, and conversion.
9:36|In Joppa there was a disciple named Tabitha, which in Greek is Dorcas. She was always doing good works and helping the poor.|Preserves female disciple designation, both names, sustained good works, and almsgiving.
9:37|At that time she became sick and died. After washing her body, they placed it in an upstairs room.|Keeps illness, death, preparation, and location.
9:38|Because Lydda was near Joppa, the disciples heard that Peter was there and sent two men to urge him, “Please come to us without delay.”|Preserves geographic cause, two messengers, and urgency.
9:39|Peter got up and went with them. When he arrived, they took him to the upstairs room. All the widows stood beside him, weeping and showing him the tunics and other clothing Dorcas had made while she was with them.|Keeps movement, setting, widows’ grief, garments, and Dorcas’s embodied care.
9:40|Peter sent everyone out, knelt down, and prayed. Turning toward the body, he said, “Tabitha, get up.” She opened her eyes, saw Peter, and sat up.|Preserves privacy, posture, prayer, body, command, and physical sequence.
9:41|Peter gave her his hand and helped her stand. Then he called in the holy people and the widows and presented her alive.|Keeps assistance, two groups, and restored life.
9:42|This became known throughout Joppa, and many believed in the Lord.|Preserves geographic spread and result.
9:43|Peter stayed in Joppa for many days with a tanner named Simon.|Keeps duration, host, location, and occupation.
10:1|In Caesarea there was a man named Cornelius, a centurion in what was called the Italian Cohort.|Preserves location, name, rank, and military unit.
10:2|He and his whole household were devout and feared God. He gave generously to the people and prayed to God continually.|Keeps household scope, devotion, generosity, beneficiaries, and prayer.
10:3|One day at about three in the afternoon, he clearly saw in a vision an angel of God come to him and say, “Cornelius!”|Renders ninth hour naturally while retaining clarity, vision, angel, and call.
10:4|Cornelius stared at him in fear and asked, “What is it, Lord?” The angel replied, “Your prayers and gifts to the poor have risen before God as a memorial.|Names participants for clarity and preserves fear, question, prayer, alms, ascent, and memorial image.
10:5|Now send men to Joppa and bring back a man named Simon who is called Peter.|Keeps command, destination, name, and distinguishing title.
10:6|He is staying with Simon, a tanner whose house is by the sea.”|Preserves host, occupation, and location.
10:7|When the angel who spoke to him had left, Cornelius called two of his household servants and a devout soldier who was one of his attendants.|Names Cornelius for clarity and keeps two servants, soldier, devotion, and service.
10:8|After explaining everything to them, he sent them to Joppa.|Preserves full explanation, commissioning, and destination.
10:9|The next day, as they were traveling and approaching the city, Peter went up on the roof to pray at about noon.|Keeps simultaneous movement, destination, rooftop, prayer, and sixth-hour timing.
10:10|He became hungry and wanted something to eat. While the meal was being prepared, he fell into a trance|Preserves hunger, meal preparation, and altered state.
10:11|and saw heaven opened and something like a large sheet being lowered to earth by its four corners.|Keeps opened heaven, cautious simile, sheet image, descent, and four corners.
10:12|In it were all kinds of four-footed animals, reptiles of the earth, and birds of the sky.|Preserves the three creature groups and inclusive scope.
10:13|Then a voice said to him, “Get up, Peter. Kill and eat.”|Keeps direct address and two blunt commands.
10:14|But Peter replied, “Certainly not, Lord! I have never eaten anything defiled or unclean.”|Preserves emphatic refusal and paired purity terms.
10:15|The voice spoke to him a second time: “What God has made clean, you must not call defiled.”|Keeps repetition, divine action, and prohibition.
10:16|This happened three times, and immediately the object was taken back up into heaven.|Preserves exact repetition, immediacy, ascent, and destination.
10:17|While Peter was deeply puzzled about what the vision might mean, the men Cornelius had sent found Simon’s house and stood at the gate.|Keeps Peter’s uncertainty, Cornelius’s agency, search, and arrival.
10:18|They called out and asked whether Simon called Peter was staying there.|Preserves public inquiry and both names.
10:19|As Peter continued thinking about the vision, the Spirit said to him, “Look, three men are searching for you.|Keeps ongoing reflection, Spirit speech, exact number, and search.
10:20|Get up, go downstairs, and go with them without hesitation, because I have sent them.”|Preserves three commands, absence of discrimination, and Spirit agency.
10:21|Peter went down to the men and said, “I am the one you are looking for. Why have you come?”|Keeps identification and request for cause.
10:22|They replied, “Cornelius, a centurion who is righteous and fears God and is well spoken of by the whole Jewish nation, was directed by a holy angel to send for you to come to his house and hear what you have to say.”|Preserves credentials, national testimony, angelic instruction, invitation, and hearing.
10:23|So Peter invited them in and gave them lodging. The next day he got up and went with them, and some believers from Joppa accompanied him.|Keeps hospitality, next-day departure, companions, and location.
10:24|The following day he entered Caesarea. Cornelius was waiting for them and had called together his relatives and close friends.|Preserves arrival, waiting, and gathered kin and friends.
10:25|As Peter entered, Cornelius met him, fell at his feet, and bowed down before him.|Keeps meeting, posture, and reverential act.
10:26|But Peter raised him up and said, “Stand up. I too am only a human being.”|Preserves correction, touch, command, and shared humanity.
10:27|Talking with him, Peter went inside and found many people gathered.|Keeps conversation, movement, and crowd.
10:28|He told them, “You know that it is considered unlawful for a Jewish man to associate with or visit a foreigner. But God has shown me that I must not call any person defiled or unclean.|Preserves stated social boundary and God’s human-focused correction.
10:29|That is why I came without objection when I was sent for. So I ask: Why did you send for me?”|Keeps causal response, lack of resistance, and direct question.
10:30|Cornelius replied, “Four days ago at this very hour, about three in the afternoon, I was praying in my house. Suddenly a man in shining clothing stood before me|Preserves four-day interval, ninth hour, prayer, appearance, and shining clothes.
10:31|and said, ‘Cornelius, your prayer has been heard, and your gifts to the poor have been remembered before God.|Keeps named address, heard prayer, alms, and divine remembrance.
10:32|Send to Joppa and invite Simon called Peter. He is staying by the sea in the house of Simon the tanner.’|Preserves command, destination, both Simons, occupation, and location.
10:33|So I sent for you immediately, and you have been kind enough to come. Now all of us are here before God to hear everything the Lord has commanded you to tell us.”|Keeps immediacy, gratitude, gathered audience, divine presence, and comprehensive commission.
10:34|Peter began to speak: “Now I truly understand that God does not show favoritism,|Preserves solemn realization and divine impartiality.
10:35|but in every nation anyone who fears him and does what is right is acceptable to him.|Keeps universal national scope, reverence, right action, and acceptance.
10:36|This is the message God sent to the people of Israel, proclaiming the good news of peace through Jesus Christ—he is Lord of all.|Supplies a natural English frame while preserving Israel, peace, Jesus, and universal lordship.
10:37|You know what happened throughout Judea, beginning in Galilee after the baptism John proclaimed:|Keeps common knowledge, geography, sequence, and John’s baptism.
10:38|how God anointed Jesus of Nazareth with the Holy Spirit and power. He went around doing good and healing all who were oppressed by the devil, because God was with him.|Preserves anointing, origin, Spirit, power, good works, oppression, healing, and divine presence.
10:39|We are witnesses of everything he did in the land of the Jewish people and in Jerusalem. They killed him by hanging him on a tree,|Keeps apostolic witness, two locations, killing, and scriptural tree image.
10:40|but God raised him on the third day and allowed him to be seen,|Preserves contrast, divine agency, exact day, and manifestation.
10:41|not by all the people, but by witnesses God had chosen beforehand—by us, who ate and drank with him after he rose from the dead.|Keeps limited manifestation, divine choice, embodied table fellowship, and resurrection.
10:42|He commanded us to proclaim to the people and testify that he is the one appointed by God as judge of the living and the dead.|Preserves commission, testimony, divine appointment, judicial title, and complete scope.
10:43|All the prophets testify about him that everyone who believes in him receives forgiveness of sins through his name.”|Keeps prophetic consensus, inclusive invitation, faith, forgiveness, and name.
10:44|While Peter was still speaking these words, the Holy Spirit fell on everyone who was listening to the message.|Preserves interruption, “fell” image, entire audience, and hearing.
10:45|The circumcised believers who had come with Peter were astonished because the gift of the Holy Spirit had been poured out even on the Gentiles.|Keeps group identity, companionship, astonishment, gift, poured-out image, and Gentile inclusion.
10:46|For they heard them speaking in other languages and magnifying God. Then Peter said,|Preserves evidence, speech, praise, and transition.
10:47|“Can anyone withhold water and prevent these people from being baptized, since they have received the Holy Spirit just as we have?”|Keeps rhetorical barrier question, baptism, Spirit reception, and equality.
10:48|So he ordered them to be baptized in the name of Jesus Christ. Then they asked him to stay for several days.|Preserves command, baptismal name, request, and duration.
11:1|The apostles and the brothers and sisters throughout Judea heard that the Gentiles also had received the word of God.|Uses inclusive community language and preserves geography, Gentiles, reception, and message.
11:2|So when Peter went up to Jerusalem, the circumcised believers criticized him,|Keeps movement, location, group identity, and dispute.
11:3|saying, “You went into the homes of uncircumcised men and ate with them!”|Preserves accusation, boundary crossing, male hosts, and shared table.
11:4|Peter began and explained everything to them in order:|Keeps speaker, ordered account, and comprehensive scope.
11:5|“I was in the city of Joppa praying, and in a trance I saw a vision. Something like a large sheet was being lowered from heaven by its four corners, and it came down to me.|Preserves location, prayer, trance, cautious simile, heavenly descent, and four corners.
11:6|I looked closely into it and saw four-footed animals of the earth, wild animals, reptiles, and birds of the sky.|Keeps careful observation and all four creature groups.
11:7|Then I heard a voice tell me, ‘Get up, Peter. Kill and eat.’|Preserves hearing, address, and two blunt commands.
11:8|But I said, ‘Certainly not, Lord! Nothing defiled or unclean has ever entered my mouth.’|Keeps emphatic refusal, paired purity terms, and lifelong claim.
11:9|The voice answered a second time from heaven, ‘What God has made clean, you must not call defiled.’|Preserves repetition, heavenly source, divine cleansing, and prohibition.
11:10|This happened three times, and then everything was pulled back up into heaven.|Keeps exact repetition and ascent.
11:11|“At that very moment, three men sent to me from Caesarea arrived at the house where we were staying.|Preserves immediacy, exact number, commissioning city, and location.
11:12|The Spirit told me to go with them without making distinctions. These six brothers also went with me, and we entered the man’s house.|Keeps Spirit direction, non-discrimination, exact number of witnesses, and boundary crossing.
11:13|He told us how he had seen the angel standing in his house and saying, ‘Send to Joppa and bring back Simon who is called Peter.|Preserves reported vision, angel, place, command, destination, and name.
11:14|He will speak words by which you and your whole household will be saved.’|Keeps verbal means and household scope of salvation.
11:15|As I began to speak, the Holy Spirit fell on them just as on us at the beginning.|Preserves timing, “fell” image, comparison, and Pentecost reference.
11:16|Then I remembered the Lord’s words: ‘John baptized with water, but you will be baptized with the Holy Spirit.’|Keeps memory, Lord’s saying, contrast, water, and Spirit.
11:17|So if God gave them the same gift he gave us when we believed in the Lord Jesus Christ, who was I to stand in God’s way?”|Preserves equal gift, common faith, divine agency, and rhetorical humility.
11:18|When they heard this, they stopped objecting and glorified God, saying, “Then God has granted even the Gentiles repentance that leads to life.”|Keeps changed response, worship, Gentile inclusion, repentance, and life.
11:19|Now those scattered by the persecution that arose over Stephen traveled as far as Phoenicia, Cyprus, and Antioch, speaking the word only to Jewish people.|Preserves cause, three destinations, proclamation, and initial audience limitation.
11:20|But some of them, men from Cyprus and Cyrene, came to Antioch and also spoke to Greek-speaking people, proclaiming the good news about the Lord Jesus.|Retains male agents, origins, destination, pinned Greek audience term, and message.
