1:1|After Ahab’s death, Moab rebelled against Israel.|Retains the immediate political consequence.
2:14|He took the fallen cloak and struck the water. “Where is the LORD, Elijah’s God?” he asked. He too struck the water, and it divided to either side. Elisha crossed.|Preserves the difficult he-too phrase and repeated striking.
2:15|The company of prophets from Jericho saw him from a distance. “Elijah’s spirit rests on Elisha,” they said. They came to meet him and bowed to the ground before him.|Keeps their interpretation attributed to witnesses.
2:16|They said, “Your servants have fifty strong men. Please let them search for your master. Perhaps the LORD’s spirit lifted him up and dropped him on a mountain or in a valley.” “Do not send them,” he said.|Retains their uncertain explanation and proposed search.
2:17|But they pressed him until he was embarrassed, and he said, “Send them.” They sent fifty men, who searched for three days but did not find Elijah.|Keeps pressure, consent, duration and failed result.
2:18|They returned to Elisha, who was staying in Jericho. “Didn’t I tell you not to go?” he said.|Retains the corrective question.
2:19|The town’s men told Elisha, “As my lord can see, the town is well situated. But the water is bad, and the land causes loss of life.”|Preserves uncertainty about barrenness or miscarriage.
2:20|“Bring me a new bowl with salt in it,” he said. They brought it.|Keeps new vessel and salt.
2:21|He went to the spring, threw the salt into it, and said, “The LORD says: I have healed this water. No more death or loss of life will come from it.”|Retains healing and comprehensive ending of harm.
2:22|The water has remained healed to this day, just as Elisha said.|Keeps narrator’s continuing-time perspective.
2:23|From there he went up toward Bethel. As he walked up the road, young boys came out of the town and mocked him: “Go up, baldhead! Go up, baldhead!”|Keeps youth and taunt without inventing an armed threat.
2:24|He turned, looked at them, and cursed them in the LORD’s name. Two female bears came out of the woods and tore forty-two of the children.|Preserves sex, count and real harm without asserting every death.
2:25|From there he went to Mount Carmel and then returned to Samaria.|Keeps the final itinerary.
3:1|Jehoram son of Ahab became king over Israel in Samaria in the eighteenth year of Jehoshaphat king of Judah. He ruled for twelve years.|Retains this date alongside the different synchronism in 1:17.
3:2|He did evil in the LORD’s eyes, though not like his father and mother. He removed the pillar of Baal his father had made.|Keeps qualified assessment and limited reform.
3:3|But he held fast to the sins of Jeroboam son of Nebat, who led Israel into sin. He did not turn away from them.|Retains persistence and corporate influence.
3:4|Mesha king of Moab raised sheep. He supplied Israel’s king with a hundred thousand lambs and the wool of a hundred thousand rams.|Preserves both livestock quantities and wool tribute.
3:5|But after Ahab died, Moab’s king rebelled against Israel’s king.|Repeats the political opening in fuller context.
3:6|King Jehoram left Samaria at that time and mustered all Israel.|Keeps mobilization without expanding the force.
3:7|He sent word to Jehoshaphat king of Judah: “Moab’s king has rebelled against me. Will you join me in war against Moab?” “I will,” he replied. “I am as you are, my people as your people, my horses as your horses.”|Retains the pledge echoing 1 Kings 22.
3:8|“Which route shall we take?” he asked. The answer was, “Through the wilderness of Edom.”|Leaves unnamed speakers where the source does.
3:9|The kings of Israel, Judah, and Edom set out. After a roundabout journey of seven days, there was no water for the army or the animals following them.|Preserves three allies, duration and shared need.
3:10|Israel’s king cried, “Alas! The LORD has called these three kings together to hand them over to Moab!”|Keeps accusation as the king’s speech.
3:11|Jehoshaphat asked, “Is there no prophet of the LORD here through whom we can consult him?” A servant of Israel’s king answered, “Elisha son of Shaphat is here—the one who poured water over Elijah’s hands.”|Retains concrete service identifying Elisha.
3:12|Jehoshaphat said, “The LORD’s word is with him.” So Israel’s king, Jehoshaphat, and Edom’s king went down to him.|Keeps affirmation and named delegation.
3:13|Elisha said to Israel’s king, “What have you to do with me? Go to your father’s prophets and your mother’s prophets.” The king answered, “No! The LORD has called these three kings together to hand them over to Moab.”|Retains rejection and repeated desperate explanation.
3:14|Elisha said, “As the LORD of Armies lives, whom I serve, if I did not respect Jehoshaphat king of Judah, I would not so much as look at you.|Preserves oath and pointed conditional refusal.
3:15|Now bring me a musician.” As the musician played, the LORD’s hand came upon Elisha.|Keeps music’s place without inventing a mechanism.
3:16|He said, “The LORD says: Make this valley full of ditches.|Renders the infinitive as instruction; alternative noted later.
3:17|For the LORD says: You will see neither wind nor rain, yet this valley will fill with water. You, your cattle, and your other animals will drink.|Preserves unseen weather and separate beneficiaries.
3:18|This is a small thing in the LORD’s eyes. He will also hand Moab over to you.|Keeps the comparative promise.
3:19|You will strike every fortified town and every choice town. You will fell every good tree, stop up every spring, and ruin every good field with stones.”|Preserves environmental devastation and repetition.
3:20|In the morning, at the time of the offering, water came from the direction of Edom and filled the land.|Keeps timing and direction without invented rainfall.
3:21|All Moab heard that the kings had come to fight them. Every man old enough to strap on a belt and all who were older were called out, and they took their stand at the border.|Retains military-age idiom without an invented numerical age.
3:22|They rose early. The sun shone on the water, and from across the way the Moabites saw it red as blood.|Keeps perception distinct from actual blood.
3:23|“It is blood!” they said. “The kings have destroyed each other! Now, Moab, to the plunder!”|Attributes mistaken inference to the Moabites.
3:24|But when they reached Israel’s camp, the Israelites rose and struck them. Moab fled, and Israel continued striking into Moab.|Follows read striking form and pursuit.
3:25|They demolished the towns. Each man threw stones onto every good field until it was covered. They stopped every spring and felled every good tree. Only Kir-hareseth’s stones were left, and slingers surrounded and attacked it.|Retains cumulative destruction and final stronghold.
3:26|When Moab’s king saw the battle overpowering him, he took seven hundred swordsmen to break through toward Edom’s king. They could not.|Keeps attempted breakthrough and failed result.
3:27|Then he took his firstborn son, who was to succeed him, and offered him as a burnt offering on the wall. Great wrath came against Israel. They withdrew from him and returned to their own land.|Preserves child sacrifice and leaves the wrath’s source unnamed.
4:1|The wife of a man from the company of prophets cried out to Elisha, “Your servant, my husband, has died. You know he feared the LORD. Now his creditor is coming to take my two children as slaves.”|Preserves bereavement and threatened debt enslavement.
4:2|Elisha asked, “What can I do for you? Tell me what you have at home.” “Your servant has nothing at home but a flask of oil,” she answered.|Keeps the woman’s limited resources and deferential voice.
4:3|He said, “Go outside and borrow empty jars from all your neighbors. Gather plenty.|Renders the negative injunction naturally.
4:4|Then go inside and shut the door behind you and your sons. Pour oil into all those jars, setting each full one aside.”|Preserves privacy and sequence.
4:5|She left him and shut the door behind herself and her sons. They brought her the jars, and she kept pouring.|Keeps the sons’ participation and continuing action.
4:6|When the jars were full, she said to her son, “Bring another jar.” “There are no more,” he answered. Then the oil stopped.|Retains the stopping point without an invented cause.
4:7|She went and told the man of God. He said, “Go, sell the oil, and pay your debt. You and your sons can live on what remains.”|Keeps both debt repayment and continuing provision.
4:8|One day Elisha passed through Shunem. A prominent woman there urged him to eat with her. After that, whenever he passed through, he stopped there for a meal.|Preserves her standing and initiative.
4:9|She told her husband, “I know this man who regularly passes our way is a holy man of God.|Keeps recognition attributed to the woman.
4:10|Let us make a small walled upper room and put a bed, table, chair, and lampstand there for him. When he visits, he can stay there.”|Retains modest room and all furnishings.
4:11|One day he arrived, went up to the room, and lay down there.|Keeps the hospitality’s use concrete.
4:12|He told his servant Gehazi, “Call the Shunammite woman.” Gehazi called her, and she stood before him.|Introduces Gehazi and preserves the pronoun’s openness.
4:13|Elisha told him, “Say to her, ‘You have gone to all this trouble for us. What can be done for you? Shall we speak to the king or the army commander on your behalf?’” She answered, “I live among my own people.”|Keeps mediated offer and her understated refusal.
4:14|“Then what can be done for her?” he asked. Gehazi answered, “She has no son, and her husband is old.”|Does not turn Gehazi’s observation into her request.
4:15|Elisha said, “Call her.” He called her, and she stood in the doorway.|Keeps the renewed summons and threshold.
4:16|“At this time next year,” he said, “you will hold a son in your arms.” She answered, “No, my lord, man of God! Do not deceive your servant.”|Retains promised embrace and resistance to false hope.
4:17|The woman conceived and bore a son at that time the next year, just as Elisha had told her.|Keeps the promise’s fulfillment.
4:18|The child grew. One day he went out to his father among the harvesters.|Sets the later crisis in the field.
4:19|“My head! My head!” he cried to his father. His father told a servant, “Carry him to his mother.”|Retains repeated cry without diagnosing illness.
4:20|The servant carried him to his mother. He sat on her knees until noon, then died.|Preserves bodily closeness and explicit death.
4:21|She went upstairs and laid him on the man of God’s bed, shut the door, and went out.|Keeps her deliberate actions without invented feelings.
4:22|She called her husband: “Please send me a servant and a donkey so I can hurry to the man of God and return.”|Clarifies the practical request.
4:23|“Why go to him today?” he asked. “It is neither new moon nor Sabbath.” “All is well,” she said.|Keeps her brief shalom reply without explaining it away.
4:24|She saddled the donkey and told her servant, “Drive on. Do not slow down for me unless I tell you.”|Preserves her urgency and direction.
4:25|She traveled to the man of God at Mount Carmel. When he saw her in the distance, he told Gehazi, “There is the Shunammite woman.|Keeps recognition and destination.
4:26|Run to meet her. Ask, ‘Is all well with you? With your husband? With the child?’” She answered, “All is well.”|Retains three inquiries and repeated reserved answer.
4:27|When she reached the man of God on the mountain, she grasped his feet. Gehazi came to push her away, but the man of God said, “Leave her alone. She is in bitter distress, and the LORD has hidden it from me. He has not told me.”|Preserves her grief and the prophet’s admitted ignorance.
4:28|She said, “Did I ask my lord for a son? Didn’t I say, ‘Do not mislead me’?”|Keeps her accusation rather than moralizing grief.
4:29|Elisha told Gehazi, “Tuck up your clothes, take my staff, and go. If you meet anyone, do not greet them; if someone greets you, do not answer. Lay my staff on the boy’s face.”|Preserves all urgent instructions.
4:30|But the boy’s mother said, “As the LORD lives, and as you live, I will not leave you.” So Elisha got up and followed her.|Retains the oath echoing Elisha’s earlier loyalty.
4:31|Gehazi went ahead and laid the staff on the boy’s face. There was no sound or response. He went back to meet Elisha and said, “The boy has not awakened.”|Does not conceal failure of the first intervention.
4:32|Elisha entered the house. The boy was dead, lying on his bed.|Preserves the narrator’s explicit confirmation.
4:33|He went inside, shut the door on the two of them, and prayed to the LORD.|Keeps privacy and prayer.
4:34|He climbed onto the bed and lay over the child, mouth to mouth, eyes to eyes, hands to hands. As he stretched over him, the child’s body grew warm.|Retains bodily sequence without modern medical explanation.
4:35|Elisha got up and walked back and forth in the house, then climbed up and stretched over him again. The boy sneezed seven times and opened his eyes.|Preserves repeated effort and seven sneezes.
4:36|He called Gehazi: “Call the Shunammite woman.” Gehazi called her, and she came. “Pick up your son,” Elisha said.|Keeps the plain final invitation.
4:37|She fell at his feet and bowed to the ground. Then she picked up her son and left.|Retains gratitude through actions rather than added speech.
4:38|Elisha returned to Gilgal during a famine. The company of prophets sat before him. He told his servant, “Put the large pot on and cook stew for the prophets.”|Keeps communal hunger and practical response.
4:39|One went into the fields to gather greens. He found a wild vine and filled his garment with wild gourds. He came back and sliced them into the stew, not knowing what they were.|Preserves the plant uncertainty and mistake.
4:40|They served the men, but as they tasted the stew they cried, “Death in the pot, man of God!” They could not eat it.|Retains the vivid warning.
4:41|“Bring flour,” Elisha said. He threw it into the pot and said, “Serve the people so they can eat.” There was nothing harmful in the pot.|Keeps remedy and outcome without explaining chemistry.
4:42|A man came from Baal-shalishah with firstfruits bread for the man of God: twenty barley loaves and fresh grain in his sack. Elisha said, “Give it to the people to eat.”|Preserves origin, offering and quantities.
4:43|His attendant asked, “How can I set this before a hundred men?” Elisha answered, “Give it to the people to eat. The LORD says, ‘They will eat and have some left.’”|Retains objection and repeated command.
4:44|He set it before them. They ate and had some left, according to the LORD’s word.|Preserves fulfillment’s shared wording.
5:1|Naaman, the commander of Aram’s army, was a great man in his master’s eyes and highly honored, because through him the LORD had given Aram victory. He was a mighty warrior, but he had a serious skin disease.|Preserves divine victory for Aram and avoids modern diagnosis.
5:2|Aramean raiders had captured a young girl from Israel. She served Naaman’s wife.|Keeps captivity and girl’s age explicit.
5:3|She told her mistress, “If only my master could see the prophet in Samaria! He would cure him of his skin disease.”|Preserves her initiative without inventing motives.
5:4|Naaman went and told his master what the girl from Israel had said.|Clarifies the report’s royal recipient.
5:5|Aram’s king said, “Go. I will send a letter to Israel’s king.” Naaman left, taking ten talents of silver, six thousand gold shekels, and ten changes of clothes.|Preserves amounts with implicit shekel unit.
5:6|He brought Israel’s king the letter: “With this letter I am sending my servant Naaman to you, so you may cure his skin disease.”|Retains the demand directed at the king.
5:7|When Israel’s king read it, he tore his clothes. “Am I God, able to kill and give life?” he said. “This man sends me someone to cure of skin disease! You can see he is looking for a quarrel with me.”|Keeps fearful royal inference attributed to him.
5:8|Elisha the man of God heard that Israel’s king had torn his clothes. He sent word: “Why tear your clothes? Let him come to me, and he will know there is a prophet in Israel.”|Keeps recognition as the promised result.
5:9|Naaman arrived with his horses and chariot and stopped at Elisha’s door.|Preserves status display without editorial explanation.
5:10|Elisha sent a messenger to say, “Go and wash seven times in the Jordan. Your flesh will be restored, and you will be clean.”|Retains mediated instruction and cleansing language.
5:11|Naaman went away angry. “I thought he would surely come out to me,” he said, “stand and call on the name of the LORD his God, wave his hand over the place, and cure the diseased skin.|Preserves his expectation as quoted speech.
5:12|Aren’t Amana and Pharpar, the rivers of Damascus, better than all Israel’s waters? Couldn’t I wash in them and be clean?” He turned away in a rage.|Follows read Amana and retains river comparison.
5:13|His servants came near and said, “My father, if the prophet had asked you to do something great, wouldn’t you have done it? How much more when he tells you, ‘Wash and be clean’?”|Keeps respectful address and lesser-demand argument.
5:14|So he went down and dipped himself in the Jordan seven times, as the man of God had said. His flesh became like a young boy’s, and he was clean.|Preserves seven immersions and child comparison.
5:15|He returned to the man of God with his whole company and stood before him. “Now I know there is no God anywhere on earth except in Israel,” he said. “Please accept a gift from your servant.”|Keeps confession and offered blessing-gift.
5:16|Elisha answered, “As the LORD lives, whom I serve, I will accept nothing.” Though Naaman urged him, he refused.|Retains oath and resistance to pressure.
5:17|Naaman said, “If not, please let your servant take two mule-loads of earth. From now on your servant will offer neither burnt offering nor sacrifice to other gods, only to the LORD.|Preserves earth request without supplying its purpose.
5:18|But may the LORD forgive your servant in this: when my master enters Rimmon’s temple to bow down, he leans on my arm, and I bow there too. When I bow in Rimmon’s temple, may the LORD forgive your servant in this.”|Keeps repeated troubling request without doctrinal resolution.
5:19|“Go in peace,” Elisha said. After Naaman had traveled a short distance,|Keeps restrained reply and following transition.
5:20|Gehazi, the servant of Elisha the man of God, said to himself, “My master has let this Aramean Naaman go without accepting what he brought. As the LORD lives, I will run after him and get something.”|Preserves the oath used for self-interest.
5:21|Gehazi ran after Naaman. When Naaman saw him running behind him, he got down from his chariot to meet him. “Is all well?” he asked.|Keeps Naaman’s concerned response.
5:22|“All is well,” Gehazi said. “My master sent me to say, ‘Two young men from the company of prophets have just come from Ephraim’s hills. Please give them a talent of silver and two changes of clothes.’”|Preserves fabricated message as Gehazi’s speech.
5:23|Naaman said, “Please take two talents.” He urged him, tied two talents of silver into two bags, added two changes of clothes, and gave them to two servants to carry ahead of Gehazi.|Keeps doubled gift and carriers.
5:24|When Gehazi reached the hill, he took the gifts from them and put them in the house. He sent the men away, and they left.|Preserves concealment through actions alone.
5:25|He went in and stood before his master. Elisha asked, “Where have you been, Gehazi?” “Your servant has not gone anywhere,” he answered.|Keeps direct inquiry and denial.
5:26|Elisha said, “Didn’t my heart go with you when the man stepped down from his chariot to meet you? Is this the time to acquire silver and clothes, olive groves and vineyards, sheep and cattle, male and female slaves?|Preserves heart image and expanded acquisitive list.
5:27|Naaman’s skin disease will cling to you and your descendants forever.” Gehazi left him diseased, white as snow.|Keeps inherited judgment and snow comparison.
6:1|The company of prophets told Elisha, “The place where we meet with you is too small for us.|Preserves shared space without deciding residence versus meeting.
6:2|Let us go to the Jordan. Each of us can cut a beam, and we can make a place to stay there.” “Go,” he said.|Retains cooperative proposal and permission.
6:3|One asked, “Please come with your servants.” “I will,” Elisha answered.|Keeps the invitation and acceptance.
6:4|He went with them. They reached the Jordan and began cutting trees.|Retains setting and work.
6:5|As one of them cut a beam, the iron axhead fell into the water. “Oh, my lord!” he cried. “It was borrowed!”|Preserves the practical cause of distress.
6:6|The man of God asked, “Where did it fall?” When he showed him, Elisha cut a stick and threw it there, and made the iron float.|Keeps the reported extraordinary action plainly.
6:7|“Lift it out,” he said. The man reached out and took it.|Preserves the man’s participation.
6:8|Aram’s king was at war with Israel. He consulted his servants: “I will camp at such and such a place.”|Keeps unspecified location rather than inventing geography.
6:9|The man of God sent word to Israel’s king: “Be careful not to pass that place. The Arameans are coming down there.”|Preserves warning and threat.
6:10|The king of Israel sent men to the place the man of God had warned him about. He was on his guard there, not just once or twice.|Supplies the implied messengers and retains the king’s personal caution and repeated warnings.
6:11|This greatly troubled Aram’s king. He called his servants and asked, “Will no one tell me which of us is on Israel’s king’s side?”|Retains suspicion as a royal question.
6:12|“None of us, my lord the king,” a servant answered. “Elisha, the prophet in Israel, tells Israel’s king even the words you speak in your bedroom.”|Preserves claim of intimate knowledge.
6:13|“Go and find out where he is,” the king said, “so I can send men to seize him.” He was told, “He is in Dothan.”|Keeps sequence from discovery to intended seizure.
6:14|He sent horses, chariots, and a large force there. They arrived at night and surrounded the town.|Preserves timing and encirclement.
6:15|The man of God’s attendant rose early and went outside. An army with horses and chariots surrounded the town. “Oh, my lord, what shall we do?” he asked.|Keeps fearful perception through the attendant.
6:16|“Do not be afraid,” Elisha answered. “Those with us outnumber those with them.”|Preserves comparison without naming unseen beings prematurely.
6:17|Elisha prayed, “LORD, please open his eyes so he can see.” The LORD opened the young man’s eyes. He saw the hills full of horses and chariots of fire around Elisha.|Keeps opened sight and fiery protection.
6:18|As the Arameans came down toward him, Elisha prayed to the LORD, “Please strike these people with blindness.” He struck them with blindness, as Elisha asked.|Preserves divine action and prayer.
6:19|Elisha told them, “This is not the road or the town. Follow me, and I will take you to the man you are looking for.” He led them to Samaria.|Does not explain away misleading speech.
6:20|When they entered Samaria, Elisha said, “LORD, open their eyes so they can see.” The LORD opened their eyes, and they saw they were inside Samaria.|Keeps the repeated opening of eyes.
6:21|When Israel’s king saw them, he asked Elisha, “Shall I strike them down, my father? Shall I?”|Retains repeated eagerness and filial address.
6:22|“Do not strike them,” he answered. “Would you strike down those you had captured with your sword and bow? Set bread and water before them. Let them eat and drink, then return to their master.”|Keeps rhetorical question and concrete mercy.
6:23|The king prepared a great feast. They ate and drank, and he sent them back to their master. Aramean raiding bands no longer came into Israel’s land.|Preserves feast and stated cessation of raids.
6:24|Afterward, Ben-hadad king of Aram gathered his whole army and besieged Samaria.|Retains renewed war beside the preceding peace.
6:25|Famine grew severe in Samaria under the siege. A donkey’s head sold for eighty silver shekels, and a quarter-kab of dove dung for five.|Keeps appalling prices and disputed dung term.
6:26|As Israel’s king walked along the wall, a woman cried to him, “Help me, my lord the king!”|Preserves appeal from a suffering subject.
6:27|He answered, “If the LORD does not help you, where can I find help for you? From the threshing floor? From the winepress?”|Uses conditional reading while preserving alternative for notes.
6:28|Then he asked, “What is wrong?” She said, “This woman told me, ‘Give up your son so we can eat him today. We will eat mine tomorrow.’|Keeps the horror in the woman’s testimony.
6:29|We boiled my son and ate him. The next day I said, ‘Give up your son so we can eat him.’ But she hid her son.”|Preserves cannibalism explicitly without added spectacle.
6:30|When the king heard her words, he tore his clothes. As he passed along the wall, the people saw sackcloth beneath them, against his skin.|Keeps public grief and concealed sackcloth.
6:31|He said, “May God punish me, and more besides, if Elisha son of Shaphat’s head stays on his shoulders today!”|Retains oath threatening beheading.
6:32|Elisha was sitting at home with the elders. The king sent a man ahead of him. Before the messenger arrived, Elisha told the elders, “Do you see how this murderer’s son has sent someone to take off my head? When the messenger comes, shut the door and hold it against him. Isn’t the sound of his master’s footsteps behind him?”|Keeps accusation, defensive instruction and approaching master.
6:33|While he was still speaking, the messenger came down to him. Then came the words, “This disaster is from the LORD. Why should I wait for the LORD any longer?”|Leaves the final speaker uncertain as in the source.
7:1|Elisha said, “Hear the LORD’s word! This is what the LORD says: Tomorrow about this time, a seah of fine flour will sell for a shekel, and two seahs of barley for a shekel, at Samaria’s gate.”|Retain both measures and the precise time and market location.
7:2|The officer on whose arm the king leaned answered the man of God, “Even if the LORD opened windows in the sky, could this happen?” Elisha said, “You will see it with your own eyes, but you will not eat any of it.”|Keep the sky-window image and the seeing/eating contrast.
7:3|Four men with a skin disease were at the entrance to the gate. They said to one another, “Why sit here until we die?|Keep the excluded men and their urgent question without diagnosing Hansen’s disease.
7:4|If we decide to go into the city, the famine is there, and we will die there. If we stay here, we will die too. So let’s go over to the Aramean camp. If they let us live, we will live; if they kill us, we will die.”|Preserve the repeated alternatives and their limited hope.
7:5|At dusk they got up to go to the Aramean camp. When they reached its edge, no one was there.|Retain dusk and the discovery at the camp’s edge.
7:6|The Lord had made the Aramean army hear the sound of chariots, horses, and a great army. They said to one another, “Look! Israel’s king has hired the Hittite kings and the kings of Egypt to attack us!”|Distinguish Adonai and retain the plural foreign kings in the soldiers’ inference.
7:7|So they fled at dusk, abandoning their tents, horses, and donkeys. They left the camp just as it was and ran for their lives.|Match dusk to verse 5 and preserve the abandoned animals.
7:8|When the men with the skin disease reached the edge of the camp, they entered a tent and ate and drank. They carried off silver, gold, and clothing and went and hid them. Then they returned, entered another tent, carried things off, and hid those too.|Retain the two trips and concealment before the change of heart.
7:9|Then they said to one another, “What we’re doing isn’t right. This is a day of good news, and we’re keeping quiet. If we wait until morning, we will be held guilty. Come on—let’s go and tell the royal household.”|Keep the moral recognition as the men’s speech rather than a narrator’s sermon.
7:10|They went and called to the city’s gatekeepers: “We went into the Aramean camp. There wasn’t a person there, not even a human voice—only tethered horses and donkeys, and the tents left as they were.”|Preserve both absence of people and absence of voices.
7:11|The gatekeepers called out the news, and it was reported inside the palace.|Make the relay of information clear without adding a named messenger.
7:12|The king got up in the night and said to his servants, “Let me tell you what the Arameans have done to us. They know we’re hungry, so they’ve left the camp to hide in the fields. They’re thinking, ‘When they come out of the city, we’ll take them alive and get into the city.’”|Keep the suspected ambush explicitly the king’s interpretation.
7:13|One of his servants answered, “Let some men take five of the horses still left in the city. Their fate will be like that of all the Israelites left here—like that of all the Israelites who have already perished. Let’s send them and see.”|Retain the difficult repeated comparison with surviving and perished Israel.
7:14|They took two chariot teams, and the king sent them after the Aramean army, saying, “Go and see.”|Keep two chariot teams distinct from the preceding proposal of five horses.
7:15|They followed them as far as the Jordan. The whole road was strewn with clothing and equipment the Arameans had thrown away in their haste. The messengers returned and told the king.|Retain the Jordan limit and physical evidence of hurried flight.
7:16|Then the people went out and plundered the Aramean camp. A seah of fine flour sold for a shekel, and two seahs of barley for a shekel, just as the LORD had said.|Repeat the promised prices exactly to make fulfillment audible.
7:17|The king had put the officer on whose arm he leaned in charge of the gate. The people trampled him there, and he died, just as the man of God had said when the king came down to him.|Retain the officer’s identity, assignment, and manner of death.
7:18|For when the man of God told the king, “Tomorrow about this time, two seahs of barley will sell for a shekel and a seah of fine flour for a shekel at Samaria’s gate,”|Preserve the full repeated prediction and its reversed order of commodities.
7:19|the officer answered the man of God, “Even if the LORD opened windows in the sky, could this happen?” And he answered, “You will see it with your own eyes, but you will not eat any of it.”|Repeat the objection and answer rather than collapsing the retelling.
7:20|That is what happened to him: the people trampled him at the gate, and he died.|Keep the final repetition of the officer’s death.
8:1|Elisha had said to the woman whose son he had restored to life, “Get up and go away with your household. Stay wherever you can, because the LORD has called for a famine, and it will come on the land for seven years.”|Mark the earlier instruction and retain divine agency and seven years.
8:2|The woman did as the man of God said. She went away with her household and stayed in the land of the Philistines for seven years.|Repeat the duration and identify the place of temporary residence.
8:3|At the end of seven years she returned from the land of the Philistines and went to appeal to the king for her house and field.|Keep house and field as the concrete objects of her appeal.
