6:1|David again gathered Israel’s chosen men, thirty thousand of them.|Retains renewed gathering and the full troop count.
6:18|After finishing the burnt offerings and well-being offerings, David blessed the people in the name of the LORD of Armies.|Preserves the full divine title and sequence.
6:19|He gave everyone in the entire crowd of Israel, men and women alike, a loaf of bread, a date cake, and a raisin cake. Then everyone went home.|Retains both sexes and three gifts; date cake is uncertain.
6:20|David returned to bless his household. Saul’s daughter Michal came out to meet him and said, “How Israel’s king has honored himself today! Exposing himself to his servants’ slave women as any shameless man might!”|Keeps sarcastic honor, exposure, and the women’s subordinate status.
6:21|David answered Michal, “It was before the LORD, who chose me over your father and his whole house and appointed me ruler of the LORD’s people Israel. I will celebrate before the LORD.|Retains the sharp comparison with Saul and repeated divine audience.
6:22|I will make myself still more contemptible than this, and lowly in my own eyes. But among the slave women you mentioned, I will be honored.”|Preserves my own eyes and the contrast of contempt with honor.
6:23|Saul’s daughter Michal had no child until the day she died.|Does not add infertility, estrangement, or divine punishment as its cause.
7:1|When the king was settled in his house and the LORD had given him rest from all his enemies around him,|Keeps the setting and rest motif across the verse boundary.
7:2|he said to the prophet Nathan, “Look, I live in a cedar house, but the ark of God stays inside tent curtains.”|Retains the contrast between royal house and movable curtains.
7:3|Nathan told the king, “Go ahead and do what is in your heart, for the LORD is with you.”|Leaves this initial advice with Nathan, before the divine response.
7:4|But that night the word of the LORD came to Nathan:|Makes the turn from advice to revelation audible.
7:5|“Go and tell my servant David, ‘This is what the LORD says: Are you the one to build a house for me to live in?|Preserves the rhetorical question and servant designation.
7:6|I have not lived in a house from the day I brought Israel out of Egypt until now. I have moved about in a tent, in a dwelling-place.|Keeps both movable dwelling terms without implying two buildings.
7:7|Wherever I moved among all Israel, did I ever ask any of Israel’s tribes, whom I commanded to shepherd my people Israel, “Why have you not built me a cedar house?”’|Retains pinned tribes rather than substituting judges.
7:8|“Now tell my servant David, ‘This is what the LORD of Armies says: I took you from the pasture, from following the flock, to be ruler over my people Israel.|Preserves the movement from shepherding to ruling.
7:9|I have been with you wherever you went and have cut off all your enemies before you. I will make your name great, like the names of the great ones of the earth.|Distinguishes recalled protection from the promised great name.
7:10|I will provide a place for my people Israel and plant them there. They will live in their own place, disturbed no more. Violent people will no longer oppress them as they did before,|Retains planting, settled place, and actual oppression.
7:11|ever since I appointed judges over my people Israel. I will give you rest from all your enemies. And the LORD declares to you that the LORD will make a house for you.|Keeps the reversal from David building to receiving a house.
7:12|When your days are complete and you lie down with your ancestors, I will raise up your offspring after you, one born from your own body, and establish his kingdom.|Preserves death image, bodily descent, and singular successor.
7:13|He will build a house for my name, and I will establish the throne of his kingdom forever.|Keeps house, name, throne, and perpetual promise distinct.
7:14|I will be his father, and he will be my son. When he does wrong, I will correct him with a human rod and with blows from human hands.|Retains familial relation and bodily discipline without spiritualizing blows.
7:15|But my steadfast love will not leave him as I took it away from Saul, whom I removed from before you.|Preserves the contrast with Saul rather than an unconditional moral approval.
7:16|Your house and your kingdom will stand firm forever before you; your throne will be established forever.’”|Retains pinned before you and doubled forever.
7:17|Nathan told David all these words and the whole vision.|Keeps comprehensive transmission and vision terminology.
7:18|Then King David went in and sat before the LORD. He said, “Who am I, Lord GOD, and what is my house, that you have brought me this far?|Preserves sitting, divine address, and the house question.
7:19|Even this was a small thing in your eyes, Lord GOD. You have spoken about your servant’s house far into the future. Is this the way of humankind, Lord GOD?|Treats the difficult instruction-of-humanity clause as a question; note alternatives.
7:20|What more can David say to you? You know your servant, Lord GOD.|Retains third-person self-reference and intimate knowledge.
7:21|For the sake of your word and according to your own heart, you have done all this greatness and made it known to your servant.|Keeps word and heart as the stated grounds.
7:22|How great you are, Lord GOD! No one is like you; there is no God besides you, as all we have heard with our own ears confirms.|Preserves the communal hearing behind David’s praise.
7:23|Who is like your people Israel, the one nation on earth whom God went to redeem as his people and make a name for himself? You did great things for them, awesome things for your land, before your people whom you redeemed for yourself from Egypt—from nations and their gods.|Unfolds difficult pronoun shifts; retains the awkward final nations-and-gods clause.
7:24|You established your people Israel as your own people forever, and you, LORD, became their God.|Retains the reciprocal people-and-God formulation.
7:25|Now, LORD God, establish forever the word you have spoken about your servant and his house. Do as you have said.|Keeps petition grounded in the spoken word.
7:26|May your name be great forever, as people say, ‘The LORD of Armies is God over Israel.’ And may the house of your servant David stand firm before you.|Connects divine name and the servant’s continuing house.
7:27|LORD of Armies, God of Israel, you have revealed this to your servant: ‘I will build you a house.’ That is why your servant has found the courage to pray this prayer to you.|Unfolds uncovering the ear and finding the heart as disclosure and courage.
7:28|Now, Lord GOD, you are God, and your words are true. You have promised this good thing to your servant.|Preserves truth of words and the promised good.
7:29|So please bless your servant’s house, that it may remain before you forever. You, Lord GOD, have spoken, and with your blessing your servant’s house will be blessed forever.”|Keeps the repeated house, blessing, and forever ending.
8:1|After this David defeated the Philistines and brought them under his rule. He took Metheg-ammah out of their hands.|Retains uncertain named object or place rather than identifying it as Gath.
8:2|He also defeated Moab. He made the people lie on the ground and measured them with a cord: two cord-lengths for death and one full cord-length for life. The Moabites became David’s subjects and brought tribute.|Preserves the killing selection and unequal measures without euphemism.
8:3|David defeated Hadadezer son of Rehob, king of Zobah, as he went to reestablish his power at the Euphrates River.|Follows read Euphrates; leaves the marching subject open.
8:4|David captured seventeen hundred horsemen and twenty thousand foot soldiers. He hamstrung the chariot horses, keeping only enough for a hundred chariots.|Retains pinned seventeen hundred and animal harm; no parallel-text harmonization.
8:5|When the Arameans of Damascus came to help King Hadadezer of Zobah, David struck down twenty-two thousand of them.|Keeps the reinforcement’s origin and exact deaths.
8:6|David stationed garrisons in Aram of Damascus, and the Arameans became his subjects and brought tribute. The LORD gave David victory wherever he went.|Retains garrisons, subjection, tribute, and victory refrain.
8:7|David took the gold shields carried by Hadadezer’s servants and brought them to Jerusalem.|Preserves the named metal and destination.
8:8|From Betah and Berothai, Hadadezer’s towns, King David took a vast quantity of bronze.|Retains both pinned town names and bronze.
8:9|When King Toi of Hamath heard that David had defeated Hadadezer’s whole army,|Leaves the sentence open for the resulting embassy.
8:10|he sent his son Joram to greet King David and congratulate him on fighting and defeating Hadadezer. Hadadezer had been at war with Toi. Joram brought articles of silver, gold, and bronze.|Clarifies the diplomatic motive while preserving all three metals.
8:11|King David dedicated these to the LORD, along with the silver and gold he had dedicated from all the nations he subdued:|Keeps dedication distinct from conquest and carries the list forward.
8:12|Aram, Moab, Ammon, the Philistines, and Amalek, as well as the plunder of Hadadezer son of Rehob, king of Zobah.|Retains Aram and all listed peoples without substitution.
8:13|David made a name for himself when he returned from striking down eighteen thousand Arameans in the Valley of Salt.|Retains pinned Aram despite the following Edom context.
8:14|He placed garrisons in Edom—throughout Edom—and all the Edomites became David’s subjects. The LORD gave David victory wherever he went.|Preserves repeated garrisons and the identical victory refrain.
8:15|David ruled over all Israel, administering justice and righteousness for all his people.|Retains the paired governing terms and universal scope.
8:16|Joab son of Zeruiah commanded the army. Jehoshaphat son of Ahilud was the recorder.|Keeps the two offices and patronymics distinct.
8:17|Zadok son of Ahitub and Ahimelech son of Abiathar were priests. Seraiah was the scribe.|Retains Ahimelech son of Abiathar without reversing names.
8:18|Benaiah son of Jehoiada was over the Cherethites and Pelethites, and David’s sons were priests.|Preserves priests for David’s sons rather than harmonizing to officials.
9:1|David asked, “Is anyone left from Saul’s house? I want to show him steadfast love for Jonathan’s sake.”|Connects the question with Jonathan and covenant loyalty.
9:2|Saul’s house had a servant named Ziba. They summoned him to David, and the king asked, “Are you Ziba?” “At your service,” he replied.|Makes the servant’s deferential identification natural.
9:3|The king asked, “Is there no one left from Saul’s house to whom I can show God’s steadfast love?” Ziba answered, “Jonathan still has a son. His feet are disabled.”|Preserves divine kindness and the concrete disability.
9:4|“Where is he?” the king asked. Ziba replied, “He is at the house of Machir son of Ammiel in Lo-debar.”|Retains host, father, and location.
9:5|King David sent for him and had him brought from Machir son of Ammiel’s house in Lo-debar.|Keeps the repeated location in the enacted summons.
9:6|Mephibosheth, the son of Jonathan and grandson of Saul, came to David and fell facedown in homage. “Mephibosheth!” David said. “Here is your servant,” he answered.|Clarifies the two-generation relationship and change of speaker.
9:7|“Do not be afraid,” David told him. “I will certainly show you steadfast love for your father Jonathan’s sake. I will restore all your grandfather Saul’s land to you, and you will always eat at my table.”|Unfolds ancestor as grandfather while preserving land and table promises.
9:8|Mephibosheth bowed and said, “What is your servant, that you should notice a dead dog like me?”|Retains the degrading self-image as his own speech.
9:9|The king called Saul’s servant Ziba and said, “I have given your master’s grandson everything that belonged to Saul and his whole household.|Clarifies grandson and retains the entire estate.
9:10|You, your sons, and your servants will work the land for him and bring in its produce, so your master’s grandson has food to eat. But Mephibosheth himself will always eat at my table.” Ziba had fifteen sons and twenty servants.|Keeps both provision arrangements and both household counts.
9:11|Ziba told the king, “Your servant will do everything my lord the king commands.” David’s promise was, “Mephibosheth will eat at my table, like one of the king’s sons.”|Retains pinned my table by marking a return to David’s promise; the supplied speaker transition is explicit in the note.
9:12|Mephibosheth had a young son named Mica. Everyone in Ziba’s household served Mephibosheth.|Keeps the surviving child and household service.
9:13|Mephibosheth lived in Jerusalem, because he always ate at the king’s table. He was lame in both feet.|Retains the table refrain and concluding physical description.
10:1|After this, the king of Ammon died, and his son Hanun became king in his place.|Keeps the succession as the diplomatic setting.
10:2|David said, “I will show steadfast love to Hanun son of Nahash, as his father showed it to me.” He sent servants to console Hanun over his father’s death. When David’s servants reached Ammon,|Preserves reciprocal loyalty and the embassy’s purpose.
10:3|the Ammonite leaders told their lord Hanun, “Do you think David sent these consolers to honor your father? Has he not sent his servants to examine the city, spy it out, and overthrow it?”|Keeps the hostile interpretation in the leaders’ speech.
10:4|Hanun seized David’s servants, shaved off half of each man’s beard, cut their clothes halfway up to their buttocks, and sent them away.|Retains both humiliating bodily actions.
10:5|When David was told, he sent someone to meet them, for the men were deeply ashamed. The king said, “Stay in Jericho until your beards grow back, then return.”|Connects their shame with protective delay.
10:6|The Ammonites realized they had become a stench to David. They hired twenty thousand Aramean foot soldiers from Beth-rehob and Zobah, the king of Maacah with a thousand men, and twelve thousand men from Tob.|Retains the image and all three troop counts.
10:7|David heard and sent Joab with the whole army of warriors.|Preserves Joab’s commission and the army’s description.
10:8|The Ammonites formed their battle line at the gate entrance. The Arameans from Zobah and Rehob and the men of Tob and Maacah stood separately in the open country.|Clarifies the two positions surrounding Joab.
10:9|Joab saw that he faced battle both ahead and behind. He chose some of Israel’s best men and deployed them against the Arameans.|Keeps the encirclement and selective deployment.
10:10|He placed the rest under his brother Abishai, who deployed them against the Ammonites.|Maintains the distinct command and opponent.
10:11|Joab said, “If the Arameans are too strong for me, you must come to my rescue. If the Ammonites are too strong for you, I will rescue you.|Preserves the reciprocal conditional agreement.
10:12|Be strong! Let us show courage for our people and our God’s towns. May the LORD do what seems good to him.”|Keeps courage alongside uncertainty about the outcome.
10:13|Joab and his men advanced to fight the Arameans, and the Arameans fled before him.|Retains advance and resulting flight.
10:14|When the Ammonites saw the Arameans flee, they too fled before Abishai into the city. Joab then withdrew from Ammon and returned to Jerusalem.|Preserves both retreats and Joab’s withdrawal.
10:15|The Arameans saw that Israel had defeated them, so they regrouped.|Makes the renewed gathering’s cause clear.
10:16|Hadadezer brought out the Arameans from beyond the River. They came to Helam, led by Shobach, Hadadezer’s army commander.|Retains River, Helam, and commander identity.
10:17|David was told. He gathered all Israel, crossed the Jordan, and came to Helam. The Arameans formed their lines against David and fought him.|Keeps the crossing and renewed confrontation.
10:18|The Arameans fled before Israel. David killed seven hundred chariot fighters and forty thousand horsemen. He also struck Shobach, their commander, who died there.|Retains pinned numbers and horsemen, not parallel totals.
10:19|All Hadadezer’s subject kings saw that Israel had defeated them. They made peace with Israel and became its subjects. The Arameans were afraid to help Ammon again.|Preserves subjection and the consequence for the alliance.
11:1|At the turn of the year, when kings go out to war, David sent Joab, his servants, and all Israel. They devastated Ammon and besieged Rabbah, while David stayed in Jerusalem.|Keeps the contrast of sending and staying; notes unusual kings spelling.
11:2|One evening David rose from his bed and walked on the roof of the royal house. From there he saw a woman bathing. She was very beautiful.|Locates David on the roof, not necessarily the woman.
11:3|David sent someone to find out about her. He was told, “Is this not Bathsheba, Eliam’s daughter, the wife of Uriah the Hittite?”|Preserves both relationships before David acts.
11:4|David sent messengers and took her. She came to him, and he slept with her. She had been purifying herself from her uncleanness. Then she returned home.|Retains David’s taking and sexual action; does not invent consent.
11:5|The woman became pregnant and sent word to David: “I am pregnant.”|Keeps her brief direct speech intact.
11:6|David sent word to Joab, “Send me Uriah the Hittite.” Joab sent Uriah to David.|Retains the repeated sending that moves the plot.
11:7|When Uriah arrived, David asked how Joab was, how the troops were, and how the war was going.|Preserves all three inquiries in readable parallel form.
11:8|Then David told Uriah, “Go home and wash your feet.” Uriah left the king’s house, and a gift from the king followed him.|Keeps feet and the unspecified gift.
11:9|But Uriah slept at the entrance to the king’s house with his lord’s servants. He did not go home.|Retains the contrast and repeated refusal.
11:10|David was told, “Uriah did not go home.” He asked Uriah, “Have you not just returned from a journey? Why did you not go home?”|Preserves report and repeated question.
11:11|Uriah answered, “The ark, Israel, and Judah are staying in shelters. My lord Joab and my lord’s servants are camped in the open. Should I go home to eat and drink and sleep with my wife? As you live, as your very life lives, I will not do this!”|Retains ark, collective solidarity, sexual refusal, and emphatic oath.
11:12|David said, “Stay here today as well. Tomorrow I will send you back.” So Uriah stayed in Jerusalem that day and the next.|Keeps both days without smoothing the timing.
11:13|David invited him to eat and drink in his presence and made him drunk. That evening Uriah went out to sleep with his lord’s servants. He still did not go home.|Makes David responsible for the intoxication.
11:14|In the morning David wrote a letter to Joab and sent it by Uriah’s own hand.|Preserves the victim carrying the letter.
11:15|He wrote, “Put Uriah at the front, where the fighting is fiercest. Then withdraw from him so he is struck down and dies.”|Retains the deliberate lethal purpose.
11:16|As Joab watched the city, he stationed Uriah where he knew its strongest fighters were.|Keeps Joab’s informed choice of position.
11:17|The city’s men came out and fought Joab. Some of David’s servants fell, and Uriah the Hittite died too.|Preserves the other casualties alongside Uriah.
11:18|Joab sent David a full report of the fighting.|Retains the report’s comprehensive scope.
11:19|He instructed the messenger, “When you finish telling the king about the fighting,|Keeps the instruction open across labels.
11:20|he may become angry and ask, ‘Why did you go so close to the city to fight? Did you not know they would shoot from the wall?|Preserves Joab’s anticipated royal objection.
11:21|Who killed Abimelech son of Jerubbesheth? Did not a woman drop an upper millstone on him from the wall, so he died at Thebez? Why did you approach the wall?’ Then tell him, ‘Your servant Uriah the Hittite is dead too.’”|Keeps Jerubbesheth and the woman’s lethal action.
11:22|The messenger went to David and delivered everything Joab had sent him to say.|Preserves the messenger’s enacted assignment.
11:23|He told David, “The men gained the upper hand and came out against us in the open. But we pushed them back to the gate entrance.|Retains the messenger’s version of the tactical sequence.
11:24|The archers shot at your servants from the wall, and some of the king’s servants died. Your servant Uriah the Hittite is dead too.”|Follows read archers and shooting; preserves repeated death report.
11:25|David told the messenger, “Tell Joab, ‘Do not see this as evil. The sword devours one person as readily as another. Press the attack against the city and destroy it.’ Encourage him.”|Preserves evil and seeing to expose the contrast with the narrator’s evil-in-the-LORD’s-eyes verdict, while retaining the devouring sword.
11:26|When Uriah’s wife heard that her husband was dead, she mourned him.|Retains wife and husband, and her genuine narrated mourning.
11:27|After the mourning ended, David sent for her and brought her into his house. She became his wife and bore him a son. But what David had done was evil in the LORD’s eyes.|Preserves the decisive divine judgment on David’s action.
12:1|The LORD sent Nathan to David. Nathan came and said, “There were two men in one town, one rich and the other poor.|Keeps the divine sending and parable’s contrast.
12:2|The rich man had a great many sheep and cattle.|Retains the rich man’s abundant resources.
12:3|The poor man had nothing except one little ewe lamb he had bought. He raised her, and she grew up with him and his children. She ate from his food, drank from his cup, and slept in his arms. She was like a daughter to him.|Preserves feminine lamb and intimate daughter comparison.
12:4|A traveler came to the rich man. He spared his own sheep and cattle and would not prepare one for his guest. Instead, he took the poor man’s ewe lamb and prepared her for the visitor.”|Keeps sparing his own and taking another’s.
12:5|David burned with anger at the man. “As the LORD lives,” he told Nathan, “the man who did this deserves to die!|Retains the excessive death judgment as David’s speech.
12:6|He must repay the lamb fourfold, because he did this and showed no pity.”|Preserves fourfold restitution and lack of pity.
12:7|Nathan told David, “You are the man! This is what the LORD, the God of Israel, says: ‘I anointed you king over Israel. I rescued you from Saul’s hand.|Retains the direct accusation and two divine acts.
12:8|I gave you your lord’s house and your lord’s wives into your arms. I gave you the house of Israel and Judah. If that were too little, I would have given you more and more.|Preserves the difficult claim about wives without euphemism.
12:9|Why have you despised the LORD’s word and done evil in my eyes? You struck Uriah the Hittite with the sword and took his wife as your own. You killed him with the Ammonites’ sword.|Follows read my eyes; assigns mediated killing to David.
12:10|Now the sword will never leave your house, because you despised me and took Uriah the Hittite’s wife to be your wife.’|Keeps sword and taking as the stated consequence and cause.
12:11|“This is what the LORD says: ‘I am raising up disaster against you from your own house. Before your eyes I will take your wives and give them to someone close to you. He will sleep with them in the sight of this sun.|Retains divine agency and threatened public sexual harm.
12:12|You acted in secret; I will do this before all Israel and before the sun.’”|Preserves the repeated public-versus-secret contrast.
12:13|David said to Nathan, “I have sinned against the LORD.” Nathan replied, “The LORD has also put away your sin. You will not die.|Keeps confession and reprieve without erasing later consequences.
12:14|But because by this deed you have treated the LORD’s enemies with such contempt, the son born to you will certainly die.”|Retains the difficult direct object the LORD’s enemies rather than adding an unstated causative construction; the interpretive alternative is noted.
12:15|Nathan went home. The LORD struck the child Uriah’s wife had borne to David, and he became desperately ill.|Retains Uriah’s wife and the narrator’s divine attribution.
12:16|David pleaded with God for the boy. He fasted, went in, and spent the night lying on the ground.|Keeps bodily petition and the child’s referent.
12:17|The elders of his household stood beside him, trying to raise him from the ground. He refused and would not eat with them.|Preserves their care and his refusal.
12:18|On the seventh day the child died. David’s servants were afraid to tell him. “While the child lived, we spoke to him and he would not listen,” they said. “How can we tell him the child is dead? He may do something harmful.”|Leaves feared harm’s target unspecified.
12:19|David saw his servants whispering and realized the child had died. He asked, “Is the child dead?” “He is dead,” they answered.|Retains recognition, question, and blunt response.
12:20|David rose from the ground, washed, rubbed himself with oil, and changed his clothes. He entered the LORD’s house and worshiped. Then he went home, asked for food, and ate what they set before him.|Keeps the complete sequence and read plural clothes.
12:21|His servants asked, “What is this you have done? While the child lived, you fasted and wept. Now that he has died, you get up and eat!”|Preserves their puzzled contrast.
12:22|He answered, “While the child lived, I fasted and wept. I thought, ‘Who knows? The LORD may show me grace and let the child live.’|Keeps the uncertainty of David’s earlier hope.
12:23|But now he is dead. Why should I fast? Can I bring him back? I will go to him, but he will not return to me.”|Does not add an afterlife explanation.
12:24|David comforted his wife Bathsheba. He went to her and slept with her. She bore a son and named him Solomon. The LORD loved him.|Follows read she named; preserves comfort and divine love.
12:25|He sent word through the prophet Nathan, who named him Jedidiah because of the LORD.|Makes the naming messenger intelligible while noting compressed subjects.
12:26|Meanwhile, Joab fought against Rabbah of the Ammonites and captured the royal city.|Retains the renewed war notice without invented chronology.
12:27|Joab sent messengers to David: “I have fought against Rabbah and captured the water city.|Keeps the distinctive water-city designation.
12:28|Now gather the remaining troops, besiege the city, and take it. Otherwise I will capture it and it will bear my name.”|Preserves Joab’s concern over credit and naming.
12:29|David gathered all the troops, went to Rabbah, fought against it, and captured it.|Keeps all four successive actions.
12:30|He took their king’s crown from his head. It weighed a talent of gold and held a precious stone, and it was placed on David’s head. He carried off an immense amount of plunder.|Retains weight and crown transfer; notes possible divine name.
12:31|He brought out the people and put them under saws, iron threshing tools, and iron axes, and made them pass through the brickworks. He did this to all the Ammonite towns. Then David and all the troops returned to Jerusalem.|Preserves disturbing instrument language; labor versus execution remains noted.
13:1|After this, David’s son Absalom had a beautiful sister named Tamar, and David’s son Amnon fell in love with her.|Introduces the siblings and Amnon’s attraction without implying reciprocity.
13:2|Amnon was so distressed over his sister Tamar that he made himself ill. She was a virgin, and it seemed impossible to him to do anything to her.|Retains his frustrated intention and her status without adding motives.
13:3|Amnon had a friend named Jonadab, the son of David’s brother Shimeah. Jonadab was a very shrewd man.|Keeps the cousin relationship and morally unqualified description of cleverness.
13:4|He asked, “Why do you look so worn down every morning, son of the king? Won’t you tell me?” Amnon answered, “I’m in love with Tamar, my brother Absalom’s sister.”|Preserves the repeated family description in Amnon’s own words.
13:5|Jonadab told him, “Lie down on your bed and pretend to be ill. When your father comes to see you, say, ‘Please let my sister Tamar come and give me something to eat. Let her prepare the food where I can watch, and I’ll eat it from her hand.’”|Keeps every stage of the deceptive plan and its repeated hand image.
13:6|So Amnon lay down and pretended to be ill. When the king came to see him, Amnon said, “Please let my sister Tamar come and make two cakes where I can watch. I’ll eat them from her hand.”|Retains two cakes and the enacted deception.
13:7|David sent word to Tamar at home: “Go to your brother Amnon’s house and prepare food for him.”|Makes David’s instruction explicit without assigning knowledge of the scheme.
13:8|Tamar went to her brother Amnon’s house, where he was lying down. She took dough, kneaded it, shaped cakes in front of him, and cooked them.|Follows the read form for kneading and preserves the sequence of her work.
13:9|She took the pan and emptied it in front of him, but he refused to eat. “Send everyone away from me,” Amnon said. So everyone left him.|Retains refusal and deliberate isolation.
13:10|Then Amnon told Tamar, “Bring the food into the bedroom so I can eat from your hand.” Tamar took the cakes she had made and brought them into the bedroom to her brother Amnon.|Keeps the repeated brother and hand language as the scene narrows.
13:11|When she brought them close for him to eat, he grabbed her and said, “Come, lie with me, my sister.”|Keeps physical seizure and the incestuous address in direct speech.
13:12|“No, my brother!” she said. “Do not violate me. Such a thing is not done in Israel. Do not commit this outrage!|Preserves Tamar’s refusal and her naming of the act as an outrage.
13:13|Where could I take my shame? And you would be counted among Israel’s fools. Please speak to the king; he will not withhold me from you.”|Retains her appeal without converting it into a narrator’s statement about marriage law.
13:14|But he would not listen to her. He overpowered her, violated her, and raped her.|Names the forced intercourse explicitly while retaining refusal and overpowering.
13:15|Then Amnon hated her with an intense hatred. His hatred was greater than the love he had felt for her. “Get up! Go!” he told her.|Keeps the deliberate love-hatred comparison and abrupt commands.
13:16|She said, “No! Sending me away is a greater wrong than the other thing you have done to me.” But he would not listen to her.|Unfolds the compressed protest while keeping its comparison in Tamar’s voice.
13:17|He called the young man who attended him and said, “Put this woman outside, away from me, and bolt the door behind her.”|Preserves the distancing reference and the order to bar her return.
13:18|She was wearing an ornamented robe, the kind the king’s virgin daughters wore. His attendant put her outside and bolted the door behind her.|Retains the distinctive robe and social explanation without claiming a certain sleeve length.
13:19|Tamar put ashes on her head and tore the ornamented robe she was wearing. With her hand on her head, she walked away, crying aloud.|Keeps all embodied signs of grief and her continuing cry.
13:20|Her brother Absalom asked her, “Has your brother Amnon been with you? For now, my sister, keep quiet. He is your brother; do not take this matter to heart.” So Tamar lived in her brother Absalom’s house, desolate.|Keeps Absalom’s minimizing words as his speech and gives Tamar’s desolation the final emphasis.
13:21|When King David heard about all this, he was very angry.|Retains the pinned short text without importing another witness’s explanation of inaction.
13:22|Absalom said nothing to Amnon, either good or bad. He hated Amnon because he had violated his sister Tamar.|Keeps silence and its stated cause distinct from reconciliation.
13:23|Two full years later, Absalom had sheepshearers at Baal-hazor, near Ephraim, and invited all the king’s sons.|Preserves the delay, location, and full invitation.
13:24|Absalom came to the king and said, “Your servant has sheepshearers at work. Please let the king and his servants come with your servant.”|Keeps the formal appeal and royal household invitation.
13:25|“No, my son,” the king answered. “We should not all go and burden you.” Absalom pressed him, but David would not go, though he gave him his blessing.|Retains refusal, pressure, and blessing without implying approval of the hidden plan.
13:26|Absalom said, “Then please let my brother Amnon come with us.” The king asked, “Why should he go with you?”|Preserves the pointed request and David’s question.
13:27|But Absalom pressed him, and he let Amnon and all the king’s sons go with him.|Keeps the repeated pressure and its outcome.
13:28|Absalom instructed his attendants, “Watch for Amnon’s heart to grow merry with wine. When I tell you, ‘Strike Amnon,’ kill him. Do not be afraid. Haven’t I commanded you? Be strong and courageous.”|Retains calculated timing, explicit killing, and the chilling encouragement formula.
13:29|Absalom’s attendants did to Amnon just what Absalom had commanded. Then all the king’s sons got up, mounted their mules, and fled.|Keeps the execution of the order and each prince’s escape.
13:30|While they were still on the road, word reached David: “Absalom has struck down all the king’s sons. Not one is left.”|Marks the false report as reported speech rather than narrative fact.
13:31|The king got up, tore his clothes, and lay on the ground. All his servants stood nearby with their clothes torn.|Preserves the contrast between the prostrate king and standing servants.
13:32|But Jonadab, the son of David’s brother Shimeah, said, “My lord must not think they have killed all the young men, the king’s sons. Only Amnon is dead. Absalom has been set on this since the day Amnon violated his sister Tamar.|Clarifies the compressed expression of Absalom’s settled intention without inventing a quoted order.
13:33|So my lord the king must not take to heart the report that all the king’s sons are dead. Only Amnon is dead.”|Retains the repeated correction and only-Amnon emphasis.
13:34|Meanwhile, Absalom had fled. The young man keeping watch looked up and saw a large crowd coming along the road behind him, down the side of the mountain.|Follows read eyes and retains the difficult directional description without naming a new road.
13:35|Jonadab told the king, “Look, the king’s sons are coming. It is just as your servant said.”|Keeps the claim to accurate foreknowledge in Jonadab’s voice.
13:36|As he finished speaking, the king’s sons arrived and began to weep aloud. The king and all his servants also wept bitterly.|Retains the arrival timing and shared grief.
13:37|Absalom fled to Talmai son of Ammihud, king of Geshur. David mourned for his son day after day.|Follows read Ammihud and supplies David as the contextual mourner.
13:38|Absalom had fled to Geshur, and he stayed there three years.|Preserves the repeated flight notice and duration.
