2:1|As David’s death drew near, he gave his son Solomon these instructions:|Introduces the approaching death and direct charge without archaic timing.
2:15|“You know the kingship was mine,” he said. “All Israel looked to me to be king. But the kingship turned away from me and went to my brother, because it came to him from the LORD.|Leaves Adonijah’s claim attributed to him, not endorsed by the narrator.
2:16|Now I have one request. Do not turn me away.” “Speak,” she told him.|Uses an idiomatic refusal expression while preserving the request sequence.
2:17|“Please ask King Solomon to give me Abishag the Shunammite as my wife. He will not turn you away.”|Retains Abishag’s identity and the expected maternal influence.
2:18|“Very well,” Bathsheba said. “I will speak to the king for you.”|Makes her agreement explicit without assigning a motive.
2:19|Bathsheba went to King Solomon to speak for Adonijah. The king rose to meet her and bowed to her. Then he sat on his throne and had a throne placed for the king’s mother. She sat at his right.|Preserves her throne and royal honor rather than reducing it to a casual chair.
2:20|“I have one small request,” she said. “Do not turn me away.” The king answered, “Ask, Mother. I will not turn you away.”|Retains the repeated assurance before its reversal.
2:21|She said, “Let Abishag the Shunammite be given to your brother Adonijah as his wife.”|Keeps the request and kinship clear.
2:22|King Solomon answered his mother, “Why ask for Abishag the Shunammite for Adonijah? Ask for the kingship for him too! He is my older brother—for him, for Abiathar the priest, and for Joab son of Zeruiah!”|Retains the abrupt expanded accusation rather than inventing a narrated conspiracy.
2:23|Then King Solomon swore by the LORD, “May God do this to me, and more besides, if Adonijah has not spoken these words at the cost of his life!|Keeps the self-curse and lethal interpretation of the request.
2:24|As the LORD lives—the one who established me, seated me on my father David’s throne, and made me a house as he promised—Adonijah will be put to death today.”|Retains house as dynastic imagery and the immediate death sentence.
2:25|King Solomon sent Benaiah son of Jehoiada, who struck Adonijah down and killed him.|Names the victim and makes the execution explicit.
2:26|To Abiathar the priest the king said, “Go to your fields at Anathoth. You deserve death, but I will not put you to death today, because you carried the ark of the Lord GOD before my father David and shared all my father’s hardships.”|Preserves the stated reasons for sparing him and the today qualification.
2:27|So Solomon removed Abiathar from serving as the LORD’s priest, fulfilling the word the LORD had spoken at Shiloh about Eli’s house.|Connects removal with the narrator’s fulfillment statement.
2:28|When the news reached Joab, he fled to the LORD’s tent and took hold of the altar’s horns. Joab had sided with Adonijah, though he had not sided with Absalom.|Keeps the pinned Absalom reading and explains the parenthetical chronology.
2:29|King Solomon was told, “Joab has fled to the LORD’s tent. He is there beside the altar.” Solomon sent Benaiah son of Jehoiada with the order, “Go, strike him down.”|Distinguishes the report from the execution order.
2:30|Benaiah went to the LORD’s tent and said to Joab, “The king says, ‘Come out.’” Joab answered, “No. I will die here.” Benaiah went back to the king and reported what Joab had said and how he had answered.|Names Joab for dialogue clarity and retains the refusal and report.
2:31|The king told him, “Do as he says. Strike him down and bury him. Remove from me and my father’s house the guilt of the blood Joab shed without cause.|Makes bloodguilt understandable without endorsing Solomon’s reasoning.
2:32|The LORD will bring his blood back on his own head. He struck down two men more righteous and better than he was, killing them with the sword without my father David’s knowledge: Abner son of Ner, commander of Israel’s army, and Amasa son of Jether, commander of Judah’s army.|Preserves the comparison, claimed ignorance and distinct commands.
2:33|May their blood come back on Joab’s head and on his descendants’ heads forever. But may David, his descendants, his house, and his throne have peace from the LORD forever.”|Retains the contrasting perpetual wishes and blood image.
2:34|Benaiah son of Jehoiada went up, struck Joab down, and killed him. Joab was buried at his own house in the wilderness.|Keeps death, burial and wilderness location explicit.
2:35|The king put Benaiah son of Jehoiada over the army in Joab’s place, and he put Zadok the priest in Abiathar’s place.|Makes the two replacements parallel and clear.
2:36|Then the king summoned Shimei. “Build yourself a house in Jerusalem and live there,” he said. “Do not leave it to go anywhere else.|Retains the comprehensive restriction before the named boundary.
2:37|Know this: on the day you leave and cross the Kidron Valley, you will certainly die. Your blood will be on your own head.”|Preserves the particular crossing and blood-responsibility formula.
2:38|Shimei answered the king, “Your word is good. Your servant will do as my lord the king has said.” Shimei lived in Jerusalem for a long time.|Keeps submission and elapsed residence without implying consent is free.
2:39|After three years, two of Shimei’s slaves ran away to Achish son of Maacah, king of Gath. Shimei was told, “Your slaves are in Gath.”|Makes enslaved status and flight explicit; retains names and interval.
2:40|Shimei got up, saddled his donkey, and went to Achish at Gath to look for his slaves. He went and brought them back from Gath.|Retains the pursuit and forced return without euphemism.
2:41|Solomon was told that Shimei had gone from Jerusalem to Gath and returned.|Keeps the reported journey distinct from the Kidron wording.
2:42|The king summoned Shimei and said, “Did I not make you swear by the LORD and warn you, ‘Know this: on the day you leave and go anywhere else, you will certainly die’? And you told me, ‘Your word is good. I will obey.’|Preserves Solomon’s retelling without harmonizing it into the earlier speech.
2:43|Why, then, have you failed to keep your oath by the LORD and the command I gave you?”|Keeps oath and royal command as separate grounds.
2:44|The king also said, “You know in your heart all the evil you did to my father David. The LORD will bring your evil back on your own head.|Retains Solomon’s accusation and returning-evil image.
2:45|But King Solomon will be blessed, and David’s throne will stand firm before the LORD forever.”|Keeps the king’s third-person self-reference within his speech.
2:46|Then the king gave the order to Benaiah son of Jehoiada. He went out, struck Shimei down, and killed him. The kingdom was firmly in Solomon’s hands.|Names the victim and leaves the execution beside the establishment statement.
3:1|Solomon made a marriage alliance with Pharaoh king of Egypt. He married Pharaoh’s daughter and brought her to the City of David until he finished building his own house, the LORD’s house, and the wall around Jerusalem.|Keeps the marriage alliance and three construction projects together.
3:2|The people were still sacrificing at the high places, because no house for the LORD’s name had yet been built.|Retains the narrator’s qualification and Name language.
3:3|Solomon loved the LORD and followed the statutes of his father David. Still, he sacrificed and burned offerings at the high places.|Keeps love and the qualified worship practice together without resolving the tension.
3:4|The king went to Gibeon to sacrifice, because it was the great high place. Solomon offered a thousand burnt offerings on that altar.|Preserves the location, status and sacrificial number.
3:5|At Gibeon the LORD appeared to Solomon in a dream at night. God said, “Ask what I should give you.”|Retains both divine designations and the open invitation.
3:6|Solomon answered, “You showed great steadfast love to your servant, my father David, because he walked before you in faithfulness, righteousness, and an upright heart toward you. You have kept this great steadfast love for him by giving him a son to sit on his throne today.|Retains repeated steadfast love and the threefold description of David.
3:7|Now, LORD my God, you have made your servant king in place of my father David. But I am only a young boy; I do not know how to go out or come in.|Keeps Solomon’s self-description and leadership idiom rather than assigning an age.
3:8|Your servant stands among the people you chose, a people so numerous they cannot be counted or numbered.|Retains election and the paired counting expressions.
3:9|Give your servant a listening heart to judge your people and distinguish good from evil. For who can judge this great people of yours?”|Retains the listening-heart image at the center of wisdom.
3:10|The request pleased the Lord: this was what Solomon had asked for.|Preserves the evaluation and its stated reason.
3:11|God said to him, “Because you asked for this, and did not ask for a long life, riches, or the lives of your enemies, but asked for discernment to hear a case justly,|Keeps the three alternatives and judicial hearing sense.
3:12|I will do as you asked. I give you a wise and discerning heart. No one like you has come before you, and no one like you will arise after you.|Retains the heart and both temporal comparisons.
3:13|I also give you what you did not ask for: both riches and honor. Among the kings, no one will be like you throughout your life.|Keeps unrequested gifts distinct from the conditional life extension.
3:14|And if you walk in my ways, keeping my statutes and commands as your father David did, I will lengthen your life.”|Preserves the explicit condition rather than promising longevity unconditionally.
3:15|Solomon woke up. It had been a dream. He went to Jerusalem and stood before the ark of the Lord’s covenant. He offered burnt offerings and fellowship offerings, then gave a feast for all his servants.|Keeps the awakening, covenant ark, two offerings and feast in sequence.
3:16|Then two women who were prostitutes came to the king and stood before him.|Retains the women’s stated occupation without adding moral judgment.
3:17|One woman said, “Please, my lord, this woman and I live in the same house. I gave birth while she was there with me.|Clarifies the shared dwelling and first speaker’s account.
3:18|On the third day after I gave birth, she gave birth too. We were alone; no one else was in the house. Just the two of us.|Retains the third day and the emphatic absence of witnesses.
3:19|During the night this woman’s son died because she lay on him.|Keeps the death’s explanation inside the woman’s testimony.
3:20|She got up in the middle of the night and took my son from beside me while your servant was asleep. She laid him at her breast and laid her dead son at mine.|Preserves the claimed exchange and breast imagery.
3:21|When I got up in the morning to nurse my son, he was dead! But when I looked closely at him in the morning, he was not the son I had borne.”|Keeps discovery and recognition distinct.
3:22|The other woman said, “No! The living son is mine, and the dead one is yours.” The first said, “No! The dead son is yours, and the living one is mine.” So they argued before the king.|Preserves the reversed claims and makes the two speakers trackable.
3:23|The king said, “This one says, ‘The living son is mine, and the dead one is yours.’ And that one says, ‘No! The dead son is yours, and the living one is mine.’”|Retains the king’s full repetition instead of summarizing the dispute.
3:24|Then the king said, “Bring me a sword.” They brought a sword before the king.|Keeps the ominous instruction and response unembellished.
3:25|“Cut the living child in two,” the king said. “Give half to one and half to the other.”|Does not soften the violent order.
3:26|The woman whose son was alive was overwhelmed with compassion for him. She said to the king, “Please, my lord, give her the living child! Whatever you do, do not kill him!” But the other said, “He will belong to neither of us. Cut him in two.”|Makes maternal compassion and emphatic plea audible, retaining the opposing demand.
3:27|The king answered, “Give the living child to the first woman. Do not kill him. She is his mother.”|Clarifies the pronoun’s referent from the contrasted pleas.
3:28|All Israel heard about the judgment the king had given. They stood in awe of him, because they saw that God’s wisdom was in him to do justice.|Connects the judgment with public recognition of divine wisdom.
4:1|King Solomon ruled over all Israel.|Retains all Israel as the administration’s scope.
4:2|These were his officials: Azariah son of Zadok, the priest;|Keeps priest in the official roster with its syntactic ambiguity noted.
4:3|Elihoreph and Ahijah, sons of Shisha, secretaries; Jehoshaphat son of Ahilud, recorder;|Preserves both scribes, their shared father and the distinct recorder.
4:4|Benaiah son of Jehoiada, over the army; Zadok and Abiathar, priests;|Retains Abiathar in the roster despite the preceding removal narrative.
4:5|Azariah son of Nathan, over the district officials; Zabud son of Nathan, priest and the king’s friend;|Keeps priest and king’s friend as stated offices rather than flattening both to adviser.
4:6|Ahishar, over the royal household; Adoniram son of Abda, over the forced labor.|Makes the coerced labor office explicit.
4:7|Solomon had twelve district officials over all Israel. They supplied the king and his household, each responsible for one month of the year.|Explains the rotating provision without losing the number.
4:8|Their names were: Ben-hur, in the hill country of Ephraim;|Preserves the patronymic-style name and first district.
4:9|Ben-deker, in Makaz, Shaalbim, Beth-shemesh, and Elon-beth-hanan;|Retains all four district names.
4:10|Ben-hesed, in Arubboth, with Socoh and all the land of Hepher under him;|Makes the dependent territories readable.
4:11|Ben-abinadab, over all the heights of Dor; Solomon’s daughter Taphath was his wife;|Retains the district and marriage connection.
4:12|Baana son of Ahilud, in Taanach and Megiddo and all Beth-shean beside Zarethan below Jezreel, from Beth-shean to Abel-meholah and beyond Jokmeam;|Keeps the full geographic chain rather than shortening the roster.
4:13|Ben-geber, in Ramoth-gilead, with the villages of Jair son of Manasseh in Gilead under him, and the region of Argob in Bashan—sixty great cities with walls and bronze bars;|Retains both territories and the sixty fortified cities.
4:14|Ahinadab son of Iddo, in Mahanaim;|Keeps the officer and place together.
4:15|Ahimaaz, in Naphtali; he too had married a daughter of Solomon, Basemath;|Preserves the second royal marriage connection.
4:16|Baana son of Hushai, in Asher and Bealoth;|Retains Bealoth as the pinned place form.
4:17|Jehoshaphat son of Paruah, in Issachar;|Distinguishes this Jehoshaphat by his father.
4:18|Shimei son of Ela, in Benjamin;|Retains the patronymic without identifying him with the executed Shimei.
4:19|Geber son of Uri, in the land of Gilead, the territory of Sihon king of the Amorites and Og king of Bashan. There was one official in that land.|Preserves the difficult closing administrative statement without silently inserting Judah.
4:20|Judah and Israel were as numerous as the sand beside the sea. They ate, drank, and rejoiced.|Keeps the abundance image and three ordinary activities.
4:21|Solomon ruled all the kingdoms from the River to the land of the Philistines and the border of Egypt. They brought tribute and served Solomon throughout his life.|Retains the geographical range and tribute/service relationship.
4:22|Solomon’s daily provisions were thirty cors of fine flour and sixty cors of meal,|Keeps the large ancient measures rather than introducing uncertain conversions.
4:23|ten fattened cattle, twenty pasture-fed cattle, and a hundred sheep, besides deer, gazelles, roebucks, and fattened birds.|Retains all food categories and distinguishes the cattle’s feeding.
4:24|He ruled everything west of the River, from Tiphsah to Gaza, including all the kings west of the River. He had peace on every side.|Clarifies the geographical perspective while preserving repeated dominion.
4:25|Throughout Solomon’s days, Judah and Israel lived securely, each under his own vine and fig tree, from Dan to Beer-sheba.|Retains the concrete security image and traditional national extent.
4:26|Solomon had forty thousand stalls for his chariot horses and twelve thousand horsemen.|Keeps forty thousand from the pin without harmonizing Chronicles.
4:27|The district officials supplied King Solomon and everyone who came to his table, each in his assigned month. They let nothing be lacking.|Connects the roster with the table’s rotating support.
4:28|Each also brought barley and straw for the horses and swift steeds to the required place, according to his assignment.|Retains the second equine term without asserting a breed.
4:29|God gave Solomon wisdom, very great understanding, and breadth of heart like the sand on the seashore.|Preserves the heart image and its echoed sand comparison.
4:30|Solomon’s wisdom surpassed the wisdom of all the people of the East and all the wisdom of Egypt.|Retains both comparative traditions.
4:31|He was wiser than anyone: wiser than Ethan the Ezrahite, and Heman, Calcol, and Darda, the sons of Mahol. His name became known among all the surrounding nations.|Keeps all named sages and the public reputation statement.
4:32|He spoke three thousand proverbs, and his songs numbered one thousand five.|Preserves both literary counts precisely.
4:33|He spoke about trees, from the cedar in Lebanon to the hyssop growing out of a wall. He also spoke about animals, birds, crawling creatures, and fish.|Keeps the botanical range and all four animal categories.
4:34|People came from all nations to hear Solomon’s wisdom, sent by all the kings of the earth who had heard of it.|Makes the emissary relationship readable without reducing the universal rhetoric.
5:1|Hiram king of Tyre sent his servants to Solomon when he heard that Solomon had been anointed king in his father’s place. Hiram had always loved David.|Retains the succession occasion and longstanding affection.
5:2|Solomon sent this message to Hiram:|Introduces the ensuing direct message simply.
5:3|“You know that my father David could not build a house for the name of the LORD his God because of the warfare surrounding him, until the LORD put his enemies under the soles of my feet.|Follows the read form my feet, noting the written his feet without silently harmonizing it.
5:4|But now the LORD my God has given me rest on every side. There is no adversary and no evil happening.|Keeps adversary as a common noun and the twofold absence of trouble.
5:5|So I intend to build a house for the name of the LORD my God, just as the LORD told my father David: ‘Your son, whom I will put on your throne in your place, will build the house for my name.’|Retains repeated house and Name language linking promise and construction.
5:6|Now give orders for cedars to be cut for me in Lebanon. My servants will work with yours, and I will pay your servants whatever wages you set. You know that none of us knows how to cut timber like the Sidonians.”|Preserves labor collaboration, pay and recognition of expertise.
5:7|When Hiram heard Solomon’s words, he was delighted. “Blessed be the LORD today,” he said, “who has given David a wise son to rule this great people!”|Keeps Hiram’s praise and the reason for it.
5:8|Hiram sent word to Solomon: “I have heard your message. I will meet all your needs for cedar and cypress timber.|Preserves the two timber types without flattening them to lumber.
5:9|My servants will bring it down from Lebanon to the sea. I will make it into rafts and float it to the place you designate. I will break the rafts apart there, and you can take the timber away. In return, meet my needs by supplying food for my household.”|Unfolds transport and exchange into clear consecutive actions.
5:10|Hiram supplied Solomon with all the cedar and cypress timber he wanted.|Retains the fulfillment of the timber request.
5:11|Solomon supplied Hiram with twenty thousand cors of wheat as food for his household and twenty cors of beaten olive oil. He gave Hiram this amount year after year.|Keeps the unequal quantities, oil preparation and annual recurrence.
5:12|The LORD gave Solomon wisdom as he had promised. Hiram and Solomon were at peace, and the two made a covenant.|Retains wisdom, peace and covenant as connected but distinct claims.
5:13|King Solomon conscripted a forced-labor levy from all Israel: thirty thousand men.|Makes coercion explicit and preserves the Israelite levy.
5:14|He sent them to Lebanon in shifts of ten thousand a month. They spent one month in Lebanon and two months at home. Adoniram was over the forced labor.|Keeps the rotation and its overseer visible.
5:15|Solomon also had seventy thousand burden bearers and eighty thousand stonecutters in the hills,|Preserves the separate work groups and counts.
5:16|besides Solomon’s thirty-three hundred chief overseers, who supervised the people doing the work.|Keeps this passage’s supervisor count without importing a parallel.
5:17|At the king’s command they quarried great, costly stones, dressed stones for the house’s foundations.|Retains the stones’ size, value and preparation.
5:18|Solomon’s builders, Hiram’s builders, and the Gebalites dressed the stone and prepared the timber and stone for building the house.|Retains the three groups and both materials.
6:1|In the four hundred eightieth year after the Israelites left Egypt, in the fourth year of Solomon’s reign over Israel, in Ziv, the second month, he began building the LORD’s house.|Preserves both chronological anchors and identifies the named month.
6:2|The house King Solomon built for the LORD was sixty cubits long, twenty cubits wide, and thirty cubits high.|Keeps all three dimensions and the ancient unit.
6:3|The porch in front of the house’s main hall extended twenty cubits across the width of the house and projected ten cubits from its front.|Makes the porch’s orientation understandable without altering dimensions.
6:4|He made windows for the house with recessed frames.|Uses a restrained architectural rendering; the uncertain expression is noted.
6:5|He built a structure against the outside walls of the house, around the main hall and the inner sanctuary, with side rooms all around.|Distinguishes the surrounding structure from the two principal interior spaces.
6:6|The lowest story was five cubits wide, the middle one six, and the third seven. He made ledges around the outside of the house so the beams would not be inserted into its walls.|Explains the widths and wall ledges without inventing a building plan.
6:7|The house was built with stone finished at the quarry. No hammer, axe, or other iron tool was heard in the house while it was being built.|Retains the silence motif and all named tools.
6:8|The entrance to the middle side story was on the right side of the house. Winding stairs led up to the middle story and from there to the third.|Keeps the pinned middle entrance despite the architectural difficulty.
6:9|He built the house and finished it, roofing it with cedar beams and boards.|Retains completion and distinguishes roof components.
6:10|He built the side structure around the whole house, each story five cubits high, and attached it to the house with cedar timbers.|Clarifies the height as story height in the surrounding structure.
6:11|The word of the LORD came to Solomon:|Preserves the interruption of construction by divine speech.
6:12|“As for this house you are building: if you walk in my statutes, carry out my judgments, and keep all my commands by following them, I will fulfill with you the promise I made to your father David.|Keeps the promise conditional on obedience rather than on construction alone.
6:13|I will dwell among the Israelites and will not abandon my people Israel.”|Retains dwelling among the people, not only within the building.
6:14|So Solomon built the house and finished it.|Preserves the repeated completion statement.
6:15|He lined the inside walls with cedar boards, covering them with wood from the floor to the ceiling, and laid cypress boards over the floor.|Makes the wood surfaces distinct while retaining both species.
6:16|He partitioned off twenty cubits at the rear of the house with cedar boards from the floor up to the walls. Inside, he made this the inner sanctuary, the Most Holy Place.|Keeps the difficult walls wording and the sanctuary’s two designations.
6:17|The main hall in front of it was forty cubits long.|Clarifies the relation of the hall to the rear sanctuary.
6:18|The cedar inside the house was carved with gourds and open flowers. Everything was cedar; no stone could be seen.|Retains decoration and the emphatic concealment of stone.
6:19|He prepared the inner sanctuary deep within the house to hold the ark of the LORD’s covenant.|Keeps purpose and inward location together.
6:20|The inner sanctuary was twenty cubits long, twenty wide, and twenty high. He overlaid it with pure gold and covered the altar with cedar.|Preserves the cube dimensions and the altar’s cedar covering.
6:21|Solomon overlaid the inside of the house with pure gold. He stretched gold chains across the front of the inner sanctuary and overlaid it with gold.|Retains chains and the repeated gold covering without defining their function.
6:22|He covered the entire house with gold, until the whole house was finished. He also covered the entire altar belonging to the inner sanctuary with gold.|Preserves the repeated totality and the altar’s association.
6:23|In the inner sanctuary he made two cherubim of olive wood, each ten cubits high.|Retains the beings’ biblical name, wood and height.
6:24|One wing of the first cherub was five cubits long, and the other was five cubits: ten cubits from wingtip to wingtip.|Makes the wingspan arithmetic audible.
6:25|The second cherub also measured ten cubits. Both cherubim had the same dimensions and shape.|Retains equivalence rather than omitting the second measurement.
6:26|The first cherub was ten cubits high, and so was the second.|Keeps the repeated equal heights.
6:27|He placed the cherubim inside the innermost room. Their wings were spread out: one cherub’s wing touched one wall, the other’s wing touched the opposite wall, and their wings met in the middle of the house.|Unfolds the wing arrangement into a readable spatial description.
6:28|He overlaid the cherubim with gold.|Retains their covering in a short sentence.
6:29|All around the house’s walls, in both the inner and outer rooms, he carved cherubim, palm trees, and open flowers.|Preserves all three motifs and both rooms.
6:30|He covered the floor with gold in both the inner and outer rooms.|Retains gold flooring throughout the two spaces.
6:31|For the entrance to the inner sanctuary he made olive-wood doors, with a five-sided doorframe.|Uses the five-sided interpretation while marking its uncertainty in a note.
6:32|On the two olive-wood doors he carved cherubim, palm trees, and open flowers. He overlaid the doors with gold, spreading it over the cherubim and palm trees.|Keeps the ornament list and gold application distinct.
6:33|For the entrance to the main hall he likewise made olive-wood doorposts, with a four-sided frame,|Preserves the contrast with the preceding frame interpretation.
6:34|and two cypress doors. Each door had two folding panels.|Makes the paired folding construction clear.
6:35|He carved cherubim, palm trees, and open flowers on them and covered them with gold fitted to the carvings.|Retains the relief-shaped gold covering.
6:36|He built the inner court with three courses of dressed stone and one course of cedar beams.|Keeps the masonry/timber ratio and court distinction.
6:37|The foundation of the LORD’s house was laid in the fourth year, in the month of Ziv.|Preserves the repeated foundation date.
6:38|In the eleventh year, in Bul, the eighth month, the house was finished in all its details and according to all its specifications. He spent seven years building it.|Retains both dates, completion scope and stated duration.
7:1|Solomon spent thirteen years building his own house, completing the whole complex.|Preserves the duration beside the temple’s seven years.
7:2|He built the House of the Forest of Lebanon, a hundred cubits long, fifty wide, and thirty high, on four rows of cedar pillars with cedar beams on the pillars.|Keeps the building name, dimensions and four rows.
7:3|It was roofed with cedar above the beams resting on the pillars—forty-five beams, fifteen to a row.|Makes the counted elements explicit while noting the architectural uncertainty.
7:4|There were three rows of windows, facing one another in three tiers.|Keeps the repeated threefold arrangement.
7:5|All the doorways and their frames were rectangular, and the windows faced one another in three tiers.|Distinguishes doorframes from opposing openings.
7:6|He made the Hall of Pillars fifty cubits long and thirty wide. A porch stood in front of it, with pillars and a canopy before them.|Retains the hall, porch and uncertain canopy term without embellishing.
7:7|He made the Hall of the Throne, where he would give judgment—the Hall of Justice. It was paneled with cedar from one end of the floor to the other.|Keeps the hall’s paired names and the pinned floor-to-floor expression.
7:8|His own residence, in another court behind the hall, was built in the same way. He also made a house like this hall for Pharaoh’s daughter, whom he had married.|Preserves the separate residence and wife’s house.
7:9|All these buildings used costly stones, cut to size and sawn on their inner and outer faces, from the foundations to the coping and outside as far as the great court.|Keeps material preparation and the full architectural extent.
7:10|The foundations were of great, costly stones, some ten cubits and some eight cubits long.|Preserves both sizes without converting units.
7:11|Above them were costly stones cut to size, and cedar.|Keeps the upper materials distinct from foundations.
7:12|The great court was surrounded by three courses of dressed stone and one course of cedar beams, as were the inner court of the LORD’s house and the house’s porch.|Retains the shared construction pattern and all three spaces.
7:13|King Solomon sent for Hiram from Tyre.|Introduces the craftsman without conflating him with the king of Tyre.
7:14|He was the son of a widow from the tribe of Naphtali; his father was a Tyrian bronze worker. Hiram was filled with wisdom, understanding, and skill for every kind of bronze work. He came to King Solomon and did all his work.|Preserves the parentage from this pin and the threefold craft qualification.
7:15|He cast the two bronze pillars. One pillar was eighteen cubits high, and a cord twelve cubits long went around the other.|Keeps the source’s distribution of measurements between the pillars.
7:16|He made two cast-bronze capitals to set on top of the pillars. Each capital was five cubits high.|Preserves material, position and equal heights.
7:17|For the capitals on top of the pillars he made latticework, with twisted chains: seven for one capital and seven for the other.|Keeps the two sets of seven in the difficult ornament description.
7:18|He made the pillars and two rows around one lattice to cover the capitals above the pomegranates. He did the same for the other capital.|Retains the pinned pillars/pomegranates order; textual difficulty is noted rather than silently transposed.
7:19|The capitals on top of the pillars in the porch had lily-shaped work, four cubits high.|Preserves the four-cubit floral element beside the five-cubit total.
7:20|On both pillars the capitals rose above the bowl-shaped part beside the lattice. Two hundred pomegranates ran in rows around the other capital.|Keeps the source’s other-capital phrasing and ornament count.
7:21|He set up the pillars at the main hall’s porch. He named the right pillar Jachin and the left pillar Boaz.|Preserves side and name relationships.
7:22|The tops of the pillars were shaped like lilies. So the work on the pillars was finished.|Retains floral completion as a separate statement.
7:23|He made the cast-metal Sea, circular in shape, ten cubits from rim to rim and five cubits high. A cord thirty cubits long went around it.|Keeps the Sea name and all measurements without mathematical correction.
7:24|Under its rim, gourds encircled it, ten to a cubit. The gourds were in two rows, cast as one piece with the Sea.|Retains count, rows and integrated casting.
7:25|It stood on twelve cattle: three facing north, three west, three south, and three east. The Sea rested on them, and all their hindquarters faced inward.|Preserves the four directional groups and orientation.
7:26|It was a handbreadth thick. Its rim was shaped like a cup’s rim, like a lily blossom. It held two thousand baths.|Keeps thickness, floral simile and the pinned capacity.
7:27|He made ten bronze stands, each four cubits long, four wide, and three high.|Preserves the number and three dimensions of the stands.
7:28|This was how the stands were made: they had panels fitted between crossbars.|Introduces construction details with restrained technical language.
7:29|On the panels between the crossbars were lions, cattle, and cherubim. Above, on the crossbars, was a supporting ledge, and below the lions and cattle were hanging wreaths.|Retains the three figures and difficult ledge/wreath arrangement.
7:30|Each stand had four bronze wheels with bronze axles. Its four corners had cast supports under the basin, with wreaths beside each support.|Keeps wheels, axles, corner supports and decoration distinct.
7:31|From inside the crown, its opening rose a cubit above it. The opening was round, shaped like a pedestal, a cubit and a half across. It too had carvings. The panels, however, were square, not round.|Preserves upward extension, contrasting shapes and dimensions; compressed referents remain uncertain and are noted.
7:32|The four wheels were below the panels, with their axles attached to the stand. Each wheel was a cubit and a half high.|Keeps wheel position, attachment and size.
7:33|The wheels were made like chariot wheels. Their axles, rims, spokes, and hubs were all cast metal.|Retains the chariot comparison and four parts.
7:34|Each stand had four supports at its four corners, made as one piece with the stand.|Keeps the integral construction explicit.
7:35|At the top of each stand was a round band half a cubit high. Its supports and panels were made as one piece with it.|Preserves the upper band’s shape, height and joined components.
7:36|On the surfaces of its supports and panels he engraved cherubim, lions, and palm trees wherever there was room, with wreaths all around.|Keeps decoration adapted to the available surface.
7:37|He made all ten stands alike: the same casting, dimensions, and shape.|Retains the threefold identity statement.
7:38|He made ten bronze basins, each holding forty baths and measuring four cubits. There was one basin on each of the ten stands.|Preserves capacity and measurement without inventing an unstated dimension.
7:39|He placed five stands on the right side of the house and five on the left. He put the Sea on the right side, toward the southeast.|Makes the five/five arrangement and Sea location readable.
7:40|Hiram made the basins, shovels, and bowls. He finished all the work he did for King Solomon on the LORD’s house:|Keeps basins in this verse rather than harmonizing the later pots list.
7:41|the two pillars; the two bowl-shaped capitals on top of them; the two lattices covering those capitals;|Retains the inventory’s paired items.
7:42|the four hundred pomegranates for the two lattices, two rows for each lattice, covering the two bowl-shaped capitals at the tops of the pillars;|Preserves total, distribution and location.
7:43|the ten stands and the ten basins on them;|Keeps both counts in the repeated inventory.
7:44|the one Sea and the twelve cattle underneath it;|Retains the singular vessel and twelve supports.
