1:1|The record of the origins of Jesus the Messiah, son of David, son of Abraham.|Keeps genesis/origins broader than a mere name list and preserves the two defining ancestral titles.
4:18|Walking beside the Sea of Galilee, he saw two brothers, Simon called Peter and his brother Andrew, casting a net into the sea, for they were fishermen.|Retains both names, kinship, and fishing action.
4:19|“Come after me,” he said, “and I will make you fishers of people.”|Preserves the fishing metaphor and inclusive object without replacing it with recruitment explanation.
4:20|At once they left their nets and followed him.|Keeps immediate response and concrete abandoned equipment.
4:21|Going farther, he saw two more brothers, James son of Zebedee and his brother John. They were in the boat with their father Zebedee, mending their nets. He called them,|Retains the full family scene and net-mending work.
4:22|and at once they left the boat and their father and followed him.|Keeps both things left and the repeated immediate following.
4:23|He traveled throughout Galilee, teaching in their synagogues, proclaiming the good news of the kingdom, and healing every disease and illness among the people.|Retains teaching/proclamation/healing as three distinct activities.
4:24|Word about him spread throughout Syria. People brought him everyone suffering from various diseases and severe pain, those afflicted by demons, those with seizures, and those who were paralyzed. He healed them.|Preserves the distinct afflictions without conflating seizures with demonic possession.
4:25|Large crowds followed him from Galilee, the Decapolis, Jerusalem, Judea, and beyond the Jordan.|Keeps all five places and the broad following.
5:1|When Jesus saw the crowds, he went up the mountain and sat down. His disciples came to him,|Keeps setting, teaching posture, and distinct disciples within the crowd scene.
5:2|and he began to teach them:|Renders opened-his-mouth as the beginning of formal speech.
5:3|“Blessed are the poor in spirit,\nfor the kingdom of heaven is theirs.|Retains the qualification in spirit and present possession rather than paraphrasing the blessing.
5:4|Blessed are those who mourn,\nfor they will be comforted.|Keeps mourning broad and the passive future comfort.
5:5|Blessed are the gentle,\nfor they will inherit the earth.|Renders praus as gentle with meekness noted, retaining inheritance and earth/land range.
5:6|Blessed are those who hunger and thirst for righteousness,\nfor they will be filled.|Preserves both bodily desires and righteousness as a recurring term.
5:7|Blessed are the merciful,\nfor they will receive mercy.|Keeps the mercy reciprocity with clear passive sense.
5:8|Blessed are the pure in heart,\nfor they will see God.|Retains heart and seeing without adding an explanation of purity.
5:9|Blessed are the peacemakers,\nfor they will be called God’s children.|Uses children for the inclusive human group while retaining the divine-family image.
5:10|Blessed are those persecuted for righteousness,\nfor the kingdom of heaven is theirs.|Matches the opening kingdom promise and retains persecution’s stated cause.
5:11|You are blessed when people insult you, persecute you, and falsely say every kind of evil against you because of me.|Keeps the shift to direct address, falsity, and because-of-me qualification.
5:12|Rejoice and celebrate, because your reward in heaven is great. That is how they persecuted the prophets before you.|Retains both joy commands and the prophetic continuity.
5:13|You are the salt of the earth. But if salt loses its saltiness, how can it be made salty again? It is good for nothing except to be thrown outside and trampled underfoot.|Keeps the riddle and concrete fate without replacing salt with its supposed function.
5:14|You are the light of the world. A city set on a mountain cannot be hidden.|Retains both light and elevated-city images.
5:15|No one lights a lamp and puts it under a grain basket. They put it on a lampstand, where it shines for everyone in the house.|Preserves the household objects and universal household benefit.
5:16|In the same way, let your light shine before people, so they may see your good works and glorify your Father in heaven.|Keeps the purpose directed to the Father rather than personal recognition.
5:17|Do not think I came to abolish the Law or the Prophets. I came to fulfill them, not to abolish them.|Retains both scriptural divisions and repeated abolish/fulfill contrast.
5:18|Truly I tell you: until heaven and earth pass away, not one smallest letter or pen stroke will pass from the Law until everything happens.|Preserves both until clauses and the exactness image without specifying what everything must mean.
5:19|So whoever sets aside even one of these least commandments and teaches others to do the same will be called least in the kingdom of heaven. But whoever practices and teaches them will be called great in the kingdom of heaven.|Retains least/great and doing/teaching parallels.
5:20|For I tell you, unless your righteousness exceeds that of the scribes and Pharisees, you will certainly not enter the kingdom of heaven.|Keeps the strong negative and righteousness comparison without caricaturing the named groups.
5:21|You have heard that it was said to those of old, ‘Do not murder,’ and, ‘Whoever murders will answer to the court.’|Preserves address to earlier people and both quoted clauses.
5:22|But I tell you: anyone angry with a brother or sister will answer to the court. Whoever calls a brother or sister ‘Raca’ will answer to the council, and whoever says ‘Fool!’ will answer to fiery Gehenna.|Follows the pinned absence of without-cause, retains Raca/Gehenna with vocabulary support, and keeps the escalating judgments.
5:23|So if you are bringing your gift to the altar and remember there that a brother or sister has something against you,|Keeps the grievance as held by the other person and leaves the condition open.
5:24|leave your gift there before the altar. First go and be reconciled with that person; then come and offer your gift.|Preserves the order of reconciliation before offering.
5:25|Come to terms with your accuser quickly while you are on the way together. Otherwise your accuser may hand you to the judge, the judge to the officer, and you will be thrown into prison.|Keeps the legal progression and urgency of action on the way.
5:26|Truly I tell you: you will not get out until you have paid the last quadrans.|Retains the smallest-debt image and ancient coin with vocabulary help.
5:27|You have heard that it was said, ‘Do not commit adultery.’|Retains the quotation without a later textual expansion.
5:28|But I tell you: anyone who looks at a woman in order to desire her has already committed adultery with her in his heart.|Keeps purposeful looking, specific male/woman relationship, and inner adultery; does not turn all noticing into the claim.
5:29|If your right eye causes you to stumble, tear it out and throw it away. It is better to lose one part of your body than for your whole body to be thrown into Gehenna.|Preserves disturbing hyperbole, right eye, and part/whole contrast, with literary form noted.
5:30|And if your right hand causes you to stumble, cut it off and throw it away. It is better to lose one part of your body than for your whole body to go into Gehenna.|Keeps the repeated hand version and source’s slightly different final verb.
5:31|It was also said, ‘Whoever divorces his wife must give her a certificate of divorce.’|Preserves the gendered legal setting and written certificate.
5:32|But I tell you: anyone who divorces his wife, except on grounds of sexual immorality, causes her to be involved in adultery, and anyone who marries a divorced woman commits adultery.|Retains exception, causative responsibility, and passive involvement, with porneia and syntax explained briefly rather than used as pastoral advice.
5:33|Again, you have heard that it was said to those of old, ‘Do not swear falsely, but fulfill your oaths to the Lord.’|Keeps both prohibitory and positive oath obligations.
5:34|But I tell you not to swear at all: neither by heaven, because it is God’s throne,|Retains comprehensive prohibition and first supporting image.
5:35|nor by earth, because it is his footstool, nor by Jerusalem, because it is the city of the great King.|Preserves both further referents and reasons.
5:36|Do not swear by your own head either, because you cannot make a single hair white or black.|Keeps the bodily example and exact single-hair limit.
5:37|Let your words be ‘Yes, yes’ or ‘No, no.’ Anything beyond this comes from evil.|Preserves repeated yes/no and leaves evil/evil-one ambiguity noted.
5:38|You have heard that it was said, ‘An eye for an eye and a tooth for a tooth.’|Retains the familiar legal formula rather than changing it for novelty.
5:39|But I tell you not to resist the wrongdoer. If someone strikes your right cheek, turn the other to him too.|Keeps the force of nonresistance and specific right cheek without inserting an interpretive limit.
5:40|If someone wants to sue you for your tunic, let him have your cloak as well.|Preserves legal setting and distinct inner/outer garments.
5:41|If someone forces you to go one mile, go two with him.|Keeps coercion and exact one/two contrast.
5:42|Give to the one who asks you, and do not turn away someone who wants to borrow from you.|Retains separate giving and lending commands.
5:43|You have heard that it was said, ‘Love your neighbor and hate your enemy.’|Keeps the cited saying without falsely assigning the entire phrase to Torah in a note.
5:44|But I tell you: love your enemies and pray for those who persecute you,|Follows the shorter pinned text and keeps both enemy-love and prayer.
5:45|so you may be children of your Father in heaven. He makes his sun rise on the evil and the good, and sends rain on the righteous and the unrighteous.|Preserves divine-family purpose and both weather gifts across moral contrasts.
5:46|If you love those who love you, what reward do you have? Do not even tax collectors do the same?|Keeps the rhetorical question and named comparison group.
5:47|And if you greet only your own brothers and sisters, what more are you doing? Do not even Gentiles do the same?|Preserves greeting, exclusive circle, and nations without importing a new insult. Renders ethnikoí as Gentiles, identifying non-Jewish people rather than political nations.
5:48|So be complete, as your heavenly Father is complete.|Keeps the telos/wholeness force in context, with perfect as a lexical alternative noted.
6:1|Be careful not to practice your righteousness before people in order to be seen by them. Otherwise you have no reward from your Father in heaven.|Follows pinned righteousness and preserves the motive qualification linking the examples.
6:2|So when you give to the poor, do not sound a trumpet ahead of you, as hypocrites do in synagogues and streets to win people’s praise. Truly I tell you: they have received their reward in full.|Keeps almsgiving concrete, the trumpet image, and full-payment refrain.
6:3|But when you give to the poor, do not let your left hand know what your right hand is doing,|Preserves the impossible secrecy image rather than converting it to advice about bookkeeping.
6:4|so your giving may be in secret. Your Father, who sees in secret, will repay you.|Keeps the secret/seeing contrast and no added openly.
6:5|When you pray, do not be like the hypocrites. They love to stand praying in synagogues and on street corners so people will see them. Truly I tell you: they have received their reward in full.|Retains visibility motive and repeats the reward refrain exactly.
6:6|But when you pray, go into your inner room, shut the door, and pray to your Father who is in secret. Your Father, who sees in secret, will repay you.|Preserves private-room sequence and repeated secret language.
6:7|When you pray, do not babble like Gentiles. They think they will be heard because of their many words.|Keeps the critique of speech and presumed efficacy without treating all repeated prayer as condemned. Renders ethnikoí as Gentiles, identifying non-Jewish people rather than political nations.
6:8|Do not be like them. Your Father knows what you need before you ask him.|Retains divine knowledge before asking without deleting the call to prayer.
6:9|Pray like this:\n‘Our Father in heaven,\nmay your name be held holy.|Keeps plural our and passive sanctification as a petition.
6:10|May your kingdom come.\nMay your will be done\non earth as in heaven.|Preserves three parallel petitions and earthly realization.
6:11|Give us today the bread we need.|Chooses needed bread for epiousios, with daily/coming-day alternatives noted.
6:12|Forgive us our debts,\nas we too have forgiven our debtors.|Retains debts metaphor and pinned past have-forgiven.
6:13|Do not bring us into testing,\nbut rescue us from evil.’|Keeps the difficult divine-agency petition, evil/evil-one ambiguity, and absence of later doxology.
6:14|For if you forgive people their offenses, your heavenly Father will also forgive you.|Preserves the conditional reciprocity and transition from debts to offenses.
6:15|But if you do not forgive people, your Father will not forgive your offenses.|Keeps the negative counterpart without adding an unstated object to the first clause.
6:16|When you fast, do not look gloomy like the hypocrites. They disfigure their faces so people will notice they are fasting. Truly I tell you: they have received their reward in full.|Preserves appearance motive and the third exact reward refrain.
6:17|But when you fast, put oil on your head and wash your face,|Keeps the ordinary grooming actions rather than a modern equivalent.
6:18|so your fasting is seen by your Father who is in secret, not by people. Your Father, who sees in secret, will repay you.|Retains the visibility contrast and repeated private reward wording.
6:19|Do not store up treasures for yourselves on earth, where moth and decay destroy and thieves break in and steal.|Keeps moth, consuming decay, and burglary images.
6:20|Store up treasures for yourselves in heaven, where neither moth nor decay destroys and thieves do not break in or steal.|Mirrors the preceding sentence to retain its contrast and repetition.
6:21|For where your treasure is, there your heart will be too.|Retains singular your and the familiar heart/treasure relation.
6:22|The eye is the body’s lamp. If your eye is sound, your whole body will be full of light.|Keeps eye/lamp and whole-body light; single/generous nuances noted.
6:23|But if your eye is bad, your whole body will be dark. If the light within you is darkness, how great that darkness is!|Preserves the paradox and exclamation without reducing it to eyesight advice.
6:24|No one can serve two masters. You will hate one and love the other, or be devoted to one and despise the other. You cannot serve God and wealth.|Keeps slavery-service, opposed allegiances, and mammon as wealth with vocabulary support.
6:25|That is why I tell you: do not worry about your life, what you will eat, or about your body, what you will wear. Is life not more than food, and the body more than clothing?|Follows the pinned shorter first list and keeps the life/body comparison.
6:26|Look at the birds of heaven. They neither sow nor reap nor gather into storehouses, yet your heavenly Father feeds them. Are you not worth more than they are?|Preserves all three agricultural absences and rhetorical comparison.
6:27|Which of you can add a single cubit to your lifespan by worrying?|Retains the deliberately mixed measurement image and notes stature/lifespan ambiguity.
6:28|And why worry about clothing? Consider how the field’s lilies grow. They neither labor nor spin,|Keeps the observation invitation and both absent forms of work.
6:29|yet I tell you, even Solomon in all his glory was not clothed like one of them.|Retains specific royal comparison and single flower.
6:30|If God clothes the field’s grass this way, though it is here today and thrown into the oven tomorrow, will he not clothe you much more, you of little faith?|Preserves ephemeral fuel, divine provision, and direct faith rebuke.
6:31|So do not worry, asking, ‘What will we eat?’ or ‘What will we drink?’ or ‘What will we wear?’|Retains all three practical questions in their repeated form.
6:32|The nations seek all these things, and your heavenly Father knows you need them all.|Keeps nations, all twice, and the Father’s knowledge.
6:33|Seek first the kingdom and his righteousness, and all these things will be given to you as well.|Follows pinned absence of of-God after kingdom and preserves righteousness and priority.
6:34|So do not worry about tomorrow. Tomorrow will worry about itself. Each day has enough trouble of its own.|Retains personified tomorrow and the limited daily horizon.
7:1|Do not judge, so that you will not be judged.|Keeps the uncompromising command and passive consequence.
7:2|For the judgment you give will be given to you, and the measure you use will be used for you.|Preserves the two reciprocal images and passive agency.
7:3|Why do you notice the speck in your brother’s or sister’s eye but fail to consider the beam in your own?|Retains the absurd scale contrast and inclusive fellow-member referent.
7:4|How can you say, ‘Let me remove the speck from your eye,’ when there is a beam in your own eye?|Keeps quoted offer and self-contradictory situation.
7:5|Hypocrite! First remove the beam from your own eye. Then you will see clearly to remove the speck from your brother’s or sister’s eye.|Preserves first/then order and the eventual ability to help.
7:6|Do not give what is holy to dogs or throw your pearls before pigs. They may trample them underfoot, then turn and tear you apart.|Retains animals, precious objects, and violent reversal without assigning modern groups to them.
7:7|Ask, and it will be given to you. Seek, and you will find. Knock, and the door will be opened to you.|Preserves the three parallel commands and promises.
7:8|For everyone who asks receives; the one who seeks finds; and to the one who knocks, the door will be opened.|Retains the complete repetition in indicative form.
7:9|Who among you would give his son a stone when he asks for bread?|Keeps father/son and the food/stone contrast.
7:10|Or give him a snake when he asks for a fish?|Preserves the parallel question and specific animals.
7:11|If you, evil as you are, know how to give good gifts to your children, how much more will your Father in heaven give good things to those who ask him!|Retains the troubling evil assessment and greater divine generosity without importing Luke’s Spirit wording.
7:12|So in everything, do for others what you want them to do for you. This is the Law and the Prophets.|Keeps comprehensive scope, active obligation, and scriptural summary.
7:13|Enter through the narrow gate. The gate is wide and the road spacious that leads to destruction, and many enter through it.|Preserves both gate and road and the many travelers.
7:14|But the gate is narrow and the road constricted that leads to life, and few find it.|Keeps the constrained road and few without turning the image into statistics.
7:15|Watch out for false prophets. They come to you dressed as sheep, but inwardly they are ravenous wolves.|Retains disguise, inward reality, and predatory force.
7:16|You will recognize them by their fruit. Are grapes gathered from thornbushes, or figs from thistles?|Keeps the fruit criterion and both botanical questions.
7:17|In the same way, every good tree produces good fruit, while a rotten tree produces bad fruit.|Retains tree/fruit relation and rotten rather than merely different.
7:18|A good tree cannot produce bad fruit, nor can a rotten tree produce good fruit.|Preserves the repeated impossibility and reverse parallel.
7:19|Every tree that fails to produce good fruit is cut down and thrown into the fire.|Matches the recurring judgment wording from chapter three.
7:20|So you will recognize them by their fruit.|Retains the closing repetition of the criterion.
7:21|Not everyone who says to me, ‘Lord, Lord,’ will enter the kingdom of heaven, but the one who does my heavenly Father’s will.|Preserves repeated Lord and the contrast between speech and doing.
7:22|Many will say to me on that day, ‘Lord, Lord, did we not prophesy in your name, drive out demons in your name, and do many mighty works in your name?’|Keeps all three claims and three in-your-name repetitions.
7:23|Then I will tell them plainly, ‘I never knew you. Depart from me, you workers of lawlessness!’|Preserves never, personal rejection, and lawlessness without softening it.
7:24|So everyone who hears these words of mine and does them will be like a wise man who built his house on rock.|Keeps hearing/doing and the wise builder with concrete foundation.
7:25|The rain came down, the rivers rose, and the winds blew and beat against that house. But it did not fall, because its foundation was on rock.|Preserves all three pressures and the stated reason for survival.
7:26|Everyone who hears these words of mine and does not do them will be like a foolish man who built his house on sand.|Mirrors the prior builder while retaining the decisive failure to act.
7:27|The rain came down, the rivers rose, and the winds blew and struck that house. It fell, and its fall was great.”|Retains repeated storm sequence and emphatic collapse.
7:28|When Jesus finished saying these things, the crowds were astonished at his teaching,|Keeps the discourse-ending formula and crowd response.
7:29|because he taught them as someone with authority, unlike their scribes.|Retains the narrator’s explanation and specific comparison without broad claims about Judaism.
8:1|When Jesus came down from the mountain, large crowds followed him.|Names the returning subject and preserves the movement from teaching to encounter.
8:2|A man with a skin disease came up, bowed before him, and said, “Lord, if you are willing, you can make me clean.”|Keeps willingness distinct from ability and avoids a modern diagnosis for lepros.
8:3|Jesus reached out and touched him. “I am willing,” he said. “Be clean.” At once the man’s skin disease was cleansed.|Retains touch, verbal echo, and immediate cleansing rather than only medical recovery.
8:4|Then Jesus told him, “See that you tell no one. Go, show yourself to the priest, and offer the gift Moses commanded, as a testimony to them.”|Preserves the prohibition and ritual testimony without specifying its disputed audience.
8:5|As Jesus entered Capernaum, a centurion approached him, pleading,|Keeps the military title and lets the plea continue across the label.
8:6|“Lord, my servant is lying at home, paralyzed and suffering terribly.”|Renders pais as servant in context while preserving paralysis and severe suffering.
8:7|Jesus said to him, “I will come and heal him.”|Retains the emphatic personal offer; the possible question belongs in a note.
8:8|The centurion answered, “Lord, I am not worthy to have you come under my roof. Just say the word, and my servant will be healed.|Preserves roof imagery and confidence in a spoken command.
8:9|I too am a man under authority, with soldiers under me. I tell one, ‘Go,’ and he goes; another, ‘Come,’ and he comes; and my slave, ‘Do this,’ and he does it.”|Distinguishes doulos from pais and preserves each command and response.
8:10|When Jesus heard this, he was amazed. He told those following him, “Truly I tell you, I have found no one in Israel with faith like this.|Keeps the source’s comparative claim without adding universal ethnic judgment.
