1:1|The words of Jeremiah son of Hilkiah, one of the priests at Anathoth in the territory of Benjamin.|Preserves priestly origin and location without identifying Hilkiah with another figure.
2:37|You will leave there too\nwith your hands on your head,\nfor the **LORD** has rejected those you trust;\nyou will not prosper through them.”|Keeps mourning/captivity gesture and failed trusts.
3:1|“If a man sends his wife away\nand she leaves him and becomes another man’s wife,\nwill he return to her again?\nWould that land not be thoroughly defiled?\nYet you have prostituted yourself with many lovers—\nand would you return to me?” declares the **LORD**.|Keeps legal analogy and question reading of return; imperative possibility noted.
3:2|“Lift your eyes to the bare heights and look:\nwhere have you not been lain with?\nBeside the roads you sat waiting for them,\nlike a desert Arab.\nYou defiled the land\nwith your prostitution and wickedness.|Follows read euphemistic lie-with while retaining sexual force and ancient comparison.
3:3|So showers were withheld,\nand the spring rain did not come.\nYet you had a prostitute’s forehead;\nyou refused to be ashamed.|Keeps drought consequence and forehead image.
3:4|Have you not just called to me,\n‘My Father, you are the companion of my youth!|Follows read you-called and retains overlapping family/companion imagery.
3:5|Will he hold a grudge forever,\nwill he keep it always?’\nLook, this is what you say,\nbut you do every evil you can.”|Follows read you-say and contrasts speech with conduct.
3:6|In the days of King Josiah, the **LORD** said to me, “Have you seen what faithless Israel has done? She went up every high mountain and under every green tree and prostituted herself there.|Preserves historical setting and female corporate personification.
3:7|I thought, ‘After she has done all this, she will return to me.’ But she did not return, and her treacherous sister Judah saw it.|Keeps frustrated divine expectation and sister witness.
3:8|I saw that, although I sent faithless Israel away and gave her a divorce document because of all her adultery, her treacherous sister Judah did not fear. She too went and prostituted herself.|Retains pinned I-saw opening and explicit divorce metaphor.
3:9|Treating her prostitution lightly, she defiled the land and committed adultery with stone and wood.|Preserves literal objects as metaphorical partners.
3:10|Despite all this, her treacherous sister Judah did not return to me with her whole heart, but only in pretense,” declares the **LORD**.|Keeps halfhearted return contrasted with actual repentance.
3:11|The **LORD** said to me, “Faithless Israel has shown herself more righteous than treacherous Judah.|Preserves comparative righteousness rather than absolute innocence.
3:12|Go and proclaim these words toward the north:\n‘Return, faithless Israel,’ declares the **LORD**.\n‘I will not look on you in anger,\nfor I am faithful in love,’ declares the **LORD**.\n‘I will not hold a grudge forever.|Keeps northward address and return-turning word family.
3:13|Only acknowledge your guilt:\nyou rebelled against the **LORD** your God,\nscattered your favors among strangers under every green tree,\nand did not listen to my voice,’ declares the **LORD**.|Preserves confession requirement and metaphorical scattered ways.
3:14|‘Return, children who have turned away,’ declares the **LORD**,\n‘for I am your husband.\nI will take you, one from a city and two from a clan,\nand bring you to Zion.|Retains husband/master ambiguity and exact gathering numbers.
3:15|I will give you shepherds after my own heart,\nand they will shepherd you with knowledge and understanding.|Keeps shepherd repetition for leaders’ task.
3:16|When you multiply and become fruitful in the land in those days,’ declares the **LORD**, ‘people will no longer say, “The ark of the **LORD**’s covenant.” It will not come to mind; they will not remember it or miss it, and it will not be made again.|Preserves striking disappearance of ark’s role and all negations.
3:17|At that time they will call Jerusalem the **LORD**’s Throne. All nations will gather there, to Jerusalem, for the **LORD**’s name. They will no longer follow the stubbornness of their evil hearts.|Keeps replacement throne image and nations gathering.
3:18|In those days the house of Judah will join the house of Israel. Together they will come from the northern land to the land I gave your ancestors as an inheritance.|Preserves two houses’ reunion and return direction.
3:19|I thought, “How I would place you among my sons\nand give you a desirable land,\nthe most beautiful inheritance among the nations!”\nI thought you would call me “My Father”\nand would not turn away from following me.|Follows read feminine singular address and retains sons inheritance language.
3:20|But as a wife betrays her companion,\nso you have betrayed me, house of Israel,’\ndeclares the **LORD**.”|Keeps companion term and explicit national addressee.
3:21|A sound is heard on the bare heights,\nthe weeping pleas of Israel’s children,\nfor they have twisted their way\nand forgotten the **LORD** their God.|Retains former cultic heights as lament location.
3:22|“Return, children who have turned away;\nI will heal your turning away.”\n“Here we are! We come to you,\nfor you are the **LORD** our God.|Marks change from summons to communal response and repeated turning.
3:23|Surely the hills are a deception,\nthe uproar on the mountains.\nSurely in the **LORD** our God\nis Israel’s salvation.|Retains compressed hill-uproar clause and doubled surely.
3:24|From our youth, Shame has devoured\nwhat our ancestors worked for:\ntheir flocks and cattle,\ntheir sons and daughters.|Preserves personified Shame and sacrificed human children.
3:25|Let us lie down in our shame;\nlet humiliation cover us.\nWe have sinned against the **LORD** our God,\nwe and our ancestors,\nfrom our youth to this day.\nWe have not listened to the **LORD** our God.”|Keeps collective confession’s generations and duration.
4:1|“If you return, Israel,” declares the **LORD**,\n“return to me.\nIf you remove your offensive things from my sight\nand cease wandering,|Keeps conditional return and relational destination.
4:2|and swear, ‘As the **LORD** lives,’\nin truth, justice and righteousness,\nthen nations will bless themselves by him\nand boast in him.”|Preserves oath’s ethical conditions and nations’ response.
4:3|For this is what the **LORD** says to the men of Judah and to Jerusalem:\n“Break up your unplowed ground;\ndo not sow among thorns.|Keeps agricultural preparation metaphor and specific audience.
4:4|Circumcise yourselves to the **LORD**;\nremove the foreskins of your hearts,\nmen of Judah and inhabitants of Jerusalem,\nor my fury will burst out like fire\nand burn with no one to quench it,\nbecause of your evil deeds.”|Preserves embodied circumcision metaphor and unquenched threat.
4:5|Announce in Judah, proclaim in Jerusalem:\n“Blow the ram’s horn through the land!”\nCry out at full voice:\n“Gather! Let us enter the fortified cities!”|Keeps public alarm and collective refuge call.
4:6|Raise a banner toward Zion!\nSeek safety; do not delay!\nFor I am bringing disaster from the north,\ngreat destruction.|Preserves direction, urgency and divine agency.
4:7|A lion has come out of his thicket;\na destroyer of nations has set out.\nHe has left his place to devastate your land;\nyour cities will become ruins without inhabitants.|Keeps invader unnamed and lion comparison.
4:8|So put on sackcloth, mourn and howl,\nfor the **LORD**’s burning anger\nhas not turned away from us.|Preserves speaker’s inclusion in threatened us.
4:9|“On that day,” declares the **LORD**,\n“the king and officials will lose heart;\npriests will be appalled,\nand prophets stunned.”|Keeps all four leadership groups.
4:10|Then I said, “Ah, Lord **GOD**! You have surely deceived this people and Jerusalem, saying, ‘You will have peace,’ while the sword reaches our very lives!”|Retains prophet’s accusation of divine deception without explaining it away.
4:11|At that time this people and Jerusalem will be told,\n“A scorching wind from the wilderness’s bare heights\ncomes toward the daughter of my people,\nnot to winnow, not to clean—|Keeps destructive wind distinguished from useful farming wind.
4:12|a wind too strong for that comes at my command.\nNow I too will pronounce judgments against them.”|Preserves divine control and legal pronouncement.
4:13|Look, he rises like clouds,\nhis chariots like a whirlwind,\nhis horses swifter than eagles.\n“Woe to us! We are ruined!”|Keeps approaching enemy and quoted communal cry distinct.
4:14|Wash the evil from your heart, Jerusalem,\nso you may be saved.\nHow long will your harmful thoughts lodge within you?|Retains cleansing and lodging imagery.
4:15|A voice announces news from Dan,\nproclaims disaster from Ephraim’s hills.|Keeps approaching warning’s named geography.
4:16|“Notify the nations!\nLook, proclaim against Jerusalem:\nbesiegers are coming from a distant land;\nthey raise their voices against Judah’s cities.|Preserves watchers as siege force in context and foreign distance.
4:17|Like guards around a field, they surround her,\nbecause she has rebelled against me,” declares the **LORD**.|Keeps agricultural guard simile and feminine city.
4:18|“Your way and your deeds have brought this upon you.\nThis is your bitter disaster;\nit reaches your very heart.”|Preserves evil/disaster consequence and heart penetration.
4:19|My insides, my insides! I writhe!\nThe walls of my heart! My heart pounds within me.\nI cannot keep silent,\nfor you have heard, my soul,\nthe ram’s horn and the battle cry.|Follows read you-heard address to soul and preserves bodily fragments.
4:20|Destruction upon destruction is announced;\nthe whole land is devastated.\nSuddenly my tents are destroyed,\nmy curtains in a moment.|Keeps repeated destruction and personal dwelling imagery.
4:21|How long must I see the banner\nand hear the ram’s horn?|Retains prolonged sensory alarm.
4:22|“My people are foolish; they do not know me.\nThey are senseless children without understanding.\nThey are wise at doing evil,\nbut do not know how to do good.”|Keeps ironic wisdom and divine my-people voice.
4:23|I looked at the earth: it was unformed and empty;\nat the heavens: their light was gone.|Preserves Genesis creation-reversal vocabulary.
4:24|I looked at the mountains: they were quaking;\nall the hills were shaking.|Repeats I-looked frame and two landforms.
4:25|I looked: there was no human being;\nall the birds of the heavens had fled.|Keeps absence of humans and birds.
4:26|I looked: the fruitful land was wilderness;\nall its cities lay demolished\nbefore the **LORD**, before his burning anger.|Preserves fourth I-looked and repeated before.
4:27|For this is what the **LORD** says:\n“The whole land will become desolate,\nbut I will not make a complete end.|Keeps limiting assurance within total devastation language.
4:28|For this the earth will mourn\nand the heavens above grow dark.\nI have spoken; I have resolved it.\nI have not relented and will not turn back.”|Preserves earth mourning and irreversible declared purpose.
4:29|At the sound of horsemen and archers,\nevery city flees.\nThey enter thickets and climb among rocks.\nEvery city is abandoned;\nnot a person lives in them.|Retains multiple refuges and city-person metonymy.
4:30|And you, devastated one, what are you doing?\nThough you dress in scarlet and adorn yourself with gold,\nthough you widen your eyes with dark paint,\nyou make yourself beautiful for nothing.\nYour lovers despise you; they seek your life.|Keeps cosmetics and lethal reversal of lovers.
4:31|I hear a voice like a woman in labor,\ndistress like one bearing her first child—\nthe voice of Daughter Zion, gasping,\nspreading out her hands:\n“Woe to me! My life is failing before killers!”|Preserves first childbirth and explicit attackers.
5:1|“Roam Jerusalem’s streets; look and find out!\nSearch her squares.\nIf you find one person who does justice\nand seeks faithfulness,\nI will forgive her.|Keeps single righteous person condition and female city pardon.
5:2|Even when they say, ‘As the **LORD** lives,’\nthey swear falsely.”|Preserves misuse of correct oath formula.
5:3|**LORD**, do your eyes not look for faithfulness?\nYou struck them, but they felt no pain;\nyou consumed them, but they refused discipline.\nThey made their faces harder than rock\nand refused to return.|Keeps physical resistance and repeated refusal.
5:4|I thought, “These are only the poor;\nthey act foolishly because they do not know\nthe **LORD**’s way, their God’s judgment.|Marks observer’s hypothesis rather than narrator-endorsed generalization about poverty.
5:5|Let me go to the great and speak with them,\nfor they know the **LORD**’s way, their God’s judgment.”\nBut together they too had broken the yoke\nand torn apart the bonds.|Keeps elite failure overturning initial hypothesis.
5:6|So a lion from the forest will strike them,\na wolf from the deserts will devastate them,\nand a leopard will watch their cities.\nEveryone leaving them will be torn apart,\nfor their rebellions are many\nand their turning away is great.|Retains three predators and violent consequence.
5:7|“How can I forgive you?\nYour children abandoned me\nand swore by what are not gods.\nI fed them fully, but they committed adultery\nand crowded into a prostitute’s house.|Keeps divine provision and unfaithful response.
5:8|They were well-fed, lustful stallions,\neach neighing after his neighbor’s wife.|Preserves animal sexual metaphor and specific wives.
5:9|Should I not call them to account for this?” declares the **LORD**.\n“Should I not take vengeance on a nation like this?|Establishes repeated judicial question refrain.
5:10|Climb through her vine rows and destroy,\nbut do not make a complete end.\nStrip off her shoots,\nfor they do not belong to the **LORD**.|Chooses vineyard reading from shoots context; wall alternative noted.
5:11|For the house of Israel and the house of Judah\nhave thoroughly betrayed me,” declares the **LORD**.|Preserves both houses and emphatic betrayal.
5:12|They have denied the **LORD**, saying,\n“It is not he! Disaster will not come upon us;\nwe will see neither sword nor famine.|Keeps ambiguous denial wording rather than categorical atheism.
5:13|The prophets will become wind;\nthe word is not in them.\nLet this happen to them!”|Retains hostile assessment of prophets and retaliatory wish.
5:14|So this is what the **LORD**, God of hosts, says:\n“Because you have said this,\nlook, I am making my words in your mouth fire\nand this people wood.\nThe fire will consume them.|Keeps plural accusers to singular prophet shift and word-fire image.
5:15|Look, I am bringing a nation from far away against you,\nhouse of Israel,” declares the **LORD**.\n“It is an enduring nation, an ancient nation,\na nation whose language you do not know,\nwhose speech you cannot understand.|Preserves repeated nation and incomprehensible language.
5:16|Its quiver is an open grave;\nall its men are warriors.|Retains deadly quiver metaphor.
5:17|It will devour your harvest and your bread,\ndevour your sons and daughters,\ndevour your flocks and cattle,\ndevour your vines and fig trees.\nWith the sword it will shatter\nthe fortified cities you trust.|Preserves repeated devour and children as objects rather than harmonizing syntax to food-only loss.
5:18|Yet even in those days,” declares the **LORD**, “I will not make a complete end of you.|Keeps repeated limitation on destruction.
5:19|“When you ask, ‘Why has the **LORD** our God done all this to us?’ tell them, ‘As you abandoned me and served foreign gods in your own land, so you will serve foreigners in a land not your own.’|Preserves service-for-service reversal and land contrast.
5:20|“Announce this in the house of Jacob;\nproclaim it in Judah:|Keeps named audience and herald formula.
5:21|‘Hear this, foolish people without sense,\nwho have eyes but do not see,\nears but do not hear.|Retains paired unused faculties.
5:22|Do you not fear me?’ declares the **LORD**.\n‘Will you not tremble before me,\nwho set sand as the sea’s boundary,\nan everlasting limit it cannot cross?\nIts waves surge, but cannot prevail;\nthey roar, but cannot cross it.|Keeps repeated cannot-cross and humble sand boundary.
5:23|But this people has a stubborn, rebellious heart;\nthey turned aside and went away.|Contrasts human rebellion with bounded sea.
5:24|They do not say in their hearts,\n“Let us fear the **LORD** our God,\nwho gives rain in its season, autumn and spring rain,\nand keeps for us the appointed weeks of harvest.”|Preserves seasonal rains and harvest weeks.
5:25|Your offenses have turned these away;\nyour sins have kept good things from you.|Keeps consequences linked to preceding agricultural gifts.
5:26|For wicked people are found among my people.\nThey lie in wait like crouching birdcatchers;\nthey set a trap and catch human beings.|Preserves difficult hunter simile and human prey.
5:27|Like a cage full of birds,\ntheir houses are full of deceit.\nThat is how they became great and rich.|Keeps wealth attributed to trapping/deception.
5:28|They have grown fat and sleek;\ntheir evil knows no bounds.\nThey do not judge the orphan’s case to secure justice,\nand they do not defend the poor person’s rights.|Retains bodily prosperity and two denied legal protections.
5:29|Should I not call them to account for this?’ declares the **LORD**.\n‘Should I not take vengeance on a nation like this?’|Repeats 5:9 refrain exactly in substance.
5:30|“An appalling, horrible thing has happened in the land:|Keeps double horror introduction.
5:31|prophets prophesy falsely,\npriests rule at their direction,\nand my people love it this way.\nBut what will you do when the end comes?”|Preserves complicity of people and uncertain priest-prophet relation.
6:1|Seek safety, people of Benjamin,\naway from Jerusalem!\nBlow the ram’s horn in Tekoa;\nraise a signal over Beth-haccherem.\nFor disaster looms from the north,\ngreat destruction.|Keeps flight from city rather than into it and all place names.
6:2|I will destroy Daughter Zion,\nbeautiful and pampered.|Chooses destroy sense of difficult verb; comparison alternative noted.
6:3|Shepherds with their flocks will come against her;\nthey will pitch tents all around her,\neach grazing his own patch.|Preserves invaders as pastoral encampment.
6:4|“Consecrate war against her!\nRise, let us attack at noon!\nAlas for us, the day is declining;\nevening shadows are lengthening.|Keeps holy-war preparation and attackers’ urgency.
6:5|Rise, let us attack at night\nand destroy her palaces!”|Retains shift to night attack.
6:6|For this is what the **LORD** of hosts says:\n“Cut down trees and heap a siege ramp against Jerusalem.\nThis is the city to be called to account;\nthere is nothing but oppression within her.|Preserves divine order for siege and civic oppression charge.
6:7|As a well keeps its water flowing,\nso she keeps her wickedness flowing.\nViolence and devastation are heard in her;\nsickness and wounds are constantly before me.|Keeps sustained evil-water image and physical injuries.
6:8|Accept correction, Jerusalem,\nor I will turn away from you\nand make you desolate,\na land without inhabitants.”|Preserves conditional warning and relational withdrawal.
6:9|This is what the **LORD** of hosts says:\n“They will thoroughly glean Israel’s remnant like a vine.\nPass your hand over the branches again, like a grape gatherer.”|Keeps repeated gleaning of remnant and difficult branch/basket term.
6:10|To whom can I speak and give warning\nso they will listen?\nTheir ears are uncircumcised; they cannot pay attention.\nThe **LORD**’s word is an insult to them;\nthey take no pleasure in it.|Preserves circumcision image applied to hearing.
6:11|I am filled with the **LORD**’s fury;\nI am weary of holding it in.\n“Pour it out on children in the street\nand on gatherings of young men,\nfor husband and wife alike will be captured,\nthe old and those full of years.|Marks command after prophet’s complaint and retains vulnerable victims.
6:12|Their houses will pass to others,\ntogether with fields and wives,\nfor I will stretch out my hand\nagainst the land’s inhabitants,” declares the **LORD**.|Preserves wives seized with property as real harm, not abstract loss.
6:13|“From the least to the greatest,\nall are greedy for gain.\nFrom prophet to priest,\nall practice falsehood.|Keeps two comprehensive ranges.
6:14|They treat my people’s fracture as a trifling wound,\nsaying, ‘Peace, peace,’\nwhen there is no peace.|Preserves medical severity and doubled false assurance.
6:15|Were they ashamed of the offensive things they did?\nNo, they felt no shame; they did not know how to blush.\nSo they will fall among the fallen;\nwhen I call them to account, they will stumble,” says the **LORD**.|Keeps rhetorical shame question and falling/stumbling parallel.
6:16|This is what the **LORD** says:\n“Stand at the crossroads and look.\nAsk about the ancient paths: where is the good way?\nWalk in it, and find rest for yourselves.\nBut they said, ‘We will not walk in it.’|Retains path search and explicit refusal without generic traditionalism.
6:17|I stationed watchmen over you:\n‘Pay attention to the ram’s horn!’\nBut they said, ‘We will not pay attention.’|Preserves warning and matching refusal.
6:18|So hear, nations;\nknow, assembly, what is among them.|Keeps difficult assembly address rather than silently emending.
6:19|Hear, earth! Look, I am bringing disaster on this people,\nthe fruit of their thoughts,\nbecause they did not attend to my words\nand rejected my instruction.|Preserves disaster as thought-fruit and rejected instruction.
6:20|What use to me is frankincense from Sheba\nor fine aromatic cane from a distant land?\nYour burnt offerings are not acceptable;\nyour sacrifices do not please me.”|Keeps costly imported ingredients contrasted with rejected worship.
6:21|So this is what the **LORD** says:\n“Look, I am placing obstacles before this people.\nParents and children together will stumble over them;\nneighbors and companions will perish.”|Retains divine placed obstacles and intergenerational harm.
6:22|This is what the **LORD** says:\n“Look, a people comes from the northern land;\na great nation is stirred up from earth’s farthest reaches.|Keeps invader unnamed and distant origin.
6:23|They grip bow and javelin;\nthey are cruel and show no compassion.\nTheir voice roars like the sea;\nthey ride horses, arrayed for battle\nagainst you, Daughter Zion.”|Preserves weapons, cruelty and sea-roar simile.
6:24|We have heard the report of them;\nour hands hang limp.\nDistress has seized us,\npain like a woman giving birth.|Keeps communal reaction and labor pains.
6:25|Do not go into the fields\nor walk along the road,\nfor the enemy has a sword—\nterror on every side!|Follows read plural commands and retains recurring terror phrase.
6:26|Daughter of my people, put on sackcloth\nand roll in ashes.\nMourn as for an only child;\nraise a bitter lament,\nfor suddenly the destroyer will come upon us.|Keeps singular daughter and speaker included in us.
6:27|“I have made you an assayer among my people, a fortress,\nso you may know and test their way.|Preserves pinned fortress in mixed metallurgical context; alternative ore noted.
6:28|They are all stubborn rebels, going about as slanderers,\nbronze and iron; all are corrupt.|Keeps base-metal identities and universal indictment.
6:29|The bellows blow fiercely;\nthe lead is consumed by fire.\nThe refiner refines for nothing;\nthe wicked are not separated out.|Follows read fire-consumed division and preserves failed refining.
6:30|They are called Rejected Silver,\nfor the **LORD** has rejected them.”|Keeps rejected/rejected naming explanation.
7:1|The word that came to Jeremiah from the **LORD**:|Preserves third-person narrative reset.
7:2|“Stand at the gate of the **LORD**’s house and proclaim this word there: ‘Hear the **LORD**’s word, all you of Judah who enter these gates to bow before the **LORD**.|Keeps temple threshold audience and all three divine names.
7:3|This is what the **LORD** of hosts, Israel’s God, says: Put your ways and deeds right, and I will let you live in this place.|Keeps conditional residence and behavior change; dwell-with alternative noted.
7:4|Do not trust deceptive words: “The **LORD**’s temple! The **LORD**’s temple! These are the **LORD**’s temple!”|Preserves triple formula and plural demonstrative.
7:5|If you truly put your ways and deeds right, if you truly do justice between one person and another,|Keeps emphatic if and interpersonal justice.
7:6|if you do not oppress the resident foreigner, the orphan or the widow, do not shed innocent blood in this place, and do not follow other gods to your own harm,|Preserves all protected groups and concrete harms.
7:7|then I will let you live in this place, in the land I gave your ancestors from long ago and forever.|Keeps land inheritance and temporal scope.
7:8|But look, you trust deceptive words that cannot help.|Retains accusation after conditional promise.
7:9|Will you steal, murder, commit adultery, swear falsely, burn offerings to Baal and follow other gods you have not known,|Preserves six charges with named Baal.
7:10|then come and stand before me in this house that bears my name, and say, “We are safe!”—only to go on doing all these offensive things?|Keeps sanctuary refuge enabling further wrongdoing.
