1:1|Paul, an apostle of Christ Jesus by God's will, according to the promise of life in Christ Jesus,|Keeps divine commissioning and the promise as the apostolic message's horizon.
3:10|But you have followed my teaching, conduct, purpose, faith, patience, love and endurance,|Keeps the complete sevenfold example.
3:11|as well as my persecutions and sufferings—what happened to me in Antioch, Iconium and Lystra, the persecutions I endured. Yet the Lord rescued me from them all.|Retains all three cities, repeated persecution and deliverance.
3:12|Indeed, all who want to live a godly life in Christ Jesus will be persecuted.|Keeps the sweeping prediction and Christ setting.
3:13|But evil people and impostors will go from bad to worse, deceiving and being deceived.|Preserves active/passive deception and moral decline.
3:14|But you, continue in what you learned and became convinced of, knowing from whom you learned it,|Keeps continuity, conviction and plural teachers.
3:15|and how from infancy you have known the sacred writings, which can make you wise for salvation through faith in Christ Jesus.|Retains infancy, writings and their instrumental ability.
3:16|Every Scripture is God-breathed and useful for teaching, rebuke, correction and training in righteousness,|Keeps God-breathed predicate and all four uses while allowing the punctuation alternative in a note.
3:17|so that the person of God may be capable, fully equipped for every good work.|Preserves fitness and complete preparation.
4:1|I solemnly charge you before God and Christ Jesus, who is going to judge the living and the dead, and by his appearing and his kingdom:|Keeps judicial role, both human groups and two future realities.
4:2|Proclaim the word; be ready when the time is favorable or unfavorable; correct, rebuke and encourage, with complete patience and teaching.|Retains urgency in all seasons and three speaking actions.
4:3|For a time will come when people will not tolerate sound teaching. Instead, with itching ears and according to their own desires, they will accumulate teachers for themselves.|Keeps health metaphor, bodily itch and self-selected authorities.
4:4|They will turn their ears away from the truth and turn aside to myths.|Preserves the matched turning actions.
4:5|But you, remain sober in everything, endure hardship, do the work of an evangelist and fulfill your ministry.|Keeps four direct commands and vocational terms.
4:6|For I am already being poured out as a drink offering, and the time of my departure has arrived.|Retains sacrificial pouring and departure metaphor.
4:7|I have fought the good fight, finished the race and kept the faith.|Preserves athletic/military sequence and all three completed claims.
4:8|From now on, the crown of righteousness is reserved for me. The Lord, the righteous judge, will award it to me on that day—and not only to me, but also to all who have loved his appearing.|Keeps crown, judge and inclusive future award.
4:9|Make every effort to come to me soon,|Retains urgency and personal need.
4:10|because Demas deserted me, having loved the present age, and went to Thessalonica. Crescens went to Galatia and Titus to Dalmatia.|Preserves all names, destinations and the motive attributed only to Demas.
4:11|Only Luke is with me. Get Mark and bring him with you, for he is useful to me in ministry.|Keeps Luke's solitude and Mark's changed usefulness.
4:12|I sent Tychicus to Ephesus.|Retains name, action and destination.
4:13|When you come, bring the cloak I left with Carpus at Troas, as well as the scrolls, especially the parchments.|Keeps all concrete items, person and place.
4:14|Alexander the metalworker did me great harm. The Lord will repay him according to his deeds.|Retains identity, real harm and entrusts repayment to the Lord.
4:15|You too should watch out for him, because he strongly opposed our words.|Keeps prudent warning and reason.
4:16|At my first defense no one came to stand with me; everyone deserted me. May it not be counted against them.|Preserves abandonment and explicit nonretaliatory prayer.
4:17|But the Lord stood beside me and strengthened me, so that through me the proclamation might be fully made and all the nations might hear. And I was rescued from the lion's mouth.|Keeps divine presence, universal hearing and dangerous animal image.
4:18|The Lord will rescue me from every evil deed and bring me safely into his heavenly kingdom. To him be glory forever and ever. Amen.|Retains confidence, heavenly destination and doxology.
4:19|Greet Prisca and Aquila and the household of Onesiphorus.|Keeps both named coworkers and household.
4:20|Erastus remained in Corinth, and I left Trophimus sick in Miletus.|Retains names, places and unresolved illness.
4:21|Make every effort to come before winter. Eubulus, Pudens, Linus, Claudia and all the brothers and sisters greet you.|Keeps seasonal urgency and every named greeter.
4:22|The Lord be with your spirit. Grace be with all of you.|Preserves singular personal blessing followed by plural community blessing.
