25:1|Of David.\nTo you, LORD, I lift up my life.|Keep title and lifted life as an act of trust.
27:1|Of David.\nThe LORD is my light and my salvation—whom should I fear?\nThe LORD is my life’s stronghold—whom should I dread?|Keep the paired confidence questions and protective images.
27:2|When evildoers came at me to devour my flesh,\nmy adversaries and enemies stumbled and fell.|Preserve predatory violence and the enemies’ reversal.
27:3|Though an army camps against me, my heart will not fear.\nThough war rises against me, even then I will trust.|Retain escalating threats and inward confidence.
27:4|One thing I have asked of the LORD; this is what I seek:\nto dwell in the LORD’s house all my life,\nto gaze on the LORD’s beauty and seek him in his temple.|Preserve singular desire and the uncertain seeking verb without reducing it to attendance.
27:5|On a day of trouble he will hide me in his shelter,\nconceal me in the cover of his tent,\nand lift me high onto a rock.|Retain three protective actions and concrete places.
27:6|Now my head will rise above the enemies around me.\nIn his tent I will offer sacrifices with shouts of joy;\nI will sing and make music to the LORD.|Keep raised head and sacrificial celebration.
27:7|Hear my voice when I call, LORD;\nbe gracious to me and answer.|Let confidence turn to petition without smoothing the shift.
27:8|My heart speaks for you: “Seek my face.”\nYour face, LORD, I will seek.|Preserve difficult shifts of speaker and person with a note.
27:9|Do not hide your face from me\nor turn your servant away in anger.\nYou have been my help.\nDo not abandon or forsake me, God who saves me.|Keep repeated abandonment appeals and remembered help.
27:10|Though my father and mother forsake me,\nthe LORD will take me in.|Retain the extremity of parental loss and divine welcome.
27:11|Teach me your way, LORD;\nlead me on a level path because of those watching for my fall.|Clarify hostile watchers while keeping the path image.
27:12|Do not hand me over to my adversaries’ desires.\nFalse witnesses have risen against me, breathing violence.|Keep judicial threat and the breath image.
27:13|If I had not trusted that I would see the LORD’s goodness\nin the land of the living—|Preserve the marked Hebrew conditional and unfinished sentence.
27:14|Wait for the LORD.\nBe strong, and let your heart take courage.\nWait for the LORD.|Retain the repeated summons and inward courage.
28:1|Of David.\nTo you I call, LORD, my rock.\nDo not be deaf to me.\nIf you stay silent, I will be like those who descend to the pit.|Keep hearing/silence contrast and the threat of death.
28:2|Hear my plea for mercy when I cry to you,\nwhen I lift my hands toward your holy inner sanctuary.|Clarify the temple location while preserving raised hands.
28:3|Do not drag me away with the wicked, with evildoers,\nwho speak peace to their neighbors while harboring evil.|Retain deceptive peace and the request for distinct treatment.
28:4|Give them what their deeds deserve,\nwhat their evil actions deserve.\nRepay the work of their hands;\nreturn to them what they have earned.|Keep the insistent repetitions of retribution.
28:5|They pay no attention to the LORD’s deeds,\nto the work of his hands.\nHe will tear them down and never build them up.|Retain the human/divine hands contrast and building metaphor.
28:6|Blessed be the LORD!\nHe has heard my plea for mercy.|Keep the turn to answered prayer.
28:7|The LORD is my strength and my shield.\nMy heart trusted him, and I was helped.\nMy heart leaps for joy; with my song I thank him.|Preserve trust, help, and rejoicing in connected sequence.
28:8|The LORD is their strength,\na stronghold of salvation for his anointed.|Retain pinned their rather than silently replacing it with his people.
28:9|Save your people and bless your inheritance.\nShepherd them and carry them forever.|Keep collective inheritance and the caring shepherd actions.
29:1|A psalm of David.\nGive the LORD his due, you sons of gods;\ngive the LORD glory and strength.|Preserve heavenly assembly language with explanatory vocabulary.
29:2|Give the LORD the glory of his name;\nbow before the LORD in holy splendor.|Keep liturgical repetition and ambiguous holy adornment.
29:3|The LORD’s voice is over the waters;\nthe God of glory thunders,\nthe LORD over mighty waters.|Preserve voice/thunder parallelism and repeated waters.
29:4|The LORD’s voice is powerful;\nthe LORD’s voice is majestic.|Retain the central repeated subject.
29:5|The LORD’s voice breaks cedars;\nthe LORD shatters the cedars of Lebanon.|Keep specific trees and region with intensified action.
29:6|He makes Lebanon skip like a calf,\nSirion like a young wild ox.|Keep mountains personified as leaping animals.
29:7|The LORD’s voice cuts out flames of fire.|Preserve the striking lightning-like image without replacing it with an explanation.
29:8|The LORD’s voice makes the wilderness writhe;\nthe LORD makes the wilderness of Kadesh writhe.|Retain repeated action and named wilderness.
29:9|The LORD’s voice brings deer into labor\nand strips the forests bare.\nIn his temple everything cries, “Glory!”|Follow pointed deer reading and retain the cosmic acclamation.
29:10|The LORD sat enthroned over the flood;\nthe LORD sits as king forever.|Keep the flood term and past-to-enduring kingship.
29:11|May the LORD give strength to his people;\nmay the LORD bless his people with peace.|Read the concluding imperfects as blessing while retaining strength and peace.
30:1|A psalm. A song for the dedication of the house. Of David.\nI will lift you high, LORD, for you drew me up\nand did not let my enemies rejoice over me.|Include the entire title and the lifting wordplay.
30:2|LORD my God, I cried to you,\nand you healed me.|Keep the direct sequence of appeal and healing.
30:3|LORD, you brought my life up from Sheol;\nyou kept me alive, saving me from going down to the pit.|Follow read my going down and retain Sheol alongside pit.
30:4|Sing praise to the LORD, you faithful ones;\ngive thanks at the remembrance of his holiness.|Preserve the communal summons and holy remembrance expression.
30:5|His anger lasts a moment; his favor brings a lifetime.\nWeeping may stay for the night,\nbut a cry of joy comes with morning.|Keep duration contrast and weeping as an overnight guest.
30:6|When I was secure, I said,\n“I will never be shaken.”|Mark remembered confidence as the speaker’s earlier claim.
30:7|LORD, in your favor you made my mountain stand strong.\nYou hid your face, and I was terrified.|Preserve the difficult mountain image and sudden vulnerability.
30:8|To you, LORD, I called;\nto the Lord I pleaded:|Distinguish divine name and Adonai title.
30:9|“What gain is there in my blood, in my going down to the pit?\nWill the dust thank you? Will it tell of your faithfulness?|Retain the appeal against death and the voice of dust.
30:10|Hear, LORD, and be gracious to me.\nLORD, be my help!”|Keep repeated address and close the plea.
30:11|You turned my mourning into dancing;\nyou loosened my sackcloth and clothed me with joy,|Preserve the changing garments and embodied reversal.
30:12|so my glory may sing to you and not be silent.\nLORD my God, I will thank you forever.|Keep pinned glory with a note and the purpose of renewed life.
31:1|For the music leader. A psalm of David.\nIn you, LORD, I take refuge; never let me be put to shame.\nRescue me in your righteousness.|Bind title and opening appeal; retain righteousness as ground of rescue.
31:2|Bend your ear toward me; hurry to rescue me.\nBe my rock of refuge, a fortress to save me.|Keep bodily listening and defensive images.
31:3|You are my crag and my fortress.\nFor your name’s sake, lead me and guide me.|Retain remembered protection as reason for guidance.
31:4|Free me from the net they hid for me,\nfor you are my stronghold.|Keep concealed danger and direct trust.
31:5|Into your hand I entrust my spirit.\nYou have redeemed me, LORD, faithful God.|Preserve entrusted spirit without importing a later narrative setting.
31:6|I hate those who cling to empty idols;\nmy trust is in the LORD.|Retain pinned first-person hatred and contrast of allegiances.
31:7|I will rejoice and be glad in your faithful love.\nYou have seen my affliction; you know my life’s distress.|Keep seeing and knowing as attentive divine response.
31:8|You have not shut me into the enemy’s hand;\nyou have set my feet in a broad place.|Preserve confinement and spacious freedom.
31:9|Be gracious to me, LORD, for I am in distress.\nMy eyes waste away with grief, my whole being and my body too.|Retain embodied exhaustion across the whole person.
31:10|My life drains away in sorrow, my years in sighing.\nMy strength fails because of my wrongdoing; my bones waste away.|Keep pinned guilt rather than substituting affliction.
31:11|Because of all my foes I have become an object of scorn,\nespecially to my neighbors, a terror to my acquaintances.\nThose who see me outside flee from me.|Preserve the widening social rejection.
31:12|I have slipped from memory like someone dead;\nI am like a broken vessel.|Keep forgotten death and discarded-object imagery.
31:13|I hear the whispering of many—terror on every side!\nThey gather against me and plot to take my life.|Retain fear refrain and lethal conspiracy.
31:14|But I trust in you, LORD.\nI say, “You are my God.”|Keep the explicit turn toward trust.
31:15|My times are in your hand.\nRescue me from the hand of my enemies and pursuers.|Retain contrasted hands and the open meaning of times.
31:16|Let your face shine on your servant;\nsave me in your faithful love.|Preserve the blessing image in a personal plea.
31:17|LORD, do not let me be put to shame, for I call on you.\nLet the wicked be ashamed and fall silent in Sheol.|Keep the severe reversal and realm of death.
31:18|Silence lying lips\nthat speak insolently against the righteous with pride and contempt.|Retain the nature and target of hostile speech.
31:19|How abundant is the goodness you have stored up for those who revere you,\nwhich you show to those who take refuge in you, before all people!|Keep stored goodness becoming publicly visible.
31:20|You hide them in the shelter of your presence from human plots;\nyou keep them safe in a shelter from quarreling tongues.|Preserve shelter repeated and speech as a threat.
31:21|Blessed be the LORD!\nHe showed me wondrous faithful love in a besieged city.|Choose besieged rather than fortified and note the ambiguity.
31:22|In my panic I said, “I am cut off from your sight!”\nYet you heard my plea when I cried to you for help.|Retain the contrast between fearful perception and being heard.
31:23|Love the LORD, all you faithful ones.\nThe LORD guards the faithful and repays the proud in full.|Keep communal appeal and asymmetric outcomes.
31:24|Be strong, and let your hearts take courage,\nall you who hope in the LORD.|Preserve the shared closing exhortation.
32:1|Of David. A maskil.\nHappy is the one whose rebellion is forgiven, whose sin is covered.|Retain title and two images of forgiveness.
32:2|Happy is the person whose wrongdoing the LORD does not count against them,\nin whose spirit there is no deceit.|Clarify accounting idiom while preserving inner honesty.
32:3|When I kept silent, my bones wore out\nthrough my groaning all day long.|Retain the paradox of silence and anguished noise.
32:4|Day and night your hand weighed on me;\nmy vitality dried up in summer’s heat. Selah.|Keep heavy hand and drying life imagery.
32:5|I made my sin known to you; I did not cover my wrongdoing.\nI said, “I will confess my rebellions to the LORD,”\nand you forgave the guilt of my sin. Selah.|Preserve cover/uncover contrast and confession followed by forgiveness.
32:6|So let everyone faithful pray to you while you may be found.\nWhen mighty waters flood, they will not reach that person.|Supply found object cautiously and retain flood protection.
32:7|You are my hiding place. You guard me from distress;\nyou surround me with songs of deliverance. Selah.|Keep surrounding songs and protective refuge.
32:8|I will give you insight and teach you the way to go;\nI will counsel you with my eye upon you.|Leave the unmarked speaker open and preserve watchful counsel.
32:9|Do not be like a horse or mule without understanding,\nheld in check by bit and bridle,\nor it will not come near you.|Retain animal restraint and difficult final relation.
32:10|The wicked have many sorrows,\nbut faithful love surrounds the one who trusts the LORD.|Keep the contrast and surrounding motif.
32:11|Rejoice in the LORD and be glad, you righteous;\nshout for joy, all you upright in heart.|Retain both groups in the communal invitation.
33:1|Shout for joy in the LORD, you righteous!\nPraise is fitting for the upright.|Preserve the call and its stated suitability.
33:2|Thank the LORD with the lyre;\nmake music to him on a ten-stringed harp.|Keep instrument distinction and number.
33:3|Sing him a new song;\nplay skillfully, with shouts of joy.|Retain newness and skilled audible celebration.
33:4|The LORD’s word is upright;\nall his work is done faithfully.|Keep word and work in parallel.
33:5|He loves righteousness and justice;\nthe earth is full of the LORD’s faithful love.|Retain the three linked moral and relational terms.
33:6|By the LORD’s word the heavens were made,\nand all their host by the breath of his mouth.|Keep speech and breath as creation imagery.
33:7|He gathers the sea’s waters into a heap;\nhe places the deeps in storehouses.|Preserve pinned heap and ancient spatial images.
33:8|Let all the earth fear the LORD;\nlet everyone in the world stand in awe of him.|Keep universal scope and paired reverent responses.
33:9|He spoke, and it came to be;\nhe commanded, and it stood firm.|Retain concise divine speech and resulting existence.
33:10|The LORD frustrates the nations’ counsel\nand thwarts the peoples’ plans.|Preserve counsel/plans as repeated terms for later contrast.
33:11|The LORD’s counsel stands forever,\nthe plans of his heart through every generation.|Retain the contrast of enduring divine purpose.
33:12|Happy is the nation whose God is the LORD,\nthe people he chose as his own inheritance.|Keep election and inheritance without substituting a modern nation.
33:13|The LORD looks down from heaven\nand sees all humanity.|Preserve the comprehensive divine gaze.
33:14|From his dwelling place he watches\neveryone who lives on earth—|Continue the same gaze across the verse boundary.
33:15|he who forms all their hearts\nand understands everything they do.|Keep shared formation and individual actions.
33:16|A king is not saved by a great army;\na warrior does not escape by great strength.|Retain the two human power claims denied.
33:17|A horse is a false hope for victory;\nits great power cannot bring escape.|Keep military horse and insufficiency of strength.
33:18|Look, the LORD’s eye is on those who revere him,\non those who hope in his faithful love,|Retain the eye image and waiting recipients.
33:19|to rescue their lives from death\nand keep them alive in famine.|Preserve two concrete threats to life.
33:20|We wait for the LORD;\nhe is our help and our shield.|Mark the shift into shared first-person trust.
33:21|Our hearts rejoice in him,\nfor we trust in his holy name.|Connect rejoicing with trust without removing name language.
33:22|Let your faithful love rest on us, LORD,\nas we place our hope in you.|Keep the responsive relation of hope and petition.
34:1|Of David, when he changed his behavior before Abimelech, who drove him away, and he left.\nI will bless the LORD at all times; his praise will always be in my mouth.|Retain the title’s Abimelech without harmonizing to Achish.
34:2|I will boast in the LORD;\nlet the humble hear and be glad.|Keep personal testimony inviting humble hearers.
34:3|Magnify the LORD with me;\nlet us lift his name high together.|Retain corporate praise and raised name.
34:4|I sought the LORD, and he answered me;\nhe rescued me from everything I feared.|Preserve seeking, answer, and comprehensive rescue.
34:5|Those who look to him shine with joy;\ntheir faces need never be ashamed.|Express radiance without losing face/shame imagery.
34:6|This afflicted person cried out, and the LORD heard;\nhe saved him from all his troubles.|Keep the speaker’s demonstrative testimony and singular sufferer.
34:7|The LORD’s messenger camps around those who revere him\nand rescues them.|Retain encampment and messenger without a later identification.
34:8|Taste and see that the LORD is good.\nHappy is the one who takes refuge in him.|Retain the memorable sensory invitation.
34:9|Revere the LORD, you his holy ones;\nthose who revere him lack nothing.|Keep repeated reverence and broad wisdom claim.
34:10|Young lions go hungry and lack food,\nbut those who seek the LORD will lack no good thing.|Retain animal contrast and the poem’s unqualified promise.
34:11|Come, children, listen to me;\nI will teach you reverence for the LORD.|Preserve the teacher’s familial address.
34:12|Who desires life\nand loves to see good days?|Keep the rhetorical invitation before instruction.
34:13|Guard your tongue from evil\nand your lips from deceitful speech.|Retain paired speech organs and responsibility.
34:14|Turn from evil and do good;\nseek peace and pursue it.|Preserve active pursuit and balanced commands.
34:15|The LORD’s eyes are toward the righteous,\nhis ears toward their cry for help.|Keep attentive bodily imagery.
34:16|The LORD’s face is against evildoers,\nto erase their memory from the earth.|Retain severe face and memory judgment.
34:17|They cry out, and the LORD hears;\nhe rescues them from all their troubles.|Leave the resumed righteous referent as a pronoun with context intact.
34:18|The LORD is near to the brokenhearted\nand saves those whose spirits are crushed.|Keep nearness and rescue as distinct responses.
34:19|The righteous face many troubles,\nbut the LORD rescues them from them all.|Preserve suffering alongside deliverance claim.
34:20|He guards all their bones;\nnot one of them is broken.|Retain bodily preservation without importing later fulfillment language.
34:21|Evil will kill the wicked;\nthose who hate the righteous will be held guilty.|Keep evil as destructive agent and legal consequence.
34:22|The LORD redeems the lives of his servants;\nnone who take refuge in him will be held guilty.|Repeat legal outcome in contrasting conclusion.
35:1|Of David.\nContend, LORD, with those who contend with me;\nfight those who fight me.|Preserve matching legal and military appeals.
35:2|Take up shield and great shield;\nrise to help me.|Retain two defensive implements.
35:3|Draw your spear and block the way of my pursuers.\nSay to me, “I am your salvation.”|Choose block as verb and make the reassurance audible.
35:4|Let those seeking my life be ashamed and disgraced;\nlet those plotting my harm retreat in humiliation.|Retain parallel wishes against attackers.
35:5|Let them be chaff before the wind,\nwith the LORD’s messenger driving them away.|Keep the windblown chaff and divine messenger.
35:6|Let their path be dark and slippery,\nwith the LORD’s messenger pursuing them.|Retain pursuit and dangerous path imagery.
35:7|Without cause they hid their net in a pit for me;\nwithout cause they dug a trap for my life.|Retain twice-repeated causelessness and compressed trap image.
35:8|Let ruin catch the enemy unaware;\nlet the net he hid catch him;\nlet him fall into it, into ruin.|Make the singular enemy clear while preserving self-entrapment.
35:9|Then I will rejoice in the LORD,\ndelighting in his salvation.|Keep personal response to deliverance.
35:10|All my bones will say, “LORD, who is like you?\nYou rescue the afflicted from those too strong for them,\nthe afflicted and needy from the one who robs them.”|Retain speaking bones and protection of vulnerable people.
35:11|Violent witnesses rise up;\nthey question me about things I know nothing of.|Keep legal violence and unsupported accusations.
35:12|They repay my good with evil,\nleaving my life bereaved.|Preserve bereavement metaphor rather than generic sadness.
35:13|Yet when they were ill, I wore sackcloth\nand humbled myself with fasting;\nmy prayer returned to my bosom.|Retain difficult returning-prayer image for the note.
35:14|I went about as though grieving for a friend or brother;\nbowed in mourning, as for my mother.|Keep intimate relationships and embodied mourning.
35:15|But when I stumbled, they rejoiced and gathered;\nattackers I did not know gathered against me,\ntearing at me without stopping.|Retain contrast with prior care and uncertain attackers term.
35:16|Like godless mockers at a feast,\nthey gnashed their teeth at me.|Choose feast reading of difficult phrase and preserve threat.
35:17|Lord, how long will you look on?\nRescue my life from their ravages,\nmy only life from these young lions.|Retain accusation of delay and irreplaceable life.
35:18|I will thank you in the great assembly;\namong a mighty people I will praise you.|Preserve public setting and future thanksgiving.
35:19|Do not let my treacherous enemies rejoice over me\nor those who hate me without cause wink at one another.|Keep collusive gesture and groundless hatred.
35:20|They do not speak peace;\nthey devise deceitful words against those living quietly in the land.|Preserve harm to peaceful residents.
35:21|They open their mouths wide against me,\nsaying, “Aha! Aha! Our own eyes saw it!”|Retain repeated taunt and claimed eyewitness evidence.
35:22|You have seen, LORD; do not stay silent.\nLord, do not remain far from me.|Set God’s sight against hostile witnesses and retain two divine forms.
35:23|Wake up! Rise to defend my cause,\nmy God and my Lord, to contend for me.|Preserve urgent waking imagery and legal case.
35:24|Vindicate me according to your righteousness, LORD my God;\ndo not let them rejoice over me.|Keep requested judgment grounded in divine righteousness.
35:25|Do not let them think, “Aha! Just what we wanted!”\nDo not let them say, “We have swallowed him!”|Clarify inward speech and retain consuming image.
35:26|Let all who rejoice at my harm be ashamed and humiliated;\nlet those who exalt themselves over me wear shame and disgrace.|Keep collective reversal and garment image.
35:27|Let those who desire my vindication shout for joy and be glad.\nLet them always say, “Great is the LORD,\nwho delights in his servant’s well-being!”|Retain supporters’ voice and divine delight in welfare.
35:28|My tongue will speak of your righteousness\nand praise you all day long.|Close with sustained speech and justice theme.
36:1|For the music leader. Of the LORD’s servant David.\nAn oracle of rebellion concerning the wicked lies within my heart:\nthere is no fear of God before his eyes.|Keep pinned my heart and the difficult oracle construction.
36:2|He flatters himself in his own eyes\ntoo much to recognize and hate his wrongdoing.|Choose self-flattery while documenting uncertain pronoun relations.
36:3|His mouth speaks harm and deceit;\nhe has stopped acting wisely and doing good.|Retain deterioration in conduct, not merely ignorance.
36:4|He plots harm on his bed,\nsets himself on a way that is not good,\nand does not reject evil.|Preserve planned wrongdoing and repeated moral refusal.
36:5|LORD, your faithful love reaches the heavens,\nyour faithfulness the clouds.|Keep parallel expansive images and distinct related terms.
36:6|Your righteousness is like the mighty mountains;\nyour judgments are a vast deep.\nYou save humans and animals, LORD.|Retain mountains of God idiom and nonhuman beneficiaries.
36:7|How precious is your faithful love, God!\nPeople take refuge in the shadow of your wings.|Keep value and protective wings.
36:8|They drink their fill of your house’s abundance;\nyou give them drink from your river of delights.|Preserve abundant drinking and river imagery.
36:9|With you is the spring of life;\nin your light we see light.|Keep repeated light and source of life image.
36:10|Extend your faithful love to those who know you,\nyour righteousness to the upright in heart.|Retain relational knowledge and ethical recipients.
36:11|Do not let the foot of pride come upon me\nor the hand of the wicked drive me away.|Preserve threatening foot and hand.
36:12|There the evildoers have fallen,\nthrown down, unable to rise.|Keep the sudden vision of completed defeat.
37:1|Of David.\nDo not burn with anger over evildoers\nor envy those who do wrong.|Render heat idiom and retain envy as a distinct danger.
37:2|They will soon wither like grass\nand fade like green plants.|Preserve fleeting vegetation imagery.
37:3|Trust the LORD and do good.\nLive in the land and feed on faithfulness.|Keep difficult grazing image and document alternatives.
37:4|Take delight in the LORD,\nand he will give you your heart’s desires.|Retain delight and promise without inserting conditions.
37:5|Entrust your way to the LORD;\ntrust him, and he will act.|Render rolling one’s way naturally while preserving agency.
37:6|He will bring your righteousness out like light,\nyour vindication like the midday sun.|Keep public vindication and increasing brightness.
37:7|Be still before the LORD and wait for him.\nDo not burn with anger over someone who prospers\nby carrying out evil schemes.|Connect prosperity to scheming without flattening waiting.
37:8|Let go of anger; leave fury behind.\nDo not burn with resentment—it only leads to harm.|Preserve the warning about anger’s consequence.
37:9|Evildoers will be cut off,\nbut those who wait for the LORD will inherit the land.|Keep land promise and repeated waiting.
37:10|A little while, and the wicked will be gone.\nLook closely at their place: they are no longer there.|Retain invitation to inspect their disappearance.
37:11|The humble will inherit the land\nand delight in abundant peace.|Preserve humble, inheritance, and well-being together.
37:12|The wicked plot against the righteous\nand gnash their teeth at them.|Keep hostile intention and bodily threat.
37:13|The Lord laughs at the wicked,\nfor he sees their day approaching.|Distinguish Adonai and preserve approaching reckoning.
37:14|The wicked draw their swords and bend their bows\nto bring down the afflicted and needy,\nto slaughter those who walk uprightly.|Keep vulnerable victims and actual lethal violence.
37:15|Their swords will enter their own hearts,\nand their bows will break.|Preserve reversal onto the attackers.
37:16|Better the little a righteous person has\nthan the wealth of many wicked people.|Retain quantity comparison without idealizing poverty.
37:17|The arms of the wicked will be broken,\nbut the LORD supports the righteous.|Keep power as arms and divine support.
37:18|The LORD knows the days of the blameless;\ntheir inheritance will last forever.|Retain attentive knowing and enduring inheritance.
37:19|They will not be put to shame in bad times;\nin days of famine they will have enough.|Preserve concrete famine and sufficiency claim.
37:20|But the wicked will perish.\nThe LORD’s enemies are like the splendor of pastures:\nthey vanish—vanish in smoke.|Choose pasture reading of ambiguous term and retain doubled vanishing.
37:21|The wicked borrow and do not repay;\nthe righteous give generously.|Keep economic conduct as the ethical contrast.
37:22|Those he blesses will inherit the land;\nthose he curses will be cut off.|Preserve blessing/curse parallel and implicit divine subject.
37:23|The LORD makes a person’s steps secure\nand delights in that person’s way.|Clarify agency in the second clause, noting another reading.
37:24|Though they stumble, they will not be hurled down,\nfor the LORD holds their hand.|Keep stumble distinct from final collapse.
37:25|I was young, and now I am old,\nyet I have not seen the righteous abandoned\nor their offspring searching for bread.|Retain personal testimony rather than changing it into a universal command.
37:26|They are always generous and lend freely;\ntheir offspring become a blessing.|Preserve ongoing generosity and generational outcome.
37:27|Turn from evil and do good,\nand dwell securely forever.|Keep imperative and promised enduring residence.
37:28|The LORD loves justice and will not forsake his faithful ones.\nThey are guarded forever,\nbut the offspring of the wicked will be cut off.|Retain the troubling generational contrast and pinned wording.
37:29|The righteous will inherit the land\nand live there forever.|Preserve the repeated land refrain.
37:30|The righteous speak wisdom;\ntheir tongues speak what is just.|Retain speech as ethical practice.
37:31|Their God’s instruction is in their hearts;\ntheir steps do not slip.|Link inward instruction and stable walking.
37:32|The wicked watch the righteous,\nlooking for a way to kill them.|Keep surveillance and murderous aim.
37:33|The LORD will not abandon them to the wicked\nor let them be condemned when brought to trial.|Retain courtroom setting and protective refusal.
37:34|Wait for the LORD and keep his way.\nHe will raise you up to inherit the land;\nyou will see the wicked cut off.|Keep patience, conduct, inheritance, and observed judgment.
37:35|I saw a wicked tyrant\nspreading like a flourishing tree in its native soil.|Preserve rooted power image and violent character.
37:36|Then he passed away—he was gone!\nI searched for him, but he could not be found.|Follow third-person passed and retain disappearance.
37:37|Watch the blameless; look at the upright.\nThere is a future for the person of peace.|Keep observation and open future or posterity sense.
37:38|But rebels will be destroyed together;\nthe future of the wicked will be cut off.|Retain contrast using the same future term.
37:39|The salvation of the righteous comes from the LORD,\ntheir stronghold in times of distress.|Keep salvation’s source and defensive image.
37:40|The LORD helps and rescues them;\nhe rescues them from the wicked and saves them,\nbecause they take refuge in him.|Preserve repeated rescue and closing refuge explanation.
38:1|A psalm of David. For remembrance.\nLORD, do not rebuke me in your rage\nor discipline me in your fury.|Retain uncertain liturgical title and parallel plea.
38:2|Your arrows have sunk into me;\nyour hand has come down upon me.|Keep God explicitly addressed as afflicting agent.
38:3|No part of my body is sound because of your indignation;\nthere is no peace in my bones because of my sin.|Preserve the speaker’s causal understanding and bodily distress.
38:4|My wrongdoings have risen over my head;\nlike a heavy load, they are too much for me.|Retain drowning and burden images together.
38:5|My wounds stink and fester\nbecause of my folly.|Keep disturbing physical detail and self-accusation.
38:6|I am bent and bowed very low;\nall day I walk about mourning.|Preserve posture and duration.
38:7|My loins are full of burning;\nno part of my body is sound.|Choose burning reading and retain repeated bodily complaint.
38:8|I am numb and utterly crushed;\nI roar from the turmoil of my heart.|Keep forceful sound and inner agitation.
38:9|Lord, all my longing lies before you;\nmy sighing is not hidden from you.|Retain Adonai and unseen grief made known.
38:10|My heart pounds; my strength has left me.\nEven the light of my eyes is gone.|Preserve loss of vitality and sight image.
38:11|My loved ones and friends stand back from my affliction;\nmy relatives keep their distance.|Keep relational abandonment without inferring contagion.
38:12|Those seeking my life set traps;\nthose seeking my harm speak of ruin\nand devise deceit all day.|Retain lethal plotting and sustained speech.
38:13|But I am like someone deaf, unable to hear,\nlike someone speechless, whose mouth does not open.|Keep the comparisons as the speaker’s inability to respond.
