1:1|The Song of Songs, which belongs to Solomon.|Retain superlative title and open Solomonic relation.
2:12|Flowers appear on the earth;\nthe season of singing has arrived,\nand the turtledove’s voice is heard in our land.|Choose singing with pruning alternative in note.
2:13|The fig tree is ripening its early fruit;\nblossoming vines give off their fragrance.\nRise, my love, my beautiful one,\nand come away.|Preserve seasonal produce and repeated invitation.
2:14|My dove in the rock’s clefts,\nin the hiding place of the steep cliffs,\nlet me see your face,\nlet me hear your voice.\nYour voice is sweet,\nand your face is lovely.”|Retain concealed dove and paired requests.
2:15|Catch us the foxes,\nthe little foxes ruining the vineyards,\nfor our vineyards are in bloom.|Keep plural command and vineyard vulnerability without decoding symbolism.
2:16|My beloved is mine, and I am his;\nhe grazes among the lilies.|Retain mutual belonging and grazing image.
2:17|Until the day breathes and the shadows flee,\nturn, my beloved.\nBe like a gazelle or a young stag\non the cleft mountains.|Keep day’s breath and uncertain Bether interpretation in note.
3:1|On my bed, night after night,\nI sought the one my whole being loves.\nI sought him but did not find him.|Retain repeated seeking and plural nights.
3:2|“I will get up and go through the city,\nthrough its streets and squares,\nto seek the one my whole being loves.”\nI sought him but did not find him.|Keep resolve, civic spaces, and exact search refrain.
3:3|The watchmen found me\nas they made their rounds in the city.\n“Have you seen the one my whole being loves?”|Preserve reversal from seeking to being found.
3:4|Scarcely had I passed them\nwhen I found the one my whole being loves.\nI held him and would not let him go\nuntil I brought him to my mother’s house,\nto the room of the woman who conceived me.|Retain active woman and maternal room specificity.
3:5|I put you under oath, daughters of Jerusalem,\nby the gazelles or the does of the field:\ndo not stir up or awaken love\nuntil it wishes.|Match repeated oath exactly.
3:6|Who is this coming up from the wilderness\nlike columns of smoke,\nfragrant with myrrh and frankincense,\nwith all the merchant’s scented powders?|Keep question and procession’s scented imagery.
3:7|Look! Solomon’s litter!\nSixty warriors surround it,\nwarriors of Israel.|Retain sixty and Israel repetition.
3:8|All of them grip the sword,\ntrained for battle,\neach with his sword at his thigh\nagainst the terrors of the night.|Preserve martial protection and night fears.
3:9|King Solomon made himself a carriage\nfrom the wood of Lebanon.|Keep named king, carriage, and wood source.
3:10|He made its posts of silver,\nits support of gold,\nits seat of purple cloth,\nits interior inlaid with love\nfrom the daughters of Jerusalem.|Preserve unusual love-inlay wording with uncertainty noted.
3:11|Come out, daughters of Zion,\nand look at King Solomon\nwearing the crown his mother gave him\non his wedding day,\nthe day his heart rejoiced.|Retain Zion address, mother, and doubled day.
4:1|How beautiful you are, my love!\nHow beautiful!\nYour eyes are doves behind your veil.\nYour hair is like a flock of goats\nstreaming down Mount Gilead.|Keep refrain, veil, and moving goat image.
4:2|Your teeth are like a flock of shorn sheep\ncoming up from washing,\neach bearing twins,\nnone bereaved among them.|Retain twin/bereaved imagery rather than explain matching teeth.
4:3|Your lips are a scarlet thread;\nyour mouth is lovely.\nYour temples are slices of pomegranate\nbehind your veil.|Keep thread, color, fruit, and veil.
4:4|Your neck is like David’s tower,\nbuilt in courses;\na thousand shields hang on it,\nall the shields of warriors.|Keep thousand and uncertain construction term in note.
4:5|Your two breasts are like two fawns,\ntwins of a gazelle,\ngrazing among the lilies.|Retain breasts and doubled two image without euphemism.
4:6|Until the day breathes and the shadows flee,\nI will go to the mountain of myrrh\nand the hill of frankincense.|Match day phrase and preserve aromatic landscape.
4:7|You are beautiful in every part, my love;\nthere is no blemish in you.|Retain whole-person praise without theological import.
4:8|Come with me from Lebanon, bride;\ncome with me from Lebanon.\nLook down from Amana’s summit,\nfrom the peaks of Senir and Hermon,\nfrom lions’ dens,\nfrom mountains of leopards.|Retain repeated invitation, three named heights, predators.
4:9|You have captured my heart, my sister, my bride;\nyou have captured my heart\nwith one glance of your eyes,\nwith one jewel of your necklace.|Preserve doubled heart capture and sister/bride endearment.
4:10|How lovely your caresses, my sister, my bride!\nHow much better than wine!\nThe fragrance of your oils surpasses every spice.|Keep repeated kin/endearment and sensory comparisons.
4:11|Your lips drip nectar, bride;\nhoney and milk are beneath your tongue.\nYour clothes smell like Lebanon.|Retain tactile and geographic scents.
4:12|A locked garden is my sister, my bride,\na locked spring, a sealed fountain.|Preserve enclosed garden and two water sources; note gal uncertainty.
4:13|Your shoots are an orchard of pomegranates\nwith choice fruits,\nhenna with nard,|Keep garden catalogue beginning across verse boundary.
4:14|nard and saffron, sweet cane and cinnamon,\nwith every frankincense tree,\nmyrrh and aloes,\nwith all the finest spices.|Retain repeated nard and full aromatic list.
4:15|You are a garden fountain,\na well of living water,\nstreams flowing from Lebanon.|Preserve living water and mountain source.
4:16|Wake, north wind! Come, south wind!\nBlow through my garden; let its spices flow.\nLet my beloved come into his garden\nand eat its choice fruits.|Retain woman’s invitation and my/his garden shift.
5:1|I have come into my garden, my sister, my bride.\nI have gathered my myrrh with my spice,\neaten my honeycomb with my honey,\ndrunk my wine with my milk.\nEat, friends! Drink deeply, lovers!|Keep completed first-person actions and plural invitation without assigning new speaker dogmatically.
5:2|I was asleep, but my heart was awake.\nThe sound of my beloved knocking!\n“Open to me, my sister, my love,\nmy dove, my perfect one.\nMy head is drenched with dew,\nmy hair with the drops of night.”|Retain waking/dream tension and four endearments.
5:3|“I have taken off my tunic—\nhow can I put it on again?\nI have washed my feet—\nhow can I dirty them?”|Preserve doubled reluctance questions.
5:4|My beloved reached his hand through the opening,\nand my inward parts stirred for him.|Keep opening and bodily arousal without overexplaining.
5:5|I rose to open to my beloved.\nMy hands dripped myrrh,\nmy fingers flowing myrrh\non the handles of the bolt.|Preserve perfume and door mechanism.
5:6|I opened to my beloved,\nbut my beloved had slipped away, gone.\nMy very life went out when he spoke.\nI sought him but did not find him;\nI called, but he did not answer.|Retain difficult when-he-spoke chronology and failed search.
5:7|The watchmen found me\nas they made their rounds in the city.\nThey struck me; they wounded me.\nThe guards of the walls\ntook my wrap from me.|Keep assault explicit and distinguish no imagined rescue.
5:8|I put you under oath, daughters of Jerusalem:\nif you find my beloved, what will you tell him?\nThat I am sick with love.|Retain question-and-answer oath form.
5:9|How is your beloved more than another beloved,\nmost beautiful of women?\nHow is your beloved more than another beloved,\nthat you put us under such an oath?|Preserve repeated challenge and female address.
5:10|My beloved is radiant and ruddy,\nstanding out among ten thousand.|Keep complexion imagery and exact number.
5:11|His head is finest gold;\nhis hair falls in curls,\nblack as a raven.|Retain mixed precious-metal and living color images.
5:12|His eyes are like doves beside streams of water,\nbathed in milk,\nsecurely set.|Make the obscure fullness-setting phrase readable as securely fitted eyes; retain dove and milk images and note uncertainty.
5:13|His cheeks are beds of spice,\nmounds of fragrant herbs.\nHis lips are lilies\ndripping flowing myrrh.|Retain garden, lips, and liquid perfume.
5:14|His arms are rods of gold\nset with beryl.\nHis abdomen is polished ivory\noverlaid with sapphires.|Preserve bodily jewel imagery, note ancient stone uncertainty.
5:15|His legs are pillars of marble\nset on bases of fine gold.\nHis appearance is like Lebanon,\nchoice as its cedars.|Keep architecture and landscape as parallel praise.
5:16|His mouth is sweetness itself;\nevery part of him is desirable.\nThis is my beloved, this is my friend,\ndaughters of Jerusalem.|Preserve desire and friend alongside beloved.
6:1|Where has your beloved gone,\nmost beautiful of women?\nWhich way did your beloved turn?\nWe will seek him with you.|Keep plural offer and repeated beloved.
6:2|My beloved has gone down to his garden,\nto the beds of spice,\nto graze in the gardens\nand gather lilies.|Retain pastoral/garden ambiguity.
6:3|I am my beloved’s, and my beloved is mine;\nhe grazes among the lilies.|Preserve reversed order from2:16 and repeated grazing.
6:4|You are beautiful as Tirzah, my love,\nlovely as Jerusalem,\nawesome as troops with banners.|Keep two cities and military comparison.
6:5|Turn your eyes away from me;\nthey overwhelm me.\nYour hair is like a flock of goats\nstreaming down from Gilead.|Retain power of gaze and repeated goat image with source distinction.
6:6|Your teeth are like a flock of ewes\ncoming up from washing,\neach bearing twins,\nnone bereaved among them.|Preserve repeated twin metaphor but ewes rather than shorn sheep.
6:7|Your temples are slices of pomegranate\nbehind your veil.|Match repeated praise from4:3.
6:8|There may be sixty queens,\neighty concubines,\nand young women beyond counting,|Retain exact harem categories and numbers.
6:9|but my dove, my perfect one, is unique,\nher mother’s only one,\nthe cherished one of her who bore her.\nYoung women saw her and called her fortunate;\nqueens and concubines praised her.|Keep unique/only language and women’s praise.
6:10|“Who is this looking out like the dawn,\nbeautiful as the moon,\nclear as the sun,\nawesome as troops with banners?”|Retain luminous progression and banner refrain.
6:11|I went down to the nut orchard\nto see the valley’s new growth,\nto see whether the vines had budded\nand the pomegranates were in bloom.|Keep unspecified first-person speaker and botanical inspection.
6:12|Before I knew it, my desire had set me\namong the chariots of my noble people.|Retain difficult soul/chariots phrase with alternatives in note.
6:13|Return, return, Shulammite!\nReturn, return, so we may look at you!\nWhy would you look at the Shulammite\nas at a dance of two camps?|Map source7:1 to public6:13; retain four returns and question.
7:1|How lovely your steps in sandals, noble daughter!\nThe curves of your thighs are like jewels,\nthe work of a craftsman’s hands.|Map source7:2 to public7:1; retain thighs and skilled craft.
7:2|Your navel is a rounded bowl—\nmay it never lack mixed wine.\nYour belly is a heap of wheat\nringed with lilies.|Retain bodily and agricultural images without euphemism.
7:3|Your two breasts are like two fawns,\ntwins of a gazelle.|Preserve shortened recurring simile.
7:4|Your neck is an ivory tower.\nYour eyes are pools in Heshbon,\nby the gate of Bath-rabbim.\nYour nose is like Lebanon’s tower\nlooking toward Damascus.|Retain all body parts, places, and viewing direction.
7:5|Your head crowns you like Carmel;\nyour flowing hair is like purple cloth.\nA king is held captive in its tresses.|Keep royal captivity by hair image.
7:6|How beautiful, how delightful you are,\nlove with all your pleasures!|Retain address as love and sensuous plural pleasures.
7:7|Your stature is like a palm tree,\nyour breasts like its clusters.|Keep body/tree correspondence.
7:8|I said, “I will climb the palm\nand take hold of its branches.”\nMay your breasts be like clusters of grapes,\nyour breath fragrant as apples,|Retain first-person resolve and ensuing wishes.
7:9|and your mouth like fine wine—\ngoing down smoothly for my beloved,\nstirring the lips of sleepers.|Preserve sudden my-beloved shift, pinned sleepers reading, and wine stirring their lips.
7:10|I am my beloved’s,\nand his desire is for me.|Keep woman’s declaration and desire directed toward her.
7:11|Come, my beloved, let us go out to the fields;\nlet us spend the night in the villages.|Retain woman’s initiative and rural lodging.
7:12|Let us rise early for the vineyards\nto see whether the vines have budded,\nwhether the blossoms have opened\nand the pomegranates are in bloom.\nThere I will give you my caresses.|Keep shared inspection and explicit woman’s gift of affection.
7:13|The mandrakes give off their scent,\nand at our doors are all kinds of choice fruits,\nnew and old,\nwhich I have stored for you, my beloved.|Retain mandrakes, two ages of fruit, and stored gift.
8:1|If only you were like a brother to me,\nnursed at my mother’s breasts!\nThen, finding you outside, I could kiss you,\nand no one would despise me.|Preserve counterfactual brother comparison and public affection’s constraint.
8:2|I would lead you and bring you to my mother’s house,\nwhere she would teach me.\nI would give you spiced wine to drink,\nthe juice of my pomegranate.|Choose mother as teacher with alternative you in note.
8:3|His left hand is beneath my head,\nand his right arm embraces me.|Match embrace refrain.
8:4|I put you under oath, daughters of Jerusalem:\nwhy stir up or awaken love\nbefore it wishes?|Retain changed interrogative oath without adding absent animals.
8:5|Who is this coming up from the wilderness,\nleaning on her beloved?\nUnder the apple tree I awakened you;\nthere your mother labored with you,\nthere she who bore you was in labor.|Preserve gender transition and doubled birth memory.
8:6|Set me like a seal on your heart,\nlike a seal on your arm.\nFor love is strong as death,\njealousy relentless as Sheol.\nIts flashes are flashes of fire,\na flame of **YAH**.|Retain jealousy, Sheol, and divided divine-name source with alternative noted.
8:7|Many waters cannot extinguish love;\nrivers cannot sweep it away.\nIf a man offered all his household wealth for love,\nhe would be utterly scorned.|Keep resistance to flood and unpurchasable love.
8:8|We have a little sister,\nand she has no breasts yet.\nWhat shall we do for our sister\non the day she is spoken for?|Preserve family’s question about immature sister without assigning age.
8:9|If she is a wall,\nwe will build a silver turret on her.\nIf she is a door,\nwe will enclose her with a cedar plank.|Keep conditional family construction images without interpretive substitution.
8:10|I am a wall,\nand my breasts are towers.\nThen in his eyes I became\nlike one who finds peace.|Retain woman’s reply, bodily maturity, and peace word.
8:11|Solomon had a vineyard at Baal-hamon.\nHe entrusted it to keepers;\neach was to bring a thousand pieces of silver for its fruit.|Preserve owner, place, entrusted cultivation, and amount.
8:12|My vineyard, my own, is in my keeping.\nThe thousand are yours, Solomon,\nand two hundred for those who keep its fruit.|Retain emphatic ownership and literal before-me relation without adding a decision to give the vineyard; preserve distinct amounts.
8:13|You who dwell in the gardens,\ncompanions are listening for your voice.\nLet me hear it!|Retain female addressee and singular request among listeners.
8:14|Hurry away, my beloved!\nBe like a gazelle or a young stag\non the mountains of spices.|Keep imperative escape and recurring gazelle imagery at open ending.
