1:1|The word of the LORD came to Joel son of Pethuel.|Keeps the brief attribution without adding a reign or date absent from the source.
2:1|Blow the ram’s horn in Zion!\nSound the alarm on my holy mountain!\nLet everyone living in the land tremble,\nfor the day of the LORD is coming; it is near.|Retains abrupt divine my within the call and repeats the near-day announcement.
2:2|A day of darkness and gloom,\na day of cloud and thick darkness!\nLike dawn spreading over the mountains\ncomes a vast and powerful people.\nNothing like it has ever been,\nnor will be again for generations to come.|Keeps dawn rather than silently making it darkness and preserves unparalleled scale.
2:3|Fire devours ahead of them;\nflame burns behind them.\nBefore them the land is like the garden of Eden;\nbehind them, a desolate wilderness.\nNothing escapes them.|Maintains before/behind pattern and Eden comparison.
2:4|They look like horses;\nthey run like cavalry.|Keeps comparisons rather than identifying the creatures as literal horsemen.
2:5|With a sound like chariots they leap over the mountaintops,\nlike the crackle of flame consuming stubble,\nlike a powerful people drawn up for battle.|Retains all three similes and the audible quality of the invasion.
2:6|Peoples writhe before them;\nevery face loses its color.|Chooses pallor for the uncertain facial expression while noting darkening as alternative.
2:7|They run like warriors\nand scale a wall like soldiers.\nEach keeps to its own path;\nthey do not swerve from their routes.|Preserves ordered movement and the repeated military comparisons.
2:8|They do not jostle one another;\neach moves in its own lane.\nThey plunge through the weapons\nand are not stopped.|Keeps the difficult weapon phrase as penetration despite resistance, without asserting literal invulnerability.
2:9|They rush upon the city,\nrun along the wall,\nclimb into the houses,\nand enter through the windows like a thief.|Preserves the four escalating locations and final thief simile.
2:10|Before them the earth shakes\nand the heavens tremble.\nSun and moon grow dark;\nthe stars withdraw their light.|Keeps cosmic response and literal celestial subjects rather than explaining an eclipse.
2:11|The LORD raises his voice before his army.\nHis camp is vast;\npowerful is the one who carries out his word.\nThe day of the LORD is great and deeply terrifying—\nwho can endure it?|Maintains divine command, army, and the unanswered endurance question.
2:12|“Even now,” declares the LORD,\n“return to me with all your heart,\nwith fasting, weeping, and mourning.”|Keeps even now as the interruption of judgment and the full threefold response.
2:13|Tear your hearts, not your clothes,\nand return to the LORD your God.\nHe is gracious and compassionate,\nslow to anger and rich in faithful love,\nand he relents from bringing disaster.|Retains the bodily/clothing contrast and all attributes; disaster avoids confusing raah with moral evil here.
2:14|Who knows? He may turn and relent\nand leave a blessing behind him—\na grain offering and a drink offering\nfor the LORD your God.|Preserves uncertainty rather than turning repentance into a guaranteed outcome.
2:15|Blow the ram’s horn in Zion!\nSet apart a fast;\ncall a solemn assembly.|Repeats the horn call and earlier assembly instructions exactly for recognition.
2:16|Gather the people;\nset apart the congregation.\nAssemble the elders;\ngather children and nursing infants.\nLet the bridegroom leave his room\nand the bride her wedding chamber.|Retains all ages and both newlyweds rather than only general everyone language.
2:17|Between the porch and the altar,\nlet the priests who serve the LORD weep.\nLet them say, “Spare your people, LORD.\nDo not make your inheritance a disgrace,\nfor nations to rule over them.\nWhy should the peoples say, ‘Where is their God?’”|Follows rule-over sense of mashal while noting proverbial taunt alternative; preserves architectural location.
2:18|Then the LORD became zealous for his land\nand had compassion on his people.|Uses narrative past for the wayyiqtol turn without inventing an intervening repentance scene.
2:19|The LORD answered his people:\n“I am sending you grain, new wine, and oil,\nand you will have enough.\nI will no longer make you a disgrace among the nations.|Keeps the restored three provisions and the reversal of public shame.
2:20|I will drive the northern one far from you\nand thrust it into a dry, desolate land,\nits front into the eastern sea\nand its rear into the western sea.\nIts stench will rise, its foul smell will go up,\nfor it has done great things.”|Leaves northern one unidentified and retains front/rear, two seas, and the ambiguous great deeds.
2:21|Do not fear, ground!\nCelebrate and rejoice,\nfor the LORD has done great things.|Repeats great things with a new subject and addresses the ground itself.
2:22|Do not fear, wild animals,\nfor the wilderness pastures are green.\nThe trees bear fruit;\nfig tree and vine give their full yield.|Keeps animals as direct addressees and reverses the earlier vegetation loss.
2:23|Children of Zion, celebrate and rejoice\nin the LORD your God.\nHe has given you the autumn rain in righteousness;\nhe sends rain down for you,\nautumn and spring rain as before.|Chooses rain in agricultural context, preserving righteousness and noting teacher and first-month alternatives.
2:24|The threshing floors will be full of grain;\nthe vats will overflow with new wine and oil.|Keeps the produce and processing locations paired rather than generic abundance.
2:25|“I will repay you for the years eaten by\nthe swarming locust, the creeping locust,\nthe stripping locust, and the cutting locust—\nmy great army that I sent against you.|Retains all four terms in this verse's different order and explicitly divine agency.
2:26|You will eat your fill\nand praise the name of the LORD your God,\nwho has done wonders for you.\nMy people will never again be put to shame.|Preserves satiation, praise, and the full no-shame promise.
2:27|You will know that I am among Israel,\nthat I am the LORD your God and there is no other.\nMy people will never again be put to shame.|Repeats the promise unchanged and retains presence plus exclusivity.
2:28|Afterward I will pour out my Spirit on all flesh.\nYour sons and daughters will prophesy;\nyour old men will dream dreams;\nyour young men will see visions.|Keeps all flesh, both sexes in prophecy, and age-specific dream/vision language.
2:29|Even on male and female slaves\nI will pour out my Spirit in those days.|Makes enslavement explicit and preserves both sexes without adding my from a later quotation.
2:30|I will display wonders in the heavens and on earth:\nblood, fire, and columns of smoke.|Preserves the three signs without assigning a modern event.
2:31|The sun will turn to darkness\nand the moon to blood\nbefore the great and terrifying day of the LORD comes.|Keeps the cosmic transformations and before relationship.
2:32|Everyone who calls on the name of the LORD will escape,\nfor on Mount Zion and in Jerusalem there will be deliverance,\nas the LORD has said,\nand among the survivors will be those the LORD calls.|Preserves both human calling and divine calling and all three name occurrences.
3:1|“In those days and at that time,\nwhen I restore the fortunes of Judah and Jerusalem,|Follows the read restore form and carries the temporal clause into the next verse.
3:2|I will gather all the nations\nand bring them down to the Valley of Jehoshaphat.\nThere I will enter into judgment with them\nfor my people, my inheritance Israel,\nwhom they scattered among the nations.\nThey divided up my land.|Keeps the judgment setting, scattered people, and divided land as distinct charges.
3:3|They cast lots for my people,\ntraded a boy for a prostitute,\nand sold a girl for wine and drank it.|Preserves the sex and age of the trafficked children and the explicit transactions.
3:4|And what have you against me, Tyre and Sidon\nand all the regions of Philistia?\nAre you repaying me for something?\nIf you are paying me back,\nI will swiftly bring your repayment down on your own heads.|Keeps the repeated repayment root and named coastal regions.
3:5|You took my silver and gold\nand carried my finest treasures into your temples.|Preserves divine ownership and the destination, noting temple/palace range if needed.
3:6|You sold the people of Judah and Jerusalem to the Greeks\nto send them far from their own territory.|Keeps the named buyers and removal purpose without importing a conquest date.
3:7|Look, I will rouse them from the place where you sold them\nand bring your repayment down on your own heads.|Repeats the retribution clause and the victims' awakening from sale.
3:8|I will sell your sons and daughters\ninto the hands of the people of Judah,\nand they will sell them to the Sabeans, a distant nation.”\nFor the LORD has spoken.|Preserves the disturbing retaliatory enslavement and specific buyers without editorial endorsement.
3:9|Proclaim this among the nations:\n“Consecrate a war! Rouse the warriors!\nLet all the soldiers approach and advance.|Retains consecration rather than merely preparation and the repeated mobilization.
3:10|Beat your plowshares into swords\nand your pruning hooks into spears.\nLet the weak say, ‘I am a warrior!’|Keeps the deliberate reversal of agricultural peace imagery and the weak fighter's boast.
3:11|Hurry and come, all you surrounding nations;\ngather there!”\nBring down your warriors, LORD!|Marks the shift from nations' summons to prayer without merging the two armies.
3:12|“Let the nations rouse themselves\nand come up to the Valley of Jehoshaphat,\nfor there I will sit to judge\nall the surrounding nations.|Preserves divine first-person judicial seating and repeated location.
3:13|Swing the sickle, for the harvest is ripe.\nCome, tread, for the winepress is full;\nthe vats overflow,\nfor their evil is great.”|Keeps harvest and vintage as judgment imagery with evil as explicit explanation.
3:14|Multitudes, multitudes in the valley of decision!\nThe day of the LORD is near\nin the valley of decision.|Repeats multitudes and valley; note clarifies divine verdict rather than an invitation to human decision.
3:15|Sun and moon grow dark;\nthe stars withdraw their light.|Matches the recurring cosmic-darkness clause for literary recognition.
3:16|The LORD roars from Zion\nand raises his voice from Jerusalem;\nheaven and earth shake.\nBut the LORD is a refuge for his people,\na stronghold for the people of Israel.|Keeps threatening roar alongside refuge and both divine-name occurrences.
3:17|“You will know that I am the LORD your God,\ndwelling in Zion, my holy mountain.\nJerusalem will be holy,\nand strangers will no longer pass through her.|Retains strangers rather than silently restricting to invaders; explains hostile context in a note.
3:18|On that day the mountains will drip sweet wine,\nthe hills will flow with milk,\nand all Judah’s streambeds will flow with water.\nA spring will flow from the house of the LORD\nand water the Valley of Acacias.|Preserves abundant liquids and the sanctuary spring without forcing a geographical identification.
3:19|Egypt will become a desolation,\nand Edom a desolate wilderness,\nfor violence against the people of Judah,\nwhose innocent blood they shed in their land.|Retains both nations and bloodshed as the reason, with possessive land ambiguity noted.
3:20|But Judah will be inhabited forever,\nand Jerusalem through every generation.|Keeps enduring habitation distinct from a modern political application.
3:21|I will clear their bloodguilt that I have not cleared.”\nThe LORD dwells in Zion.|Follows the pinned clear/acquit verb, noting vindicate/avenge readings and leaving the blood's referent cautious.
