1:1|Paul, called to be an apostle of Christ Jesus by God's will, and our brother Sosthenes,|Preserves divine calling and Sosthenes's shared kinship.
3:8|The one who plants and the one who waters are one, and each will receive wages according to their own labor.|Preserves unity and individualized recompense.
3:9|For we are God's coworkers; you are God's field, God's building.|Keeps all three repeated God possessives.
3:10|According to God's grace given to me, I laid a foundation like a skilled master builder, and someone else is building on it. But each person must watch how they build.|Preserves grace, architectural role, and warning.
3:11|For no one can lay any foundation other than the one already laid, which is Jesus Christ.|Names the exclusive foundation.
3:12|Now if anyone builds on the foundation with gold, silver, precious stones, wood, hay, or straw,|Keeps the full contrasting materials list.
3:13|each person's work will become evident, for the Day will disclose it. It will be revealed with fire, and the fire will test the quality of each person's work.|Preserves Day, disclosure, fire, and testing.
3:14|If the work someone built remains, that person will receive a reward.|Keeps endurance and reward.
3:15|If someone's work is burned up, that person will suffer loss, though personally will be saved—but only as through fire.|Preserves loss, salvation, and fire qualification.
3:16|Do you not know that you together are God's temple and that God's Spirit dwells among you?|Makes the plural corporate referent clear.
3:17|If anyone destroys God's temple, God will destroy that person, for God's temple is holy—and you together are that temple.|Retains reciprocal destruction and corporate holiness.
3:18|Let no one deceive oneself. If anyone among you thinks they are wise in this age, let that person become foolish so as to become wise.|Keeps self-deception and wisdom reversal.
3:19|For this world's wisdom is foolishness with God. For it is written, “He catches the wise in their craftiness,”|Preserves divine evaluation and first quotation.
3:20|and again, “The Lord knows that the thoughts of the wise are futile.”|Keeps second quotation and futility.
3:21|So let no one boast in human leaders, for all things are yours:|Connects anti-boasting to the inclusive list.
3:22|whether Paul or Apollos or Cephas or the world or life or death or things present or things to come—all are yours,|Retains every item and repeated all.
3:23|and you belong to Christ, and Christ belongs to God.|Preserves the chain of belonging.
4:1|This is how people should regard us: as Christ's servants and stewards of God's mysteries.|Keeps subordinate service and entrusted mysteries.
4:2|In this regard, what is required of stewards is that each be found faithful.|Preserves stewardship criterion.
4:3|But to me it is a very small matter to be judged by you or by any human court. I do not even judge myself.|Keeps comparative dismissal and self-judgment limit.
4:4|For I am conscious of nothing against myself, but I am not justified by this. The Lord is the one who judges me.|Preserves clear conscience without self-acquittal.
4:5|Therefore, judge nothing before the appointed time, until the Lord comes. He will bring to light what is hidden in darkness and reveal the purposes of hearts. Then each person's praise will come from God.|Keeps temporal restraint, disclosure, and divine praise.
4:6|Now, brothers and sisters, I have applied these things to myself and Apollos for your sake, so that through us you may learn “not beyond what is written,” and so none of you becomes puffed up for one leader against another.|Preserves difficult slogan and factional purpose.
4:7|For who makes you different? What do you have that you did not receive? And if you received it, why boast as though you did not?|Keeps all three anti-boasting questions.
4:8|Already you are filled! Already you are rich! You have begun to reign without us! I wish you truly were reigning, so that we might reign with you.|Retains Paul's biting irony and wish.
4:9|For I think God has displayed us apostles last, like people sentenced to death, because we have become a spectacle to the world, to angels, and to humans.|Preserves public execution and cosmic spectacle.
4:10|We are fools for Christ, but you are wise in Christ! We are weak, but you are strong! You are honored, but we are dishonored!|Keeps the sarcastic parallel contrasts.
4:11|To this very hour we are hungry and thirsty, poorly clothed, beaten, and homeless.|Names each concrete deprivation and assault.
4:12|We labor, working with our own hands. When insulted, we bless; when persecuted, we endure;|Keeps manual labor and nonretaliatory responses.
4:13|when slandered, we answer gently. We have become like the world's garbage, everyone's scum, to this very moment.|Retains degrading images without softening them.
4:14|I am not writing these things to shame you but to admonish you as my beloved children.|Keeps purpose distinction and family affection.
4:15|For even if you have ten thousand guardians in Christ, you do not have many fathers, for in Christ Jesus I became your father through the good news.|Preserves exaggerated number and paternal metaphor.
4:16|Therefore, I urge you: imitate me.|Keeps the direct imitation command.
4:17|For this reason I sent Timothy to you, my beloved and faithful child in the Lord. He will remind you of my ways in Christ Jesus, just as I teach everywhere in every church.|Preserves Timothy's relationship and consistent teaching.
4:18|Some have become puffed up, as though I were not coming to you.|Keeps arrogance tied to presumed absence.
4:19|But I will come to you soon, if the Lord wills, and I will find out not the talk of those who are puffed up but their power.|Preserves divine contingency and speech/power contrast.
4:20|For God's kingdom is not a matter of talk but of power.|Keeps terse kingdom contrast.
4:21|What do you want? Shall I come to you with a rod, or with love and a spirit of gentleness?|Retains disciplinary threat and gentle alternative.
5:1|It is actually reported that there is sexual immorality among you, and of a kind not tolerated even among the Gentiles: a man has his father's wife.|Preserves the report, offense, and specific relationship.
5:2|And you are puffed up! Should you not instead have mourned, so that the one who did this would be removed from among you?|Keeps arrogance, grief, and removal.
5:3|For though absent in body, I am present in spirit, and as though present I have already judged the one who did this.|Preserves absence/presence and prior judgment.
5:4|When you are assembled in the name of our Lord Jesus, and I am with you in spirit, with the power of our Lord Jesus,|Keeps communal assembly and invoked authority.
5:5|hand this man over to Satan for the destruction of the flesh, so that his spirit may be saved on the day of the Lord.|Retains severe discipline, bodily destruction, and saving aim.
5:6|Your boasting is not good. Do you not know that a little yeast leavens the whole batch of dough?|Keeps rebuke and proverbial contamination image.
5:7|Clean out the old yeast so that you may be a new batch, as you really are unleavened. For Christ, our Passover lamb, has been sacrificed.|Preserves festival imagery and Christ's sacrifice.
5:8|Therefore, let us celebrate the feast not with old yeast, nor with the yeast of malice and evil, but with the unleavened bread of sincerity and truth.|Keeps sustained Passover metaphor and ethical contrasts.
5:9|I wrote to you in my letter not to associate with sexually immoral people—|Preserves reference to an earlier letter and continuing clarification.
5:10|not at all meaning the sexually immoral people of this world, or the greedy and swindlers, or idolaters, since then you would have to leave the world.|Keeps limits and impractical consequence.
5:11|But now I am writing to you not to associate with anyone who bears the name of brother or sister yet is sexually immoral, greedy, an idolater, verbally abusive, a drunkard, or a swindler. Do not even eat with such a person.|Preserves named community status and full behavior list.
5:12|For what business is it of mine to judge outsiders? Is it not those inside whom you judge?|Keeps jurisdictional questions.
5:13|God judges outsiders. “Remove the evil person from among you.”|Preserves divine judgment and scriptural command.
6:1|When one of you has a dispute with another, how dare you take it before the unrighteous for judgment instead of before the saints?|Keeps outrage and forum contrast.
6:2|Or do you not know that the saints will judge the world? And if the world is judged by you, are you unworthy to judge the smallest cases?|Preserves future role and lesser-case inference.
6:3|Do you not know that we will judge angels? How much more the matters of this life!|Keeps startling claim and inference.
6:4|So if you have cases concerning this life, do you appoint as judges people who have no standing in the church?|Retains the difficult rhetorical question and status language.
6:5|I say this to your shame. Is there really no wise person among you who can decide a dispute between brothers or sisters?|Keeps shame and wisdom challenge.
6:6|Instead, one believer goes to court against another—and before unbelievers at that!|Preserves scandal within the community.
6:7|The very fact that you have lawsuits with one another is already a complete defeat for you. Why not rather suffer wrong? Why not rather be defrauded?|Keeps defeat and two nonretaliatory questions.
6:8|But you yourselves wrong and defraud—and you do this to brothers and sisters.|Preserves direct accusation and harmed relationship.
6:9|Or do you not know that the unrighteous will not inherit God's kingdom? Do not be deceived: neither the sexually immoral, idolaters, adulterers, passive male partners in sex, nor men who have sex with men,|Retains the warning and distinct sexual terms without euphemism.
6:10|nor thieves, the greedy, drunkards, verbal abusers, or swindlers will inherit God's kingdom.|Keeps remaining behaviors and repeated outcome.
6:11|And some of you were these things. But you were washed, you were made holy, you were declared righteous in the name of the Lord Jesus and by the Spirit of our God.|Preserves past identity and three passive transformations.
6:12|“Everything is permissible for me”—but not everything is beneficial. “Everything is permissible for me”—but I will not be mastered by anything.|Treats repeated phrase as slogan and keeps mastery wordplay.
6:13|“Food is for the stomach and the stomach for food”—but God will bring both to an end. The body is not for sexual immorality but for the Lord, and the Lord for the body.|Preserves slogan and bodily theological correction.
6:14|God raised the Lord and will also raise us by his power.|Keeps past and future resurrection.
6:15|Do you not know that your bodies are members of Christ? Shall I then take Christ's members and make them members of a prostitute? Absolutely not!|Retains bodily union and emphatic rejection.
6:16|Or do you not know that the one who joins himself to a prostitute is one body with her? For it says, “The two will become one flesh.”|Preserves gendered situation and Genesis quotation.
6:17|But the one who joins oneself to the Lord is one spirit with him.|Keeps union contrast.
6:18|Flee sexual immorality. Every other sin a person commits is outside the body, but the sexually immoral person sins against his own body.|Preserves imperative and Paul's bodily distinction.
6:19|Or do you not know that your body is a temple of the Holy Spirit within you, whom you have from God? You do not belong to yourselves,|Keeps indwelling, gift, and ownership claim.
6:20|for you were bought at a price. Therefore glorify God in your body.|Preserves purchase metaphor and embodied response.
7:1|Now concerning the matters you wrote about: “It is good for a man not to touch a woman.”|Marks the likely Corinthian slogan and its euphemism.
7:2|But because of sexual immorality, each man should have his own wife, and each woman her own husband.|Keeps reciprocal gender-specific instruction.
7:3|The husband should give his wife what he owes her, and likewise the wife to her husband.|Preserves mutual marital obligation.
7:4|The wife does not have authority over her own body; her husband does. Likewise, the husband does not have authority over his own body; his wife does.|Retains startling symmetrical authority.
7:5|Do not deprive one another except perhaps by mutual agreement for a time, so that you may devote yourselves to prayer and then come together again, so Satan may not tempt you because of your lack of self-control.|Keeps consent, limited duration, prayer, reunion, and temptation.
7:6|I say this as a concession, not as a command.|Preserves Paul's qualification.
7:7|I wish all people were as I am, but each has a particular gift from God, one of one kind and one of another.|Keeps personal preference and differing gifts.
7:8|Now to the unmarried and widows I say: it is good for them to remain as I am.|Names both groups and Paul's judgment.
7:9|But if they cannot exercise self-control, they should marry, for it is better to marry than to burn with desire.|Makes the likely desire sense clear without overexplaining.
7:10|To the married I give this command—not I, but the Lord: a wife must not separate from her husband.|Preserves authority distinction and gender-specific command.
7:11|But if she does separate, she should remain unmarried or be reconciled to her husband. And a husband must not divorce his wife.|Keeps both alternatives and reciprocal prohibition.
7:12|To the rest I say—I, not the Lord—if any brother has an unbelieving wife and she consents to live with him, he must not divorce her.|Preserves Paul's authority qualification and the wife's consent.
7:13|And if a woman has an unbelieving husband and he consents to live with her, she must not divorce her husband.|Keeps reciprocal situation and consent.
7:14|For the unbelieving husband is made holy through his wife, and the unbelieving wife is made holy through the believing husband. Otherwise your children would be unclean, but now they are holy.|Preserves relational sanctification and children's status.
7:15|But if the unbelieving partner separates, let that person separate. A brother or sister is not enslaved in such cases; God has called us to peace.|Keeps permission, non-enslavement, and peace.
7:16|For how do you know, wife, whether you will save your husband? Or how do you know, husband, whether you will save your wife?|Preserves uncertainty and reciprocal questions.
7:17|In any case, each person should live as the Lord has assigned and as God has called. This is what I direct in all the churches.|Keeps assigned condition, calling, and universal instruction.
7:18|Was anyone already circumcised when called? He should not try to reverse it. Was anyone uncircumcised when called? He should not seek circumcision.|Preserves bodily states and prohibitions.
7:19|Circumcision is nothing and uncircumcision is nothing; what matters is keeping God's commands.|Keeps repeated nothing and stated priority.
7:20|Each person should remain in the calling in which they were called.|Preserves repeated calling language.
7:21|Were you enslaved when called? Do not let it trouble you. But if you can become free, make use of the opportunity.|Chooses freedom as the consequential opportunity while retaining slavery.
7:22|For the one who was enslaved when called in the Lord is the Lord's freed person. Likewise, the one who was free when called is Christ's slave.|Keeps ancient legal statuses and reversal.
7:23|You were bought at a price; do not become slaves of people.|Preserves purchase and slavery imagery.
7:24|Brothers and sisters, each person should remain with God in the condition in which that person was called.|Keeps communal address and Godward setting.
7:25|Now concerning virgins, I have no command from the Lord, but I give my judgment as one shown mercy by the Lord to be trustworthy.|Preserves absence of command and basis for counsel.
7:26|I think, then, because of the present crisis, that it is good for a person to remain as they are.|Keeps situational reason and qualified judgment.
7:27|Are you bound to a wife? Do not seek release. Are you released from a wife? Do not seek a wife.|Preserves balanced marital conditions.
7:28|But if you do marry, you have not sinned, and if a virgin marries, she has not sinned. Yet such people will have distress in this life, and I am trying to spare you.|Keeps non-sin, concrete trouble, and pastoral aim.
7:29|This is what I mean, brothers and sisters: the time has grown short. From now on, those who have wives should live as though they had none,|Preserves urgency and intentionally jarring comparison.
7:30|those who weep as though not weeping, those who rejoice as though not rejoicing, and those who buy as though not possessing,|Keeps three temporary postures.
7:31|and those who use the world as though not using it fully. For this world's present form is passing away.|Preserves use/nonuse and transience.
7:32|I want you to be free from anxiety. The unmarried man is concerned about the Lord's things, how to please the Lord,|Keeps stated pastoral aim and male case.
7:33|but the married man is concerned about worldly things, how to please his wife,|Preserves marital concern and continuing contrast.
7:34|and he is divided. The unmarried woman and the virgin are concerned about the Lord's things, so that they may be holy in body and spirit. But the married woman is concerned about worldly things, how to please her husband.|Keeps gender-specific parallels and whole-person holiness.
7:35|I say this for your own benefit, not to put a restraint around you, but to promote good order and undistracted devotion to the Lord.|Preserves benefit, noose image's restraint sense, and devotion.
7:36|But if anyone thinks he is behaving improperly toward his virgin, if she is past marriageable age and it ought to be so, he should do what he wants; he is not sinning. They should marry.|Preserves interpretive ambiguity around the man's relation while stating marriage outcome.
7:37|But the man who stands firm in his heart, under no compulsion and having control over his own will, and has decided in his heart to keep his virgin unmarried, will do well.|Keeps internal resolve, freedom, and debated relationship.
7:38|So the one who marries his virgin does well, and the one who does not marry will do better.|Preserves comparative counsel without turning it into command.
7:39|A wife is bound as long as her husband lives. But if her husband falls asleep in death, she is free to marry anyone she wishes, only in the Lord.|Keeps duration, death euphemism, freedom, and qualification.
7:40|Yet in my judgment she is happier if she remains as she is—and I think that I too have God's Spirit.|Preserves Paul's counsel and gently ironic authority claim.
8:1|Now concerning food sacrificed to idols: we know that “we all have knowledge.” Knowledge puffs up, but love builds up.|Marks slogan and preserves inflate/build contrast.
8:2|If anyone thinks they know something, they do not yet know as they ought to know.|Keeps epistemic humility.
8:3|But if anyone loves God, that person is known by God.|Preserves divine knowing as decisive.
8:4|So concerning the eating of food sacrificed to idols, we know that “an idol is nothing in the world” and that “there is no God but one.”|Keeps paired confessional claims as likely slogans.
8:5|For even if there are so-called gods, whether in heaven or on earth—as indeed there are many gods and many lords—|Preserves concession and ancient plural claims.
8:6|yet for us there is one God, the Father, from whom are all things and for whom we exist; and one Lord, Jesus Christ, through whom are all things and through whom we exist.|Keeps one-God confession and distinct prepositions.
8:7|But not everyone has this knowledge. Some, through their former association with the idol, still eat food as truly offered to an idol, and their weak conscience is defiled.|Preserves prior formation, eating, weakness, and defilement.
8:8|Food will not bring us before God. We are no worse if we do not eat and no better if we do.|Keeps the balanced lack of spiritual advantage.
8:9|But take care that this freedom of yours does not somehow become a stumbling block to the weak.|Preserves liberty and harm warning.
8:10|For if someone sees you, who have knowledge, reclining to eat in an idol's temple, will not that person's weak conscience be encouraged to eat food sacrificed to idols?|Keeps temple setting and dangerous encouragement.
8:11|So by your knowledge the weak person is destroyed—the brother or sister for whom Christ died.|Preserves grave consequence and Christ's death.
8:12|When you sin in this way against brothers and sisters and wound their weak conscience, you sin against Christ.|Keeps bodily striking metaphor as wound and Christward offense.
8:13|Therefore, if food causes my brother or sister to stumble, I will never eat meat again, so that I do not cause them to stumble.|Preserves Paul's absolute self-limitation.
9:1|Am I not free? Am I not an apostle? Have I not seen Jesus our Lord? Are you not my work in the Lord?|Keeps all four credentials as questions.
9:2|If I am not an apostle to others, at least I am to you, for you are the seal of my apostleship in the Lord.|Preserves community as validating seal.
9:3|This is my defense to those who examine me.|Keeps courtroom language and concise transition.
9:4|Do we not have the right to eat and drink?|Preserves apostolic entitlement question.
9:5|Do we not have the right to take along a believing wife, as do the other apostles, the Lord's brothers, and Cephas?|Keeps gender, marriage, and named comparators.
9:6|Or are Barnabas and I the only ones who have no right to refrain from working for a living?|Names Barnabas and clarifies the labor issue.
9:7|Who ever serves as a soldier at their own expense? Who plants a vineyard and does not eat its fruit? Or who tends a flock and does not drink its milk?|Preserves three occupational analogies.
9:8|Am I saying these things merely on human authority? Does not the law also say them?|Keeps two-source rhetorical progression.
9:9|For in Moses's law it is written, “Do not muzzle an ox while it is threshing grain.” Is God concerned only about oxen?|Preserves law attribution, animal care, and question.
9:10|Or is he certainly speaking for our sake? Yes, it was written for us, because the plowman should plow in hope and the thresher thresh in hope of sharing the harvest.|Keeps application and repeated hope.
9:11|If we sowed spiritual things among you, is it too much if we reap material support from you?|Preserves sow/reap and spiritual/material contrast.
9:12|If others share this right over you, do we not have it even more? Yet we have not used this right. Instead, we endure everything so that we may place no obstacle in Christ's good news.|Keeps renounced right and gospel purpose.
9:13|Do you not know that those who work in the temple eat food from the temple, and those who serve at the altar share in what is offered on the altar?|Preserves temple and altar analogies.
9:14|In the same way, the Lord commanded that those who proclaim the good news should live from the good news.|Keeps divine command and repeated gospel.
9:15|But I have used none of these rights. And I am not writing this so that they will be granted to me. I would rather die than—no one will empty my reason for boasting!|Retains Paul's broken sentence and vehement boast.
9:16|For if I proclaim the good news, I have no reason to boast, since necessity is laid on me. Woe to me if I do not proclaim the good news!|Keeps compulsion and prophetic woe.
9:17|For if I do this willingly, I have a reward; but if unwillingly, I have still been entrusted with a stewardship.|Preserves willing/unwilling and entrusted office.
9:18|What then is my reward? That in proclaiming the good news I may offer it free of charge and not make full use of my right in the good news.|Keeps reward as relinquished entitlement.
9:19|For though I am free from everyone, I made myself a slave to everyone in order to win more people.|Preserves freedom/slavery reversal and mission aim.
9:20|To the Jews I became like a Jew, to win Jews. To those under the law I became like one under the law—though I myself am not under the law—to win those under the law.|Keeps Jewish identity rhetoric and pinned qualification.
9:21|To those outside the law I became like one outside the law—though I am not outside God's law but under Christ's law—to win those outside the law.|Preserves double legal qualification.
9:22|To the weak I became weak, to win the weak. I have become all things to all people, so that by every possible means I might save some.|Keeps repeated weak, expansive adaptation, and limited some.
9:23|I do all this for the sake of the good news, so that I may share in it.|Preserves participation as Paul's aim.
9:24|Do you not know that all the runners in a stadium run, but only one receives the prize? Run in such a way that you may win it.|Keeps athletic setting and imperative.
9:25|Every athlete exercises self-control in everything. They do it to receive a perishable wreath, but we an imperishable one.|Preserves discipline and two crowns.
9:26|So I do not run aimlessly or box as one beating the air.|Keeps paired athletic metaphors.
9:27|Instead, I strike my body and make it my slave, so that after proclaiming to others I myself will not be disqualified.|Retains harsh bodily discipline and disqualification risk.
10:1|For I do not want you to be unaware, brothers and sisters, that our ancestors were all under the cloud and all passed through the sea.|Keeps shared ancestry and repeated all.
10:2|They were all baptized into Moses in the cloud and in the sea.|Preserves unusual baptismal analogy.
10:3|They all ate the same spiritual food,|Keeps repeated all and continuing thought.
10:4|and all drank the same spiritual drink. For they drank from the spiritual rock that followed them, and that rock was Christ.|Preserves following-rock tradition and christological identification.
10:5|Nevertheless, God was not pleased with most of them, and their bodies were scattered across the wilderness.|Retains divine displeasure and corpses in desert.
10:6|Now these things became examples for us, so that we would not desire evil things as they did.|Keeps typological warning and desire.
10:7|Do not become idolaters as some of them did, as it is written: “The people sat down to eat and drink and rose up to play.”|Preserves command and quoted scene.
10:8|Let us not commit sexual immorality as some of them did, and twenty-three thousand fell in one day.|Keeps exact number and fatal consequence.
10:9|Let us not test Christ as some of them did and were destroyed by snakes.|Follows pinned Christ reading and physical deaths.
10:10|And do not grumble as some of them did and were destroyed by the destroyer.|Keeps grumbling and destructive agent.
10:11|These things happened to them as examples and were written as a warning for us, on whom the ends of the ages have come.|Preserves typology, writing, and eschatological arrival.
10:12|So the one who thinks they stand must watch out lest they fall.|Keeps stand/fall warning.
10:13|No trial has overtaken you except what is common to humanity. God is faithful; he will not allow you to be tested beyond what you can bear, but with the trial he will also provide a way out so that you can endure it.|Preserves both testing/trial senses and promise of endurance.
10:14|Therefore, my beloved, flee from idolatry.|Keeps affectionate direct command.
10:15|I speak to sensible people; judge for yourselves what I say.|Preserves appeal to discernment.
10:16|The cup of blessing that we bless—is it not participation in Christ's blood? The bread that we break—is it not participation in Christ's body?|Keeps ritual actions and repeated participation.
10:17|Because there is one bread, we who are many are one body, for all of us partake of the one bread.|Preserves bread/body unity and all.
10:18|Consider Israel according to the flesh: are not those who eat the sacrifices participants in the altar?|Keeps Israel designation and cultic participation.
10:19|What then am I saying? That food sacrificed to an idol is anything, or that an idol is anything?|Keeps two denying questions.
10:20|No, but what they sacrifice, they sacrifice to demons and not to God. I do not want you to become participants with demons.|Preserves demonic referent and participation warning.
10:21|You cannot drink the Lord's cup and the cup of demons. You cannot partake of the Lord's table and the table of demons.|Keeps paired exclusive tables.
10:22|Or are we provoking the Lord to jealousy? Are we stronger than he is?|Preserves covenantal jealousy and challenge.
10:23|“Everything is permissible,” but not everything is beneficial. “Everything is permissible,” but not everything builds up.|Marks repeated slogan and two tests.
10:24|No one should seek one's own good but the good of the other.|Keeps self/other contrast.
10:25|Eat anything sold in the meat market without raising questions for conscience's sake,|Preserves market freedom and conscience reason.
10:26|for “the earth is the Lord's, and everything in it.”|Keeps scriptural ownership ground.
10:27|If an unbeliever invites you and you wish to go, eat whatever is set before you without raising questions for conscience's sake.|Preserves voluntary visit and ordinary hospitality.
10:28|But if someone tells you, “This was offered in sacrifice,” do not eat it, for the sake of the one who informed you and for conscience's sake—|Keeps explicit disclosure and relational restraint.
10:29|I mean the other person's conscience, not your own. For why should my freedom be judged by someone else's conscience?|Clarifies referent and preserves question.
10:30|If I partake with gratitude, why am I denounced for something for which I give thanks?|Keeps grace/gratitude and public criticism.
10:31|So whether you eat or drink or whatever you do, do everything for God's glory.|Preserves comprehensive scope and purpose.
10:32|Give no offense to Jews, Greeks, or God's church,|Names all three groups.
10:33|just as I try to please everyone in everything, not seeking my own advantage but that of the many, so that they may be saved.|Keeps accommodation, self-denial, and saving purpose.
11:1|Imitate me, just as I imitate Christ.|Preserves qualified imitation.
11:2|Now I praise you because you remember me in everything and hold firmly to the traditions just as I delivered them to you.|Keeps praise, memory, and transmitted practices.
11:3|But I want you to know that Christ is the head of every man, the man is the head of a woman, and God is the head of Christ.|Retains gendered sequence and ambiguous head metaphor.
11:4|Every man who prays or prophesies with something hanging down from his head dishonors his head.|Preserves male worship activity and disputed covering description.
