6:1|Then Solomon said, “The LORD said he would dwell in thick darkness.|Retain the cloud-darkness image introducing Solomon’s response.
7:7|Solomon consecrated the middle of the courtyard in front of the LORD’s house. He offered the burnt offerings and the fat of the well-being offerings there, because the bronze altar he had made could not hold the burnt offering, grain offering, and fat.|Preserve the practical reason and distinguish the offering types.
7:8|At that time Solomon kept the festival for seven days, with all Israel—a very large assembly from Lebo-hamath to the Wadi of Egypt.|Retain the week and geographic limits.
7:9|On the eighth day they held a solemn assembly. They had spent seven days dedicating the altar and seven days celebrating the festival.|Keep both seven-day periods rather than collapsing them.
7:10|On the twenty-third day of the seventh month, he sent the people to their tents. They went with joyful, glad hearts because of the good the LORD had done for David, Solomon, and his people Israel.|Preserve Chronicles’ date and all three beneficiaries.
7:11|Solomon completed the LORD’s house and the royal house. Everything he had set his heart on doing in the LORD’s house and his own house succeeded.|Keep paired houses and the comprehensive completion statement.
7:12|The LORD appeared to Solomon at night and said, “I have heard your prayer and chosen this place for myself as a house of sacrifice.|Connect the divine answer with the preceding prayer.
7:13|When I shut the heavens so no rain falls, or command locusts to devour the land, or send plague among my people,|Retain all three divine actions as the conditional setting.
7:14|and my people, who bear my name, humble themselves, pray, seek my face, and turn from their wicked ways, I will hear from heaven, forgive their sin, and heal their land.|Preserve four human responses and three divine responses in context.
7:15|Now my eyes will be open and my ears attentive to prayer offered in this place.|Echo the eyes and ears of Solomon’s request.
7:16|I have now chosen and consecrated this house for my name to be there forever. My eyes and my heart will be there always.|Retain name, eyes and heart without abstracting their images.
7:17|“As for you, if you walk before me as your father David did, doing all I command you and keeping my statutes and judgments,|Mark the singular address to Solomon and its condition.
7:18|I will establish your royal throne, as I covenanted with your father David: ‘You will never lack a man to rule in Israel.’|Retain covenant and male dynastic succession.
7:19|But if you all turn away and abandon the statutes and commands I have set before you, and go off to serve other gods and bow to them,|Make the shift to plural address audible.
7:20|I will uproot them from my ground, which I gave them. This house I consecrated for my name I will throw out of my sight, and make it a proverb and a taunt among all peoples.|Preserve the shift to them and the forceful images of rejection.
7:21|This house, once so exalted, will leave every passerby appalled. They will ask, ‘Why has the LORD done this to this land and this house?’|Retain exalted house and the onlookers’ question.
7:22|People will answer, ‘Because they abandoned the LORD, their ancestors’ God, who brought them out of Egypt. They clung to other gods, bowed to them, and served them. That is why he brought all this disaster on them.’”|Keep the explanatory speech and its exodus reference.
8:1|At the end of the twenty years Solomon spent building the LORD’s house and his own house,|Carry the time clause into the next verse.
8:2|Solomon rebuilt the towns Huram had given him and settled Israelites in them.|Preserve the direction of the gift as Chronicles states it.
8:3|Solomon marched against Hamath-zobah and took control of it.|Keep the conquest explicit.
8:4|He built Tadmor in the wilderness and all the storage towns he built in Hamath.|Retain Tadmor and the stated repeated building notice.
8:5|He built Upper Beth-horon and Lower Beth-horon as fortified towns with walls, gates, and bars.|Keep both towns and all defenses.
8:6|He also built Baalath, all his storage towns, the towns for chariots and horsemen, and everything else he wanted to build in Jerusalem, Lebanon, and throughout the land he ruled.|Preserve the building categories and threefold extent.
8:7|There were people left from the Hittites, Amorites, Perizzites, Hivites, and Jebusites, who were not Israelites.|Retain all five peoples before the labor notice.
8:8|Their descendants remained in the land because the Israelites had not destroyed them. Solomon conscripted them for forced labor, as they remain to this day.|Keep destruction and coercion explicit rather than voluntary service.
8:9|But Solomon did not make Israelites slaves for his work. They were fighting men, commanders of his officers, and commanders of his chariots and horsemen.|Preserve the unequal labor distinction and military roles.
8:10|King Solomon had two hundred fifty chief supervisors who exercised authority over the people.|Retain Chronicles’ supervisor count.
8:11|Solomon brought Pharaoh’s daughter up from David’s City to the house he had built for her. He said, “My wife must not live in the house of David king of Israel, because the places the LORD’s ark has entered are holy.”|Keep this as Solomon’s stated reason without adding a judgment on her.
8:12|Then Solomon offered burnt offerings to the LORD on the LORD’s altar he had built in front of the entrance hall,|Keep the altar’s placement and carry the sentence forward.
8:13|according to each day’s requirement and Moses’ command: on Sabbaths, new moons, and the three annual festivals—the Festival of Unleavened Bread, the Festival of Weeks, and the Festival of Shelters.|Retain each calendar category and all three festivals.
8:14|Following his father David’s arrangement, he appointed the priestly divisions to their service, the Levites to their duties of praise and assistance before the priests as each day required, and the gatekeepers in their divisions at each gate. This was the command of David, the man of God.|Keep the distinct duties and David’s designation.
8:15|They did not depart from the king’s command to the priests and Levites in any matter, including the treasuries.|Preserve the specific inclusion of treasury duties.
8:16|All Solomon’s work was arranged from the day the foundation of the LORD’s house was laid until its completion. The LORD’s house was finished.|Retain the repeated completion as a narrative close.
8:17|Then Solomon went to Ezion-geber and Eloth on the seacoast in Edom.|Keep both ports and their geographic setting.
8:18|Through his servants, Huram sent him ships and men who knew the sea. They went to Ophir with Solomon’s servants, brought back four hundred fifty talents of gold, and delivered it to King Solomon.|Retain the ship transfer and Chronicles’ gold quantity.
9:1|The queen of Sheba heard of Solomon’s fame and came to Jerusalem to test him with riddles. She arrived with an immense retinue and camels carrying spices, great quantities of gold, and precious stones. When she met Solomon, she told him everything on her heart.|Keep her testing agency and the full cargo list.
9:2|Solomon answered all her questions. Nothing was hidden from him that he could not explain to her.|Retain the comprehensive claim without softening it.
9:3|When the queen of Sheba saw Solomon’s wisdom and the house he had built,|Preserve the extended seeing sequence across labels.
9:4|the food on his table, the seating of his servants, the attendance and clothing of his ministers, his cupbearers and their clothing, and his ascent to the LORD’s house, she was left breathless.|Keep both clothing notices and choose ascent with an alternative note.
9:5|She said to the king, “The report I heard in my own land about your achievements and wisdom was true.|Mark her evaluation as her own speech.
9:6|I did not believe what people said until I came and saw with my own eyes. Yet I was not told even half the greatness of your wisdom! You surpass the report I heard.|Keep disbelief, direct seeing and the half comparison.
9:7|How fortunate your men are! How fortunate these servants of yours are, who stand before you continually and hear your wisdom!|Retain men and the repeated happiness formula.
9:8|Blessed be the LORD your God, who delighted in you and placed you on his throne as king for the LORD your God! Because your God loves Israel and desires to establish it forever, he made you their king to uphold justice and righteousness.”|Preserve God’s throne and kingship’s stated judicial purpose.
9:9|She gave the king a hundred twenty talents of gold, immense quantities of spices, and precious stones. There had never been spices like those the queen of Sheba gave King Solomon.|Retain the exact gold amount and unqualified spice comparison.
9:10|Huram’s servants and Solomon’s servants, who brought gold from Ophir, also brought algum timber and precious stones.|Follow the read Huram and retain the uncertain timber name.
9:11|The king used the algum timber to make steps for the LORD’s house and the royal house, and lyres and harps for the singers. Nothing like them had been seen before in Judah.|Choose steps for the difficult architectural term with a note.
9:12|King Solomon gave the queen of Sheba everything she desired and asked for, beyond what she had brought the king. Then she and her servants turned and went home to their own land.|Retain Chronicles’ difficult gift comparison rather than harmonizing Kings.
9:13|The gold that came to Solomon in a single year weighed six hundred sixty-six talents,|Keep the annual measurement and carry the qualification forward.
9:14|besides what the traders and merchants brought. All the kings of Arabia and the governors of the land brought Solomon gold and silver.|Distinguish the sources of the additional income.
9:15|King Solomon made two hundred large shields of beaten gold, using six hundred shekels of beaten gold for each shield.|Retain shield class, quantity and conventional weight unit.
9:16|He also made three hundred smaller shields of beaten gold, using three hundred shekels for each. He placed them in the House of the Forest of Lebanon.|Keep Chronicles’ smaller-shield weight and the building name.
9:17|The king made a great ivory throne and covered it with pure gold.|Preserve the throne’s materials.
9:18|The throne had six steps and a gold footstool attached to it. Armrests stood on either side of the seat, with two lions beside them.|Retain the footstool and distinguish armrests from the lions.
9:19|Twelve lions stood on the six steps, one on either side of each step. Nothing like it had been made in any kingdom.|Make the arrangement clear while preserving the total.
9:20|All King Solomon’s drinking vessels were gold, and all the vessels in the House of the Forest of Lebanon were pure gold. Silver counted for nothing in Solomon’s day.|Keep the narrative’s strong valuation claim.
9:21|The king’s ships sailed to Tarshish with Huram’s servants. Once every three years the Tarshish ships returned carrying gold, silver, ivory, apes, and peacocks.|Retain destination, interval and disputed animal identification with note.
9:22|King Solomon surpassed all the earth’s kings in wealth and wisdom.|Preserve the scope of the superlative.
9:23|All the earth’s kings sought an audience with Solomon to hear the wisdom God had put in his heart.|Keep universal royal attendance and wisdom’s divine source.
9:24|Year after year, each brought a gift: silver and gold vessels, clothing, weapons, spices, horses, and mules.|Retain the entire repeated-gift inventory.
9:25|Solomon had four thousand stalls for horses and chariots, and twelve thousand horsemen. He stationed them in the chariot towns and with the king in Jerusalem.|Keep Chronicles’ four-thousand figure and both stationing locations.
9:26|He ruled over all the kings from the River to the land of the Philistines and the border of Egypt.|Preserve the geographic royal extent with River explained in vocabulary.
9:27|The king made silver as common in Jerusalem as stones, and cedars as plentiful as sycamore-fig trees in the lowlands.|Keep both abundance comparisons and the distinct tree.
9:28|Horses were imported for Solomon from Egypt and from all the lands.|Retain the additional origins beyond Egypt.
9:29|The rest of Solomon’s acts, from first to last, are written in the records of Nathan the prophet, the prophecy of Ahijah the Shilonite, and the visions of Iddo the seer concerning Jeroboam son of Nebat.|Keep all three records and the final subject qualification.
9:30|Solomon reigned in Jerusalem over all Israel for forty years.|Retain place, extent and exact reign length.
9:31|Solomon lay down with his ancestors and was buried in his father David’s City. His son Rehoboam became king in his place.|Keep the ancestral death idiom and succession.
10:1|Rehoboam went to Shechem, where all Israel had gathered to make him king.|Connect the journey with its purpose.
10:2|When Jeroboam son of Nebat heard, he was in Egypt, where he had fled from King Solomon. Jeroboam returned from Egypt.|Preserve Chronicles’ return notice and its prior flight.
10:3|The people sent for him. Jeroboam and all Israel came to Rehoboam and said,|Clarify the summons and retain collective speech.
10:4|“Your father made our yoke harsh. Now lighten your father’s harsh service and the heavy yoke he put on us, and we will serve you.”|Keep the yoke image, repeated harshness and conditional offer.
10:5|He told them, “Come back to me in three days.” So the people left.|Make the dismissal natural without losing the interval.
10:6|King Rehoboam consulted the elders who had served his father Solomon while he was alive. “What answer do you advise me to give these people?” he asked.|Identify whose lifetime and service are in view.
10:7|They told him, “If you are good to these people, please them, and speak kindly to them, they will be your servants always.”|Retain Chronicles’ good-to-them wording rather than importing Kings’ servant wording.
10:8|But he abandoned the elders’ advice and consulted the young men who had grown up with him and now served him.|Preserve the rejection and the peers’ dual relationship.
10:9|He asked them, “What do you advise? How should we answer these people who have told me, ‘Lighten the yoke your father put on us’?”|Retain the plural deliberation and quoted request.
10:10|The young men who had grown up with him replied, “Tell these people who said, ‘Your father made our yoke heavy; lighten it for us’: ‘My little finger is thicker than my father’s waist!|Keep the bodily boast and note the supplied finger.
10:11|My father loaded you with a heavy yoke; I will add to your yoke. My father disciplined you with whips; I will do it with scorpions.’”|Retain the full escalation and scorpion image.
10:12|Jeroboam and all the people came to Rehoboam on the third day, as the king had told them: “Come back to me on the third day.”|Keep the repeated timing and royal instruction.
10:13|The king answered them harshly. King Rehoboam abandoned the elders’ advice|Preserve the narrator’s repetition of rejection.
10:14|and spoke to them as the young men advised: “I will make your yoke heavy and add to it. My father disciplined you with whips; I will do it with scorpions.”|Keep the actual answer’s wording distinct from the earlier advice.
10:15|The king would not listen to the people. This turn of events came from God, so that the LORD would fulfill the word he had spoken through Ahijah the Shilonite to Jeroboam son of Nebat.|Retain both human refusal and divine purpose without resolving their tension.
10:16|When all Israel saw that the king would not listen, the people answered him:\n“What share have we in David?\nWe have no inheritance in Jesse’s son!\nTo your tents, Israel!\nNow look after your own house, David!”\nSo all Israel went to their tents.|Preserve the protest’s poetic parallelism and house image within its paragraph.
10:17|Rehoboam continued to reign over the Israelites living in Judah’s towns.|Keep the remaining constituency explicit.
10:18|King Rehoboam sent Hadoram, the man over the forced labor, but the Israelites stoned him to death. Rehoboam hurried to get into his chariot and flee to Jerusalem.|Retain Hadoram, the labor role and lethal violence.
10:19|Israel has rebelled against David’s house to this day.|Preserve the narrator’s continuing perspective and dynasty image.
11:1|When Rehoboam reached Jerusalem, he gathered the houses of Judah and Benjamin: a hundred eighty thousand chosen fighting men, to fight Israel and restore the kingdom to him.|Retain the troop count and intended civil war.
11:2|But the LORD’s word came to Shemaiah, the man of God:|Mark the intervention and the prophet’s title.
11:3|“Say to Rehoboam son of Solomon, king of Judah, and to all Israel in Judah and Benjamin,|Preserve Israel as a designation within the southern kingdom.
11:4|‘The LORD says: Do not march out and fight your brothers. Everyone must return home, for this has come from me.’” They listened to the LORD’s words and turned back from marching against Jeroboam.|Keep brotherhood, divine agency and the obedient reversal.
11:5|Rehoboam lived in Jerusalem and built fortified towns in Judah.|Introduce the defensive building list.
11:6|He built Bethlehem, Etam, Tekoa,|Retain the three town names in sequence.
11:7|Beth-zur, Soco, Adullam,|Keep all three sites without expanding the list.
11:8|Gath, Mareshah, Ziph,|Preserve the geographic inventory.
11:9|Adoraim, Lachish, Azekah,|Keep the names and their order.
11:10|Zorah, Aijalon, and Hebron—fortified towns in Judah and Benjamin.|Close the list with its territorial qualification.
11:11|He strengthened the fortifications, placed commanders in them, and stocked them with food, oil, and wine.|Keep command and provisions distinct.
11:12|He put large shields and spears in every town and made them very strong. Judah and Benjamin were his.|Preserve each-town equipment and the closing possession claim.
11:13|The priests and Levites from all their territories throughout Israel took their stand with him.|Keep the movement from all Israel and the alignment with Rehoboam.
11:14|The Levites left their pasturelands and possessions and came to Judah and Jerusalem, because Jeroboam and his sons had rejected them from serving as priests to the LORD.|Preserve what they abandoned and the explicit cause.
11:15|Jeroboam appointed his own priests for the high places, the goat-demons, and the calves he had made.|Retain the difficult goat designation without substituting another deity.
11:16|People from every tribe of Israel who set their hearts on seeking the LORD, Israel’s God, followed them to Jerusalem to sacrifice to the LORD, their ancestors’ God.|Keep the whole-heart movement and ancestral identification.
11:17|They strengthened Judah’s kingdom and supported Rehoboam son of Solomon for three years, because for three years they walked in the way of David and Solomon.|Preserve both repetitions of the limited three-year period.
11:18|Rehoboam married Mahalath, daughter of Jerimoth son of David and of Abihail daughter of Eliab son of Jesse.|Follow the read daughter and disclose the uncertain parental linkage in a note.
11:19|She bore him three sons: Jeush, Shemariah, and Zaham.|Name all sons and keep the mother’s agency.
11:20|After her he married Maacah daughter of Absalom. She bore him Abijah, Attai, Ziza, and Shelomith.|Preserve the later marriage and its four named children.
11:21|Rehoboam loved Maacah daughter of Absalom more than all his other wives and concubines. He had eighteen wives and sixty concubines and fathered twenty-eight sons and sixty daughters.|Keep the preference and all four family totals.
11:22|Rehoboam made Abijah son of Maacah chief among his brothers, intending to make him king.|Make succession the reason for precedence.
11:23|He acted shrewdly, dispersing some of his sons through all the districts of Judah and Benjamin, in every fortified town. He provided them with abundant food and sought many wives.|Leave the final wives’ intended recipients unstated, as in the Hebrew.
12:1|Once Rehoboam’s kingdom was established and he had grown strong, he abandoned the LORD’s instruction, and all Israel followed him.|Connect security with the narrated abandonment.
12:2|In King Rehoboam’s fifth year, Shishak king of Egypt marched against Jerusalem because they had been unfaithful to the LORD.|Preserve the date and the narrator’s causal claim.
12:3|He had twelve hundred chariots, sixty thousand horsemen, and countless troops who came with him from Egypt: Libyans, Sukkites, and Cushites.|Retain both counts and all three peoples.
12:4|He captured Judah’s fortified towns and advanced as far as Jerusalem.|Keep the movement from defenses to capital.
12:5|Shemaiah the prophet came to Rehoboam and Judah’s officials, who had gathered in Jerusalem because of Shishak. He told them, “The LORD says: You abandoned me, so I have abandoned you into Shishak’s hand.”|Preserve the reciprocal abandonment and hand image.
12:6|Israel’s officials and the king humbled themselves and said, “The LORD is righteous.”|Keep Israel’s designation and their brief confession.
12:7|When the LORD saw that they had humbled themselves, his word came to Shemaiah: “They have humbled themselves. I will not destroy them; I will grant them some deliverance. My wrath will not be poured out on Jerusalem through Shishak.|Retain the repeated humbling and qualify the deliverance.
12:8|But they will become his servants, so they may know the difference between serving me and serving the kingdoms of other lands.”|Make the contrast between two services understandable.
12:9|Shishak king of Egypt marched against Jerusalem and took the treasures of the LORD’s house and the royal house. He took everything, including the gold shields Solomon had made.|Keep everything as the narrator’s emphatic total.
12:10|King Rehoboam replaced them with bronze shields and entrusted them to the captains of the runners who guarded the royal house’s entrance.|Preserve the material downgrade and guard role.
12:11|Whenever the king entered the LORD’s house, the runners came and carried the shields, then returned them to the runners’ guardroom.|Clarify what was carried and returned.
12:12|Because Rehoboam humbled himself, the LORD’s anger turned away from him and did not destroy him completely. There were also good things in Judah.|Retain the qualified outcome and the separate positive notice.
12:13|King Rehoboam strengthened his rule in Jerusalem. He was forty-one when he became king and reigned seventeen years in Jerusalem, the city the LORD had chosen from all Israel’s tribes for his name to dwell there. His mother was Naamah the Ammonite.|Keep age, reign, chosen city and his mother’s identity.
12:14|He did evil because he had not set his heart on seeking the LORD.|Preserve the narrator’s explanation in heart language.
12:15|Rehoboam’s acts, from first to last, are written in the records of Shemaiah the prophet and Iddo the seer, with the genealogical record. Rehoboam and Jeroboam were at war throughout their days.|Retain the difficult record qualification and continuing warfare.
12:16|Rehoboam lay down with his ancestors and was buried in David’s City. His son Abijah became king in his place.|Keep the burial formula and named successor.
13:1|Abijah became king over Judah in the eighteenth year of King Jeroboam.|Retain the synchronism.
13:2|He reigned in Jerusalem for three years. His mother was Micaiah daughter of Uriel from Gibeah. There was war between Abijah and Jeroboam.|Keep this maternal name and father without harmonizing Maacah.
13:3|Abijah entered battle with an army of four hundred thousand chosen warriors. Jeroboam drew up eight hundred thousand chosen, capable warriors against him.|Retain the doubled force and both very large totals.
13:4|Abijah stood on Mount Zemaraim in Ephraim’s hill country and said, “Listen to me, Jeroboam and all Israel!|Locate and identify the royal speech.
13:5|Surely you know that the LORD, Israel’s God, gave David and his sons kingship over Israel forever by a covenant of salt.|Keep the ancient covenant image and explain it selectively.
13:6|Yet Jeroboam son of Nebat, a servant of Solomon son of David, rose up and rebelled against his master.|Keep the subordinate-master contrast as Abijah’s claim.
13:7|Worthless scoundrels gathered around him and proved too strong for Rehoboam son of Solomon. Rehoboam was young and fainthearted and could not stand against them.|Preserve the partisan portrayal without repairing its tension with Rehoboam’s age.
13:8|Now you think you can stand against the LORD’s kingdom in the hands of David’s sons. You are a vast crowd, and with you are the gold calves Jeroboam made as your gods.|Keep the royal and cultic contrasts within the speech.
13:9|Did you not drive out the LORD’s priests, Aaron’s sons, and the Levites, and make priests for yourselves like the peoples of other lands? Anyone who comes to be consecrated with a young bull and seven rams becomes a priest of what are no gods.|Retain exclusion, consecration cost and the polemical denial.
13:10|But as for us, the LORD is our God, and we have not abandoned him. Aaron’s sons serve the LORD as priests, and the Levites attend to their work.|Keep the repeated contrast as the king’s assertion.
13:11|Every morning and evening they burn burnt offerings to the LORD and fragrant incense. They arrange the bread on the pure table and tend the gold lampstand and its lamps to burn every evening. We keep the charge of the LORD our God, but you have abandoned him.|Preserve each ritual and the speech’s final accusation.
13:12|Look! God is with us at our head, and his priests have the signal trumpets to sound against you. Israelites, do not fight the LORD, your ancestors’ God. You will not succeed!”|Keep divine leadership, trumpet function and warning.
13:13|Meanwhile Jeroboam sent an ambush around behind Judah. His main force faced Judah, and the ambush was behind them.|Clarify the two forces without losing the repeated rear threat.
13:14|Judah turned and found battle facing them both front and rear. They cried out to the LORD, and the priests sounded the trumpets.|Preserve the encirclement and response.
13:15|The men of Judah raised a shout. As they shouted, God defeated Jeroboam and all Israel before Abijah and Judah.|Keep the timing and explicit divine actor.
13:16|The Israelites fled before Judah, and God handed them over.|Preserve flight and the handover attribution.
13:17|Abijah and his people struck them a crushing blow: five hundred thousand chosen men of Israel fell dead.|Retain the stated death count without reducing it.
13:18|The Israelites were humbled at that time, while Judah’s people grew strong because they relied on the LORD, their ancestors’ God.|Keep humility and strength paired with the stated cause.
13:19|Abijah pursued Jeroboam and captured Bethel, Jeshanah, and Ephrain, each with its surrounding villages.|Follow the read Ephrain while retaining all three towns and dependencies.
13:20|Jeroboam never regained strength during Abijah’s days. The LORD struck him, and he died.|Preserve the chronological wording and death attribution.
13:21|Abijah grew strong. He married fourteen wives and fathered twenty-two sons and sixteen daughters.|Keep all family totals.
13:22|The rest of Abijah’s acts, his ways and his words, are written in the account of Iddo the prophet.|Distinguish acts, conduct and speech in the record notice.
14:1|Abijah lay down with his ancestors and was buried in David’s City. His son Asa became king in his place. In his days the land was quiet for ten years.|Bind public 14:1 to original 13:23 and retain the quiet decade.
14:2|Asa did what was good and right in the eyes of the LORD his God.|Keep both moral descriptions and divine perspective.
14:3|He removed the foreign altars and high places, smashed the sacred pillars, and cut down the Asherah poles.|Retain all four objects and distinct destructive actions.
14:4|He told Judah to seek the LORD, their ancestors’ God, and to carry out the instruction and commandment.|Keep seeking linked with doing.
14:5|He removed the high places and incense altars from every town in Judah, and the kingdom was quiet under him.|Retain the Judah qualification and ensuing quiet.
14:6|He built fortified towns in Judah while the land was quiet. No war troubled him in those years, because the LORD had given him rest.|Keep the stated reason and limited period.
14:7|He told Judah, “Let us build these towns and surround them with walls, towers, gates, and bars while the land is still open to us. We have sought the LORD our God; we have sought him, and he has given us rest on every side.” So they built and prospered.|Preserve repeated seeking and all defensive elements.
14:8|Asa’s army included three hundred thousand men of Judah carrying large shields and spears, and two hundred eighty thousand men of Benjamin carrying smaller shields and drawing bows. All were capable warriors.|Retain the two tribal totals and different equipment.
