24:1|Jesus was leaving the temple when his disciples came over to show him its buildings.|Connects the participial departure to the disciples’ approach in one natural sentence.
25:20|The servant who had received five talents came forward with five more. ‘Master,’ he said, ‘you entrusted five talents to me. Look, I have gained five more.’|Clarifies speaker and action while retaining the repeated amounts.
25:21|His master said, ‘Well done, good and faithful servant! You have been faithful with a little; I will put you in charge of much. Come and share your master’s joy.’|Makes entering joy idiomatic without replacing it with a specified reward.
25:22|The servant with two talents also came forward. ‘Master,’ he said, ‘you entrusted two talents to me. Look, I have gained two more.’|Preserves the second report’s parallel form and distinct amount.
25:23|His master said, ‘Well done, good and faithful servant! You have been faithful with a little; I will put you in charge of much. Come and share your master’s joy.’|Retains the identical response given for different sums.
25:24|Then the servant who had received one talent came forward. ‘Master,’ he said, ‘I knew you were a hard man. You reap where you have not sown and gather where you have not scattered seed.|Keeps the harsh assessment inside the servant’s speech and retains the agricultural images.
25:25|I was afraid, so I went and hid your talent in the ground. Here, you have what is yours.’|Preserves fear as the servant’s stated reason and the defensive return.
25:26|His master replied, ‘You wicked, lazy servant! You knew I reap where I have not sown and gather where I have not scattered seed?|Retains the question echoing the servant’s accusation without certifying the accusation as narrator fact.
25:27|Then you should have put my money with the bankers, so that when I returned I could have received it with interest.|Makes the counterfactual consequence clear while retaining bankers and interest.
25:28|So take the talent from him and give it to the one who has ten talents.|Retains the transfer to the servant with ten, not an invented equal distribution.
25:29|For everyone who has will be given more and will have plenty. But whoever does not have will lose even what they have.|Preserves the paradox without supplying an unstated object such as faith or wealth.
25:30|Throw this useless servant into the outer darkness. There will be weeping and grinding of teeth.’|Retains the expulsion and repeated judgment image.
25:31|“When the Son of Man comes in his glory with all the angels, he will sit on his glorious throne.|Preserves the title, angels, and royal setting without additional identification.
25:32|All the nations will be gathered before him. He will separate people from one another as a shepherd separates sheep from goats.|Clarifies the shift from collective nations to people without restricting the participants.
25:33|He will place the sheep on his right and the goats on his left.|Retains the two-sided arrangement without adding symbolism.
25:34|Then the king will say to those on his right, ‘Come, you who are blessed by my Father. Inherit the kingdom prepared for you since the foundation of the world.|Preserves the shift to king and the prepared inheritance.
25:35|For I was hungry and you gave me food. I was thirsty and you gave me something to drink. I was a stranger and you welcomed me.|Makes each act audible while retaining the repeated first-person identification.
25:36|I was naked and you clothed me. I was sick and you cared for me. I was in prison and you came to me.’|Retains distinct clothing, care, and prison visitation actions.
25:37|Then the righteous will ask, ‘Lord, when did we see you hungry and feed you, or thirsty and give you something to drink?|Preserves the surprised question and first pair of actions.
25:38|When did we see you a stranger and welcome you, or naked and clothe you?|Retains the repeated question and second pair unchanged in sense.
25:39|When did we see you sick or in prison and come to you?’|Keeps coming to the person as the shared action.
25:40|The king will answer, ‘I tell you the truth: whatever you did for one of the least of these brothers and sisters of mine, you did for me.’|Retains brothers and sisters of mine without deciding the disputed referent in the translation.
25:41|“Then he will say to those on his left, ‘Go away from me, you who are cursed, into the eternal fire prepared for the devil and his angels.|Preserves the specified preparation for devil and angels without adding a claim about human predestination.
25:42|For I was hungry and you gave me no food. I was thirsty and you gave me nothing to drink.|Maintains the negative parallel to the earlier acts of care.
25:43|I was a stranger and you did not welcome me. I was naked and you did not clothe me. I was sick and in prison and you did not care for me.’|Retains all omitted actions and repeated first-person identification.
25:44|They too will ask, ‘Lord, when did we see you hungry or thirsty, a stranger or naked, sick or in prison, and fail to serve you?’|Makes the final negative verb idiomatic while preserving the complete list.
25:45|He will answer, ‘I tell you the truth: whatever you failed to do for one of the least of these, you failed to do for me.’|Retains the parallel with the positive answer and does not insert brothers absent here.
25:46|And they will go away into eternal punishment, but the righteous into eternal life.”|Uses the same adjective for punishment and life and marks the return to narrative conclusion.
26:1|When Jesus had finished saying all this, he told his disciples,|Connects the completed discourse to the prediction.
26:2|“You know that Passover is two days away, and the Son of Man will be handed over to be crucified.”|Retains the two-day timing and hand-over motif.
26:3|Then the chief priests and the elders of the people gathered in the courtyard of the high priest, Caiaphas.|Names the participants and location without adding scribes absent from this source.
26:4|They plotted to arrest Jesus by deception and kill him.|Preserves deceit and lethal intent.
26:5|“But not during the festival,” they said, “or there may be a riot among the people.”|Makes the feared public reaction the reason for delay.
26:6|Jesus was in Bethany, at the house of Simon the leper.|Preserves Simon’s designation without inventing his medical history.
26:7|While he reclined at the table, a woman came to him with an alabaster jar of very expensive perfume and poured it over his head.|Preserves the unnamed woman, head anointing, costly perfume, and reclining posture.
26:8|The disciples saw this and were indignant. “Why this waste?” they asked.|Keeps the objection with the disciples collectively rather than importing Judas alone.
26:9|“This could have been sold for a large sum and the money given to the poor.”|Supplies money as the natural object of the sale proceeds.
26:10|Aware of this, Jesus said, “Why are you troubling this woman? She has done something beautiful for me.|Renders the good deed idiom naturally without identifying the woman.
26:11|You always have the poor with you, but you do not always have me.|Retains the temporal contrast rather than making it a prohibition on helping the poor.
26:12|By pouring this perfume on my body, she has prepared me for burial.|Makes the burial purpose readable without explaining the woman’s knowledge.
26:13|I tell you the truth: wherever this good news is proclaimed throughout the world, what she has done will also be told in memory of her.”|Retains the worldwide proclamation and memorial to the woman.
26:14|Then one of the Twelve, Judas Iscariot, went to the chief priests.|Preserves membership in the Twelve as part of the betrayal’s force.
26:15|“What will you give me if I hand him over to you?” he asked. They weighed out thirty silver coins for him.|Retains the hand-over network, weighing, number, and metal.
26:16|From then on, he looked for an opportunity to hand Jesus over.|Makes the referent clear while retaining repeated hand-over language.
26:17|On the first day of Unleavened Bread, the disciples came to Jesus and asked, “Where do you want us to prepare the Passover meal for you?”|Retains the festival timing and makes preparation’s object natural.
26:18|He said, “Go into the city to a certain man and tell him, ‘The Teacher says: My time is near. I will celebrate Passover at your house with my disciples.’”|Preserves the unnamed host and the Teacher’s first-person message.
26:19|The disciples did as Jesus directed and prepared the Passover meal.|Retains instruction followed by preparation.
26:20|When evening came, Jesus reclined at the table with the twelve disciples.|Keeps the meal posture and full group.
26:21|While they were eating, he said, “I tell you the truth: one of you will hand me over.”|Retains the meal setting and disturbing one-of-you announcement.
26:22|Deeply distressed, they began asking him one by one, “Surely not I, Lord?”|Preserves the question’s expectation of a negative reply.
26:23|He answered, “The one who dipped his hand in the bowl with me will hand me over.|Keeps the shared bowl and hand-over verb rather than expanding the identification.
26:24|The Son of Man goes as it is written about him. But woe to the man through whom the Son of Man is handed over! It would have been better for that man never to have been born.”|Preserves both scriptural necessity and the pronounced woe.
26:25|Judas, who was handing him over, asked, “Surely not I, Rabbi?” Jesus said to him, “You have said it.”|Retains Rabbi rather than harmonizing to Lord and leaves the indirect response intact.
26:26|As they ate, Jesus took bread, spoke a blessing, and broke it. He gave it to the disciples and said, “Take, eat; this is my body.”|Makes successive actions audible without adding a sacramental explanation.
26:27|Then he took a cup, gave thanks, and gave it to them. “Drink from it, all of you,” he said,|Preserves cup, thanksgiving, distribution, and the inclusive command.
26:28|“for this is my blood of the covenant, poured out for many for the forgiveness of sins.|Retains Matthew’s forgiveness phrase and omits new absent from the pinned text.
26:29|I tell you, from now on I will not drink this fruit of the vine until the day I drink it new with you in my Father’s kingdom.”|Preserves fruit-of-vine imagery and the promised shared drinking.
26:30|After singing a hymn, they went out to the Mount of Olives.|Retains the collective singing without naming an unstated psalm.
26:31|Then Jesus told them, “Tonight you will all fall away because of me, for it is written,\n‘I will strike the shepherd,\nand the sheep of the flock will be scattered.’|Retains all, the causal connection, and the scriptural poetry.
26:32|But after I am raised, I will go ahead of you into Galilee.”|Preserves resurrection passive and the promised meeting location.
26:33|Peter answered, “Even if everyone falls away because of you, I never will.”|Retains Peter’s contrast between everyone and himself.
26:34|Jesus told him, “I tell you the truth: tonight, before a rooster crows, you will deny me three times.”|Preserves Matthew’s single rooster marker and three denials.
26:35|Peter said, “Even if I must die with you, I will never deny you!” All the disciples said the same.|Retains Peter’s emphatic refusal and the others’ shared confidence.
26:36|Then Jesus went with them to a place called Gethsemane. He told his disciples, “Sit here while I go over there to pray.”|Clarifies movement and instruction without adding a garden to Matthew’s place description.
26:37|He took Peter and the two sons of Zebedee with him and began to feel sorrow and anguish.|Preserves the three companions and Jesus’ emotional distress.
26:38|He told them, “My soul is overwhelmed with sorrow, to the point of death. Stay here and keep watch with me.”|Retains soul and death language alongside the request for shared watching.
26:39|Going a little farther, he fell facedown and prayed, “My Father, if it is possible, let this cup pass from me. Yet not as I will, but as you will.”|Retains the cup metaphor, bodily posture, and contrast of wills.
26:40|He came back to the disciples and found them sleeping. He said to Peter, “Could you not keep watch with me for even one hour?|Keeps the address to Peter with the plural challenge to the group documented in apparatus.
26:41|Keep watch and pray, so that you do not enter into temptation. The spirit is willing, but the flesh is weak.”|Retains the spirit/flesh contrast and temptation ambiguity in vocabulary.
26:42|He went away a second time and prayed, “My Father, if this cannot pass unless I drink it, let your will be done.”|Preserves the changed conditional formulation and the drinking image.
26:43|He returned and again found them sleeping, for their eyes were heavy.|Retains the bodily explanation for their sleep.
26:44|Leaving them, he went away again and prayed a third time, saying the same words.|Preserves threefold prayer and repeated wording.
26:45|Then he came to the disciples and said, “Are you still sleeping and resting? Look, the hour has come. The Son of Man is being handed over into the hands of sinners.|Uses interrogative punctuation for the difficult opening, with the alternative retained in a note.
26:46|Get up; let us go. Look, the one handing me over is near.”|Retains the urgent commands and approaching betrayer without importing a name here.
26:47|While he was still speaking, Judas, one of the Twelve, arrived. With him was a large crowd carrying swords and clubs, sent by the chief priests and elders of the people.|Preserves the timing, Judas’s membership, weapons, and commissioning authorities.
26:48|The man handing him over had given them a signal: “The one I kiss is the man. Arrest him.”|Retains the prearranged kiss and direct arrest command.
26:49|He immediately went up to Jesus. “Greetings, Rabbi!” he said, and kissed him.|Preserves the immediate approach, address, and enacted signal.
26:50|Jesus said to him, “Friend, do what you came for.” Then they stepped forward, seized Jesus, and arrested him.|Renders the elliptical address as a command while recording its uncertainty in a note.
26:51|One of those with Jesus reached for his sword, drew it, and struck the high priest’s slave, cutting off his ear.|Retains the unnamed swordsman and slave’s status; does not import another Gospel’s names.
26:52|Jesus said to him, “Put your sword back where it belongs. Everyone who takes up the sword will perish by the sword.|Preserves the repeated sword and warning without converting it into a modern policy statement.
26:53|Do you think I cannot appeal to my Father, and he would at once provide me with more than twelve legions of angels?|Keeps the military image and more-than-twelve number.
26:54|But how, then, would the Scriptures be fulfilled, which say it must happen this way?”|Makes the scriptural necessity explicit in natural English syntax.
26:55|At that moment Jesus said to the crowds, “Have you come out with swords and clubs to arrest me as though I were a bandit? Day after day I sat teaching in the temple, and you did not arrest me.|Preserves the armed arrest contrast and repeated public teaching.
26:56|But all this has happened so that the writings of the prophets may be fulfilled.” Then all the disciples abandoned him and fled.|Keeps fulfillment inside Jesus’ speech and the disciples’ flight as narrative.
26:57|Those who arrested Jesus led him to Caiaphas, the high priest, where the scribes and elders had gathered.|Preserves the named destination and assembled participants.
26:58|Peter followed at a distance, as far as the high priest’s courtyard. He went inside and sat with the attendants to see how it would end.|Clarifies the route and Peter’s stated purpose without inventing motives.
26:59|The chief priests and the whole council were looking for false testimony against Jesus so they could put him to death.|Preserves the explicit falsity and intended execution.
26:60|Although many false witnesses came forward, they found none. At last two came forward|Retains the failed search and sentence continuing into the witnesses’ words.
26:61|and said, “This man said, ‘I can destroy God’s sanctuary and rebuild it in three days.’”|Distinguishes sanctuary from temple precinct and keeps the claim as reported testimony.
26:62|The high priest stood up and asked him, “Have you no answer? What is this testimony against you?”|Retains the two questions and pressure to respond.
26:63|But Jesus remained silent. The high priest said, “I put you under oath by the living God: tell us whether you are the Christ, the Son of God.”|Preserves silence, solemn adjuration, and both titles.
26:64|Jesus answered, “You have said it. But I tell you, from now on you will see the Son of Man seated at the right hand of Power and coming on the clouds of heaven.”|Retains indirect affirmation, Power as divine designation, and combined imagery.
26:65|Then the high priest tore his clothes. “He has blasphemed!” he said. “Why do we need any more witnesses? You have now heard the blasphemy.|Keeps the charge in the high priest’s speech rather than the narrator’s voice.
26:66|What is your judgment?” They answered, “He deserves death.”|Makes the council’s reply clear without treating it as the narrator’s verdict.
26:67|Then they spat in his face and struck him with their fists. Others slapped him,|Preserves the distinct forms of physical abuse.
26:68|saying, “Prophesy to us, Christ! Who hit you?”|Retains the title within the mocking demand.
26:69|Meanwhile Peter was sitting outside in the courtyard. A servant girl came up to him and said, “You too were with Jesus the Galilean.”|Keeps the first accuser, location, and regional identification.
26:70|But he denied it in front of everyone. “I do not know what you are talking about,” he said.|Preserves the public denial and its indirect wording.
26:71|When he went out to the gateway, another servant girl saw him and told the people there, “This man was with Jesus of Nazareth.”|Retains the second woman and changed location without harmonization.
26:72|Again he denied it, this time with an oath: “I do not know the man.”|Preserves escalation from denial to sworn denial.
26:73|A little later the bystanders came up to Peter. “You certainly are one of them,” they said. “Your accent gives you away.”|Makes speech-based identification idiomatic.
26:74|Then he began to call down curses and swear, “I do not know the man!” Immediately a rooster crowed.|Retains curses without specifying their unstated target and keeps immediate crowing.
26:75|Peter remembered what Jesus had said: “Before a rooster crows, you will deny me three times.” He went outside and wept bitterly.|Preserves remembered prediction and the emotional conclusion.
27:1|Early in the morning, all the chief priests and elders of the people made plans to put Jesus to death.|Retains the collective deliberation and purpose.
27:2|They bound him, led him away, and handed him over to Pilate the governor.|Preserves the sequence and hand-over motif into Roman custody.
27:3|When Judas, who had handed him over, saw that Jesus was condemned, he was filled with remorse. He returned the thirty silver coins to the chief priests and elders.|Keeps remorse tied to the condemnation without resolving later theological judgments about repentance.
27:4|“I have sinned,” he said. “I have handed over innocent blood.” They replied, “What is that to us? That is your concern.”|Preserves innocent-blood idiom and the leaders’ rejection of responsibility.
27:5|He threw the silver coins into the sanctuary and left. Then he went away and hanged himself.|Retains the sanctuary location and manner of death without added detail.
27:6|The chief priests picked up the coins. “It is not lawful to put these into the treasury,” they said, “because they are blood money.”|Keeps the legal objection in their speech and the blood-money designation.
27:7|After discussing it, they used the money to buy the potter’s field as a burial place for foreigners.|Preserves the decision, purchase, and designated beneficiaries.
27:8|That is why the field has been called the Field of Blood to this day.|Retains the narrator’s naming explanation and temporal viewpoint.
27:9|Then what was spoken through the prophet Jeremiah was fulfilled:\n“They took the thirty silver coins,\nthe price set on him by some of the people of Israel,|Preserves the pinned attribution to Jeremiah and quoted price without silently correcting to Zechariah.
27:10|and gave them for the potter’s field,\nas the Lord directed me.”|Retains the quotation’s first-person close and divine instruction.
27:11|Jesus stood before the governor, who asked him, “Are you the king of the Jews?” Jesus answered, “You say so.”|Preserves the political title and indirect response.
27:12|When the chief priests and elders accused him, he gave no answer.|Retains silence in response to the specific accusers.
27:13|Then Pilate asked him, “Do you not hear how much they are testifying against you?”|Preserves Pilate’s appeal to the volume of testimony.
27:14|But Jesus did not answer him even a single word, to the governor’s great amazement.|Makes the emphatic silence and reaction audible.
27:15|At the festival, the governor customarily released one prisoner chosen by the crowd.|Retains the custom and the crowd’s role without adding a legal explanation.
27:16|At that time they had a notorious prisoner called Jesus Barabbas.|Preserves Jesus in Barabbas’s name as printed in the pinned text.
27:17|So when the crowd gathered, Pilate asked, “Whom do you want me to release for you: Jesus Barabbas, or Jesus who is called the Christ?”|Retains the deliberate contrast between the two names.
27:18|For he knew they had handed Jesus over out of envy.|Preserves the narrator’s explanation of Pilate’s knowledge.
27:19|While Pilate was sitting on the judgment seat, his wife sent him a message: “Have nothing to do with that righteous man. I have suffered greatly today in a dream because of him.”|Clarifies the messenger relationship and keeps righteous in the wife’s speech.
27:20|But the chief priests and elders persuaded the crowds to ask for Barabbas and to have Jesus killed.|Preserves the specific persuaders and two requested outcomes.
27:21|The governor asked them, “Which of the two do you want me to release for you?” “Barabbas,” they replied.|Retains the two-person choice and terse collective reply.
27:22|Pilate asked, “Then what should I do with Jesus who is called the Christ?” They all said, “Let him be crucified!”|Preserves the title and the crowd’s requested execution.
27:23|“Why?” he asked. “What evil has he done?” But they shouted all the louder, “Let him be crucified!”|Retains the unanswered question and escalating demand.
27:24|Pilate saw that he was getting nowhere and that a riot was beginning. He took water and washed his hands in front of the crowd. “I am innocent of this blood,” he said. “That is your concern.”|Keeps Pilate’s claim as speech and preserves the repeated responsibility idiom.
27:25|All the people answered, “His blood be on us and on our children!”|Retains the difficult words without expanding their speakers beyond this narrative scene.
27:26|Then he released Barabbas for them. After having Jesus flogged, he handed him over to be crucified.|Preserves Pilate’s agency in flogging and execution despite his preceding claim.
27:27|The governor’s soldiers took Jesus into the governor’s headquarters and gathered the whole cohort around him.|Identifies Roman actors and retains cohort as a military term explained in vocabulary.
27:28|They stripped him and put a scarlet cloak on him.|Preserves Matthew’s scarlet color without harmonizing to another Gospel.
27:29|They wove a crown of thorns, placed it on his head, and put a reed in his right hand. Kneeling before him, they mocked him: “Hail, king of the Jews!”|Preserves the mock royal props, bodily action, and address.
27:30|They spat on him, took the reed, and struck him on the head.|Keeps all three abusive actions without embellishment.
27:31|When they had finished mocking him, they removed the cloak, dressed him in his own clothes, and led him away to crucify him.|Preserves the transition from mockery to execution.
27:32|As they went out, they came upon a man from Cyrene named Simon and forced him to carry Jesus’ cross.|Retains origin, name, and coercion without inventing Simon’s motivation.
27:33|They came to a place called Golgotha, which means “Place of a Skull.”|Preserves the place name and the narrator’s explanation.
27:34|They offered Jesus wine mixed with gall. After tasting it, he refused to drink.|Retains gall rather than importing Mark’s myrrh.
27:35|After crucifying him, they divided his clothes by casting lots.|Preserves the casting of lots without inserting a source-absent fulfillment quotation.
27:36|Then they sat down and kept watch over him there.|Retains the soldiers’ watch at the execution site.
27:37|Above his head they placed the written charge against him: “This is Jesus, the king of the Jews.”|Preserves the complete inscription and its function as charge.
27:38|Two bandits were crucified with him, one on his right and one on his left.|Retains the two companions and their positions without characterizing their later responses differently.
27:39|Those passing by insulted him, shaking their heads|Keeps verbal and bodily mockery connected to the following speech.
27:40|and saying, “You who would destroy the sanctuary and rebuild it in three days, save yourself! If you are God’s Son, come down from the cross!”|Preserves the challenge’s conditional wording and its sanctuary accusation.
27:41|Likewise the chief priests, with the scribes and elders, mocked him, saying,|Keeps the specified group as the next speakers.
27:42|“He saved others; he cannot save himself! He is the king of Israel. Let him come down from the cross now, and we will believe in him.|Retains save repeated and the taunting condition for belief.
27:43|He trusts in God. Let God rescue him now, if he wants him, for he said, ‘I am God’s Son.’”|Preserves the scriptural echo and the if-he-wants-him ambiguity.
27:44|The bandits crucified with him also insulted him in the same way.|Retains Matthew’s plural without importing another Gospel’s repentant individual.
27:45|From noon until three in the afternoon, darkness covered the whole land.|Renders the sixth-to-ninth hours naturally while leaving land/earth range in a note.
27:46|About three in the afternoon, Jesus cried out loudly, “Eli, Eli, lema sabachthani?” That means, “My God, my God, why have you forsaken me?”|Retains Matthew’s transliteration and quoted lament without explaining away abandonment.
27:47|Some of those standing there heard him and said, “This man is calling Elijah.”|Preserves the hearers’ misunderstanding as their speech.
27:48|Immediately one of them ran, took a sponge, filled it with sour wine, put it on a reed, and offered him a drink.|Retains the urgent sequence and distinguishes sour wine from earlier gall mixture.
27:49|The others said, “Leave him alone. Let us see whether Elijah comes to save him.”|Keeps the waiting taunt without adding the spear variant absent from the pinned text.
27:50|Jesus cried out loudly once more and gave up his spirit.|Retains repeated cry and spirit idiom rather than adding an explanation of his death.
27:51|Then the sanctuary curtain was torn in two from top to bottom. The earth shook, and the rocks split.|Preserves direction, sanctuary curtain, and accompanying upheaval.
27:52|The tombs were opened, and many bodies of the holy people who had fallen asleep were raised.|Retains bodies, holy people, sleep metaphor, and passive raising.
27:53|After Jesus’ resurrection, they came out of the tombs, entered the holy city, and appeared to many.|Names Jesus to clarify whose resurrection sets the timing, without inventing subsequent events.
27:54|When the centurion and those guarding Jesus with him saw the earthquake and what had happened, they were terrified. “This man truly was God’s Son!” they said.|Preserves the shared confession and military witnesses.
