1:1|The words of Qohelet, son of David, king in Jerusalem.|Retain title as name with vocabulary rather than identify beyond source.
2:4|I made my works great. I built houses for myself and planted vineyards for myself.|Keep repeated for myself.
2:5|I made gardens and parks for myself and planted every kind of fruit tree in them.|Retain distinct cultivated spaces.
2:6|I made pools of water for myself to irrigate a forest of growing trees.|Keep irrigation infrastructure.
2:7|I bought male and female slaves, and I had slaves born in my household. I also possessed more cattle and flocks than anyone before me in Jerusalem.|Preserve enslavement, birth status, and comparative claim.
2:8|I gathered silver and gold for myself, and the treasure of kings and provinces. I acquired male and female singers, and human delights—concubines in abundance.|Choose concubines for rare shiddah; flag uncertain meaning.
2:9|I became great and surpassed everyone before me in Jerusalem. My wisdom also stayed with me.|Preserve retained wisdom amid excess.
2:10|I denied my eyes nothing they asked for. I withheld no pleasure from my heart, for my heart rejoiced in all my toil. This was my portion from all my toil.|Keep portion distinct from lasting gain.
2:11|Then I turned to all the work my hands had done and the toil I had spent doing it. Look: everything was a breath, a herding of wind. There was no gain under the sun.|Preserve reflective turn and refrain.
2:12|Then I turned to consider wisdom, madness, and folly. For what can the person who comes after the king do, except what has already been done?|Retain difficult successor question without naming king.
2:13|I saw that wisdom has an advantage over folly, just as light has an advantage over darkness.|Keep genuine relative advantage despite prior frustration.
2:14|The wise have eyes in their heads;\nthe fool walks in darkness.\nYet I also knew that one fate meets them all.|Retain concrete proverb followed by its limit.
2:15|I said in my heart, “The fool’s fate will meet me too. Why, then, have I been so very wise?” And I said in my heart, “This too is a breath.”|Preserve repeated inward speech and question.
2:16|For the wise, like the fool, have no lasting remembrance. In the days to come, everything will already be forgotten. How can the wise die just like the fool?|Keep protest rather than smooth into detached observation.
2:17|So I hated life, because the work done under the sun was grievous to me. Everything is a breath, a herding of wind.|Retain real despair in speaker’s voice.
2:18|I hated all the toil I had toiled at under the sun, because I must leave it to the person who comes after me.|Keep toil repetition and forced relinquishment.
2:19|Who knows whether that person will be wise or foolish? Yet he will control all the toil I carried out with wisdom under the sun. This too is a breath.|Retain successor uncertainty and control.
2:20|So I turned toward despair in my heart over all the toil I had toiled at under the sun.|Preserve despair without inserted consolation.
2:21|Someone may toil with wisdom, knowledge, and skill, then leave his portion to a person who did not toil for it. This too is a breath and a great wrong.|Keep unearned inheritance and strong evaluative evil.
2:22|What does a person get from all his toil and the striving of his heart as he toils under the sun?|Retain gain question’s emotional dimension.
2:23|All his days are pain, and his occupation is frustration. Even at night his heart does not lie down. This too is a breath.|Keep sleepless heart image.
2:24|There is nothing better for a person than to eat, drink, and let himself enjoy good in his toil. This too, I saw, comes from the hand of God.|Choose comparative ellipsis; note not-in-human-control alternative.
2:25|For who can eat, and who can enjoy, apart from me?|Follow pinned first-person me; note consequential pronoun alternative.
2:26|To the person who is good before him, God gives wisdom, knowledge, and joy. To the sinner he gives the task of gathering and collecting, only to give it to the one who is good before God. This too is a breath, a herding of wind.|Retain both gifts/tasks and unsettling final verdict.
3:1|For everything there is a season,\na time for every activity under the heavens:|Preserve temporal frame and heavens.
3:2|a time to give birth and a time to die,\na time to plant and a time to uproot what is planted;|Follow active birth infinitive and paired plants.
3:3|a time to kill and a time to heal,\na time to tear down and a time to build;|Retain killing without euphemism or added endorsement.
3:4|a time to weep and a time to laugh,\na time to mourn and a time to dance;|Preserve four embodied responses.
3:5|a time to throw stones and a time to gather stones,\na time to embrace and a time to stay away from embracing;|Keep unresolved stone imagery.
3:6|a time to seek and a time to lose,\na time to keep and a time to throw away;|Retain lose rather than only stop searching.
3:7|a time to tear and a time to sew,\na time to be silent and a time to speak;|Keep textile and speech pairs.
3:8|a time to love and a time to hate,\na time for war and a time for peace.|Preserve disturbing hate and war pairings.
3:9|What gain does the worker have from his toil?|Resume gain question after time poem.
3:10|I have seen the task God has given humankind to occupy them.|Retain divine assignment.
3:11|He has made everything fitting in its time. He has also put eternity in their hearts, yet humans cannot discover the work God has done from beginning to end.|Keep olam and limit of human comprehension; note duration ambiguity.
3:12|I know there is nothing better for them than to rejoice and do good during their lives.|Preserve do good rather than silently substitute feel good.
3:13|Moreover, when anyone eats, drinks, and enjoys good in all his toil, this is God’s gift.|Keep ordinary enjoyment and divine gift.
3:14|I know that everything God does endures forever. Nothing can be added to it, and nothing taken from it. God has acted so that people will fear before him.|Retain permanence, limits, and fear.
3:15|What is has already been; what will be has already been. And God seeks what has been driven away.|Preserve pursued/driven-away ambiguity rather than erase into cyclic slogan.
3:16|I saw something else under the sun: in the place of judgment, wickedness was there; in the place of righteousness, wickedness was there.|Keep repeated there and institutional injustice.
3:17|I said in my heart, “God will judge the righteous and the wicked, for there is a time for every activity and for every deed there.”|Retain difficult there without inventing location.
3:18|I said in my heart concerning human beings, “God is testing them, so they may see that they themselves are animals.”|Keep unsettling human-animal comparison and divine testing.
3:19|For humans have a fate and animals have a fate; one fate belongs to them both. As one dies, so does the other. They all have one breath, and humans have no advantage over animals, for everything is a breath.|Retain shared breath and death without doctrinal qualification.
3:20|All go to one place. All came from dust, and all return to dust.|Keep threefold all and dust refrain.
3:21|Who knows whether the human spirit rises upward and the animal’s spirit goes downward to the earth?|Preserve epistemic question rather than assert an answer.
3:22|So I saw that there is nothing better than for a person to rejoice in his work, for that is his portion. Who can bring him to see what will come after him?|Keep portion and future-knowledge question.
