22:1|For three years there was no war between Aram and Israel.|Keeps the interval of peace.
22:17|Then Micaiah said, “I saw all Israel scattered on the hills like sheep without a shepherd. The LORD said, ‘These have no master. Let each return home in peace.’”|Preserves the shepherd image and peace announcement.
22:18|Israel’s king said to Jehoshaphat, “Didn’t I tell you? He prophesies nothing good for me, only disaster.”|Repeats Ahab’s accusation as his interpretation.
22:19|Micaiah continued, “Then hear the LORD’s word. I saw the LORD seated on his throne, with all heaven’s army standing beside him, to his right and left.|Keeps the heavenly council distinct from earthly thrones.
22:20|The LORD asked, ‘Who will entice Ahab to go up and fall at Ramoth-gilead?’ One proposed this, another that.|Retains divine initiative in the disturbing vision.
22:21|Then the spirit came forward and stood before the LORD. ‘I will entice him,’ it said. ‘How?’ the LORD asked.|Uses the full original Hebrew record, including the question.
22:22|It answered, ‘I will go and become a lying spirit in the mouths of all his prophets.’ The LORD said, ‘You will entice him and succeed. Go and do it.’|Preserves authorization of deception without theological repair.
22:23|So now the LORD has put a lying spirit in the mouths of all these prophets of yours. The LORD has pronounced disaster against you.”|Keeps the vision’s application attributed to Micaiah.
22:24|Zedekiah son of Chenaanah came up and struck Micaiah on the cheek. “Which way did the LORD’s spirit pass from me to speak to you?” he asked.|Retains the blow and derisive question.
22:25|Micaiah answered, “You will see on the day you go into an inner room to hide.”|Keeps future answer without adding its occasion.
22:26|Israel’s king said, “Take Micaiah back to Amon the city governor and Joash the king’s son.|Preserves both custodians and Joash’s title.
22:27|Tell them, ‘The king says: Put this man in prison. Give him meager bread and water until I return in peace.’”|Makes the deprivation concrete and repeats peace.
22:28|Micaiah said, “If you really return in peace, the LORD has not spoken through me.” Then he added, “Listen, all you peoples!”|Retains the public challenge and broad final address.
22:29|Israel’s king and Jehoshaphat king of Judah went up to Ramoth-gilead.|Keeps the narrative resumption spare.
22:30|Israel’s king told Jehoshaphat, “I will enter the battle in disguise, but you wear your robes.” So Israel’s king disguised himself and went into battle.|Clarifies who disguises himself without supplying a scheme.
22:31|The king of Aram had ordered his thirty-two chariot commanders, “Fight no one, small or great, except the king of Israel.”|Retains exact command and number.
22:32|When the chariot commanders saw Jehoshaphat, they said, “That must be Israel’s king!” They turned to attack him, and Jehoshaphat cried out.|Does not invent the words of his cry.
22:33|When they saw he was not Israel’s king, they stopped pursuing him.|Keeps recognition as the stated reason.
22:34|But a man drew his bow without a particular target and struck Israel’s king between the armor’s fittings and breastplate. The king told his chariot driver, “Turn around and take me out of the fighting. I am wounded.”|Preserves untargeted shot and uncertain armor detail.
22:35|The battle grew fierce that day. The king was held upright in his chariot facing Aram. He died that evening, and blood from his wound ran into the chariot’s floor.|Retains bodily injury and continued exposure.
22:36|At sunset a shout went through the camp: “Everyone to his town! Everyone to his own land!”|Keeps the twofold dismissal.
22:37|The king was dead. They brought him to Samaria and buried him there.|Clarifies transport of the dead king.
22:38|They washed the chariot at Samaria’s pool, where prostitutes bathed, and dogs licked his blood, just as the LORD had said.|Retains prostitutes and location without harmonizing Naboth’s oracle.
22:39|The rest of Ahab’s deeds, everything he did, the ivory house he built, and all the towns he built—are they not written in the annals of the kings of Israel?|Preserves the source notice and ivory house.
22:40|Ahab lay down with his ancestors, and his son Ahaziah became king in his place.|Keeps the ancestral death formula.
22:41|Jehoshaphat son of Asa became king over Judah in the fourth year of Ahab king of Israel.|Retains the regnal synchronism.
22:42|Jehoshaphat was thirty-five when he became king, and he ruled in Jerusalem for twenty-five years. His mother was Azubah daughter of Shilhi.|Preserves age, reign, and maternal lineage.
22:43|He followed the whole course of his father Asa and did not turn aside from it, doing what was right in the LORD’s eyes. Yet the high places remained; the people still sacrificed and burned offerings there.|Binds both Hebrew records 43–44 to the inherited public label.
22:44|Jehoshaphat also made peace with the king of Israel.|Retains peace between the kingdoms.
22:45|The rest of Jehoshaphat’s deeds, his achievements, and the wars he fought—are they not written in the annals of the kings of Judah?|Keeps the source referral and military record.
22:46|He removed from the land the remaining male shrine attendants who had survived from his father Asa’s days.|Matches the qualified cult-term choice in earlier chapters.
22:47|There was no king in Edom; a deputy ruled as king.|Preserves the distinction without identifying an overlord.
22:48|Jehoshaphat built Tarshish ships to sail to Ophir for gold. But they never sailed, because they were wrecked at Ezion-geber.|Follows the read forms and keeps the failed voyage.
22:49|Then Ahaziah son of Ahab told Jehoshaphat, “Let my servants sail with yours.” But Jehoshaphat refused.|Does not import a different sequence from Chronicles.
22:50|Jehoshaphat lay down with his ancestors and was buried with them in the City of David his ancestor. His son Jehoram became king in his place.|Clarifies ancestral David rather than immediate father.
22:51|Ahaziah son of Ahab became king over Israel in Samaria in the seventeenth year of Jehoshaphat king of Judah. He ruled Israel for two years.|Preserves both chronological statements.
22:52|He did evil in the LORD’s eyes, following his father, his mother, and Jeroboam son of Nebat, who led Israel into sin.|Retains the three influences and corporate consequence.
22:53|He served Baal and bowed down to him, provoking the LORD, Israel’s God, just as his father had done.|Closes with worship, anger, and continuity.
