7:1|So the king and Haman came to drink with Queen Esther.|Reconnect the interrupted journey to the banquet without supplying an unstated motive.
9:1|On the thirteenth day of the twelfth month, the month of Adar, the king’s command and decree were due to take effect. The Jews’ enemies had hoped to overpower them that day, but the reverse happened: the Jews overpowered those who hated them.|Make the explicit reversal the sentence’s pivot while keeping the precise date and opposing groups.
9:2|The Jews gathered in their cities throughout King Ahasuerus’s provinces to strike those who sought their harm. No one could withstand them, for fear of them had fallen on all the peoples.|Retain the objects of the attack and the narrator’s explanation of their opponents’ inability to stand.
9:3|All the provincial officials, satraps, governors, and those who conducted the king’s business supported the Jews, because fear of Mordecai had fallen on them.|Keep all four administrative groups and their stated motive rather than attributing benevolence.
9:4|Mordecai was powerful in the king’s palace, and his reputation spread through all the provinces. The man Mordecai was growing more and more powerful.|Preserve the repeated growth in power and the emphatic renewed naming.
9:5|The Jews struck all their enemies with the sword, killing and destroying them. They did as they pleased to those who hated them.|Retain the violence and discretionary action without inserting a limiting defense formula not present in this verse.
9:6|In the citadel of Susa, the Jews killed and destroyed five hundred men.|Keep both verbs and the exact local casualty count.
9:7|They also killed Parshandatha, Dalphon, Aspatha,|Start the ten-name list as a continuation of the killing account.
9:8|Poratha, Adalia, Aridatha,|Retain the second three names in their source order.
9:9|Parmashta, Arisai, Aridai, and Vaizatha—|Retain the four concluding names, keeping Arisai and Aridai distinct.
9:10|the ten sons of Haman son of Hammedatha, the enemy of the Jews. But they did not lay hands on the plunder.|Complete the list’s identification and preserve the first of three explicit refusals to plunder.
9:11|That day the number killed in the citadel of Susa was reported to the king.|Keep the report distinct from the events already narrated.
9:12|The king said to Queen Esther, “In the citadel of Susa, the Jews have killed and destroyed five hundred men and Haman’s ten sons. What must they have done in the other royal provinces! Now what is your petition? It will be granted. What further request do you have? It will be done.”|Retain the reported counts, rhetorical question, and renewed petition/request formula.
9:13|Esther answered, “If it pleases the king, let the Jews in Susa act tomorrow as today’s decree permits. And let Haman’s ten sons be hung on the stake.”|Preserve Esther’s request for another day and postmortem display; do not soften or justify it.
9:14|The king ordered this done. A decree was issued in Susa, and Haman’s ten sons were hung.|Keep implementation and the sons’ hanging distinct from their earlier death.
9:15|The Jews in Susa gathered again on the fourteenth day of Adar and killed three hundred men in Susa. But they did not lay hands on the plunder.|Retain the second day’s date and count and repeat the no-plunder refrain.
9:16|The other Jews in the king’s provinces gathered to defend their lives and gain relief from their enemies. They killed seventy-five thousand of those who hated them. But they did not lay hands on the plunder.|Keep the defensive framing, large stated death toll, and third no-plunder refrain without harmonizing the figure.
9:17|This happened on the thirteenth day of Adar. On the fourteenth they rested and made it a day of banqueting and joy.|Clarify which day involved fighting and which involved rest while preserving the dated sequence.
9:18|The Jews in Susa, however, gathered on both the thirteenth and fourteenth. They rested on the fifteenth and made it a day of banqueting and joy.|Retain the contrast that explains Susa’s different celebration date.
9:19|That is why Jews in the countryside, those living in unwalled towns, celebrate the fourteenth day of Adar with joy, banqueting, and a holiday, sending portions of food to one another.|Follow the reading tradition for rural Jews and preserve reciprocal gifts alongside feasting.
9:20|Mordecai recorded these events and sent letters to all the Jews in every province of King Ahasuerus, near and far,|Keep the written record and geographical reach while continuing the purpose into the next verse.
9:21|requiring them to observe the fourteenth and fifteenth days of Adar every year,|Preserve both dates and the annual obligation without collapsing the local distinctions.
9:22|as the days when the Jews gained relief from their enemies, and the month when sorrow turned to joy and mourning to a holiday. They were to make these days a time of banqueting and joy, sending food to one another and gifts to the poor.|Keep the paired reversals and distinguish reciprocal food gifts from aid to poor people.
9:23|The Jews accepted what they had already begun to practice and what Mordecai had written to them.|Retain both existing practice and written instruction as the grounds of acceptance.
9:24|For Haman son of Hammedatha the Agagite, the enemy of all the Jews, had plotted to destroy them. He had cast the Pur—that is, the lot—to throw them into panic and destroy them.|Repeat the full enemy identification and lot explanation, preserving the intended panic as well as destruction.
9:25|But when the matter came before the king, he ordered in writing that Haman’s evil scheme against the Jews should come back on his own head. Haman and his sons were hung on the stake.|Render the ambiguous feminine coming-clause as the matter’s arrival, with Esther as an alternative in the note; keep the summary’s compressed chronology.
9:26|That is why these days were called Purim, after the word Pur. Because of everything in this letter, and because of what they had seen and what had happened to them,|Retain the name explanation and the sentence’s accumulating grounds before its continuation.
9:27|the Jews established and accepted an enduring obligation for themselves, their descendants, and all who joined them: to observe these two days every year, as written and at the appointed time.|Follow the plural reading tradition and preserve the obligation’s extension to descendants and new adherents.
9:28|These days were to be remembered and observed in every generation, every family, every province, and every city. These days of Purim must never cease among the Jews, nor their memory disappear from their descendants.|Preserve the fourfold distributive repetition and the paired commitment to observance and memory.
9:29|Queen Esther daughter of Abihail, together with Mordecai the Jew, wrote with full authority to confirm this second letter concerning Purim.|Keep Esther’s named parentage and leading role, with Mordecai’s participation and the second-letter designation.
9:30|He sent letters to all the Jews in the 127 provinces of Ahasuerus’s kingdom, with words of peace and assurance,|Retain the switch to a masculine singular sender and the province count; render truth as reliable assurance in this letter’s greeting.
9:31|confirming the days of Purim at their appointed times, as Mordecai the Jew and Queen Esther had established for them, and as they had established for themselves and their descendants the practices of fasting and lamenting.|Keep both authorities and the reference to fasting and cries without importing a later festival calendar.
9:32|Esther’s decree confirmed these matters concerning Purim, and it was recorded in a book.|Retain Esther’s final authorizing word and the written record without identifying an unstated book.
10:1|King Ahasuerus imposed tribute on the mainland and the islands of the sea.|Keep the final imperial levy and maritime extent rather than turning the ending into unqualified liberation.
10:2|All his acts of power and might, and the full account of Mordecai’s greatness to which the king raised him—are they not written in the Book of the Chronicles of the Kings of Media and Persia?|Preserve the archival question and the reversed Media/Persia order found here.
10:3|Mordecai the Jew ranked second to King Ahasuerus. He was great among the Jews and esteemed by the many among his brothers, seeking his people’s good and speaking for the well-being of all his people.|Retain second rank and the qualified many rather than unanimous approval; render the final seed reference corporately, with the literal wording noted.
