1:1|Paul, an apostle of Christ Jesus by the command of God our Savior and Christ Jesus our hope,|Retains commanded apostleship and both unusual divine titles.
2:5|For there is one God and one mediator between God and humanity, the human Christ Jesus,|Keeps numerical emphasis, mediator role and explicit humanity.
2:6|who gave himself as a ransom for all, the testimony given at the proper time.|Preserves self-gift, universal ransom and temporal witness.
2:7|For this testimony I was appointed a herald and apostle—I am telling the truth; I am not lying—a teacher of the nations in faith and truth.|Retains all three roles, parenthetical oath and gentile scope.
2:8|Therefore, I want the men in every place to pray, lifting holy hands without anger or arguing.|Keeps male-specific subject, embodied prayer and both prohibited disruptions.
2:9|Likewise, women should adorn themselves in respectable clothing, with modesty and self-control, not with braided hair and gold or pearls or expensive clothes,|Preserves female-specific instruction and the complete status display list.
2:10|but with good works, as is fitting for women who profess reverence for God.|Keeps the contrast between external display and practiced devotion.
2:11|Let a woman learn quietly with full submission.|Retains permission/command to learn and both restrictions.
2:12|I do not permit a woman to teach or exercise authority over a man; she is to remain quiet.|Preserves the specific woman/man relation while choosing a neutral authority rendering for the rare verb.
2:13|For Adam was formed first, then Eve.|Keeps names, sequence and creation language.
2:14|And Adam was not deceived, but the woman, having been deceived, came into transgression.|Retains the text's gendered contrast and doubled deception wording.
2:15|But she will be saved through childbearing, if they continue in faith, love and holiness with self-control.|Keeps the difficult singular-to-plural shift and all four conditions.
3:1|This saying is trustworthy: If anyone aspires to oversight, that person desires a good work.|Retains aspiration and work rather than importing an institutional title too quickly.
3:2|Therefore, an overseer must be above reproach, a one-woman man, sober, self-controlled, respectable, hospitable and able to teach;|Keeps male marital idiom and the full positive list.
3:3|not addicted to wine, not violent, but gentle, peaceable and not loving money;|Preserves the paired prohibitions and contrasts.
3:4|managing his own household well and keeping his children submissive with complete dignity.|Keeps male household headship, children and seriousness.
3:5|For if someone does not know how to manage his own household, how will he care for God's church?|Retains the rhetorical analogy and masculine referent.
3:6|He must not be a recent convert, or he may become conceited and fall into the devil's condemnation.|Keeps pride's danger and the ambiguous genitive relation to the devil.
3:7|He must also have a good reputation with outsiders, so that he does not fall into disgrace and the devil's trap.|Preserves external testimony and two dangers.
3:8|Ministers likewise must be dignified, not double-tongued, not devoted to much wine and not greedy for dishonest gain.|Keeps all four character restrictions.
3:9|They must hold the mystery of the faith with a clean conscience.|Retains mystery and conscience language.
3:10|They too must first be tested; then, if they are beyond accusation, let them serve.|Keeps prior examination and conditional ministry.
3:11|Women likewise must be dignified, not slanderers, sober and faithful in everything.|Preserves women as the stated group without deciding between women ministers and wives.
3:12|Let ministers be one-woman men, managing their children and their own households well.|Keeps the repeated male marital and household qualifications.
3:13|For those who serve well gain a good standing for themselves and great confidence in the faith that is in Christ Jesus.|Preserves reward, boldness and faith's location.
3:14|I am writing these things to you, hoping to come to you soon.|Keeps expected personal visit and its timing.
3:15|But if I am delayed, you will know how people ought to conduct themselves in God's household, which is the church of the living God, the pillar and foundation of the truth.|Retains household/church identification and architectural images.
3:16|And undeniably great is the mystery of godliness: He was revealed in flesh, vindicated in spirit, seen by angels, proclaimed among the nations, believed in the world and taken up in glory.|Keeps the pinned relative pronoun and all six balanced lines.
4:1|Now the Spirit explicitly says that in later times some will abandon the faith and pay attention to deceiving spirits and teachings of demons,|Preserves Spirit speech, apostasy and two deceptive sources.
4:2|through the hypocrisy of liars whose own consciences have been seared.|Keeps human mediation and cauterized-conscience image.
4:3|They forbid marriage and demand abstinence from foods that God created to be received with thanksgiving by those who believe and know the truth.|Retains both prohibitions and creation's intended grateful use.
4:4|For everything God created is good, and nothing is to be rejected if received with thanksgiving,|Keeps universal creation claim and its condition.
4:5|because it is made holy through God's word and prayer.|Preserves sanctification's two means.
4:6|By setting these things before the brothers and sisters, you will be a good minister of Christ Jesus, nourished by the words of faith and the good teaching you have followed.|Keeps communal instruction, minister role and nourishment metaphor.
4:7|Reject profane tales fit for old women, and train yourself in godliness.|Retains the source's gendered insult as ancient rhetoric and the athletic command.
4:8|For bodily training is beneficial to a limited extent, but godliness is beneficial in every way, since it holds promise for the present life and the life to come.|Keeps limited comparison and both temporal horizons.
4:9|This saying is trustworthy and deserves full acceptance.|Retains the recurring formula exactly in sense.
4:10|For this we labor and struggle, because we have put our hope in the living God, who is Savior of all people, especially of those who believe.|Preserves strenuous work and the difficult all/especially relation.
4:11|Command and teach these things.|Keeps both authoritative actions terse.
4:12|Let no one despise your youth. Instead, become an example for the believers in speech, conduct, love, faith and purity.|Retains youth, public example and all five fields.
4:13|Until I come, devote yourself to the public reading of Scripture, to encouragement and to teaching.|Makes the public character of reading clear alongside two ministries.
4:14|Do not neglect the gift in you, which was given through prophecy with the laying on of the elders' hands.|Preserves gift, prophetic mediation and embodied commissioning.
4:15|Practice these things and immerse yourself in them, so that your progress may be evident to everyone.|Keeps disciplined absorption and public growth.
4:16|Pay close attention to yourself and to the teaching. Persevere in them, for by doing this you will save both yourself and those who hear you.|Retains the striking salvation language tied to sustained life and teaching.
5:1|Do not rebuke an older man harshly, but appeal to him as a father; treat younger men as brothers,|Keeps age/gender distinctions and family comparisons.
5:2|older women as mothers and younger women as sisters, with complete purity.|Preserves both female age groups and the purity qualification.
5:3|Honor widows who are truly widows.|Keeps the repeated widow term and the text's category distinction.
5:4|But if a widow has children or grandchildren, let them first learn to practice godliness toward their own household and repay their ancestors, for this is acceptable before God.|Retains family support as religious duty and repayment.
5:5|The woman who is truly a widow and left alone has put her hope in God and continues in petitions and prayers night and day.|Keeps isolation, hope and continual prayer.
5:6|But the widow who lives for self-indulgence is dead even while alive.|Preserves the severe living-death contrast.
5:7|Command these things as well, so that they may be above reproach.|Keeps authoritative instruction and communal goal.
5:8|But if anyone does not provide for their own, and especially for members of the household, that person has denied the faith and is worse than an unbeliever.|Retains widening family duty and the strong comparison.
5:9|A widow is to be enrolled only if she is at least sixty years old and has been a one-man woman,|Keeps exact age and female marital idiom.
5:10|well attested for good works: if she raised children, welcomed strangers, washed the saints' feet, helped those in distress and devoted herself to every good work.|Preserves all five concrete qualifications.
5:11|But refuse to enroll younger widows, for when their desires draw them away from Christ, they want to marry|Keeps administrative refusal and the text's characterization of desire.
5:12|and incur judgment because they have set aside their first commitment.|Renders faith as pledged commitment in this enrollment context.
5:13|At the same time, they learn to be idle, going from house to house; and not merely idle, but also gossips and busybodies, saying things they should not.|Retains the escalating gendered critique and house-to-house movement.
5:14|So I want younger women to marry, bear children, manage their households and give the opponent no opportunity for slander.|Keeps the speaker's specific desire, three household roles and public rationale.
5:15|For some have already turned aside after Satan.|Preserves the alarming spiritual judgment.
5:16|If any believing woman has widows in her family, let her help them, so that the church is not burdened and can help those who are truly widows.|Keeps the feminine subject of the pinned reading and allocation of support.
5:17|Let elders who lead well be considered worthy of double honor, especially those who labor in speaking and teaching.|Preserves leadership, doubled honor and teaching labor.
5:18|For Scripture says, “Do not muzzle an ox while it is threshing,” and, “The worker deserves his wages.”|Keeps both quotations, animal image and economic application.
5:19|Do not accept an accusation against an elder except on the testimony of two or three witnesses.|Retains evidentiary number and protected office.
5:20|Rebuke those who persist in sin before everyone, so that the rest may also have fear.|Keeps public correction and its deterrent purpose.
5:21|I solemnly charge you before God, Christ Jesus and the chosen angels to observe these things without prejudgment, doing nothing out of partiality.|Retains all witnesses and two forms of bias.
5:22|Do not lay hands on anyone hastily or share in the sins of others. Keep yourself pure.|Keeps caution in appointment, complicity and personal integrity.
5:23|Stop drinking only water, and use a little wine because of your stomach and your frequent illnesses.|Preserves specific medicinal advice and limited quantity.
5:24|The sins of some people are obvious, going ahead of them to judgment, but the sins of others follow afterward.|Keeps temporal procession and hidden wrongdoing.
5:25|In the same way, good works are obvious, and even those that are otherwise cannot remain hidden.|Preserves eventual disclosure of good acts.
6:1|All who are slaves under a yoke must regard their own masters as worthy of full honor, so that God's name and the teaching may not be slandered.|Names slave, yoke and master directly and retains reputation as the rationale.
6:2|Those who have believing masters must not disrespect them because they are brothers; instead, they must serve as slaves all the more, because those who benefit are believers and beloved. Teach and urge these things.|Preserves the coercive hierarchy and the text's intensified service command without calling it harmless.
6:3|If anyone teaches something different and does not agree with the sound words of our Lord Jesus Christ and the teaching that accords with godliness,|Keeps the conditional polemic and health metaphor.
6:4|that person is conceited and understands nothing, but has a sick craving for controversies and verbal disputes. From these come envy, strife, slander and evil suspicions,|Retains disease imagery and the four social effects.
6:5|and constant friction among people corrupted in mind and deprived of the truth, who imagine that godliness is a means of gain.|Keeps mental corruption, lost truth and commercialized religion.
6:6|Yet godliness with contentment is great gain.|Preserves the rhetorical reversal of gain.
6:7|For we brought nothing into the world, and we can take nothing out of it.|Keeps parallel entry and exit.
6:8|If we have food and clothing, we will be content with these.|Retains basic material needs and sufficiency.
6:9|But those who want to be rich fall into temptation, a trap and many foolish and harmful desires that plunge people into ruin and destruction.|Keeps desire for wealth as subject and the drowning image.
6:10|For love of money is a root of all kinds of evil. By craving it, some have wandered away from the faith and pierced themselves with many pains.|Preserves root, wandering and self-impalement images without calling money itself the root.
6:11|But you, man of God, flee these things and pursue righteousness, godliness, faith, love, endurance and gentleness.|Keeps direct male address and all six pursued qualities.
6:12|Fight the good fight of faith. Take hold of eternal life, to which you were called and about which you made the good confession before many witnesses.|Retains contest/grasping metaphors and public confession.
6:13|I command you before God, who gives life to all things, and Christ Jesus, who testified the good confession before Pontius Pilate,|Keeps both witnesses, universal life-giving and historical name.
6:14|to keep the command unstained and beyond reproach until the appearing of our Lord Jesus Christ,|Preserves moral qualities and future horizon.
6:15|which he will reveal at the proper time—the blessed and only Sovereign, the King of kings and Lord of lords,|Keeps timing and three rule titles.
6:16|who alone has immortality and dwells in unapproachable light, whom no human has seen or can see. To him be honor and eternal power. Amen.|Retains transcendence, human limitation and doxology.
6:17|Command those who are rich in this present age not to be arrogant or set their hope on uncertain wealth, but on God, who richly provides us with everything for enjoyment.|Keeps temporal wealth, its instability and divine generosity.
6:18|Command them to do good, to be rich in good works, generous and ready to share,|Preserves wealth wordplay and both sharing qualities.
6:19|storing up for themselves a good foundation for the future, so that they may take hold of true life.|Keeps mixed treasure/foundation/grasping images.
6:20|Timothy, guard what has been entrusted to you. Turn away from profane empty chatter and contradictions of what is falsely called knowledge.|Retains personal appeal, deposit and counterfeit knowledge.
6:21|By professing it, some have missed the mark concerning the faith. Grace be with all of you.|Keeps target-missing image and plural final blessing.
