1:1|The beginning of the good news of Jesus Christ.|Follows the pinned opening without adding Son of God from the variant.
3:13|He went up the mountain and called those he wanted, and they came to him.|Preserves Jesus’ selection and their response without naming an unstated mountain.
3:14|He appointed twelve to be with him and to be sent out to proclaim the message,|Retains being-with and being-sent; omits the apostles clause absent from the pinned text.
3:15|with authority to drive out demons.|Preserves the stated authority without adding a healing commission absent here.
3:16|These are the twelve he appointed: Simon, whom he named Peter;|Preserves the repeated appointment and Simon’s new name.
3:17|James son of Zebedee and John, James’s brother, whom he named Boanerges, meaning “Sons of Thunder”;|Retains the brothers’ relationship and the unexplained nickname’s translation.
3:18|Andrew, Philip, Bartholomew, Matthew, Thomas, James son of Alphaeus, Thaddaeus, Simon the Cananaean,|Preserves the complete list and the source designation rather than changing it to Canaanite.
3:19|and Judas Iscariot, who handed him over.|Preserves the final name and the hand-over motif.
3:20|Then he went home. Again a crowd gathered, so that he and his disciples could not even eat.|Makes the plural group clear and preserves the inability to eat.
3:21|When his family heard, they went out to take charge of him, for they were saying, “He is out of his mind.”|Chooses family for those-with-him with the broader associates reading noted; preserves their alarming claim.
3:22|The scribes who had come down from Jerusalem said, “He has Beelzebul,” and, “He drives out demons by the ruler of demons.”|Keeps two accusations in the scribes’ speech.
3:23|Jesus called them over and spoke to them in parables: “How can Satan drive out Satan?|Retains the summons and self-defeating accusation as a question.
3:24|If a kingdom is divided against itself, that kingdom cannot stand.|Preserves the kingdom image and repeated referent.
3:25|If a household is divided against itself, that household cannot stand.|Keeps the parallel household image without reducing it to a building.
3:26|And if Satan has risen against himself and is divided, he cannot stand; his end has come.|Makes the inference clear while retaining self-division and ending.
3:27|But no one can enter a strong man’s house and plunder his possessions without first tying up the strong man. Only then can his house be plundered.|Preserves the necessary prior restraint and subsequent plundering.
3:28|I tell you the truth: people will be forgiven all their sins and whatever blasphemies they utter.|Renders sons-of-humans generically and retains the wide scope of forgiveness.
3:29|But whoever blasphemes against the Holy Spirit will never have forgiveness and is guilty of an eternal sin.”|Preserves eternal sin rather than substituting the judgment variant.
3:30|He said this because they were saying, “He has an unclean spirit.”|Makes the narrator’s explanatory link and repeated accusation explicit.
3:31|His mother and his brothers arrived. Standing outside, they sent word to him and called for him.|Preserves the outside location and indirect summons.
3:32|A crowd was sitting around him. They told him, “Your mother and your brothers are outside looking for you.”|Retains the reported family members without adding sisters absent here.
3:33|He answered, “Who are my mother and my brothers?”|Preserves the question leading into a redefinition of kinship.
3:34|Looking around at those seated in a circle around him, he said, “Here are my mother and my brothers!|Keeps the gesture toward actual listeners and the announced relationship.
3:35|Whoever does God’s will is my brother and sister and mother.”|Preserves all three kinship terms including explicit sister.
