1:1|King David was old, advanced in years. They covered him with blankets, but he could not get warm.|Preserves the doubled aging description and bodily weakness without an unstated diagnosis.
1:15|Bathsheba went to the king in his room. The king was very old, and Abishag the Shunammite was attending him.|Keeps the repeated age and attendant’s presence.
1:16|Bathsheba bowed low before the king. He asked, “What do you need?”|Makes the brief courtly question natural while retaining her homage.
1:17|She said, “My lord, you swore to your servant by the LORD your God, ‘Your son Solomon will reign after me and sit on my throne.’|Preserves Bathsheba’s actual version of the reported oath, including the divine name.
1:18|But now Adonijah has become king, and you, my lord the king, do not know it.|Keeps the direct contrast between the rival’s action and David’s ignorance.
1:19|He has sacrificed cattle, fattened animals, and sheep in great numbers. He has invited all the king’s sons, Abiathar the priest, and Joab the army commander, but he has not invited your servant Solomon.|Retains her particular list rather than replacing it with Nathan’s or the narrator’s.
1:20|My lord the king, all Israel’s eyes are on you to tell them who will sit on my lord the king’s throne after him.|Preserves eyes and throne succession language.
1:21|Otherwise, when my lord the king lies down with his ancestors, my son Solomon and I will be treated as offenders.”|Retains the ancestral death idiom and the political danger of being counted guilty.
1:22|While she was still speaking with the king, Nathan the prophet arrived.|Keeps the exact timing that fulfills the plan.
1:23|The king was told, “Nathan the prophet is here.” Nathan entered the king’s presence and bowed facedown to the ground before him.|Clarifies the entering subject and preserves full homage.
1:24|Nathan said, “My lord the king, did you say, ‘Adonijah will reign after me and sit on my throne’?|Reads the contextually interrogative speech without turning it into an assertion that David authorized Adonijah.
1:25|Today he has gone down and sacrificed cattle, fattened animals, and sheep in great numbers. He has invited all the king’s sons, the army commanders, and Abiathar the priest. They are eating and drinking before him and saying, ‘Long live King Adonijah!’|Keeps Nathan’s distinct guest list and the reported acclamation.
1:26|But he did not invite me, your servant, or Zadok the priest, Benaiah son of Jehoiada, or your servant Solomon.|Preserves all four excluded persons in Nathan’s account.
1:27|Has my lord the king done this without telling your servant who will sit on my lord the king’s throne after him?”|Follows read singular your servant rather than written plural.
1:28|King David answered, “Call Bathsheba for me.” She came into the king’s presence and stood before him.|Keeps the summons without inventing the timing or reason for her earlier departure.
1:29|The king swore, “As the LORD lives, who has redeemed my life from every distress,|Retains the oath’s living LORD and personal redemption history.
1:30|I will do today just what I swore to you by the LORD, the God of Israel: your son Solomon will reign after me and sit on my throne in my place.”|Keeps the emphatic today and David’s explicit confirmation of the oath.
1:31|Bathsheba bowed facedown to the ground before the king and said, “May my lord King David live forever!”|Preserves the courtly forever acclamation without recasting it as a literal longevity prediction.
1:32|King David said, “Call Zadok the priest, Nathan the prophet, and Benaiah son of Jehoiada for me.” They came before the king.|Keeps the commissioned trio and response.
1:33|The king told them, “Take your lord’s servants with you. Put my son Solomon on my own mule and bring him down to Gihon.|Preserves the king’s personal mule and destination as concrete signs of authorization.
1:34|There Zadok the priest and Nathan the prophet are to anoint him king over Israel. Blow the ram’s horn and say, ‘Long live King Solomon!’|Keeps both commissioned figures, anointing, and the prescribed acclamation.
1:35|Then follow him up. He is to come and sit on my throne and reign in my place. I have appointed him ruler over Israel and Judah.”|Retains the ascent, throne, and explicit appointment over both groups.
1:36|Benaiah son of Jehoiada answered the king, “Amen! May the LORD, the God of my lord the king, say so too.|Keeps Amen and the wish for divine confirmation rather than declaring it already spoken.
1:37|As the LORD has been with my lord the king, may he be with Solomon and make his throne greater than the throne of my lord King David.”|Follows read be and retains the comparative greatness as a blessing.
1:38|Zadok the priest, Nathan the prophet, Benaiah son of Jehoiada, and the Cherethites and Pelethites went down. They put Solomon on King David’s mule and brought him to Gihon.|Preserves the escort and enacted instructions.
1:39|Zadok the priest took the horn of oil from the tent and anointed Solomon. They blew the ram’s horn, and all the people shouted, “Long live King Solomon!”|Keeps Zadok as the actual anointer named here and distinguishes the oil horn from the signal horn.
1:40|All the people followed him up, playing pipes and rejoicing with great joy. The earth split with the sound of them.|Preserves the exuberant earth-splitting image without making a separate geological report.
1:41|Adonijah and all his guests heard it as they finished eating. When Joab heard the ram’s horn, he asked, “Why is the city in such an uproar?”|Keeps meal timing and Joab’s recognition of the signal.
1:42|While he was still speaking, Jonathan son of Abiathar the priest arrived. Adonijah said, “Come in! You are a worthy man, and you must be bringing good news.”|Retains the mistaken good-man/good-news inference that echoes the runners in 2 Samuel.
1:43|Jonathan answered Adonijah, “No. Our lord King David has made Solomon king.|Keeps the sharp correction and David’s authorization.
1:44|The king sent Zadok the priest, Nathan the prophet, Benaiah son of Jehoiada, and the Cherethites and Pelethites with him. They put him on the king’s mule.|Preserves the report’s repeated escort and mule details.
1:45|Zadok the priest and Nathan the prophet anointed him king at Gihon. They came up from there rejoicing, and the city is in an uproar. That is the noise you heard.|Keeps Jonathan’s joint attribution rather than harmonizing it with the narrator’s singular anointer in verse 39.
1:46|Solomon has even taken his seat on the royal throne.|Preserves the additional decisive enthronement report.
1:47|And the king’s servants came to bless our lord King David, saying, ‘May God make Solomon’s name better than your name and his throne greater than your throne.’ The king bowed on his bed.|Follows read God rather than your God and keeps name and throne comparisons.
1:48|The king also said, ‘Blessed be the LORD, the God of Israel, who today has given someone to sit on my throne while my own eyes can see it.’”|Preserves David’s reported thanksgiving and personal witnessing.
1:49|All Adonijah’s guests trembled, got up, and went their separate ways.|Keeps fear and the collapse of the gathering.
1:50|Adonijah was afraid of Solomon. He got up, went to the altar, and took hold of its horns.|Retains the refuge gesture without assuming it guarantees protection.
1:51|Solomon was told, “Adonijah is afraid of King Solomon. He has taken hold of the altar’s horns and says, ‘Let King Solomon swear to me today that he will not put his servant to death by the sword.’”|Keeps the requested oath and explicit feared execution.
1:52|Solomon said, “If he proves to be a worthy man, not one hair of his head will fall to the ground. But if evil is found in him, he will die.”|Preserves conditional clemency rather than converting it into the unconditional oath requested.
1:53|King Solomon sent men to bring him down from the altar. Adonijah came and bowed before King Solomon, who told him, “Go home.”|Clarifies the subject of the homage and keeps the brief dismissal without adding reconciliation.
