1:1|Long ago, God spoke to our ancestors through the prophets in many portions and in many ways.|Preserves the paired diversity of earlier revelation and ancestral audience.
4:4|For somewhere he has spoken about the seventh day this way: “And God rested on the seventh day from all his works.”|Retains indefinite citation and exact day.
4:5|And again in this passage, “They will never enter my rest.”|Keeps repetition and exclusion.
4:6|Therefore, since it remains for some to enter it, and those who previously received the good news did not enter because of disobedience,|Preserves open opportunity and earlier failure.
4:7|God again appoints a certain day—“Today”—speaking through David after so long a time, as quoted above: “Today, if you hear his voice, do not harden your hearts.”|Keeps named David, delayed today and repeated warning.
4:8|For if Joshua had given them rest, God would not have spoken later about another day.|Uses Joshua to distinguish the Greek name from Jesus in context.
4:9|So a Sabbath rest remains for God's people.|Retains the rare Sabbath-rest noun.
4:10|For whoever enters God's rest also rests from their works, just as God did from his.|Keeps human/divine analogy.
4:11|Therefore, let us make every effort to enter that rest, so that no one falls by following the same pattern of disobedience.|Preserves urgent effort and fall pattern.
4:12|For God's word is living and active, sharper than any double-edged sword, penetrating to the division of soul and spirit, joints and marrow, and judging the thoughts and intentions of the heart.|Keeps violent cutting image, all paired inner terms and judgment.
4:13|No creature is hidden before him; everything is naked and exposed to the eyes of the one to whom we must give account.|Preserves exposure, divine sight and accountability.
4:14|Therefore, since we have a great high priest who has passed through the heavens—Jesus, God's Son—let us hold firmly to our confession.|Keeps heavenly passage, full identity and perseverance.
4:15|For we do not have a high priest unable to sympathize with our weaknesses, but one who has been tested in every way as we are, yet without sin.|Preserves sympathy, comprehensive testing and sinlessness.
4:16|So let us approach the throne of grace with confidence, so that we may receive mercy and find grace for timely help.|Keeps throne image, bold access and needed aid.
5:1|Every high priest chosen from among human beings is appointed on their behalf in matters relating to God, to offer gifts and sacrifices for sins.|Preserves human origin, representation and both offerings.
5:2|He is able to deal gently with the ignorant and wandering because he himself is clothed with weakness.|Keeps measured compassion and surrounding weakness image.
5:3|Because of this weakness, he is obligated to offer sacrifices for his own sins as well as for the people's.|Retains priestly liability and parallel offerings.
5:4|No one takes this honor for himself but receives it when called by God, just as Aaron was.|Keeps divine call and named precedent.
5:5|In the same way, Christ did not glorify himself by becoming high priest. Instead, God said to him, “You are my Son; today I have fathered you.”|Preserves denied self-exaltation and filial quotation.
5:6|As he also says elsewhere, “You are a priest forever according to the order of Melchizedek.”|Keeps eternal priesthood and unexplained named order.
5:7|During the days of his flesh, he offered prayers and pleas, with loud cries and tears, to the one able to save him from death, and he was heard because of his reverent submission.|Retains embodied life, emotional intensity and the difficult heard-despite-death claim.
5:8|Although he was a Son, he learned obedience through what he suffered.|Keeps sonship, learning and suffering.
5:9|And having been perfected, he became the source of eternal salvation for all who obey him,|Preserves perfection/completion and obedience.
5:10|having been designated by God a high priest according to the order of Melchizedek.|Retains divine designation and repeated order.
5:11|We have much to say about this, but it is difficult to explain because you have become sluggish in hearing.|Keeps pedagogical difficulty located in listeners.
5:12|Although by this time you ought to be teachers, you again need someone to teach you the basic elements of God's sayings. You have come to need milk, not solid food.|Preserves rebuke, elemental basics and diet metaphor.
5:13|Everyone who lives on milk is inexperienced in the word of righteousness, since such a person is an infant.|Keeps infancy and inexperience.
5:14|But solid food is for the mature, whose senses have been trained by practice to distinguish good from evil.|Retains trained perception and moral discernment.
6:1|Therefore, let us move beyond the elementary message about Christ and be carried on toward maturity, not laying again a foundation of repentance from dead works and faith in God,|Keeps movement toward maturity and the first two foundation elements.
6:2|instruction about washings, laying on of hands, resurrection of the dead and eternal judgment.|Preserves plural washings and the remaining four teachings.
6:3|And we will do this, if God permits.|Keeps intention under divine permission.
6:4|For it is impossible to restore again to repentance those who were once enlightened, tasted the heavenly gift, became partners in the Holy Spirit,|Retains the severe impossibility and first three experiences.
6:5|tasted God's good word and the powers of the coming age,|Keeps tasting and future-power experience.
6:6|and then fell away, since they crucify God's Son again for themselves and expose him to public shame.|Preserves apostasy, recrucifixion and public humiliation.
6:7|For land that drinks the rain falling on it again and again and produces a useful crop for those who cultivate it receives blessing from God.|Keeps agricultural analogy, repeated rain and useful yield.
6:8|But land that produces thorns and thistles is worthless and near a curse; its end is burning.|Retains failed crop, curse and fire.
6:9|But even though we speak this way, beloved, we are convinced of better things in your case—things belonging to salvation.|Keeps warning balanced by affectionate confidence.
6:10|For God is not unjust; he will not forget your work and the love you showed for his name by serving the saints, as you still do.|Preserves divine memory and past/present service.
6:11|We desire each of you to show the same diligence until the end, so as to have full assurance of hope,|Keeps individual scope, persistence and assurance.
6:12|so that you do not become sluggish but imitate those who inherit the promises through faith and patience.|Retains warning, imitation and twin means.
6:13|When God made his promise to Abraham, since he had no one greater by whom to swear, he swore by himself,|Keeps named patriarch and divine self-oath.
6:14|saying, “Surely I will bless you greatly and multiply you greatly.”|Preserves emphatic doubled Hebrew idioms.
6:15|And so, after patiently waiting, Abraham obtained the promise.|Keeps endurance and fulfillment.
6:16|For people swear by someone greater, and the oath confirms the matter and ends every dispute for them.|Retains social oath logic and finality.
6:17|In the same way, because God wanted to show the heirs of the promise more clearly the unchangeable nature of his purpose, he guaranteed it with an oath,|Keeps heirs, immutability and divine guarantee.
6:18|so that through two unchangeable things in which it is impossible for God to lie, we who have fled for refuge might have strong encouragement to seize the hope set before us.|Preserves impossibility, refuge and gripping hope.
6:19|We have this hope as a secure and firm anchor for the soul, entering the inner place behind the curtain,|Keeps anchor and sanctuary imagery together.
6:20|where Jesus entered ahead of us on our behalf, having become high priest forever according to the order of Melchizedek.|Retains forerunner, representation and eternal named priesthood.
7:1|This Melchizedek, king of Salem and priest of God Most High, met Abraham as he returned from defeating the kings and blessed him.|Preserves all titles, names and military setting.
7:2|Abraham gave him a tenth of everything. His name first means “king of righteousness,” and then “king of Salem,” that is, “king of peace.”|Keeps tithe and both etymological interpretations.
7:3|Without father, mother or genealogy, with neither beginning of days nor end of life, resembling God's Son, he remains a priest continually.|Retains the narrative's genealogical silence as stated and the Son resemblance.
7:4|Consider how great he was: even the patriarch Abraham gave him a tenth of the spoils.|Keeps greatness, patriarch title and war spoils.
7:5|Now those descendants of Levi who receive the priesthood have a command in the law to collect a tenth from the people—that is, from their own brothers and sisters—even though they too come from Abraham's body.|Preserves legal tithe, kinship and bodily descent.
7:6|But Melchizedek, whose genealogy is not traced from them, collected a tenth from Abraham and blessed the one who had the promises.|Keeps contrast, tithe and promise-holder.
7:7|Without any dispute, the lesser is blessed by the greater.|Retains explicit hierarchy.
7:8|In the one case, mortal people receive tithes; in the other, one receives them who is testified to be living.|Keeps mortal/living contrast grounded in testimony.
7:9|One might even say that Levi, who receives tithes, paid a tithe through Abraham,|Preserves the author's qualifying phrase and corporate ancestry.
7:10|for he was still in his ancestor's body when Melchizedek met Abraham.|Keeps bodily descent logic and meeting.
7:11|Now if perfection had come through the Levitical priesthood—for on its basis the people received the law—what further need was there for another priest to arise according to Melchizedek's order rather than Aaron's?|Preserves counterfactual, legal relation and both named orders.
7:12|For when the priesthood is changed, a change of law necessarily follows.|Keeps stated necessary legal consequence.
7:13|The one about whom these things are said belonged to a different tribe, from which no one served at the altar.|Retains tribal distinction and cultic service.
7:14|For it is evident that our Lord arose from Judah, a tribe about which Moses said nothing concerning priests.|Keeps Judah, Moses and scriptural silence.
7:15|This becomes even clearer when another priest arises in the likeness of Melchizedek,|Preserves rising and likeness.
7:16|one who became priest not according to a law based on physical descent but according to the power of an indestructible life.|Keeps fleshly-command contrast and indestructible life.
7:17|For it is testified, “You are a priest forever according to the order of Melchizedek.”|Retains quotation as evidence.
7:18|On the one hand, a former command is set aside because it was weak and ineffective,|Keeps explicit annulment and negative evaluation.
7:19|for the law perfected nothing. On the other hand, a better hope is introduced, through which we draw near to God.|Preserves contrast, better hope and access.
7:20|And this was not done without an oath. Others became priests without an oath,|Keeps oath contrast and continuity into next verse.
7:21|but he became priest with an oath through the one who said to him, “The Lord has sworn and will not change his mind: ‘You are a priest forever.’”|Preserves irrevocable divine oath.
7:22|Accordingly, Jesus has become the guarantor of a better covenant.|Keeps personal name, legal guarantee and comparison.
7:23|There have been many priests because death prevented them from continuing in office,|Retains mortality as reason for succession.
7:24|but because Jesus remains forever, he holds a permanent priesthood.|Keeps permanence and enduring tenure.
7:25|Therefore, he is able to save completely those who approach God through him, since he always lives to intercede for them.|Preserves comprehensive salvation, access and continuing intercession.
7:26|For this is the kind of high priest we needed: holy, innocent, undefiled, separated from sinners and exalted above the heavens.|Keeps all five descriptions, including separation.
7:27|He does not need to offer sacrifices every day, like the high priests—first for his own sins and then for the people's—because he did this once for all when he offered himself.|Preserves comparison, self-offering and once-for-all claim.
7:28|For the law appoints as high priests people who have weakness, but the word of the oath, which came after the law, appoints a Son who has been perfected forever.|Keeps law/oath contrast, weakness and eternal Son.
8:1|The main point of what we are saying is this: we have such a high priest, who sat down at the right hand of the Majesty's throne in heaven.|Retains explicit main point, enthronement and heaven.
8:2|He is a minister in the holy place and in the true tent, which the Lord set up, not a human being.|Keeps cultic service and divine construction.
8:3|Every high priest is appointed to offer gifts and sacrifices, so this one too must have something to offer.|Preserves priestly necessity and open referent.
8:4|If he were on earth, he would not be a priest at all, since there are already priests who offer gifts according to the law.|Keeps counterfactual and existing legal service.
8:5|They serve a copy and shadow of the heavenly things, just as Moses was warned when he was about to complete the tent: “See that you make everything according to the pattern shown to you on the mountain.”|Retains copy/shadow, Moses, mountain and pattern.
8:6|But now Jesus has obtained a more excellent ministry, just as he is mediator of a better covenant enacted on better promises.|Keeps repeated better language and legal establishment.
8:7|For if that first covenant had been faultless, no place would have been sought for a second.|Preserves conditional comparative logic.
8:8|But finding fault with them, God says, “Look, days are coming, says the Lord, when I will establish a new covenant with the house of Israel and with the house of Judah.|Follows the pinned ‘them’ reading and retains both named houses.
8:9|It will not be like the covenant I made with their ancestors on the day I took them by the hand to lead them out of Egypt, because they did not remain in my covenant, and I disregarded them, says the Lord.|Keeps handholding exodus image, failure and divine response.
8:10|For this is the covenant I will make with the house of Israel after those days, says the Lord: I will put my laws into their minds and write them on their hearts. I will be their God, and they will be my people.|Preserves inward writing and reciprocal covenant relation.
8:11|No one will teach a fellow citizen or a brother or sister, saying, ‘Know the Lord,’ because they will all know me, from the least to the greatest.|Keeps universal knowledge and social range.
8:12|For I will be merciful toward their wrongdoings and will remember their sins no more.”|Retains mercy and deliberate nonremembrance.
8:13|By speaking of a “new” covenant, he has made the first obsolete; and what is becoming obsolete and growing old is near disappearance.|Keeps aging/disappearance imagery and temporal process.
9:1|Now the first covenant also had regulations for worship and an earthly sanctuary.|Retains first-covenant setting, worship and earthly holy place.
9:2|A tent was prepared. In its first section were the lampstand, the table and the presented bread; this section is called the Holy Place.|Keeps furnishings and named area.
9:3|Behind the second curtain was a section of the tent called the Most Holy Place.|Preserves spatial sequence and title.
9:4|It had the golden incense altar and the ark of the covenant covered completely with gold. In the ark were a gold jar holding the manna, Aaron's staff that had budded and the tablets of the covenant.|Keeps every object, material and named Aaron.
9:5|Above it were the cherubim of glory overshadowing the atonement cover. We cannot now discuss these things in detail.|Retains winged beings, cover and author's restraint.
9:6|With these things arranged this way, the priests continually enter the first section of the tent to perform their services.|Keeps recurring access and priestly work.
9:7|But only the high priest enters the second section, and only once a year, never without blood, which he offers for himself and for the people's sins committed in ignorance.|Preserves exclusivity, exact frequency, blood and unintended sins.
9:8|By this the Holy Spirit indicates that the way into the holy place has not yet been disclosed while the first tent is still standing.|Keeps Spirit's interpretive agency and blocked access.
9:9|This is an illustration for the present time, in which gifts and sacrifices are offered that cannot perfect the worshiper's conscience.|Retains parable/illustration and conscience limitation.
9:10|They concern only food, drink and various washings—physical regulations imposed until a time of reformation.|Keeps the limited categories and temporary imposition.
9:11|But when Christ came as high priest of the good things that have come, he passed through the greater and more perfect tent not made by hands, that is, not of this creation.|Follows the pinned ‘have come’ reading and keeps uncreated tent.
9:12|He entered the holy place once for all, not by the blood of goats and calves but by his own blood, obtaining eternal redemption.|Preserves animal/his-own contrast, blood and finality.
9:13|For if the blood of goats and bulls and the ashes of a heifer sprinkled on those who are defiled make them holy for outward cleansing,|Keeps all ritual substances and conditional claim.
9:14|how much more will Christ's blood, who through the eternal Spirit offered himself without blemish to God, cleanse our conscience from dead works so that we may serve the living God?|Retains comparison, Spirit, self-offering and conscience purpose.
9:15|For this reason Christ is mediator of a new covenant, so that, since a death has occurred to redeem transgressions under the first covenant, those who are called may receive the promised eternal inheritance.|Keeps covenant mediation, death, redemption and inheritance.
9:16|For where there is a will, the death of the one who made it must be established.|Carries the covenant/will wordplay into testamentary logic.
9:17|A will is valid only after death; it never takes effect while the one who made it is living.|Preserves legal explanation.
9:18|Therefore, not even the first covenant was inaugurated without blood.|Keeps negative emphasis and inauguration.
9:19|After Moses had spoken every command of the law to all the people, he took the blood of calves with water, scarlet wool and hyssop and sprinkled the scroll itself and all the people,|Retains Moses, every ritual material and both objects sprinkled.
9:20|saying, “This is the blood of the covenant that God commanded for you.”|Keeps blood-covenant formula and divine command.
9:21|In the same way, he sprinkled the tent and all the vessels used in worship with blood.|Preserves comprehensive ritual blood application.
9:22|Indeed, under the law almost everything is cleansed with blood, and without blood being poured out there is no forgiveness.|Keeps qualifying almost and the violent condition.
9:23|Therefore, it was necessary for the copies of heavenly things to be cleansed with these sacrifices, but the heavenly things themselves with better sacrifices than these.|Retains startling heavenly cleansing and comparative offerings.
9:24|For Christ did not enter a holy place made by hands, a copy of the true one, but heaven itself, now to appear before God's face on our behalf.|Keeps copy/true contrast and representative divine presence.
9:25|Nor did he enter to offer himself again and again, as the high priest enters the holy place every year with blood not his own.|Preserves repeated annual contrast and other's blood.
9:26|Otherwise, he would have had to suffer repeatedly since the world's foundation. But now he has appeared once at the culmination of the ages to abolish sin through his sacrifice.|Keeps counterfactual repeated suffering, final era and single self-sacrifice.
9:27|And just as human beings are appointed to die once, and after that comes judgment,|Retains universal appointment and sequence.
9:28|so Christ too, having been offered once to bear the sins of many, will appear a second time—not to deal with sin, but to bring salvation to those eagerly waiting for him.|Keeps once/second contrast, sin-bearing and waiting community.
10:1|Since the law has only a shadow of the good things to come, not their true form, it can never perfect those who approach through the same sacrifices continually offered year after year.|Retains shadow/form and repeated sacrificial inability.
10:2|Otherwise, would they not have stopped being offered, since worshipers cleansed once would no longer have any consciousness of sins?|Keeps rhetorical counterfactual and conscience.
10:3|But in those sacrifices there is a reminder of sins every year.|Preserves annual remembrance.
10:4|For it is impossible for the blood of bulls and goats to take away sins.|Keeps animal blood and explicit impossibility.
10:5|Therefore, when Christ comes into the world, he says, “You did not desire sacrifice and offering, but you prepared a body for me.|Retains incarnation setting and the Greek body's prepared reading.
10:6|You took no pleasure in burnt offerings and offerings for sin.|Keeps both sacrificial categories.
10:7|Then I said, ‘Look, I have come—it is written about me in the scroll—to do your will, O God.’”|Preserves arrival, scriptural scroll and divine will.
10:8|First he says, “You did not desire or take pleasure in sacrifices, offerings, burnt offerings and offerings for sin,” though these are offered according to the law.|Keeps all four terms and legal qualification.
10:9|Then he says, “Look, I have come to do your will.” He sets aside the first in order to establish the second.|Retains sequential interpretive conclusion.
10:10|By that will we have been made holy through the offering of Jesus Christ's body once for all.|Keeps divine will, bodily offering and finality.
10:11|Every priest stands day after day performing service and offering the same sacrifices again and again, which can never remove sins.|Preserves standing, repetition and inability.
10:12|But after Christ offered one sacrifice for sins for all time, he sat down at God's right hand,|Keeps single enduring sacrifice and enthronement.
10:13|waiting from then on until his enemies are made a footstool for his feet.|Retains waiting and enemy-subjection image.
10:14|For by one offering he has perfected forever those who are being made holy.|Keeps completed perfection with ongoing sanctification.
10:15|The Holy Spirit also testifies to us, for after saying,|Preserves Spirit as scriptural witness.
10:16|“This is the covenant I will make with them after those days, says the Lord: I will put my laws on their hearts and write them on their minds,”|Keeps inward law and covenant speech.
10:17|he adds, “I will never again remember their sins and lawless acts.”|Preserves emphatic nonremembrance.
10:18|Now where these are forgiven, there is no longer an offering for sin.|Keeps logical conclusion and cessation.
10:19|Therefore, brothers and sisters, since we have confidence to enter the holy place by Jesus' blood,|Retains bold access and violent means.
10:20|by the new and living way he opened for us through the curtain—that is, through his flesh—|Keeps way, curtain and bodily interpretation.
10:21|and since we have a great priest over God's house,|Retains priestly oversight and house.
10:22|let us approach with a true heart in full assurance of faith, our hearts sprinkled clean from an evil conscience and our bodies washed with pure water.|Preserves inner/outer cleansing and confidence.
10:23|Let us hold firmly to the confession of our hope without wavering, for the one who promised is faithful.|Keeps perseverance grounded in divine faithfulness.
10:24|And let us consider one another so as to provoke love and good works,|Retains strong provocation term directed toward good.
10:25|not abandoning our gathering together, as some habitually do, but encouraging one another—and all the more as you see the Day approaching.|Keeps communal assembly, mutual encouragement and named Day.
10:26|For if we deliberately continue sinning after receiving knowledge of the truth, no sacrifice for sins remains,|Preserves willful ongoing sin and severe consequence.
10:27|but only a terrifying expectation of judgment and a fury of fire that will consume God's enemies.|Keeps fear, fire and consuming violence.
10:28|Anyone who rejected Moses' law died without mercy on the testimony of two or three witnesses.|Retains named Moses, execution and exact evidentiary number.
10:29|How much worse punishment do you think will be deserved by someone who trampled God's Son, treated as common the covenant blood by which that person was made holy and insulted the Spirit of grace?|Keeps three offenses, blood and rhetorical escalation.
10:30|For we know the one who said, “Vengeance belongs to me; I will repay,” and again, “The Lord will judge his people.”|Retains divine vengeance rather than authorizing personal retaliation.
10:31|It is terrifying to fall into the hands of the living God.|Keeps stark fear and bodily fall image.
10:32|But remember the earlier days when, after being enlightened, you endured a great struggle with sufferings.|Retains communal memory and athletic contest.
10:33|At times you were publicly exposed to insults and afflictions; at other times you became partners with those treated that way.|Keeps spectacle language and solidarity.
10:34|For you sympathized with prisoners and accepted the seizure of your possessions with joy, knowing that you yourselves had a better and lasting possession.|Preserves imprisonment, state/social confiscation and possession wordplay.
10:35|So do not throw away your confidence, which carries a great reward.|Keeps discard image and recompense.
10:36|For you need endurance, so that after doing God's will you may receive the promise.|Retains needed perseverance and sequence.
10:37|For “in just a very little while, the coming one will come and will not delay;|Keeps emphatic short time and arrival.
10:38|but my righteous one will live by faith, and if he draws back, my soul takes no pleasure in him.”|Follows pinned pronoun and retains divine displeasure.
10:39|But we do not belong to those who draw back and are destroyed, but to those who have faith and preserve their lives.|Keeps group contrast and preservation.
11:1|Now faith is the assurance of what is hoped for, the conviction of things not seen.|Retains substantial assurance and evidentiary conviction without reducing faith to optimism.
11:2|For by faith the elders received approval.|Keeps ancestral leaders and divine testimony.
11:3|By faith we understand that the ages were formed by God's word, so that what is seen did not come from visible things.|Preserves creation by speech and visible/invisible contrast.
11:4|By faith Abel offered God a better sacrifice than Cain did. Through it he was approved as righteous, God testifying about his gifts; and through faith, though dead, he still speaks.|Keeps both names, comparative offering and postmortem voice.
11:5|By faith Enoch was taken away so that he did not see death, and he could not be found because God had taken him. Before he was taken, he was approved as pleasing to God.|Retains repeated translation/taking language and divine pleasure.
11:6|Without faith it is impossible to please God, for anyone who approaches him must believe that he exists and that he rewards those who seek him.|Keeps necessity, divine existence and reward.
11:7|By faith Noah, warned about things not yet seen, responded with reverence and built an ark to save his household. By this he condemned the world and became an heir of the righteousness that comes through faith.|Preserves warning, household rescue, world judgment and inheritance.
11:8|By faith Abraham obeyed when called to leave for a place he was to receive as an inheritance. He left without knowing where he was going.|Keeps call, obedience, inheritance and ignorance.
11:9|By faith he lived as a foreigner in the promised land as in a land belonging to others, living in tents with Isaac and Jacob, fellow heirs of the same promise.|Preserves alien residence, tents and named coheirs.
11:10|For he was waiting for the city with foundations, whose designer and builder is God.|Keeps city, foundations and two divine craft roles.
11:11|By faith Sarah herself received power to conceive, even past the proper age, because she considered the one who promised faithful.|Follows the pinned Sarah-as-subject reading and retains bodily impossibility.
11:12|Therefore, from one man—and one already as good as dead—came descendants as numerous as the stars in heaven and as countless as the sand along the seashore.|Keeps near-death, both vast-number similes and descent.
11:13|All these died in faith without receiving the promises. They saw and welcomed them from far away and confessed that they were strangers and temporary residents on the earth.|Preserves death before fulfillment and alien identity.
11:14|People who speak this way make it clear that they are seeking a homeland.|Keeps inferential homeland longing.
11:15|If they had been remembering the land they left, they would have had opportunity to return.|Preserves counterfactual and available return.
11:16|But now they desire a better land—a heavenly one. Therefore, God is not ashamed to be called their God, for he has prepared a city for them.|Keeps better/heavenly identification and divine city preparation.
11:17|By faith Abraham, when tested, offered Isaac. The one who had received the promises was offering his one and only son,|Retains the attempted child sacrifice, both names and promise tension.
11:18|about whom it had been said, “Through Isaac your offspring will be named.”|Keeps named son and lineage quotation.
11:19|Abraham reasoned that God was able even to raise someone from the dead, and in a figurative sense he did receive Isaac back.|Preserves resurrection reasoning and parable-like return.
11:20|By faith Isaac blessed Jacob and Esau regarding things to come.|Keeps all names and future orientation.
11:21|By faith Jacob, as he was dying, blessed each of Joseph's sons and worshiped while leaning on the top of his staff.|Retains death setting, both grandsons collectively and staff.
11:22|By faith Joseph, near the end of his life, mentioned the exodus of Israel's children and gave instructions about his bones.|Keeps exodus anticipation and burial remains.
11:23|By faith Moses, after he was born, was hidden for three months by his parents because they saw that the child was beautiful, and they did not fear the king's decree.|Preserves exact duration, both parents and royal threat.
11:24|By faith Moses, when he had grown up, refused to be called a son of Pharaoh's daughter.|Keeps identity refusal and named royal relation.
