1:1|In my first account, Theophilus, I wrote about everything Jesus began to do and teach|Preserves address, prior volume, comprehensive scope, and paired action and teaching.
2:14|Then Peter stood with the Eleven, raised his voice, and addressed them: “Fellow Jews and everyone living in Jerusalem, understand this and listen carefully to my words.|Preserves Peter with Eleven, loud public address, audiences, and appeal.
2:15|These people are not drunk, as you suppose. It is only nine in the morning!|Keeps denial, hearers’ assumption, and translated third-hour time.
2:16|No, this is what was spoken through the prophet Joel:|Preserves contrast, fulfillment identification, and prophet.
2:17|‘In the last days, God says, I will pour out my Spirit on all flesh. Your sons and your daughters will prophesy; your young men will see visions, and your elders will dream dreams.|Keeps divine speech, last days, all flesh, gendered children, generations, visions, and dreams.
2:18|Even on my male slaves and female slaves I will pour out my Spirit in those days, and they will prophesy.|Preserves enslaved status, both genders, Spirit, and prophecy.
2:19|I will give wonders in heaven above and signs on earth below: blood, fire, and clouds of smoke.|Keeps above-below structure and concrete signs.
2:20|The sun will be turned to darkness and the moon to blood before the great and glorious day of the Lord comes.|Preserves cosmic changes, sequence, and Lord’s day.
2:21|Then everyone who calls on the Lord’s name will be saved.’|Keeps universal invitation, calling, name, and salvation.
2:22|People of Israel, listen to these words: Jesus the Nazarene was a man accredited to you by God through miracles, wonders, and signs that God did through him among you, as you yourselves know.|Preserves audience, Jesus’ identity, divine accreditation, three deed terms, agency, and shared knowledge within Peter’s continuing speech.
2:23|This man was handed over according to God’s determined plan and foreknowledge, and you killed him by having lawless people nail him to a cross.|Keeps divine plan and foreknowledge alongside human agency, crucifixion, and death.
2:24|But God raised him up, releasing him from the pains of death, because it was impossible for death to hold him.|Preserves contrast, resurrection, birth-pain image, impossibility, and death’s grip.
2:25|For David says about him: ‘I always saw the Lord before me. Because he is at my right hand, I will not be shaken.|Keeps attribution, continual sight, right hand, and stability.
2:26|Therefore my heart was glad and my tongue rejoiced; moreover, my flesh will live in hope,|Preserves heart, tongue, embodied flesh, and hope.
2:27|because you will not abandon my soul to Hades or allow your Holy One to see decay.|Keeps soul, Hades, Holy One, and bodily decay.
2:28|You have made the paths of life known to me; you will fill me with joy in your presence.’|Preserves paths, life, fullness, joy, and divine presence.
2:29|Brothers and sisters, I can speak openly to you about the patriarch David: he died and was buried, and his tomb is with us to this day.|Keeps community address, frankness, patriarch title, death, burial, tomb, and present time within Peter’s continuing speech.
2:30|Because he was a prophet and knew that God had sworn an oath to him to seat one of his descendants on his throne,|Preserves prophetic identity, knowledge, oath, descendant, and throne.
2:31|he foresaw and spoke about the Messiah’s resurrection: he was not abandoned to Hades, and his flesh did not see decay.|Keeps foresight, Messiah, resurrection, Hades, flesh, and decay.
2:32|God raised this Jesus, and all of us are witnesses.|Preserves divine action, this Jesus, collective witness.
2:33|Exalted to God’s right hand, he received from the Father the promised Holy Spirit and poured out what you now see and hear.|Keeps exaltation, right hand, Father, promised Spirit, pouring, and sensory evidence.
2:34|For David did not ascend into heaven, yet he himself says, ‘The Lord said to my Lord, Sit at my right hand|Preserves David’s non-ascent and quoted two-Lord saying.
2:35|until I make your enemies a footstool for your feet.’|Keeps temporal limit, enemies, and footstool image.
2:36|Therefore, let the whole house of Israel know with certainty that God has made this Jesus—whom you crucified—both Lord and Messiah.”|Preserves conclusion, whole Israel, certainty, divine action, this Jesus, crucifixion, and titles.
2:37|When they heard this, they were cut to the heart and asked Peter and the other apostles, “Brothers, what should we do?”|Keeps hearing, piercing heart image, recipients, fraternal address, and question.
2:38|Peter told them, “Repent, and each of you be baptized in the name of Jesus the Messiah for the forgiveness of your sins, and you will receive the gift of the Holy Spirit.|Preserves commands, each person, name, Messiah, forgiveness, promise, gift, and Spirit.
2:39|For the promise is for you, for your children, and for all who are far away—everyone whom the Lord our God calls.”|Keeps audiences near and far, children, divine calling, and Lord our God.
2:40|With many other words Peter testified and kept urging them, “Be saved from this crooked generation.”|Preserves extended witness, repeated appeal, salvation, and generational description.
2:41|So those who welcomed his word were baptized, and about three thousand people were added that day.|Keeps reception, baptism, approximate number, addition, and day.
2:42|They devoted themselves to the apostles’ teaching, fellowship, the breaking of bread, and prayers.|Preserves persistence and all four communal practices.
2:43|Awe came upon everyone, and many wonders and signs were being done through the apostles.|Keeps communal awe, many deeds, and apostolic agency.
2:44|All the believers were together and held everything in common.|Preserves group, unity, and shared possessions.
2:45|They sold property and possessions and distributed the proceeds to everyone according to each person’s need.|Keeps ongoing selling, distribution, universal reach, and need criterion.
2:46|Day after day they devoted themselves together in the temple courts and broke bread from house to house. They shared food with glad and sincere hearts,|Preserves daily practice, unity, temple, homes, food, joy, and simplicity.
2:47|praising God and enjoying favor with all the people. And each day the Lord added to their number those who were being saved.|Keeps praise, public favor, Lord’s agency, daily addition, and ongoing salvation.
3:1|Peter and John were going up to the temple courts at the ninth-hour time of prayer, about three in the afternoon.|Preserves both apostles, upward movement, temple, ninth hour, prayer, and modern approximation.
3:2|A man who had been unable to walk from his mother’s womb was being carried there. Every day people placed him at the temple gate called Beautiful so he could ask those entering for alms.|Keeps congenital condition without defining the man by it, being carried, daily placement, gate name, and request.
3:3|When he saw Peter and John about to enter the temple courts, he asked to receive alms.|Preserves sight, movement, location, and request.
3:4|Peter, along with John, looked directly at him and said, “Look at us.”|Keeps shared gaze and command.
3:5|So he gave them his attention, expecting to receive something from them.|Preserves attention and expectation.
3:6|But Peter said, “Silver and gold I do not have. What I do have, I give you: in the name of Jesus the Messiah, the Nazarene, walk!”|Keeps lack, gift, full name and title, and command.
3:7|Taking him by the right hand, Peter raised him up. Immediately the man’s feet and ankles became strong.|Preserves touch, body side, raising, immediacy, and body parts.
3:8|He leaped up, stood, and began walking. Then he entered the temple courts with them, walking, leaping, and praising God.|Keeps energetic action sequence, movement, repeated bodily activity, and praise.
3:9|All the people saw him walking and praising God.|Preserves public sight and both actions.
3:10|They recognized him as the man who used to sit asking for alms at the Beautiful Gate of the temple, and they were filled with wonder and amazement at what had happened to him.|Keeps recognition, prior practice and place, and double reaction.
3:11|While he held on to Peter and John, all the people ran together to them in the portico called Solomon’s, utterly amazed.|Preserves the healed man’s action, public movement, named place, and astonishment.
3:12|When Peter saw this, he responded to the people: “People of Israel, why are you amazed at this? Why do you stare at us as though we had made him walk by our own power or godliness?|Keeps address, two questions, denial of personal power and piety, and healing result.
3:13|The God of Abraham, Isaac, and Jacob—the God of our ancestors—has glorified his servant Jesus. You handed him over and denied him before Pilate, even though Pilate had decided to release him.|Preserves ancestral names, servant ambiguity, glory, handover, denial, Pilate, and release decision.
3:14|You denied the Holy and Righteous One and asked for a murderer to be released to you.|Keeps titles, denial, request, murderer, and release.
3:15|You killed the Author of life, but God raised him from the dead. We are witnesses of this.|Preserves sharp paradox, divine resurrection, and apostolic witness.
3:16|By faith in Jesus’ name, his name has strengthened this man whom you see and know. The faith that comes through Jesus has given him this complete healing in front of all of you.|Keeps name, faith’s debated relation, public knowledge, strengthening, completeness, and witnesses.
3:17|“And now, brothers and sisters, I know that you acted in ignorance, as did your leaders.|Keeps community address, acknowledged ignorance, action, and leaders.
3:18|But in this way God fulfilled what he had announced beforehand through all the prophets: that his Messiah would suffer.|Preserves contrast, fulfillment, prophetic announcement, Messiah, and suffering.
3:19|Therefore repent and turn back, so that your sins may be wiped away,|Keeps inference, two commands, purpose, sins, and erasure image.
3:20|so that seasons of refreshing may come from the Lord’s presence and he may send Jesus, the Messiah appointed for you.|Preserves purpose, refreshing, presence, sending, Jesus, and appointment.
3:21|Heaven must receive him until the times when everything is restored, which God spoke about through his holy prophets from long ago.|Keeps necessity, heaven, temporal limit, restoration, God’s speech, and prophets.
3:22|Moses said, ‘The Lord your God will raise up for you a prophet like me from among your own brothers and sisters. Listen to him in everything he tells you.|Preserves Moses, divine action, kinship, prophetic comparison, and comprehensive listening.
3:23|Every person who does not listen to that prophet will be completely cut off from the people.’|Keeps universal warning, refusal to listen, destruction, and community.
3:24|Indeed, all the prophets who have spoken, from Samuel onward, announced these days.|Preserves comprehensive prophetic sequence and present days.
3:25|You are the children of the prophets and of the covenant God made with your ancestors when he told Abraham, ‘Through your offspring all the families of the earth will be blessed.’|Keeps inherited relation, covenant, ancestors, Abraham, offspring, families, earth, and blessing.
3:26|God raised up his servant and sent him first to you, to bless you by turning each of you away from your evil ways.”|Preserves divine raising and sending, priority, blessing, each person, and repentance.
4:1|While Peter and John were speaking to the people, the priests, the captain of the temple guard, and the Sadducees confronted them.|Keeps speakers, audience, all opposing parties, and interruption.
4:2|They were greatly disturbed because the apostles were teaching the people and proclaiming in Jesus the resurrection from the dead.|Preserves distress’s cause, teaching, Jesus, resurrection, and dead.
4:3|They seized them and put them in custody until the next day, because it was already evening.|Keeps arrest, detention, duration, and reason.
4:4|But many who heard the message believed, and the number of men grew to about five thousand.|Preserves contrast, hearing, faith, male count, and approximation.
4:5|The next day their rulers, elders, and scribes gathered in Jerusalem,|Keeps time, three leadership groups, gathering, and city.
4:6|along with Annas the high priest, Caiaphas, John, Alexander, and all who belonged to the high-priestly family.|Preserves names, office, and family group.
4:7|They had Peter and John stand in the middle and began questioning them: “By what power or by what name did you do this?”|Keeps defendants’ position, questioning, power, name, and act.
4:8|Then Peter, filled with the Holy Spirit, told them, “Rulers of the people and elders,|Preserves Spirit filling and formal address.
4:9|if we are being examined today for a good deed done to a man who was weak and asked how he was healed,|Keeps conditional frame, scrutiny, benefaction, man’s condition, and healing.
4:10|then let all of you and all the people of Israel know that this man stands before you healthy in the name of Jesus the Messiah, the Nazarene—whom you crucified and whom God raised from the dead.|Preserves public declaration, healed man, name, titles, crucifixion, and resurrection.
4:11|This Jesus is ‘the stone rejected by you builders that has become the cornerstone.’|Keeps identification, rejection, builders, and cornerstone image.
4:12|Salvation is found in no one else, for no other name under heaven has been given among humanity by which we must be saved.”|Preserves exclusivity, name, heaven, human sphere, necessity, and salvation.
4:13|When they saw Peter’s and John’s boldness and realized they were uneducated, ordinary men, they were amazed. They also recognized that these men had been with Jesus.|Keeps leaders’ perception, social assessment, reaction, and recognition.
4:14|And because they saw the man who had been healed standing with them, they had nothing they could say in opposition.|Preserves healed man’s standing presence and silenced opposition.
4:15|So they ordered them to leave the council and began conferring with one another,|Keeps order, departure, council, and deliberation.
4:16|saying, “What should we do with these men? For it is obvious to everyone living in Jerusalem that a remarkable sign has happened through them, and we cannot deny it.|Preserves question, public knowledge, sign, agency, and inability to deny.
4:17|But to keep this from spreading any further among the people, let us threaten them never again to speak to anyone in this name.”|Keeps suppression purpose, spread image, threat, speech, people, and name.
4:18|They called Peter and John back and ordered them not to speak or teach at all in the name of Jesus.|Preserves recall, absolute prohibition, speech, teaching, and name.
4:19|But Peter and John answered them, “Judge for yourselves whether it is right before God to listen to you rather than to God.|Keeps both speakers, direct appeal, rightness before God, and competing obedience.
4:20|For we cannot stop speaking about what we have seen and heard.”|Preserves necessity, speech, sight, and hearing.
4:21|After threatening them further, the leaders released them. They could find no way to punish them because of the people, since everyone was glorifying God for what had happened.|Keeps further threat, release, failed punishment, public constraint, and praise.
4:22|For the man on whom this sign of healing had been performed was more than forty years old.|Preserves age threshold, man, sign, and healing.
4:23|After being released, Peter and John went to their own people and reported everything the chief priests and elders had told them.|Keeps release, return, community, report, and authorities.
4:24|When they heard it, they raised their voices together to God and said, “Sovereign Lord, you made heaven, earth, sea, and everything in them.|Preserves hearing, united prayer, sovereign address, creation, and comprehensive contents.
4:25|You spoke by the Holy Spirit through the mouth of our ancestor David, your servant: ‘Why did the nations rage and the peoples plot in vain?|Keeps divine speech, Spirit, David, servant, nations, peoples, and empty plotting.
4:26|The kings of the earth took their stand, and the rulers gathered together against the Lord and against his Messiah.’|Preserves kings, rulers, gathering, opposition, Lord, and Messiah.
4:27|For truly, in this city Herod and Pontius Pilate, together with the Gentiles and the peoples of Israel, gathered against your holy servant Jesus, whom you anointed.|Keeps city, named rulers, Gentiles, Israel, gathering, servant, Jesus, and anointing.
4:28|They did whatever your hand and your plan had determined beforehand would happen.|Preserves human action within divine power and prior purpose.
4:29|And now, Lord, pay attention to their threats and grant your servants complete boldness to speak your word,|Keeps present appeal, threats, servant identity, gift, boldness, and word.
4:30|while you stretch out your hand to heal, and signs and wonders happen through the name of your holy servant Jesus.”|Preserves divine action, healing, signs, wonders, name, servant, and Jesus.
4:31|After they prayed, the place where they were gathered was shaken. They were all filled with the Holy Spirit and spoke God’s word with boldness.|Keeps prayer, shaken place, whole group, Spirit, speech, word, and boldness.
4:32|The whole community of believers was one in heart and soul. No one claimed that any possession belonged privately to them; instead, they held everything in common.|Preserves multitude, unity, heart, soul, private claim, contrast, and sharing.
4:33|With great power the apostles gave their testimony to the resurrection of the Lord Jesus, and great grace was upon them all.|Keeps power, witness, resurrection, title, Jesus, grace, and whole group.
4:34|There was not a needy person among them, because those who owned fields or houses sold them and brought the proceeds|Preserves absence of need and owners’ voluntary selling and proceeds.
4:35|and laid them at the apostles’ feet. The money was then distributed to each person according to need.|Keeps placement, apostolic stewardship, individual distribution, and need criterion.
4:36|Joseph, whom the apostles called Barnabas—which means Son of Encouragement—was a Levite from Cyprus.|Preserves birth name, given name and translation, tribe, and origin.
4:37|He sold a field he owned, brought the money, and laid it at the apostles’ feet.|Keeps ownership, sale, proceeds, and placement.
5:1|But a man named Ananias, together with his wife Sapphira, sold a piece of property.|Preserves contrast, both names, marriage, and sale.
5:2|With his wife’s knowledge, he kept back some of the price for himself. Then he brought only part and laid it at the apostles’ feet.|Keeps shared knowledge, concealment, partial amount, and placement.
5:3|Peter asked, “Ananias, why has Satan filled your heart so that you lied to the Holy Spirit and kept back some of the field’s price?|Preserves address, Satan, filled heart, lie, Spirit, and withheld money.
5:4|While it remained unsold, didn’t it remain yours? And after it was sold, wasn’t the money under your authority? Why did you conceive this deed in your heart? You have not lied to people but to God.”|Keeps ownership before sale, control afterward, heart intention, and God as offended party.
5:5|When Ananias heard these words, he fell down and died. Great fear came upon everyone who heard about it.|Preserves immediate collapse, death, and public fear.
5:6|The young men got up, wrapped his body, carried him out, and buried him.|Keeps agents and full burial sequence.
5:7|About three hours later his wife came in, unaware of what had happened.|Preserves interval, wife, entry, and ignorance.
5:8|Peter asked her, “Tell me, did you sell the field for this amount?” She answered, “Yes, for that amount.”|Keeps question, field, amount, and false confirmation.
5:9|Peter said to her, “Why did the two of you agree to test the Spirit of the Lord? Look, the feet of those who buried your husband are at the door, and they will carry you out too.”|Preserves shared conspiracy, testing, Spirit, husband, ominous feet, and prediction.
5:10|Immediately she fell down at his feet and died. When the young men came in, they found her dead, carried her out, and buried her beside her husband.|Keeps immediate death, discovery, removal, burial, and marital location.
5:11|Great fear came upon the whole church and everyone who heard about these things.|Preserves fear, church, and broader hearers.
5:12|Through the apostles’ hands many signs and wonders were done among the people. All the believers were together in Solomon’s Portico.|Keeps agency idiom, many deeds, people, unity, and location.
5:13|None of the others dared join them, though the people spoke highly of them.|Preserves reluctance, attachment, and public esteem.
5:14|Yet more and more believers in the Lord—large numbers of both men and women—were added to them.|Keeps contrast, growth, faith, Lord, multitudes, and both genders.
5:15|As a result, people carried the sick into the streets and laid them on small beds and mats so that when Peter came by, at least his shadow might fall on some of them.|Preserves response, sick people, locations, bedding variety, Peter, shadow, and hope without asserting mechanism.
5:16|Crowds also gathered from the towns around Jerusalem, bringing sick people and those tormented by unclean spirits, and all of them were healed.|Keeps surrounding towns, both conditions, unclean spirits, and universal healing.
5:17|Then the high priest and all his associates, who belonged to the party of the Sadducees, rose up, filled with jealousy.|Preserves parties, sect, movement, and jealousy or zeal.
5:18|They arrested the apostles and put them in the public prison.|Keeps arrest and detention place.
5:19|But during the night an angel of the Lord opened the prison doors, brought them out, and said,|Preserves contrast, time, angel, opened doors, release, and speech setup.
5:20|“Go, stand in the temple courts, and tell the people all the words of this life.”|Keeps commands, location, people, complete message, and life.
5:21|When they heard this, they entered the temple courts at daybreak and began teaching. When the high priest and his associates arrived, they called together the council and the entire senate of Israel’s people. Then they sent to the prison to have the apostles brought in.|Preserves obedience, dawn, teaching, authorities, two assemblies, and prison order.
5:22|But when the officers arrived, they did not find them in the prison, so they returned and reported,|Keeps arrival, failed search, return, and report.
5:23|“We found the prison securely locked and the guards standing at the doors, but when we opened them, we found no one inside.”|Preserves security, guards, doors, opening, and empty interior.
5:24|When the temple captain and the chief priests heard these words, they were perplexed about what this might lead to.|Keeps named hearers, confusion, and concern about outcome.
5:25|Then someone came and reported, “Look, the men you put in prison are standing in the temple courts teaching the people.”|Preserves sudden report, identification, prison contrast, standing, teaching, and people.
5:26|Then the captain went with the officers and brought them back, but without violence, because they feared the people might stone them.|Keeps parties, retrieval, restraint, reason, crowd, and threatened stoning.
5:27|They brought the apostles in and had them stand before the council. The high priest questioned them,|Preserves movement, position, council, and interrogator.
5:28|saying, “We strictly ordered you not to teach in this name, yet look—you have filled Jerusalem with your teaching and intend to bring this man’s blood upon us.”|Keeps emphatic order, avoided name, citywide teaching, intention, and blood responsibility claim.
5:29|Peter and the apostles answered, “We must obey God rather than people.|Preserves collective answer, necessity, God, and human contrast.
5:30|The God of our ancestors raised Jesus, whom you killed by hanging him on a tree.|Keeps ancestral God, resurrection, human killing, hanging, and tree image.
5:31|God exalted him to his right hand as Leader and Savior, to give repentance to Israel and forgiveness of sins.|Preserves divine exaltation, right hand, titles, Israel, repentance, and forgiveness.
5:32|We are witnesses of these things, and so is the Holy Spirit, whom God has given to those who obey him.”|Keeps human and Spirit witnesses, divine gift, and obedience.
5:33|When they heard this, they were enraged and wanted to kill the apostles.|Preserves hearing, visceral anger, intention, and lethal threat.
5:34|But a Pharisee named Gamaliel, a teacher of the law honored by all the people, stood in the council and ordered the apostles put outside for a little while.|Keeps sect, name, role, reputation, council action, and short interval.
5:35|Then he told the council, “People of Israel, be careful what you intend to do to these men.|Preserves audience, warning, intention, and targets.
5:36|Some time ago Theudas rose up, claiming to be somebody, and about four hundred men joined him. He was killed, and all who followed him were scattered and came to nothing.|Keeps name, self-claim, approximate number and gender, death, scattering, and failure.
5:37|After him Judas the Galilean rose up in the days of the census and drew people after him. He also perished, and all who followed him were scattered.|Preserves sequence, name, origin, census, followers, death, and scattering.
5:38|So in the present case I tell you: stay away from these men and leave them alone. If this plan or work is of human origin, it will be overthrown.|Keeps current counsel, two commands, conditional origin, plan, work, and collapse.
5:39|But if it is from God, you will not be able to overthrow them. You may even be found fighting against God.” They were persuaded by him.|Preserves divine alternative, inability, warning, and council response.
5:40|They called the apostles in, had them beaten, ordered them not to speak in the name of Jesus, and released them.|Keeps physical abuse, prohibition, name, and release.
5:41|So the apostles left the council rejoicing that they had been considered worthy to suffer dishonor for the Name.|Preserves departure, paradoxical joy, worthiness, disgrace, and reverent Name.
5:42|Every day, in the temple courts and from house to house, they never stopped teaching and proclaiming the good news that Jesus is the Messiah.|Keeps daily persistence, both locations, teaching, gospel, Jesus, and Messiah.
6:1|In those days, as the number of disciples increased, the Greek-speaking Jewish believers began complaining against the Hebrew-speaking believers because their widows were being overlooked in the daily distribution.|Preserves growth, language-cultural groups, complaint, gendered widows, neglect, and daily service.
6:2|So the Twelve called the whole community of disciples together and said, “It would not be right for us to neglect God’s word in order to serve tables.|Keeps Twelve, whole community, judgment, word, and table service without belittling it.
6:3|Brothers and sisters, select from among you seven men with good reputations, full of the Spirit and wisdom, whom we will appoint over this responsibility.|Preserves community address, exact number and gender, reputation, Spirit, wisdom, appointment, and task.
6:4|But we will devote ourselves to prayer and to the ministry of the word.”|Keeps contrast, persistence, prayer, and word service.
6:5|This proposal pleased the whole community. They chose Stephen, a man full of faith and the Holy Spirit, along with Philip, Prochorus, Nicanor, Timon, Parmenas, and Nicolaus, a convert to Judaism from Antioch.|Preserves communal approval, all seven names, Stephen’s qualities, Nicolaus’s status, and origin.
6:6|They presented these men to the apostles, who prayed and laid their hands on them.|Keeps presentation, apostles, prayer, and embodied commissioning.
6:7|God’s word continued to spread, and the number of disciples in Jerusalem increased greatly. Even a large group of priests became obedient to the faith.|Preserves word growth image, city, multiplying disciples, priests, and obedience.
6:8|Stephen, full of grace and power, was performing great wonders and signs among the people.|Keeps Stephen, fullness, grace, power, great deeds, and public setting.
6:9|But some members of the synagogue called the Synagogue of the Freedmen—including people from Cyrene, Alexandria, Cilicia, and Asia—rose up and argued with Stephen.|Preserves synagogue name, regions, movement, and dispute.
6:10|Yet they could not withstand the wisdom and the Spirit by which he spoke.|Keeps inability, wisdom, Spirit, and speech.
6:11|Then they secretly induced men to say, “We heard him speak blasphemous words against Moses and God.”|Preserves covert instigation, male witnesses, accusation, Moses, and God.
6:12|They stirred up the people, elders, and scribes, then came upon Stephen, seized him, and brought him before the council.|Keeps all groups, agitation, seizure, movement, and council.
6:13|They set up false witnesses who said, “This man never stops speaking against this holy place and the law.|Preserves false testimony, persistent-speech charge, sanctuary, and law.
6:14|For we heard him say that this Jesus the Nazarene will destroy this place and change the customs Moses handed down to us.”|Keeps reported claim, Jesus’ full identification, destruction, customs, Moses, and tradition.
6:15|Everyone sitting in the council stared at Stephen and saw that his face was like the face of an angel.|Preserves whole council, sustained gaze, face, and angel comparison.
