25:1|The word of the LORD came to me:|Retains the repeated word-event formula.
25:17|I will carry out great acts of vengeance against them, with furious punishments. Then they will know that I am the LORD, when I bring my vengeance upon them.”|Retains vengeance as the stated recognition setting.
26:1|In the eleventh year, on the first day of the month, the word of the LORD came to me:|Does not invent the missing month number.
26:2|“Son of man, Tyre said about Jerusalem, ‘Aha! The gateway of the peoples is broken! It has turned toward me. Now that she is ruined, I will be filled.’|Keeps gateway and filling metaphors without economic expansion.
26:3|Therefore this is what the Lord GOD says: I am against you, Tyre. I will bring many nations up against you, as the sea brings up its waves.|Retains the sea comparison introducing the city's fall.
26:4|They will destroy Tyre’s walls and tear down her towers. I will scrape away her soil and make her a bare rock.|Preserves they-to-I change and scraped-rock image.
26:5|She will be a place for spreading nets out in the sea, for I have spoken, declares the Lord GOD. She will become plunder for the nations.|Keeps nets, sea and plunder together.
26:6|Her daughter towns on the mainland will be killed by the sword. Then they will know that I am the LORD.|Clarifies daughter settlements while retaining violent personification.
26:7|“For this is what the Lord GOD says: I am bringing Nebuchadnezzar king of Babylon against Tyre from the north, a king of kings, with horses, chariots, cavalry, and a great mass of troops.|Preserves royal title and northern approach.
26:8|He will kill your daughter towns on the mainland by the sword. He will build siegeworks against you, heap up a ramp, and raise a shield against you.|Keeps three siege actions and singular attacker.
26:9|He will direct the blows of his battering ram against your walls and tear down your towers with his weapons.|Renders rare siege term provisionally in context.
26:10|His many horses will cover you with dust. Your walls will shake at the sound of cavalry, wheels, and chariots as he enters your gates, as men enter a breached city.|Keeps dust, sound and breach comparison.
26:11|His horses’ hooves will trample all your streets. He will kill your people by the sword, and your mighty pillars will fall to the ground.|Retains pillars without specifying an unmentioned cult.
26:12|They will plunder your wealth and loot your goods. They will tear down your walls and demolish your fine houses, throwing your stones, timber, and soil into the water.|Preserves shift to plural attackers and material list.
26:13|I will silence the sound of your songs; the music of your lyres will be heard no more.|Keeps two distinct forms of silenced music.
26:14|I will make you a bare rock, a place for spreading nets. You will never be rebuilt, for I, the LORD, have spoken, declares the Lord GOD.|Does not qualify the absolute rebuilding statement.
26:15|“This is what the Lord GOD says to Tyre: Will the coastlands not shake at the sound of your fall, as the wounded groan and slaughter takes place within you?|Retains rhetorical question and suffering sounds.
26:16|All the princes of the sea will step down from their thrones, remove their robes, and strip off their embroidered clothes. Clothed in trembling, they will sit on the ground, trembling every moment, appalled at you.|Preserves clothing metaphor and repeated trembling.
26:17|They will take up a lament over you and say:\n‘How you have perished,\nyou who were settled from the seas,\nthe celebrated city,\nmighty on the sea—\nyou and your inhabitants,\nwho spread terror to all who lived there!’|Keeps difficult sea-origin wording and personified lament.
26:18|‘Now the coastlands tremble\non the day you fall;\nthe islands in the sea\nare dismayed at your passing.’|Preserves parallel coastland imagery and departure.
26:19|“For this is what the Lord GOD says: When I make you a ruined city, like cities no one inhabits, when I bring the deep up over you and the great waters cover you,|Keeps repeated when clauses leading into descent.
26:20|I will bring you down with those who descend to the pit, to the people of long ago. I will settle you in the world below, among ancient ruins, with those who descend to the pit, so you will not be inhabited. But I will set splendor in the land of the living.|Retains pinned positive final clause rather than emending it.
26:21|I will make you a terror, and you will be no more. People will search for you, but you will never again be found, declares the Lord GOD.”|Retains permanent absence without historical harmonization.
27:1|The word of the LORD came to me:|Keeps the recurring introduction concise.
27:2|“Son of man, take up a lament over Tyre.|Identifies genre before the ship portrait.
27:3|Say to Tyre, who sits at the entrances to the sea, trading with peoples on many coastlands: This is what the Lord GOD says:\n‘Tyre, you said,\n“I am perfect in beauty.”|Follows read-form dwelling and retains Tyre's boast.
27:4|Your borders lie in the heart of the seas;\nyour builders perfected your beauty.|Keeps heart-of-seas and beauty repetition.
27:5|They made all your planks\nfrom junipers of Senir;\nthey took a cedar from Lebanon\nto make your mast.|Retains timber origins and distinct ship parts.
27:6|They made your oars from oaks of Bashan,\nyour deck of cypress from the coastlands of Kittim,\ninlaid with ivory.|Uses provisional timber reading with uncertainty noted.
27:7|Embroidered linen from Egypt was your sail\nand served as your banner.\nBlue and purple cloth from Elishah’s coastlands\nwas your awning.|Keeps sail/banner relation and colored canopy.
27:8|People of Sidon and Arvad were your rowers;\nyour own skilled men, Tyre, were aboard as pilots.|Distinguishes rowers from Tyrian pilots.
27:9|Elders of Gebal and its skilled men\nwere aboard to repair your seams.\nAll the ships of the sea and their sailors\ncame to you to exchange your goods.|Retains elders and shifts ship image into commerce.
27:10|Men of Persia, Lud, and Put served in your army\nas your warriors.\nThey hung shield and helmet on you\nand gave you splendor.|Preserves all three peoples and martial display.
27:11|Men of Arvad and your army stood on your walls all around;\nthe Gammadim were in your towers.\nThey hung their shields all around your walls\nand perfected your beauty.|Retains uncertain Gammadim name and recurring beauty.
27:12|“‘Tarshish traded with you because of your abundant wealth. They paid for your wares with silver, iron, tin, and lead.|Keeps four metals and direction of exchange.
27:13|Javan, Tubal, and Meshech were your traders. They exchanged human lives and bronze vessels for your goods.|Makes human trade explicit without euphemism.
27:14|From Beth-togarmah they brought horses, warhorses, and mules in exchange for your wares.|Distinguishes three traded animal categories.
27:15|The people of Dedan traded with you. Many coastlands were your customers; they paid you in ivory tusks and ebony.|Retains pinned Dedan rather than substituting Rhodes.
27:16|Aram traded with you because of your many products. They paid for your wares with turquoise, purple cloth, embroidery, fine linen, coral, and rubies.|Keeps Aram and six commodities; stones provisional.
27:17|Judah and the land of Israel traded with you. They exchanged wheat from Minnith, pannag, honey, oil, and balm for your goods.|Retains unidentified pannag rather than inventing a product.
27:18|Damascus traded with you for your many products and abundant wealth, bringing wine from Helbon and white wool.|Keeps Helbon and provisional wool description.
27:19|Vedan and Javan from Uzal paid for your wares. Wrought iron, cassia, and aromatic cane were among your traded goods.|Preserves difficult names with note rather than conflation.
27:20|Dedan traded saddlecloths with you.|Renders riding textiles naturally without extra detail.
27:21|Arabia and all the princes of Kedar were your customers. They traded with you in lambs, rams, and male goats.|Keeps rulers and all three livestock terms.
27:22|The traders of Sheba and Raamah traded with you. They paid for your wares with the finest spices, all kinds of precious stones, and gold.|Preserves paired traders and quality emphasis.
27:23|Haran, Canneh, Eden, the traders of Sheba, Asshur, and Chilmad traded with you.|Keeps the full place-name list.
27:24|They traded with you in splendid clothes, blue and embroidered wraps, and multicolored rugs bound and secured with cords.|Uses textile reading provisionally; alternatives in note.
27:25|Ships of Tarshish carried your merchandise.\nYou were filled and heavily laden\nin the heart of the seas.|Carries the trade inventory back into ship poetry.
27:26|Your rowers took you into great waters,\nbut the east wind shattered you\nin the heart of the seas.|Retains location refrain and wind direction.
27:27|Your wealth, wares, and goods,\nyour sailors and pilots,\nthose who repaired your seams and traded your goods,\nall your warriors aboard\nand the whole company within you—\nthey will fall into the heart of the seas\non the day of your fall.|Preserves the complete accumulating loss inventory.
27:28|At the sound of your pilots’ cry,\nthe shorelands will shake.|Keeps pilots' cry and uncertain land term noted.
27:29|All who handle an oar will leave their ships.\nSailors and all the sea’s pilots\nwill stand on land.|Preserves all three seafaring groups.
27:30|They will raise their voices over you\nand cry out bitterly,\nthrowing dust on their heads\nand rolling in ashes.|Retains physical mourning gestures.
27:31|They will shave their heads for you\nand wrap themselves in sackcloth.\nWith bitter hearts they will weep over you,\na bitter mourning.|Keeps repeated bitterness and bodily lament.
27:32|In their wailing they will take up a lament for you:\n“Who is like Tyre,\nnow silenced in the midst of the sea?”|Reads difficult wailing phrase in lament context.
27:33|When your wares went out across the seas,\nyou satisfied many peoples.\nYour great wealth and merchandise\nenriched the kings of the earth.|Keeps former international abundance before collapse.
27:34|Now you are shattered by the seas,\nin the depths of the waters;\nyour merchandise and all your company\nhave fallen with you.|Retains shift from wealth to total loss.
27:35|All who live on the coastlands are appalled at you.\nTheir kings shudder with horror;\ntheir faces are troubled.|Preserves collective reaction and facial distress.
27:36|Merchants among the peoples hiss at you.\nYou have become a terror,\nand you will be no more forever.’”|Retains hissing and final absolute refrain.
28:1|The word of the LORD came to me:|Retains standard oracle introduction.
28:2|“Son of man, tell the ruler of Tyre: This is what the Lord GOD says: Your heart grew proud, and you said, ‘I am a god. I sit on a divine throne in the heart of the seas.’ Yet you are human, not a god, though you consider your mind equal to a god’s.|Keeps ruler's divine claim and human correction.
28:3|So you are wiser than Daniel! No secret is hidden from you!|Keeps the taunt and read-form Daniel.
28:4|By your wisdom and understanding you acquired wealth, gathering gold and silver into your treasuries.|Preserves wisdom-to-wealth causal sequence.
28:5|Through your great skill in trading you increased your wealth, and your wealth made your heart proud.|Retains repeated wealth and resulting pride.
28:6|“Therefore this is what the Lord GOD says: Because you consider your mind equal to a god’s,|Repeats the ruler's claimed divine mind.
28:7|I am bringing foreigners against you, the most ruthless of nations. They will draw their swords against the beauty of your wisdom and profane your splendor.|Retains unusual beauty-of-wisdom image.
28:8|They will bring you down to the pit. You will die the death of the slain in the heart of the seas.|Links pit and sea with actual death.
28:9|Will you still say, ‘I am a god,’ before the one killing you? You are human, not a god, in the hands of those who wound you.|Keeps direct challenge and repeated human limitation.
28:10|You will die the death of the uncircumcised at the hands of foreigners, for I have spoken, declares the Lord GOD.”|Preserves ancient circumcision distinction without expansion.
28:11|The word of the LORD came to me:|Separates the following lament from prior oracle.
28:12|“Son of man, take up a lament over the king of Tyre. Tell him: This is what the Lord GOD says:\n‘You were the seal of perfection,\nfull of wisdom and perfect in beauty.|Retains king as addressee and seal image.
28:13|You were in Eden, the garden of God.\nEvery precious stone covered you:\ncarnelian, topaz, and diamond,\nberyl, onyx, and jasper,\nsapphire, turquoise, and emerald, with gold.\nYour settings and mountings were prepared\non the day you were created.|Preserves nine stones; uncertain gem and craft terms noted.
28:14|You were an anointed guardian cherub,\nand I placed you there.\nYou were on God’s holy mountain,\nwalking among stones of fire.|Follows pinned pointing with alternative relation noted.
28:15|You were blameless in your ways\nfrom the day you were created\nuntil wrongdoing was found in you.|Preserves temporal contrast without theological identification.
28:16|Through your abundant trade\nyou were filled with violence, and you sinned.\nSo I expelled you in disgrace from God’s mountain;\nI destroyed you, guardian cherub,\nfrom among the stones of fire.|Keeps trade, violence and divine expulsion connected.
28:17|Your beauty made your heart proud;\nyou ruined your wisdom for the sake of your splendor.\nI threw you to the ground\nand set you before kings to stare at you.|Retains wisdom corrupted by visible splendor.
28:18|By your many wrongs and dishonest trade\nyou profaned your sanctuaries.\nSo I brought fire out from within you,\nand it consumed you.\nI turned you to ashes on the ground\nin the sight of everyone watching.|Preserves plural sanctuaries and internal fire.
28:19|All who know you among the peoples\nare appalled at you.\nYou have become a terror,\nand you will be no more forever.’”|Keeps refrain shared with Tyre's ship lament.
28:20|The word of the LORD came to me:|Marks a new oracle distinctly.
28:21|“Son of man, turn your face toward Sidon and prophesy against her.|Names new target and embodied direction.
28:22|Say: This is what the Lord GOD says: I am against you, Sidon. I will display my glory within you. They will know that I am the LORD when I carry out judgments in her and show myself holy within her.|Preserves second-to-third-person shift and divine holiness.
28:23|I will send pestilence into her and blood into her streets. The slain will fall within her as the sword strikes from every side. Then they will know that I am the LORD.|Keeps pestilence and surrounding sword distinct.
28:24|“The house of Israel will no longer have a pricking brier or a painful thorn among all the neighbors who despise them. Then they will know that I am the Lord GOD.|Retains plant images and despising neighbors.
28:25|“This is what the Lord GOD says: When I gather the house of Israel from the peoples among whom they were scattered, I will show myself holy through them in the sight of the nations. They will live on their own soil, which I gave to my servant Jacob.|Connects gathering, holiness and Jacob's land.
28:26|They will live there securely, building houses and planting vineyards. They will live securely when I carry out judgments against all their neighbors who despise them. Then they will know that I am the LORD their God.”|Preserves repeated security rather than compressing it.
29:1|In the tenth year, on the twelfth day of the tenth month, the word of the LORD came to me:|Preserves all three date components.
29:2|“Son of man, turn your face toward Pharaoh king of Egypt. Prophesy against him and against all Egypt.|Keeps ruler and nation as separate targets.
29:3|Say: This is what the Lord GOD says: I am against you, Pharaoh king of Egypt, the great monster lying among his Nile channels, who says, ‘My Nile is mine; I made it for myself.’|Retains monster image and disputed creation boast with note.
29:4|I will put hooks in your jaws and make the fish of your channels cling to your scales. I will pull you up from your channels, with all their fish clinging to your scales.|Keeps fish-and-scales repetition and read-form hooks.
29:5|I will abandon you in the wilderness, you and all the fish of your channels. You will fall in the open country, neither gathered nor collected. I have given you as food to the beasts of the earth and the birds of the sky.|Retains unburied disposal and both scavenger groups.
29:6|Then everyone living in Egypt will know that I am the LORD. For you have been a reed staff to the house of Israel.|Connects recognition with unreliable-support image.
29:7|When they grasped you in their hand, you splintered and tore every shoulder. When they leaned on you, you broke and forced every back upright.|Follows read-form hand; retains difficult upright-back clause.
29:8|“Therefore this is what the Lord GOD says: I am bringing a sword against you and will cut off humans and animals from you.|Preserves both human and animal destruction.
29:9|Egypt will become a desolate waste. Then they will know that I am the LORD. Because Pharaoh said, ‘The Nile is mine; I made it,’|Names Pharaoh to clarify the renewed quoted boast.
29:10|I am against you and your Nile channels. I will make Egypt a ruined, desolate waste, from Migdol to Syene, as far as the border of Cush.|Keeps named geographic extent and accumulated desolation.
29:11|No human foot will pass through it, nor any animal’s foot. It will be uninhabited for forty years.|Preserves absolute wording and forty-year span.
29:12|I will make Egypt desolate among desolate lands. Its cities will lie desolate among ruined cities for forty years. I will scatter the Egyptians among the nations and disperse them through the lands.|Retains repeated desolation and scattering verbs.
29:13|“For this is what the Lord GOD says: At the end of forty years I will gather the Egyptians from the peoples among whom they were scattered.|Keeps explicit restoration after stated period.
29:14|I will restore Egypt’s fortunes and bring them back to Pathros, the land of their origin. There they will be a lowly kingdom.|Retains Pathros and limited restoration.
29:15|It will be the lowliest of kingdoms and will never again exalt itself over the nations. I will make them few, so they no longer rule the nations.|Keeps comparative lowliness and loss of dominion.
29:16|Egypt will no longer be a source of confidence for the house of Israel, calling their guilt to mind when they turn to it. Then they will know that I am the Lord GOD.”|Preserves guilt tied to reliance on Egypt.
29:17|In the twenty-seventh year, on the first day of the first month, the word of the LORD came to me:|Keeps later oracle's date in its received position.
29:18|“Son of man, Nebuchadnezzar king of Babylon made his army labor hard against Tyre. Every head was rubbed bald and every shoulder rubbed raw, yet neither he nor his army received wages from Tyre for the work they did against her.|Preserves unsuccessful payment and bodily toil.
29:19|Therefore this is what the Lord GOD says: I am giving Egypt to Nebuchadnezzar king of Babylon. He will carry off its wealth, seize its spoil, and take its plunder as wages for his army.|Retains three plundering clauses and wage comparison.
29:20|I have given him Egypt as payment for the work he did, because they worked for me, declares the Lord GOD.|Preserves divine ownership of military labor.
29:21|“On that day I will make a horn sprout for the house of Israel. I will give you an open mouth among them. Then they will know that I am the LORD.”|Keeps horn and opened-mouth images with vocabulary support.
30:1|The word of the LORD came to me:|Retains recurring oracle introduction.
30:2|“Son of man, prophesy. Say: This is what the Lord GOD says:\n‘Wail, “Alas for the day!”|Preserves commanded lament and direct cry.
30:3|For a day is near,\nthe day of the LORD is near—\na day of clouds,\na time for the nations.|Keeps repeated nearness and cloud image.
30:4|A sword will come upon Egypt,\nand anguish will seize Cush\nwhen the slain fall in Egypt,\nits wealth is carried off,\nand its foundations are torn down.|Preserves impact on Cush alongside Egypt's ruin.
30:5|Cush, Put, Lud, all the mixed peoples, Cub, and the people of the covenant land will fall with them by the sword.|Retains Cub and difficult covenant-land designation.
30:6|“‘This is what the LORD says: Egypt’s supporters will fall, and the pride of its strength will sink. From Migdol to Syene they will fall within it by the sword, declares the Lord GOD.|Keeps full geographic repetition and both titles.
30:7|They will lie desolate among desolate lands, and its cities will stand among ruined cities.|Preserves repetition and pronoun shift.
30:8|Then they will know that I am the LORD, when I set fire to Egypt and all its helpers are broken.|Keeps recognition attached to fire and allies' collapse.
30:9|On that day messengers will go out from me in ships to terrify unsuspecting Cush. Anguish will seize them on Egypt’s day. Look, it is coming!|Retains ships, divine sending and final arrival cry.
30:10|“‘This is what the Lord GOD says: I will put an end to Egypt’s multitude through Nebuchadnezzar king of Babylon.|Keeps multitude distinct from wealth where context shifts.
30:11|He and his people, the most ruthless of nations, will be brought in to destroy the land. They will draw their swords against Egypt and fill the land with the slain.|Retains ruthless agent and mass killing.
30:12|I will dry up the Nile channels and sell the land into the hands of evil men. Through foreigners I will lay waste the land and everything in it. I, the LORD, have spoken.|Keeps sale metaphor and divine agency.
30:13|“‘This is what the Lord GOD says: I will destroy the idols and put an end to the worthless gods of Memphis. There will no longer be a prince from Egypt, and I will spread fear through Egypt.|Preserves doubled idol terms and native ruler clause.
30:14|I will lay Pathros waste, set fire to Zoan, and carry out judgments in Thebes.|Uses established English city names with Hebrew names noted.
30:15|I will pour out my fury on Pelusium, Egypt’s stronghold, and cut off the multitude of Thebes.|Keeps distinct fortress and populated city.
30:16|I will set fire to Egypt. Pelusium will writhe in anguish; Thebes will be breached, and Memphis will face enemies in broad daylight.|Retains difficult daytime-enemies clause without substitution.
30:17|The young men of On and Pi-beseth will fall by the sword, and the cities will go into captivity.|Keeps gender-specific young men and feminine cities.
30:18|At Tahpanhes daylight will darken when I break Egypt’s yoke bars there and put an end to its proud strength. A cloud will cover the city, and its daughters will go into captivity.|Keeps darkness, yoke and daughter image.
30:19|I will carry out judgments against Egypt. Then they will know that I am the LORD.’”|Retains concluding recognition formula.
30:20|In the eleventh year, on the seventh day of the first month, the word of the LORD came to me:|Preserves complete dated transition.
30:21|“Son of man, I have broken Pharaoh king of Egypt’s arm. It has not been bound up for healing or wrapped in a bandage to give it strength to grip a sword.|Keeps extended injury-and-healing image.
30:22|Therefore this is what the Lord GOD says: I am against Pharaoh king of Egypt. I will break both his arms, the strong one and the broken one, and make the sword fall from his hand.|Preserves distinction between two arms.
30:23|I will scatter the Egyptians among the nations and disperse them through the lands.|Retains doubled dispersal formula.
30:24|I will strengthen the arms of Babylon’s king and put my sword in his hand. I will break Pharaoh’s arms, and he will groan before him like a mortally wounded man.|Keeps divine sword and groaning defeated ruler.
30:25|I will strengthen the arms of Babylon’s king, while Pharaoh’s arms fall limp. Then they will know that I am the LORD, when I put my sword into Babylon’s king’s hand and he stretches it out against Egypt.|Retains repeated empowerment without compression.
30:26|I will scatter the Egyptians among the nations and disperse them through the lands. Then they will know that I am the LORD.”|Preserves closing repeated dispersal and recognition.
31:1|In the eleventh year, on the first day of the third month, the word of the LORD came to me:|Preserves all date elements.
31:2|“Son of man, say to Pharaoh king of Egypt and his multitude: Who can compare with you in greatness?|Keeps question leading into historical tree comparison.
31:3|Look at Assyria: a cedar in Lebanon,\nwith beautiful branches, a shaded thicket,\nand towering height,\nits top among the clouds.|Retains pinned Assyria rather than altering to cypress.
31:4|Water made it grow;\nthe deep made it tall.\nIts rivers flowed around the planting,\nand it sent its channels\nto all the trees of the field.|Keeps deep as water provider and spreading channels.
31:5|So it towered above all the trees of the field.\nIts boughs multiplied,\nits branches grew long,\nspreading out with abundant water.|Preserves repeated water explanation and branching.
31:6|All the birds of the sky nested in its boughs;\nall the beasts of the field gave birth beneath its branches.\nAll the great nations lived in its shade.|Keeps birth, nesting and human shelter distinct.
31:7|It was beautiful in its greatness\nand in the length of its branches,\nfor its roots reached abundant water.|Retains visible beauty grounded in water.
31:8|Cedars in God’s garden could not rival it.\nJunipers could not match its boughs,\nnor plane trees its branches.\nNo tree in God’s garden matched its beauty.|Preserves complete tree comparison and repeated garden.
31:9|I made it beautiful with its many branches,\nand all the trees of Eden in God’s garden envied it.|Keeps divine gift before pride and fall.
31:10|“Therefore this is what the Lord GOD says: Because you grew so tall, and it lifted its top among the clouds, its heart proud of its height,|Retains second-to-third-person change explicitly.
31:11|I handed it over to a mighty ruler of nations, who would surely deal with it. I drove it out because of its wickedness.|Preserves emphatic action and moral cause.
31:12|Foreigners, the most ruthless of nations, cut it down and abandoned it. Its branches fell on the mountains and in every valley; its boughs broke in all the ravines of the land. All the peoples of the earth left its shade and abandoned it.|Keeps spatial spread and repeated abandonment.
31:13|All the birds of the sky settle on its fallen trunk, and all the beasts of the field rest on its branches.|Reverses living-tree shelter into fallen-tree occupation.
31:14|This happened so that no well-watered tree would exalt itself in height or lift its top among the clouds, and no water-drinking tree would stand proud in its height. For they are all given over to death, to the world below, among human beings who descend to the pit.|Preserves tree-to-human movement and mortality conclusion.
31:15|“This is what the Lord GOD says: On the day it went down to Sheol, I caused mourning. I covered the deep for it, held back its rivers, and stopped the great waters. I darkened Lebanon over it, and all the trees of the field fainted because of it.|Keeps divine mourning actions and water withdrawal.
31:16|I made the nations shake at the sound of its fall, when I brought it down to Sheol with those who descend to the pit. Then all the trees of Eden, the choicest and best of Lebanon, all that drank water, were comforted in the world below.|Retains surprising consolation among the dead.
31:17|They too went down with it to Sheol, to those slain by the sword—its allies who lived in its shade among the nations.|Renders arm as supporting allies without naming them.
31:18|“Which tree of Eden compares with you in glory and greatness? Yet you will be brought down with the trees of Eden to the world below. You will lie among the uncircumcised, with those slain by the sword. This is Pharaoh and all his multitude, declares the Lord GOD.”|Keeps final identification and humiliating burial company.
32:1|In the twelfth year, on the first day of the twelfth month, the word of the LORD came to me:|Preserves complete date.
32:2|“Son of man, take up a lament over Pharaoh king of Egypt. Say to him:\n‘You thought yourself a young lion among the nations,\nbut you were a monster in the seas,\nthrashing in your rivers,\nmuddying the water with your feet\nand fouling their streams.|Keeps lion/monster contrast and water disturbance.
32:3|This is what the Lord GOD says:\nI will spread my net over you\nwith a great assembly of peoples,\nand they will haul you up in my dragnet.|Retains collective captors and divine net.
32:4|I will leave you on the land\nand fling you into the open country.\nI will settle every bird of the sky on you\nand feed the beasts of all the earth with you.|Keeps carcass disposal and comprehensive scavengers.
32:5|I will lay your flesh on the mountains\nand fill the valleys with your remains.|Retains vast body image; rare final noun provisional.
32:6|I will drench the land with your flowing blood,\nas far as the mountains,\nand the ravines will be filled with you.|Preserves blood flooding rather than euphemizing it.
32:7|When I extinguish you, I will cover the heavens\nand darken their stars.\nI will cover the sun with a cloud,\nand the moon will not give its light.|Keeps extinction metaphor and distinct celestial lights.
32:8|I will darken every shining light in the heavens over you\nand spread darkness over your land,\ndeclares the Lord GOD.|Preserves total darkness and oracle signature.
32:9|I will trouble the hearts of many peoples\nwhen I bring your downfall among the nations,\nto lands you have never known.|Retains downfall reaching unknown lands.
32:10|I will make many peoples appalled at you.\nTheir kings will shudder with horror\nwhen I brandish my sword before them.\nEach will tremble every moment for his own life\non the day you fall.|Keeps individual fear amid international reaction.
32:11|“‘For this is what the Lord GOD says: The sword of Babylon’s king will come against you.|Names historical attacker within the lament.
32:12|I will make your multitude fall by the swords of warriors, all of them the most ruthless of nations. They will destroy Egypt’s pride, and all its multitude will be wiped out.|Retains multitude repetition and total threat.
32:13|I will destroy all its livestock beside the great waters. No human foot will muddy them again, nor will an animal’s hoof muddy them.|Keeps repeated muddying and nonhuman death.
32:14|Then I will let their waters settle and make their rivers flow like oil, declares the Lord GOD.|Keeps unsettling stillness and oil comparison.
32:15|When I make Egypt desolate, when the land is stripped of all it held, when I strike all who live there, then they will know that I am the LORD.|Preserves three when clauses leading to recognition.
32:16|This is a lament to be sung. The daughters of the nations will sing it; over Egypt and all its multitude they will sing it, declares the Lord GOD.’”|Keeps female lamenters and repeated singing.
32:17|In the twelfth year, on the fifteenth day of the month, the word of the LORD came to me:|Does not supply an absent month number.
32:18|“Son of man, wail over Egypt’s multitude. Bring her down, her and the daughters of mighty nations, to the world below, with those who descend to the pit.|Retains prophetic command and personified daughters.
32:19|‘Whom do you surpass in beauty? Go down and lie with the uncircumcised!’|Keeps taunting question and burial command.
32:20|They will fall among those slain by the sword. She is given over to the sword. Drag her away with all her multitudes!|Preserves shifting subjects and plural multitudes.
32:21|From the midst of Sheol the mighty warriors will speak of him and his helpers: ‘They have come down; they lie there, uncircumcised, slain by the sword.’|Keeps underworld speech and repeated dishonor.
32:22|“Assyria is there with all her company, their graves around him, all of them slain, fallen by the sword.|Retains collective and ruler pronoun shifts.
32:23|Her graves are set in the depths of the pit, her company around her grave. All of them were slain, fallen by the sword, they who spread terror in the land of the living.|Keeps grave arrangement and former terror.
32:24|“Elam is there with all her multitude around her grave. All of them were slain, fallen by the sword, gone down uncircumcised to the world below. They spread their terror in the land of the living, and they bear their disgrace with those who descend to the pit.|Retains the full repeated descent pattern.
32:25|They have made a bed for her among the slain, with all her multitude, her graves around it. All of them are uncircumcised, slain by the sword. Because they spread terror in the land of the living, they bear their disgrace with those who descend to the pit. They have been laid among the slain.|Preserves repetitions and bed-for-grave image.
32:26|“Meshech and Tubal are there with all their multitude, their graves around them. All of them are uncircumcised, pierced by the sword, because they spread their terror in the land of the living.|Keeps paired peoples and cause of humiliation.
32:27|They do not lie with the fallen warriors among the uncircumcised who went down to Sheol with their weapons of war, their swords laid beneath their heads, their guilt upon their bones, for the terror of the warriors was in the land of the living.|Retains pinned negative and guilt-on-bones difficulty.
32:28|“You too will be broken among the uncircumcised and lie with those slain by the sword.|Keeps direct address to condemned ruler.
32:29|“Edom is there, her kings and all her princes. Despite their might they were laid with those slain by the sword. They lie with the uncircumcised, with those who descend to the pit.|Preserves strength defeated and two burial companions.
32:30|“All the princes of the north are there, and all the Sidonians. They went down with the slain, ashamed despite the terror their strength inspired. They lie uncircumcised with those slain by the sword and bear their disgrace with those who descend to the pit.|Retains Sidonians and strength-to-shame reversal.
32:31|“Pharaoh will see them and be comforted over all his multitude, Pharaoh and all his army slain by the sword, declares the Lord GOD.|Keeps disturbing comfort rather than explaining it away.
32:32|For I spread my terror in the land of the living, and Pharaoh with all his multitude will be laid among the uncircumcised, with those slain by the sword, declares the Lord GOD.”|Follows read-form my terror; written his terror noted.
33:1|The word of the LORD came to me:|Retains recurring introduction.
