1:1|The word of the LORD came to Jonah son of Amittai:|Keeps the standard commissioning opening and full parentage.
3:3|Jonah got up and went to Nineveh as the LORD had said. Nineveh was a city great before God, a three-day journey.|Retains lelohim instead of erasing God as mere intensifier and leaves journey's measurement unresolved.
3:4|Jonah began to enter the city, going a day’s journey. He proclaimed, “Forty more days, and Nineveh will be overturned!”|Keeps forty, one-day progress, and overturned with its destruction/transformation range.
3:5|The people of Nineveh believed God. They proclaimed a fast and put on sackcloth, from the greatest to the least.|Preserves belief's object and social extent without inventing details of conversion.
3:6|When the news reached Nineveh’s king, he rose from his throne, removed his robe, covered himself with sackcloth, and sat in ashes.|Keeps king of Nineveh as given and four successive abasement actions.
3:7|He had this proclamation issued in Nineveh: “By decree of the king and his nobles: No person or animal, herd or flock, may taste anything. They must not graze or drink water.|Retains nobles' participation and the unusual inclusion of animals in the fast.
3:8|Let people and animals be covered with sackcloth. Let them call urgently to God. Let everyone turn from their evil way and from the violence in their hands.|Keeps animals clothed and concrete violence as target of change rather than only ritual action.
3:9|Who knows? God may turn and relent, turning from his burning anger so that we do not perish.”|Retains the uncertainty and repeated turning rather than claiming a guaranteed bargain.
3:10|God saw what they did, how they turned from their evil way. God relented from the disaster he had said he would bring on them, and he did not bring it.|Preserves the deeds/turning basis, repeated God, and evil/disaster wordplay in contextual senses.
4:1|But to Jonah this seemed a great wrong, and he burned with anger.|Retains raah link to evil/disaster as Jonah's evaluation and heat of anger, not narrator endorsement.
4:2|He prayed to the LORD: “Please, LORD, isn’t this what I said while I was still in my own country? That is why I fled toward Tarshish in the first place. I knew you were a gracious and compassionate God, slow to anger and rich in faithful love, who relents from bringing disaster.|Keeps both names, revealed flight motive, and the complete shared mercy formula as Jonah's complaint.
4:3|Now, LORD, please take my life from me. I would be better off dead than alive.”|Preserves explicit request for death as character speech without softening it into discouragement.
4:4|The LORD asked, “Is it right for you to be angry?”|Retains the evaluative question with intensity alternative noted.
4:5|Jonah went out of the city and sat to its east. He made himself a shelter there and sat in its shade to see what would happen to the city.|Keeps east, shelter, shade, and waiting without rearranging chronology.
4:6|The LORD God appointed a plant, which grew up over Jonah to shade his head and relieve his distress. Jonah was greatly delighted with the plant.|Preserves combined divine title, appointed motif, and great delight contrasting great wrong; species left unspecified.
4:7|At dawn the next day, God appointed a worm. It attacked the plant, and the plant withered.|Keeps timing, repeated appointed, and causal plant death.
4:8|When the sun rose, God appointed a scorching east wind. The sun beat down on Jonah’s head until he grew faint. He asked to die, saying, “I would be better off dead than alive.”|Preserves appointed third agent and repeated death speech; rare wind adjective noted.
4:9|God asked Jonah, “Is it right for you to be angry about the plant?” He answered, “It is right for me to be angry—angry enough to die!”|Repeats the evaluative question and Jonah's intensified self-justification.
4:10|The LORD said, “You have compassion for the plant, though you did not labor over it or make it grow. It came into being in a night and perished in a night.|Keeps compassion and repeated overnight brevity as the comparison's grounds.
4:11|Should I not have compassion for Nineveh, the great city, with more than 120,000 people who cannot distinguish their right hand from their left—and many animals?”|Preserves the open final question, more-than count, unresolved right/left idiom, and final animals.
