1:1|Paul, an apostle of Christ Jesus by God's will, and Timothy our brother,|Retains Paul's commissioned role, divine agency and Timothy's family designation.
2:20|If you died with Christ to the elemental powers of the world, why, as though still living in the world, do you submit to decrees:|Preserves the conditional death and rhetorical challenge.
2:21|“Do not handle! Do not taste! Do not touch!”|Keeps the terse escalating quoted prohibitions.
2:22|All these things perish as they are used, since they are based on human commands and teachings.|Retains perishability and human origin.
2:23|Such practices have a reputation for wisdom in self-made religion, humility and harsh treatment of the body, but they are of no value against indulgence of the flesh.|Keeps apparent wisdom, bodily severity and the difficult negative assessment.
3:1|Therefore, if you were raised with Christ, seek what is above, where Christ is seated at God's right hand.|Preserves co-resurrection, spatial imagery and enthronement.
3:2|Set your minds on what is above, not on earthly things,|Keeps the sharp directional contrast.
3:3|for you died, and your life is hidden with Christ in God.|Retains the paradox of death and concealed life.
3:4|When Christ, your life, is revealed, then you too will be revealed with him in glory.|Keeps Christ as life and the paired future disclosure.
3:5|So put to death what belongs to your earthly nature: sexual immorality, impurity, passion, evil desire and greed, which is idolatry.|Preserves violent mortification imagery and the full vice list.
3:6|Because of these things God's wrath is coming on the children of disobedience.|Retains the variant-marked clause in the pinned main text and its relational idiom.
3:7|You too once walked in these ways when you lived among them.|Keeps the paired walk/live description of former conduct.
3:8|But now you too must put away all these things: anger, rage, malice, slander and obscene speech from your mouth.|Preserves the clothing-removal image and complete speech-related list.
3:9|Do not lie to one another, since you have stripped off the old self with its practices|Retains mutual scope and the clothing metaphor.
3:10|and put on the new self, which is being renewed in knowledge according to the image of its Creator.|Keeps ongoing renewal, knowledge and restored image.
3:11|Here there is no Greek or Jew, circumcised or uncircumcised, barbarian, Scythian, slave or free; instead, Christ is all and in all.|Preserves every social pair, including slavery, and the climactic Christ claim.
3:12|Therefore, as God's chosen, holy and beloved people, clothe yourselves with heartfelt compassion, kindness, humility, gentleness and patience.|Keeps identity as the basis and the bodily compassion/clothing images.
3:13|Bear with one another and forgive each other if anyone has a complaint against another. Just as the Lord forgave you, so you also must forgive.|Preserves reciprocal endurance, real complaint and the stated pattern.
3:14|Above all these, put on love, which is the bond of maturity.|Keeps clothing and binding images while rendering completeness as maturity.
3:15|Let Christ's peace rule in your hearts, since you were called to this peace in one body. And be thankful.|Retains the umpire-like ruling verb, communal body and terse command.
3:16|Let Christ's word dwell richly among you. Teach and warn one another with all wisdom; with psalms, hymns and spiritual songs, sing to God with gratitude in your hearts.|Keeps mutual teaching, three song forms and interior gratitude.
3:17|Whatever you do, in word or deed, do everything in the name of the Lord Jesus, giving thanks to God the Father through him.|Preserves comprehensive scope and mediated thanksgiving.
3:18|Wives, submit to your husbands, as is fitting in the Lord.|Retains the gender-specific command and its explicit qualification.
3:19|Husbands, love your wives and do not be harsh with them.|Preserves the reciprocal gender-specific command and prohibition of bitterness.
3:20|Children, obey your parents in everything, for this is pleasing in the Lord.|Keeps children, both parents and the comprehensive command.
3:21|Fathers, do not provoke your children, so that they do not become discouraged.|Retains male-specific address and the child's harmful outcome.
3:22|Slaves, obey your earthly masters in everything, not only when they are watching, as people-pleasers, but with sincere hearts, fearing the Lord.|Names slavery and masters directly, retaining surveillance and divided allegiance.
3:23|Whatever you do, work from the heart, as for the Lord and not for people,|Keeps inner-source language and the explicit contrast.
3:24|knowing that from the Lord you will receive the inheritance as your reward. You serve the Lord Christ as a slave.|Retains the inheritance paradox and slave verb directed to Christ.
3:25|For the one who does wrong will be repaid for that wrong, and there is no favoritism.|Keeps accountability and impartiality without restricting the wrongdoer.
4:1|Masters, provide your slaves what is right and fair, knowing that you too have a Master in heaven.|Names both master-slave relations and subjects human masters to another Master.
4:2|Devote yourselves to prayer, staying alert in it with thanksgiving.|Preserves persistence, watchfulness and gratitude.
4:3|At the same time, pray for us too, that God may open a door for the word, so that we may speak Christ's mystery, for which I am in chains.|Keeps the door metaphor, plural request and imprisonment.
4:4|Pray that I may make it clear, as I ought to speak.|Preserves the obligation and clarity sought.
4:5|Walk wisely toward outsiders, making the most of the time.|Keeps social location, walk metaphor and redeemed-opportunity idiom.
4:6|Let your speech always be gracious, seasoned with salt, so that you may know how to answer each person.|Retains the salt image, every occasion and individual response.
4:7|Tychicus, our beloved brother, faithful minister and fellow slave in the Lord, will tell you everything about me.|Preserves the name and all three relational/service titles.
4:8|I am sending him to you for this very reason: that you may know how we are and that he may encourage your hearts.|Keeps the messenger's two purposes and communal encouragement.
4:9|He is coming with Onesimus, our faithful and beloved brother, who is one of you. They will tell you everything happening here.|Names Onesimus and his local belonging without concealing his later slave context.
4:10|Aristarchus, my fellow prisoner, greets you, as does Mark, Barnabas's cousin. You received instructions about him: if he comes to you, welcome him.|Retains all names, kinship and conditional reception instruction.
4:11|Jesus who is called Justus also greets you. These are the only circumcised coworkers for God's kingdom, and they have been a comfort to me.|Keeps the second name, circumcision identity and restricted group claim.
4:12|Epaphras, who is one of you, a slave of Christ Jesus, greets you. He is always struggling for you in his prayers, so that you may stand mature and fully assured in all God's will.|Preserves belonging, slave status, prayer struggle and both desired qualities.
4:13|For I testify that he works hard for you and for those in Laodicea and Hierapolis.|Retains testimony, costly labor and both named neighboring communities.
4:14|Luke, the beloved physician, and Demas greet you.|Keeps both names and Luke's stated occupation.
4:15|Greet the brothers and sisters in Laodicea, as well as Nympha and the church in her house.|Preserves the pinned feminine name and pronoun without harmonizing another tradition.
4:16|After this letter has been read among you, have it read in the church of the Laodiceans too; and you in turn should read the letter from Laodicea.|Keeps reciprocal public reading and both letters without identifying the other letter.
4:17|Tell Archippus, “Pay attention to the ministry you received in the Lord, so that you fulfill it.”|Retains direct address, received service and completion command.
4:18|I, Paul, write this greeting with my own hand. Remember my chains. Grace be with you.|Preserves autograph claim, imprisonment reminder and short plural blessing.
