1:1|Adam, Seth, Enosh,|Preserve the opening lineage as names rather than inventing narrative.
1:30|Mishma, Dumah, Massa, Hadad, Tema,|Retain the pinned Hadad form.
1:31|Jetur, Naphish, and Kedemah. These were Ishmael’s sons.|Close the twelve-name list accurately.
1:32|Keturah, Abraham’s concubine, bore Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. Jokshan’s sons were Sheba and Dedan.|Keep concubine rather than replacing it with Genesis’ wife designation.
1:33|Midian’s sons were Ephah, Epher, Hanoch, Abida, and Eldaah. All these were Keturah’s descendants.|Retain all five Midianite branches and wider descendant sense.
1:34|Abraham fathered Isaac. Isaac’s sons were Esau and Israel.|Keep Israel rather than replacing it with Jacob.
1:35|Esau’s sons were Eliphaz, Reuel, Jeush, Jalam, and Korah.|Preserve all five sons.
1:36|Eliphaz’s descendants were Teman, Omar, Zephi, Gatam, Kenaz, Timna, and Amalek.|Retain Timna in the list; note the compressed relationship against Genesis.
1:37|Reuel’s sons were Nahath, Zerah, Shammah, and Mizzah.|Keep the four names.
1:38|Seir’s sons were Lotan, Shobal, Zibeon, Anah, Dishon, Ezer, and Dishan.|Distinguish Dishon and Dishan.
1:39|Lotan’s sons were Hori and Homam. Lotan’s sister was Timna.|Preserve the sister relationship and Homam spelling.
1:40|Shobal’s sons were Alian, Manahath, Ebal, Shephi, and Onam. Zibeon’s sons were Aiah and Anah.|Keep the two separate branches and source name forms.
1:41|Anah’s son was Dishon. Dishon’s sons were Hamran, Eshban, Ithran, and Cheran.|Retain the single named son and Hamran form.
1:42|Ezer’s sons were Bilhan, Zaavan, and Jaakan. Dishon’s sons were Uz and Aran.|Keep Dishon as written here and note the variant relation to 1:38.
1:43|These were the kings who reigned in Edom before any king reigned over the Israelites: Bela son of Beor, whose city was named Dinhabah.|Retain the before-Israel chronological comparison.
1:44|Bela died, and Jobab son of Zerah from Bozrah became king in his place.|Keep the non-filial succession and origin.
1:45|Jobab died, and Husham from the land of the Temanites became king in his place.|Retain the regional origin.
1:46|Husham died, and Hadad son of Bedad became king in his place. He defeated Midian in the territory of Moab. His city was named Avith.|Follow read Avith and retain the battle’s participants and setting.
1:47|Hadad died, and Samlah from Masrekah became king in his place.|Keep successor and home place.
1:48|Samlah died, and Shaul from Rehoboth on the River became king in his place.|Retain the River designation without forcing a location.
1:49|Shaul died, and Baal-hanan son of Achbor became king in his place.|Keep the patronymic.
1:50|Baal-hanan died, and Hadad became king in his place. His city was named Pai. His wife’s name was Mehetabel, daughter of Matred, daughter of Me-zahab.|Preserve Pai and both female-line relationship terms without harmonizing Genesis.
1:51|Hadad died. These were Edom’s chiefs: Chief Timna, Chief Alvah, Chief Jetheth,|Keep Hadad’s death notice and repeated chief titles; follow read Alvah.
1:52|Chief Oholibamah, Chief Elah, Chief Pinon,|Retain each title and name.
1:53|Chief Kenaz, Chief Teman, Chief Mibzar,|Continue the repeated titles.
1:54|Chief Magdiel, and Chief Iram. These were Edom’s chiefs.|Preserve the closing summary.
2:1|These were Israel’s sons: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,|Keep the source’s ordering of the tribes.
2:2|Dan, Joseph, Benjamin, Naphtali, Gad, and Asher.|Complete the twelve names without substituting Joseph’s sons.
2:3|Judah’s sons were Er, Onan, and Shelah. These three were born to him by Shua’s daughter, a Canaanite woman. Judah’s firstborn Er was evil in the LORD’s eyes, and the LORD put him to death.|Keep the woman’s identity and the explicit divine killing.
2:4|His daughter-in-law Tamar bore him Perez and Zerah. Judah had five sons in all.|Preserve the consequential daughter-in-law relationship and total.
2:5|Perez’s sons were Hezron and Hamul.|Keep the two sons.
2:6|Zerah’s sons were Zimri, Ethan, Heman, Calcol, and Dara—five in all.|Retain all names and the stated total.
2:7|Carmi’s son was Achar, who brought trouble on Israel by being unfaithful with what was devoted to destruction.|Keep Achar and its trouble wordplay rather than silently substituting Achan.
2:8|Ethan’s son was Azariah.|Retain the single named descendant.
2:9|The sons born to Hezron were Jerahmeel, Ram, and Chelubai.|Keep Chelubai rather than silently normalizing to Caleb.
2:10|Ram fathered Amminadab, and Amminadab fathered Nahshon, leader of the people of Judah.|Retain Nahshon’s leadership role.
2:11|Nahshon fathered Salma, and Salma fathered Boaz.|Keep Salma’s source form and the lineage.
2:12|Boaz fathered Obed, and Obed fathered Jesse.|Preserve the link recognizable from Ruth.
2:13|Jesse fathered Eliab his firstborn, Abinadab the second, Shimea the third,|Retain the source’s name and birth-order positions.
2:14|Nethanel the fourth, Raddai the fifth,|Keep the middle positions.
2:15|Ozem the sixth, and David the seventh.|Retain seventh despite Samuel’s eight-son presentation.
2:16|Their sisters were Zeruiah and Abigail. Zeruiah’s three sons were Abishai, Joab, and Asahel.|Keep the women’s relationship and three military sons.
2:17|Abigail bore Amasa. Amasa’s father was Jether the Ishmaelite.|Retain Ishmaelite rather than harmonizing Samuel.
2:18|Caleb son of Hezron had children by his wife Azubah and by Jerioth. These were her sons: Jesher, Shobab, and Ardon.|Keep both women and the ambiguous her; flag the difficult syntax.
2:19|Azubah died, and Caleb married Ephrath, who bore him Hur.|Preserve the death and subsequent marriage.
2:20|Hur fathered Uri, and Uri fathered Bezalel.|Keep the artisan’s lineage intact.
2:21|Later Hezron went in to the daughter of Machir, Gilead’s father. He married her when he was sixty years old, and she bore him Segub.|Preserve the sexual idiom, marriage, and exact age.
2:22|Segub fathered Jair, who had twenty-three towns in the land of Gilead.|Keep the number and territory.
2:23|Geshur and Aram took Havvoth-jair from them, along with Kenath and its villages—sixty towns. All these were descendants of Machir, Gilead’s father.|Preserve the two aggressors and sixty-town notice alongside the prior twenty-three.
2:24|After Hezron died in Caleb-ephrathah, his wife Abijah bore him Ashhur, the father of Tekoa.|Follow the pinned place reading while noting the difficult alternative construction.
2:25|The sons of Jerahmeel, Hezron’s firstborn, were Ram his firstborn, Bunah, Oren, Ozem, and Ahijah.|Retain both firstborn identifications and Ahijah’s uncertain list position.
2:26|Jerahmeel had another wife named Atarah. She was Onam’s mother.|Keep the additional wife and maternal branch.
2:27|The sons of Ram, Jerahmeel’s firstborn, were Maaz, Jamin, and Eker.|Retain the branch identification and three names.
2:28|Onam’s sons were Shammai and Jada. Shammai’s sons were Nadab and Abishur.|Keep the two generations distinct.
2:29|Abishur’s wife was named Abihail. She bore him Ahban and Molid.|Retain the mother and both sons.
2:30|Nadab’s sons were Seled and Appaim. Seled died without sons.|Keep the interrupted male line.
2:31|Appaim’s son was Ishi, Ishi’s son was Sheshan, and Sheshan’s descendant was Ahlai.|Use descendant for Ahlai in light of the explicit daughters-only notice in verse 34.
2:32|The sons of Jada, Shammai’s brother, were Jether and Jonathan. Jether died without sons.|Preserve the brother relationship and childless line.
2:33|Jonathan’s sons were Peleth and Zaza. These were Jerahmeel’s descendants.|Keep the branch’s closing summary.
2:34|Sheshan had no sons, only daughters. He had an Egyptian slave named Jarha.|Preserve daughters and explicit enslavement.
2:35|Sheshan gave his daughter in marriage to his slave Jarha, and she bore him Attai.|Retain the father’s agency and slave status without inventing consent or emancipation.
2:36|Attai fathered Nathan, and Nathan fathered Zabad.|Keep both links.
2:37|Zabad fathered Ephlal, and Ephlal fathered Obed.|Retain the intervening generation.
2:38|Obed fathered Jehu, and Jehu fathered Azariah.|Keep names without identifying them with unrelated kings.
2:39|Azariah fathered Helez, and Helez fathered Eleasah.|Preserve both links.
2:40|Eleasah fathered Sismai, and Sismai fathered Shallum.|Keep the lineage’s order.
2:41|Shallum fathered Jekamiah, and Jekamiah fathered Elishama.|Retain the final two links.
2:42|The descendants of Caleb, Jerahmeel’s brother, included Mesha his firstborn, the father of Ziph, and the sons of Mareshah, the father of Hebron.|Preserve the difficult second clause rather than correcting the genealogy.
2:43|Hebron’s sons were Korah, Tappuah, Rekem, and Shema.|Retain all four names.
2:44|Shema fathered Raham, the father of Jorkeam, and Rekem fathered Shammai.|Keep both separate branches.
2:45|Shammai’s son was Maon, and Maon was the father of Beth-zur.|Retain father language for a place-associated line, explained in vocabulary.
2:46|Caleb’s concubine Ephah bore Haran, Moza, and Gazez. Haran fathered Gazez.|Preserve concubine status and the repeated Gazez name.
2:47|Jahdai’s sons were Regem, Jotham, Geshan, Pelet, Ephah, and Shaaph.|Keep the otherwise unconnected Jahdai entry without inventing a link.
2:48|Caleb’s concubine Maacah bore Sheber and Tirhanah.|Retain the second concubine and her children.
2:49|She also bore Shaaph, the father of Madmannah, and Sheva, the father of Machbenah and Gibea. Caleb’s daughter was Achsah.|Keep the place-associated fathers and named daughter.
2:50|These were the descendants of Caleb son of Hur, Ephrathah’s firstborn: Shobal, the father of Kiriath-jearim,|Retain the singular son construction and note its tension with the earlier genealogy.
2:51|Salma, the father of Bethlehem, and Hareph, the father of Beth-gader.|Continue the list with both places.
2:52|Shobal, the father of Kiriath-jearim, had these descendants: Haroeh and half the Menuhoth.|Keep the difficult collective name rather than replacing it without notice.
2:53|The clans of Kiriath-jearim were the Ithrites, Puthites, Shumathites, and Mishraites. From these came the Zorathites and Eshtaolites.|Retain all six clan names and their grouping.
2:54|Salma’s descendants were Bethlehem, the Netophathites, Atroth-beth-joab, half the Manahathites, and the Zorites.|Preserve the mixed town-and-clan listing.
2:55|The clans of scribes living at Jabez were the Tirathites, Shimeathites, and Sucathites. These were the Kenites who came from Hammath, the father of the house of Rechab.|Keep the scribal occupation and Rechab connection.
3:1|These were David’s sons born to him in Hebron: his firstborn Amnon, by Ahinoam of Jezreel; the second, Daniel, by Abigail of Carmel;|Keep Daniel rather than harmonizing Samuel’s Chileab and retain both mothers.
3:2|the third, Absalom, son of Maacah, daughter of Talmai king of Geshur; the fourth, Adonijah, son of Haggith;|Preserve birth order and Absalom’s maternal royal lineage.
3:3|the fifth, Shephatiah, by Abital; the sixth, Ithream, by his wife Eglah.|Keep the final Hebron pair and source’s wife designation.
3:4|Six were born to him in Hebron. He reigned there for seven years and six months, and in Jerusalem for thirty-three years.|Retain the total and both reign durations.
3:5|These were born to him in Jerusalem: Shimea, Shobab, Nathan, and Solomon—four by Bath-shua, daughter of Ammiel.|Preserve the source’s maternal and grandfather name forms.
3:6|There were also Ibhar, Elishama, Eliphelet,|Retain the first occurrence of repeated names.
3:7|Nogah, Nepheg, Japhia,|Keep all three intervening names.
3:8|Elishama, Eliada, and Eliphelet—nine in all.|Preserve repeated names and the stated nine without deduplication.
3:9|These were all David’s sons, besides the sons of his concubines. Tamar was their sister.|Keep the excluded group and named daughter.
3:10|Solomon’s son was Rehoboam; his son was Abijah; his son Asa; his son Jehoshaphat;|Use a repeated son chain to distinguish generations from siblings.
3:11|his son Joram; his son Ahaziah; his son Joash;|Preserve each dynastic link.
3:12|his son Amaziah; his son Azariah; his son Jotham;|Keep Azariah’s source name form.
3:13|his son Ahaz; his son Hezekiah; his son Manasseh;|Retain all three generations.
3:14|his son Amon; his son Josiah.|Close the continuous royal chain.
3:15|Josiah’s sons were Johanan the firstborn, Jehoiakim the second, Zedekiah the third, and Shallum the fourth.|Keep the four names and listed order without forcing accession order.
3:16|Jehoiakim’s descendants were his son Jeconiah and his son Zedekiah.|Preserve the ambiguous second his son rather than silently equating him with the uncle in Kings.
3:17|The descendants of Jeconiah the captive were Shealtiel his son,|Read assir as captive and note the alternative proper name Assir.
3:18|Malchiram, Pedaiah, Shenazzar, Jekamiah, Hoshama, and Nedabiah.|Keep all six continuing names.
3:19|Pedaiah’s sons were Zerubbabel and Shimei. Zerubbabel’s sons were Meshullam and Hananiah, and Shelomith was their sister.|Preserve Pedaiah’s fatherhood and the named sister without harmonizing Ezra.
3:20|There were also Hashubah, Ohel, Berechiah, Hasadiah, and Jushab-hesed—five.|Retain the separate five-name subtotal.
3:21|Hananiah’s descendants were Pelatiah and Jeshaiah, the descendants of Rephaiah, the descendants of Arnan, the descendants of Obadiah, and the descendants of Shecaniah.|Keep repeated descendants and the compressed relationship rather than constructing an unsupported linear genealogy.
3:22|Shecaniah’s descendant was Shemaiah. Shemaiah’s sons were Hattush, Igal, Bariah, Neariah, and Shaphat—six.|Retain six despite only five following names, with an explicit note.
3:23|Neariah’s sons were Elioenai, Hizkiah, and Azrikam—three.|Keep the three-name total.
3:24|Elioenai’s sons were Hodaviah, Eliashib, Pelaiah, Akkub, Johanan, Delaiah, and Anani—seven.|Follow the read Hodaviah and preserve all seven.
4:1|Judah’s descendants were Perez, Hezron, Carmi, Hur, and Shobal.|Use descendants for a list spanning generations.
4:2|Reaiah son of Shobal fathered Jahath, and Jahath fathered Ahumai and Lahad. These were the Zorathite clans.|Keep the two generations and clan summary.
4:3|These belonged to the father of Etam: Jezreel, Ishma, and Idbash. Their sister’s name was Hazzelelponi.|Preserve the difficult singular father phrase and the named sister; note textual uncertainty.
4:4|Penuel was the father of Gedor, and Ezer was the father of Hushah. These were the descendants of Hur, Ephrathah’s firstborn, the father of Bethlehem.|Keep place-associated father language and Hur’s firstborn status.
4:5|Ashhur, the father of Tekoa, had two wives, Helah and Naarah.|Retain the two women and place association.
4:6|Naarah bore him Ahuzzam, Hepher, Temeni, and Haahashtari. These were Naarah’s sons.|Keep the four names and maternal summary.
4:7|Helah’s sons were Zereth, Zohar, and Ethnan.|Follow read Zohar rather than written Izhar.
4:8|Koz fathered Anub and Hazzobebah, and the clans of Aharhel son of Harum.|Preserve the mixed personal-and-clan descent.
4:9|Jabez was more honored than his brothers. His mother named him Jabez, saying, “I bore him in pain.”|Keep honor distinct from a moral ranking and preserve the pain wordplay.
4:10|Jabez called on the God of Israel: “If only you would bless me and enlarge my territory! Let your hand be with me, and keep me from harm so that I am free from pain.” God granted what he asked.|Retain the concrete land request and pain link without turning the prayer into a universal promise.
4:11|Chelub, Shuhah’s brother, fathered Mehir, who was the father of Eshton.|Keep the brother relationship and both generations.
4:12|Eshton fathered Beth-rapha, Paseah, and Tehinnah, the father of Ir-nahash. These were the men of Recah.|Preserve all names and the settlement summary.
4:13|Kenaz’s sons were Othniel and Seraiah. Othniel’s son was Hathath.|Keep the two branches and singular named descendant.
4:14|Meonothai fathered Ophrah. Seraiah fathered Joab, the father of the Valley of Craftsmen, for they were craftsmen.|Retain the unexplained Meonothai transition and occupational place explanation.
4:15|The sons of Caleb son of Jephunneh were Iru, Elah, and Naam. Elah’s son was Kenaz.|Distinguish this Caleb by his father and retain the single final name.
4:16|Jehallelel’s sons were Ziph, Ziphah, Tiria, and Asarel.|Keep the similar Ziph and Ziphah names distinct.
4:17|Ezrah’s sons were Jether, Mered, Epher, and Jalon. She conceived Miriam, Shammai, and Ishbah, the father of Eshtemoa.|Retain the unnamed female subject rather than silently rearranging the next verse.
4:18|His Judean wife bore Jered, the father of Gedor, Heber, the father of Soco, and Jekuthiel, the father of Zanoah. These were the children of Bithiah, Pharaoh’s daughter, whom Mered married.|Keep both maternal notices in source order and note their difficult relationship.
4:19|The sons of Hodiah’s wife, Naham’s sister, were the father of Keilah the Garmite and Eshtemoa the Maacathite.|Preserve the sister relationship and compressed clan syntax.
4:20|Shimon’s sons were Amnon, Rinnah, Ben-hanan, and Tilon. Ishi’s sons were Zoheth and Ben-zoheth.|Follow read Tilon and retain Ben-zoheth as a name.
4:21|The descendants of Shelah son of Judah were Er, the father of Lecah, Laadah, the father of Mareshah, and the clans of linen workers of the house of Ashbea;|Keep the occupational family group within the genealogy.
4:22|also Jokim, the men of Cozeba, Joash, and Saraph, who ruled in Moab, and Jashubi-lehem. These records are ancient.|Retain the uncertain rule-in-Moab reading and proper name with alternatives noted.
4:23|These were the potters and the inhabitants of Netaim and Gederah. They lived there in the king’s service, doing his work.|Keep place names and royal employment.
4:24|Simeon’s sons were Nemuel, Jamin, Jarib, Zerah, and Shaul.|Retain the source’s five-name list without importing Genesis’ forms.
4:25|Shaul’s son was Shallum, his son Mibsam, and his son Mishma.|Clarify the starting antecedent while keeping the chain.
4:26|Mishma’s descendants were Hammuel his son, Zaccur his son, and Shimei his son.|Retain the generational progression.
4:27|Shimei had sixteen sons and six daughters, but his brothers did not have many sons. Their whole clan did not become as numerous as the people of Judah.|Keep both gendered counts and the relative population comparison.
4:28|They lived in Beer-sheba, Moladah, Hazar-shual,|Keep the settlement list open across labels.
4:29|Bilhah, Ezem, Tolad,|Retain all three places.
4:30|Bethuel, Hormah, Ziklag,|Keep the source’s Bethuel place form.
4:31|Beth-marcaboth, Hazar-susim, Beth-biri, and Shaaraim. These were their towns until David became king.|Retain the temporal limit.
4:32|Their outlying settlements were Etam, Ain, Rimmon, Tochen, and Ashan—five towns—|Keep the source’s settlement/town terms and stated five.
4:33|along with all the villages around these towns as far as Baal. These were their settlements, and they kept their genealogical records.|Preserve the boundary and record-keeping notice.
4:34|Meshobab, Jamlech, Joshah son of Amaziah,|Keep the leadership list open until its explanation in verse 38.
4:35|Joel, Jehu son of Joshibiah, son of Seraiah, son of Asiel,|Retain all generations attached to Jehu.
4:36|Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,|Preserve all seven names.
4:37|and Ziza son of Shiphi, son of Allon, son of Jedaiah, son of Shimri, son of Shemaiah—|Keep the six-generation line intact.
4:38|these men listed by name were leaders in their clans, and their ancestral households grew greatly.|Connect the names to their role and growth.
4:39|They went toward the entrance of Gedor, to the east side of the valley, looking for pasture for their flocks.|Retain Gedor rather than emending it to Gerar.
4:40|They found rich, good pasture, and the land was spacious, quiet, and peaceful. The people who had lived there before were descendants of Ham.|Preserve the earlier inhabitants’ identity without racial extrapolation.
4:41|In the days of Hezekiah king of Judah, these men listed by name came and attacked their tents and the Meunites found there. They devoted them to destruction, with lasting effect to this day, and settled in their place because there was pasture for their flocks.|Retain the violent dispossession and pasture motive without sanitizing conquest.
4:42|Five hundred of these Simeonites went to Mount Seir, led by Pelatiah, Neariah, Rephaiah, and Uzziel, the sons of Ishi.|Keep the number and four brother-leaders.
4:43|They struck down the surviving remnant of Amalek and have lived there to this day.|Preserve the remnant’s killing and narrator’s time notice.
